"X","atletas.atleta_id","atletas.nome","atletas.apelido","atletas.foto","atletas.rodada_id","atletas.clube_id","atletas.clube.id.full.name","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","athletes.atletas.scout","PE","SG","FC","FS","I","RB","FD","A","G","FF","DD","CA","GS","FT","CV","PP","DP"
245,70173,"Ederson Honorato Campos","Ederson","https://s.glbimg.com/es/sde/f/2017/04/24/219907d77bba093529105f5b79abce53_FORMATO.png",3,"FLA","Flamengo","mei","Nulo",0,5.76,0,3.25,2,NA,2,NA,NA,4,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
244,70222,"Sidney Aparecido Ramos da Silva","Sidão","https://s.glbimg.com/es/sde/f/2017/04/25/6b33818b6514572559c1fef9b6ca9686_FORMATO.png",3,"SAO","São Paulo","gol","Nulo",3,6.25,-0.75,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
246,70666,"Marllon Gonçalves Jerônimo Borges","Marllon","https://s.glbimg.com/es/sde/f/2017/05/02/40266a7126e1fd808b4350f90516f3f5_FORMATO.png",3,"PON","Ponte Preta","zag","Provável",0.7,9.48,-0.79,3.97,3,NA,2,1,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
248,70696,"Fábio Luiz Carille de Araújo","Fábio Carille","https://s.glbimg.com/es/sde/f/2017/04/22/b5151c5cf6b267103af7605949496c18_FORMATO.png",3,"COR","Corinthians","tec","Provável",5.56,9.06,0.94,4.32,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
251,70742,"Luis Manuel Seijas Gunther","Seijas","https://s.glbimg.com/es/sde/f/2017/05/14/6f1a3086afde752f257e478b7ddadf03_FORMATO.png",3,"CHA","Chapecoense","mei","Provável",1.3,5.54,-0.27,1.45,2,NA,7,NA,3,3,1,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
249,70916,"Diogo Barbosa Mendanha","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2017/04/22/9ee14b744ca9f1e250cc299b955bc6e9_FORMATO.png",3,"CRU","Cruzeiro","lat","Provável",7.3,12.54,1.26,5.9,3,NA,13,2,4,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
240,70929,"Guilherme Ferreira Pinto","Negueba","https://s.glbimg.com/es/sde/f/2017/05/25/64302c15d090f690bd4a703d68941295_FORMATO.png",3,"PON","Ponte Preta","ata","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
243,70934,"Jackson de Souza","Jackson","https://s.glbimg.com/es/sde/f/2017/02/21/006f00c308607da2e5625e476d7e701e_FORMATO.png",3,"BAH","Bahia","zag","Contundido",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,70986,"Leonardo Cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2017/05/02/6694b4703f10f789b166d7ca4f6f764e_FORMATO.png",3,"SAN","Santos","mei","Nulo",0,3.54,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
242,71066,"Federico Mancuello","Mancuello","https://s.glbimg.com/es/sde/f/2017/04/24/8f9b227031fc772ea2210db5d441a2e5_FORMATO.png",3,"FLA","Flamengo","mei","Provável",9.3,8.44,1.44,9.3,1,NA,2,NA,2,1,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
