"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","FC","FS","PE","RB","CA","FD","FF","I","CV","SG","FT","G","PP","A","DD","GS","DP","GC"
"32","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2017/05/02/4a4ad263fb8caeebedbea1c1bab7d397_FORMATO.png",38021,12,"PON","mei","Provável",0.9,4.05,0.34,0.76,9,"Ponte Preta",6,8,3,2,2,NA,4,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"33","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,12,"SAO","zag","Nulo",0,4.17,0,0.7,4,"São Paulo",11,2,12,4,2,1,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"34","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2017/05/02/803e0f7a5e12a827547f82d97fb403f0_FORMATO.png",37984,12,"PON","gol","Provável",1.7,11.49,-1.37,4.29,12,"Ponte Preta",NA,2,5,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,19,15,NA,NA
"35","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2017/05/01/510c7156c6f1b989be6cdcdfb393eb82_FORMATO.png",38100,12,"SPO","zag","Nulo",0,6.61,0,3.38,9,"Sport",8,5,11,9,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA
"36","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2017/04/19/b627c9025ae6426b1e4397a1e4806a3e_FORMATO.png",38067,12,"COR","mei","Nulo",0,5,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,12,"BOT","gol","Provável",17,10.64,1.64,17,1,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,1,NA
"38","Marcos Vicente dos Santos","Marquinhos","https://s.glbimg.com/es/sde/f/2017/04/28/16b2b3c31dc9b2e904ab87a434b26f8b_FORMATO.png",38150,12,"AVA","mei","Dúvida",0,2.81,0,-0.09,8,"Avaí",3,9,33,3,NA,4,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","João Alves de Assis Silva","Jô","https://s.glbimg.com/es/sde/f/2017/04/23/013b2879d66c81bb0e92137fdfe045a8_FORMATO.png",38138,12,"COR","ata","Provável",8.9,13.32,1.18,4.49,12,"Corinthians",24,16,26,2,2,7,4,12,NA,NA,NA,7,1,2,NA,NA,NA,NA
"40","Luiz Guilherme da Conceição Silva","Muriqui","https://s.glbimg.com/es/sde/f/2017/04/06/321312e4d04c0676ddf6e5e30503e413_FORMATO.png",38225,12,"VAS","ata","Nulo",0,3.56,0,0.45,2,"Vasco",NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2017/04/23/2d7990dd22103819070a18092e4a35b7_FORMATO.png",38196,12,"GRE","mei","Contundido",0,7.99,0,0.8,6,"Grêmio",3,5,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
