"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","FS","PE","CA","FC","FD","FF","G","I","RB","A","FT","SG","DD","DP","GS","PP","CV","GC"
"76","Luiz Fernando Pereira da Silva","Fernandinho","https://s.glbimg.com/es/sde/f/2017/04/23/7bc968863bb32cf46c3aa7067b5514f8_FORMATO.png",68758,19,"GRE","ata","Provável",14.9,13.69,1.71,6.52,15,"Grêmio",37,25,1,14,11,4,6,NA,17,1,NA,NA,NA,NA,NA,NA,NA,NA
"77","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2017/04/17/da28ba844b13dd322862abfcda7e77b7_FORMATO.png",39152,19,"BOT","lat","Contundido",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Gustavo Marcelo Cardoso Soares","Índio","https://s.glbimg.com/es/sde/f/2017/04/24/f40e8a88ce85dc28ee0a123c0052d946_FORMATO.png",95315,19,"COR","ata","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/05/16/3246550328efb6a72fe4e85ea0bbff11_FORMATO.png",38957,19,"CRU","ata","Nulo",0,4.14,0,1.46,11,"Cruzeiro",9,22,NA,3,2,5,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"80","Vagner Carmo Mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2017/07/26/03f653f62309ac6ad508e084fbc4c7e5_FORMATO.png",39850,19,"VIT","tec","Provável",6.35,9.25,0.22,3.47,14,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","Lucas Henrique dos Santos","Luquinhas","https://s.glbimg.com/es/sde/f/2017/07/25/62b49e3ba4744a1658b2d570e24c046c_FORMATO.png",95263,19,"FLU","mei","Nulo",0,1,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82","Elton Junior Melo Ataíde","Elton","https://s.glbimg.com/es/sde/f/2017/05/02/be1eeef6004ddca4490debdfc7a8f6ef_FORMATO.png",71719,19,"PON","mei","Nulo",1.9,5.96,-1.06,2.24,14,"Ponte Preta",14,33,NA,23,1,3,1,2,21,1,NA,NA,NA,NA,NA,NA,1,NA
"83","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg",38928,19,"BOT","mei","Suspenso",-2,2.87,-1.01,-0.07,8,"Botafogo",5,14,3,8,1,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84","José Renato da Silva Júnior","Renato","https://s.glbimg.com/es/sde/f/2017/07/25/51728a46f746d0ab5fe9985a3f913559_FORMATO.png",39572,19,"FLU","lat","Nulo",0,3.07,0,1.05,7,"Fluminense",7,14,2,10,1,6,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA
"85","Sosthenes José Santos Salles","Neto Berola","https://s.glbimg.com/es/sde/f/2017/04/24/f3039b70ee89382f40b6b09074e46900_FORMATO.png",68807,19,"COR","ata","Nulo",2.1,9.69,-0.5,2.91,11,"Coritiba",12,19,1,7,2,8,1,4,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"86","Sérgio Dutra Júnior","Júnior Dutra","https://s.glbimg.com/es/sde/f/2017/04/25/448f2fd931dfdfe48b3cb84ea4f0665a_FORMATO.png",68784,19,"AVA","ata","Provável",1.2,7.52,-0.57,4.37,13,"Avaí",19,35,1,20,7,13,3,2,11,1,2,NA,NA,NA,NA,NA,NA,NA
"87","Levir Culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2017/06/14/136e0a7f3e7fc28586ac419c9c08efd2_FORMATO.png",40025,19,"SAN","tec","Provável",5.33,11.06,0.24,4.48,13,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Severino do Ramo Clementino da Silva","Nino Paraíba","https://s.glbimg.com/es/sde/f/2017/05/02/d14ab91bfca642dc286aec9f19adea15_FORMATO.png",68808,19,"PON","lat","Nulo",5,19.65,0.49,4.89,15,"Ponte Preta",26,64,3,16,5,4,1,3,26,2,NA,5,NA,NA,NA,NA,NA,NA
"89","Marcio Antonio de Sousa Júnior","Marcinho","https://s.glbimg.com/es/sde/f/2017/05/25/27b1b870560cc8ddfeb933e48b232bb5_FORMATO.png",95332,19,"SAO","ata","Provável",-0.2,4.23,-0.34,1.57,19,"São Paulo",21,70,2,24,6,11,2,1,10,2,NA,NA,NA,NA,NA,NA,NA,NA
"90","Renato de Araújo Chaves Júnior","Renato Chaves","https://s.glbimg.com/es/sde/f/2017/07/25/f6a981f0f20a4b82ddc029c4cb983564_FORMATO.png",68827,19,"FLU","zag","Provável",-0.8,2.66,-1.27,1.6,3,"Fluminense",1,3,1,6,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","Abel Carlos da Silva Braga","Abel Braga","https://s.glbimg.com/es/sde/f/2017/07/26/530dd6d653e00f41f2159828518f0bf3_FORMATO.png",40006,19,"FLU","tec","Provável",3.8,11.96,0.1,3.27,17,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Matheus Sousa de Jesus","Matheus Jesus","https://s.glbimg.com/es/sde/f/2017/07/24/650f2b1055213cf87ff282bf2f4a271b_FORMATO.png",95335,19,"SAN","mei","Nulo",0,4,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Rafael de Carvalho Santos","Rafael Santos","https://s.glbimg.com/es/sde/f/2017/07/04/d4c3bb98996ada75c9612e2a44894691_FORMATO.png",68822,19,"BAH","gol","Nulo",0,3,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Kleber Giacomace de Souza Freitas","Kleber","https://s.glbimg.com/es/sde/f/2017/04/24/c96c8c2ada9b85eb506293c4caec64db_FORMATO.png",40179,19,"COR","ata","Suspenso",0,12.46,0,3.74,10,"Coritiba",26,32,1,28,10,6,4,6,4,1,NA,NA,NA,NA,NA,NA,1,NA
"95","Dorival Silvestre Júnior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2017/07/10/44451249912d8a454f2c40009fb27f1b_FORMATO.png",40990,19,"SAO","tec","Provável",2.5,9.24,-0.06,2.59,11,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","Francisco Rithely da Silva Sousa","Rithely","https://s.glbimg.com/es/sde/f/2016/05/01/c410c14470ebc6e02ab963212b89a17a_FORMATO.png",68834,19,"SPO","mei","Provável",2.5,11.09,-0.3,4.48,16,"Sport",17,53,4,23,5,14,1,1,39,2,NA,NA,NA,NA,NA,NA,NA,NA
"97","Vanderlei Luxemburgo da Silva","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2017/05/31/d059e86ab694b638ba5a43c3b0b0444f_FORMATO.png",41327,19,"SPO","tec","Provável",3.27,8.79,0,4.96,16,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"98","Luiz Felipe Schwartz Dal Piva ","Luiz Felipe","https://s.glbimg.com/es/sde/f/2017/04/24/7363784a4f9cfb861280071ced864b12_FORMATO.png",95483,19,"CHA","gol","Nulo",0,2,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Alessandro Beti Rosa","Magrão","https://s.glbimg.com/es/sde/f/2016/05/01/92fb599635a635bc3681d6d69f04489c_FORMATO.png",41218,19,"SPO","gol","Provável",-3,5.17,-0.56,3.64,16,"Sport",NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,6,24,NA,22,NA,NA,NA
