"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FF","FS","FT","I","PE","RB","SG","FD","DD","DP","G","GS","GC","CV","PP"
"51","Carlos Eduardo Marques","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2017/08/30/1d0425c1f6b3c4bb5041fa1cb9ee960e_FORMATO.png",50369,33,"VIT","mei","Dúvida",-0.3,1.94,-0.01,0.1,11,"Vitória",NA,2,8,2,12,NA,3,39,7,NA,3,NA,NA,NA,NA,NA,NA,NA
"52","Paulo Henrique Carneiro Filho","Paulo Henrique","https://s.glbimg.com/es/sde/f/2017/02/14/f3e039a98588fd2760ea1b06034d2567_FORMATO.png",50398,33,"SPO","ata","Nulo",0,3,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Marcelo Oliveira Ferreira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/401897dab69a776fef1185ec3ba1b85f_FORMATO.png",50328,33,"GRE","lat","Provável",0.9,7.36,0.16,1.86,12,"Grêmio",NA,2,16,NA,8,NA,1,20,12,4,NA,NA,NA,NA,NA,NA,NA,1
"54","Henrique Adriano Buss","Henrique","https://s.glbimg.com/es/sde/f/2017/07/25/3877f66bdd821cbbcd81de82eeebcb3c_FORMATO.png",50856,33,"FLU","zag","Provável",3.1,8.57,0.26,2.29,22,"Fluminense",NA,3,19,1,23,2,NA,34,27,2,1,NA,NA,NA,NA,NA,NA,NA
"55","Carlos Eduardo Santos Oliveira","Eduardo","https://s.glbimg.com/es/sde/f/2017/07/28/eaa5d401b5faf55be5cb064b19e97744_FORMATO.png",50645,33,"BAH","lat","Provável",3.4,7.23,-0.71,3.19,31,"Bahia",1,7,43,7,37,NA,2,146,58,10,2,NA,NA,NA,NA,NA,NA,NA
"56","Vilson Xavier de Meneses Junior","Vilson","https://s.glbimg.com/es/sde/f/2017/04/20/8318615325e46161f7739d05c53abb81_FORMATO.png",50439,33,"COR","zag","Contundido",0,4,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Wesley Lopes Beltrame","Wesley","https://s.glbimg.com/es/sde/f/2017/08/30/be14f1dad39de4605e99b4889d96758f_FORMATO.png",50421,33,"SPO","mei","Nulo",-0.4,3.03,-0.45,0.05,11,"Sport",NA,2,11,3,15,NA,NA,36,6,NA,1,NA,NA,NA,NA,NA,NA,NA
"58","Breno Vinicius Rodrigues Borges","Breno","https://s.glbimg.com/es/sde/f/2017/07/11/e970a2c4345e6e515eef8ee166c54f05_FORMATO.png",50408,33,"VAS","zag","Provável",0,3.71,-1.06,2.05,24,"Vasco",NA,7,20,4,15,NA,NA,48,19,8,2,NA,NA,1,NA,NA,1,NA
"59","Marco Antonio de Mattos Filho","Marquinho","https://s.glbimg.com/es/sde/f/2017/07/25/49f339ad5e5c362acf8628d9d617d724_FORMATO.png",50407,33,"FLU","mei","Nulo",0,2.98,0,-0.4,4,"Fluminense",NA,1,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Hudson Rodrigues dos Santos","Hudson","https://s.glbimg.com/es/sde/f/2017/02/05/3d3e3081a494b80799d348813e420860_FORMATO.png",50324,33,"CRU","mei","Contundido",0,6.9,0,3.51,16,"Cruzeiro",NA,1,25,10,17,NA,1,26,32,NA,1,NA,NA,1,NA,NA,NA,NA
"61","Denis Cesar de Matos","Denis","https://s.glbimg.com/es/sde/f/2016/05/01/9e4d589b32947151072c21d1d5b71747_FORMATO.png",51175,33,"SAO","gol","Nulo",0,5,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Darío Leonardo Conca","Conca","https://s.glbimg.com/es/sde/f/2017/08/22/78ca498fcf5cadcc0cd8ae43c4e186b8_FORMATO.jpeg",50348,33,"FLA","mei","Nulo",0,8.35,0,-0.95,2,"Flamengo",NA,1,1,NA,1,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"63","Keirrison de Souza Carneiro","Keirrison","https://s.glbimg.com/es/sde/f/2017/07/27/e66b2c78e9f0ae24320e10cc36d11f56_FORMATO.png",50880,33,"COR","ata","Nulo",0,2.47,0,1.45,4,"Coritiba",1,NA,3,2,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"64","Emerson dos Santos Silva","Emerson Silva","https://s.glbimg.com/es/sde/f/2016/05/20/32eec64b3753a7d9b1192df90028abc9_FORMATO.png",51299,33,"BOT","zag","Nulo",0,5.9,0,4.78,5,"Botafogo",NA,1,3,2,6,NA,NA,13,7,3,NA,NA,NA,NA,NA,NA,NA,NA
"65","Leandro Donizete Gonçalves da Silva","Leandro Donizete","https://s.glbimg.com/es/sde/f/2017/05/02/7c58801a7248a49556b48b3d0b29ca4d_FORMATO.png",51318,33,"SAN","mei","Nulo",0,3.32,0,-0.26,9,"Santos",NA,3,10,2,8,NA,NA,12,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Renato Adriano Jacó de Morais","Renato Cajá","https://s.glbimg.com/es/sde/f/2017/05/02/c6dd544b90a2c4194626f51e05b53b4e_FORMATO.png",51319,33,"PON","mei","Nulo",0,6.7,0,1.68,15,"Ponte Preta",2,1,16,10,14,NA,1,53,14,NA,1,NA,NA,1,NA,NA,1,NA
"67","Walter Leandro Capeloza Artune","Walter","https://s.glbimg.com/es/sde/f/2017/04/20/196790f232d428bcd861ad55c55dd8cc_FORMATO.png",51413,33,"COR","gol","Contundido",12,6.88,0.88,12,1,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA
