"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FF","FS","G","I","PE","RB","FD","A","FT","SG","CV","PP","DD","GS","GC","DP"
"416","Clayson Henrique da Silva Vieira","Clayson","https://s.glbimg.com/es/sde/f/2017/05/18/5ec8e0ccfc4a2b49432bdbb44001e999_FORMATO.png",83817,28,"COR","ata","Nulo",0.6,14.87,-2.74,3.91,21,"Corinthians",3,16,8,16,6,4,46,18,5,3,NA,NA,NA,NA,NA,NA,NA,NA
"417","Lucas Henrique Frigeri","Lucas Frigeri","https://s.glbimg.com/es/sde/f/2017/08/31/69342a674d05e1477ff2f22b57ea61ac_FORMATO.png",84854,28,"ATL","gol","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Antônio Filipe Gonzaga de Aquino","Feijão","https://s.glbimg.com/es/sde/f/2017/07/28/42cedaedc830335fd6d9306c19f33aa5_FORMATO.png",84313,28,"BAH","mei","Nulo",0,1.41,0,-0.78,5,"Bahia",2,2,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Neilton Meira Mestzk","Neilton","https://s.glbimg.com/es/sde/f/2017/06/22/68ef88732dd29a754b0a2fb92136a10c_FORMATO.png",83772,28,"VIT","ata","Provável",12,9.38,1.94,4.95,22,"Vitória",1,29,9,33,6,3,57,19,11,6,1,NA,NA,1,NA,NA,NA,NA
"420","Danilo Carvalho Barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2017/07/27/d723ec6d814e9da06bc634113e22711d_FORMATO.png",84382,28,"PON","mei","Provável",0,4.98,0,2.07,12,"Ponte Preta",2,21,3,11,1,2,48,11,7,2,1,NA,NA,NA,NA,NA,NA,NA
"421","Diego Barbosa Tavares","Diego Tavares","https://s.glbimg.com/es/sde/f/2017/05/17/c261da9d51b45bfbc208b291429eb1f8_FORMATO.png",83869,28,"AVA","lat","Nulo",0,5.65,0,2.71,12,"Avaí",1,10,4,13,NA,1,15,6,NA,NA,NA,5,NA,NA,NA,NA,NA,NA
"422","José Romário Silva de Souza","Romarinho","https://s.glbimg.com/es/sde/f/2017/08/26/fb26a91beb9aabe50f87d6ada73eff58_FORMATO.png",84523,28,"FLU","ata","Nulo",0,1.12,0,0.8,2,"Fluminense",NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Lucas Daniel Romero","Lucas Romero","https://s.glbimg.com/es/sde/f/2017/04/22/b6fe7636fd7cb1575efdcbdfbd2dbd54_FORMATO.png",84558,28,"CRU","mei","Nulo",0,7.66,0,3.5,21,"Cruzeiro",2,25,5,22,1,NA,55,43,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"424","Denilson Pereira Junior","Denilson","https://s.glbimg.com/es/sde/f/2017/06/09/1733878d67ca979f4e3dabc8e12db8a0_FORMATO.png",84718,28,"SAO","ata","Nulo",0,2.92,0,1.77,13,"São Paulo",NA,6,5,10,1,1,25,5,4,1,NA,NA,NA,NA,NA,NA,NA,NA
"425","Matheus Galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2017/04/24/d7ff115c90d6778d22e113333700259c_FORMATO.png",82634,28,"COR","mei","Provável",-0.7,7.37,-0.57,2.8,26,"Coritiba",6,48,16,46,1,1,104,47,13,1,NA,NA,NA,NA,NA,NA,NA,NA
"426","Judson Silva Tavares","Judson","https://s.glbimg.com/es/sde/f/2017/04/28/5423c8443b5f4d0ce027e1d31b9aa3ff_FORMATO.png",84691,28,"AVA","mei","Provável",0,4.57,0,1.22,24,"Avaí",9,55,9,17,NA,NA,54,40,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"427","Claudinei dos Santos Oliveira","Claudinei Oliveira","https://s.glbimg.com/es/sde/f/2017/04/28/1e4e67f7f6051b298a7679a0b9d1d0c8_FORMATO.png",84761,28,"AVA","tec","Provável",1.58,7.7,0.04,3.14,28,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Nilton Soares Rodrigues","Niltinho","https://s.glbimg.com/es/sde/f/2017/07/05/f10b19ee0f7e394c770fa6f2348452e4_FORMATO.png",84703,28,"ATL","ata","Nulo",1.1,4.24,-0.88,1.81,18,"Atlético-GO",1,18,8,34,1,3,26,9,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"429","Pedro Henrique Ribeiro Gonçalves","Pedro Henrique","https://s.glbimg.com/es/sde/f/2017/04/20/3b8a82a4adde6089a76eea746b858971_FORMATO.png",87225,28,"COR","zag","Provável",3.1,8.94,0.19,4.58,16,"Corinthians",NA,6,3,10,1,NA,21,18,2,NA,NA,7,NA,NA,NA,NA,NA,NA
"430","Raul Prata","Raul Prata","https://s.glbimg.com/es/sde/f/2017/05/01/bc801f0b347f5e9b99972901cf4ecefd_FORMATO.png",84855,28,"SPO","lat","Provável",1.5,4.88,-0.93,5.1,10,"Sport",1,11,5,7,NA,NA,40,25,1,1,NA,3,NA,NA,NA,NA,NA,NA
"431","Erik Nascimento Lima","Erik","https://s.glbimg.com/es/sde/f/2017/04/18/88bed79a8233a59ca86c67f41db42e85_FORMATO.png",84848,28,"PAL","ata","Nulo",-0.3,3.72,-0.62,2.01,8,"Palmeiras",NA,7,2,7,NA,1,9,7,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"432","Alex da Silva","Alex Silva","https://s.glbimg.com/es/sde/f/2017/05/19/2b09d527bb18b6dca83703fbbe498920_FORMATO.png",84861,28,"ATL","lat","Nulo",0,5.29,0,3.27,12,"Atlético-MG",5,24,2,19,NA,1,36,18,1,3,NA,3,NA,NA,NA,NA,NA,NA
"433","Lucas Otávio Veiga Lopes","Lucas Otávio ","https://s.glbimg.com/es/sde/f/2017/04/28/c9abc289eaace4a40039be6a64b6711d_FORMATO.png",84896,28,"AVA","mei","Nulo",1.1,2.96,0.15,0.85,9,"Avaí",NA,2,NA,1,NA,1,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Alberto Valentim do Carmo Neto","Alberto Valentim","https://s.glbimg.com/es/sde/f/2017/10/13/eb83ab3bc8ab396e846e058adad3f4f4_FORMATO.png",84863,28,"PAL","tec","Provável",5.8,14.22,-0.22,5.8,1,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Henrique Silva Milagres","Henrique","https://s.glbimg.com/es/sde/f/2017/04/24/98783f94705be5ed728032062068f73c_FORMATO.png",84893,28,"VAS","lat","Nulo",0,8.37,0,3.35,15,"Vasco",1,19,1,23,NA,2,38,20,3,2,NA,3,NA,NA,NA,NA,NA,NA
"436","Luan Peres Petroni","Luan Peres ","https://s.glbimg.com/es/sde/f/2017/06/01/3543e150d67d69e4fd1bd3112e7533b6_FORMATO.png",84847,28,"PON","zag","Suspenso",0,2.23,0,2.49,10,"Ponte Preta",3,4,NA,6,NA,NA,16,11,1,NA,NA,3,NA,NA,NA,NA,NA,NA
"437","Elosman Euller Silva Cavalcanti","Euller ","https://s.glbimg.com/es/sde/f/2017/02/20/45d2685cedfee93ebf07f010f670c2ef_FORMATO.png",84890,28,"VIT","lat","Nulo",0,6.31,0,2.35,2,"Vitória",NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"438","Jeferson de Araújo de Carvalho","Jeferson","https://s.glbimg.com/es/sde/f/2017/05/02/771b51917a7ef2187ffea3d1e0fc9277_FORMATO.png",84917,28,"PON","lat","Provável",0,5.43,0,3.76,13,"Ponte Preta",3,15,3,7,NA,NA,51,16,NA,1,NA,8,NA,NA,NA,NA,NA,NA
"439","Elder Santana Conceição","Elder Santana","https://s.glbimg.com/es/sde/f/2017/06/15/1dcf005eb752d162ab97dbe8abe498a8_FORMATO.png",84925,28,"ATL","ata","Nulo",0,1.4,0,1.95,2,"Atlético-MG",NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","Raphael Guimarães de Paula","Dodô","https://s.glbimg.com/es/sde/f/2017/04/24/d75b985086acd9eb03422fe01ce0693f_FORMATO.png",84927,28,"CHA","mei","Nulo",0,4.26,0,1.9,2,"Chapecoense",NA,2,1,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"441","Yago Henrique Severino dos Santos","Yago","https://s.glbimg.com/es/sde/f/2017/04/03/bd1a20fcc43bf36e13dd321aa526e278_FORMATO.png",84926,28,"ATL","mei","Nulo",0,1.74,0.23,0.94,17,"Atlético-MG",4,19,4,7,1,NA,43,16,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Marcos Felipe de Freitas Monteiro","Marcos Felipe ","https://s.glbimg.com/es/sde/f/2017/07/25/71f2d737b67ea5f20138c4871f667000_FORMATO.png",85004,28,"FLU","gol","Nulo",0,3,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","Vinicius Silvestre da Costa","Vinicius Silvestre","https://s.glbimg.com/es/sde/f/2016/05/01/31d846d7d2c8a7f4d827850b61996f45_FORMATO.png",85083,28,"PAL","gol","Nulo",0,2,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","Thalles Lima","Thalles","https://s.glbimg.com/es/sde/f/2017/04/24/3201728e4a68e69b6c3e6fc2f8f5b1e1_FORMATO.png",85211,28,"VAS","ata","Nulo",0.7,3.84,0.35,1.46,11,"Vasco",4,13,8,12,2,1,10,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","Uilson Pedruzzi de Oliveira","Uilson","https://s.glbimg.com/es/sde/f/2017/04/03/f77329e6065eec16e496b8b12ad6384a_FORMATO.png",85418,28,"ATL","gol","Nulo",0,4,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","Orlando Enrique Berrío Meléndez","Berrío ","https://s.glbimg.com/es/sde/f/2017/08/16/8f979b78f3df5801a77118cd72b411c6_FORMATO.jpeg",85300,28,"FLA","ata","Nulo",1.5,3.81,0.9,0.63,18,"Flamengo",5,18,3,10,2,2,41,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"447","Anderson Luiz de Carvalho","Nenê","https://s.glbimg.com/es/sde/f/2017/04/24/45951f5edf6777703717a335e5bffc58_FORMATO.png",38913,28,"VAS","mei","Provável",6.8,13.47,0.02,3.5,21,"Vasco",5,24,16,51,4,2,92,16,13,3,NA,NA,NA,NA,NA,NA,NA,NA
"448","Willian Roberto Farias","Willian Farias","https://s.glbimg.com/es/sde/f/2017/04/24/15cf98a07f1ca5efaa16bc8321c04658_FORMATO.png",63058,28,"VIT","mei","Contundido",0,9.33,0,3.11,10,"Vitória",4,16,3,8,NA,NA,28,27,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"449","Wanderson Ferreira de Oliveira","Valdívia","https://s.glbimg.com/es/sde/f/2017/05/31/6bc774b62632d57e756a9e0533fcfd85_FORMATO.png",85423,28,"ATL","mei","Provável",6.6,8.91,-0.16,3.7,16,"Atlético-MG",NA,9,13,28,1,2,44,17,13,1,NA,NA,NA,NA,NA,NA,NA,NA
"450","Ronaldo Henrique Ferreira da Silva","Ronaldo","https://s.glbimg.com/es/sde/f/2016/05/01/2e217ce29ea48d7d573c191fa21e67d5_FORMATO.png",85149,28,"SPO","mei","Nulo",0,3.2,0,2.3,1,"Sport",NA,2,NA,1,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","Yerry Fernando Mina González","Yerry Mina","https://s.glbimg.com/es/sde/f/2017/04/18/5d127fbc9c3d26f69de26952da18b809_FORMATO.png",85241,28,"PAL","zag","Nulo",0,14.96,0,4.14,11,"Palmeiras",4,19,4,10,1,2,29,17,3,1,NA,4,NA,NA,NA,NA,NA,NA
"452","Alexandro Silva de Souza","Dudu Cearense","https://s.glbimg.com/es/sde/f/2016/06/28/2b7b2415b00931bc7ebe03b683cd03be_FORMATO.jpeg",38928,28,"BOT","mei","Nulo",0,3.64,0,0.78,11,"Botafogo",3,12,NA,10,NA,NA,19,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","João Paulo Silva Martins","João Paulo","https://s.glbimg.com/es/sde/f/2017/05/02/f85d6ca954388c9c5635f0e28f95b5cf_FORMATO.png",85425,28,"SAN","gol","Nulo",0,2.97,0,10.7,1,"Santos",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA
"454","Daniel Correa Freitas","Daniel","https://s.glbimg.com/es/sde/f/2017/04/24/5b71e14cce546da5e531c172e54e0ce2_FORMATO.png",85629,28,"COR","mei","Nulo",0,6,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Agustín Lionel Allione","Allione","https://s.glbimg.com/es/sde/f/2017/07/28/6812735b40cc133a5014b3d5b57d96c0_FORMATO.png",84585,28,"BAH","mei","Nulo",3.4,9.89,0.48,2.48,16,"Bahia",3,14,1,18,NA,4,51,17,3,5,1,NA,NA,NA,NA,NA,NA,NA
"456","Wanderson Santos Pereira","Wanderson","https://s.glbimg.com/es/sde/f/2017/04/23/3914af8715466d38cf77d94b2c5c5685_FORMATO.png",86143,28,"ATL","zag","Provável",-1.5,5.41,0.14,3.05,18,"Atlético-PR",2,19,2,4,2,2,30,13,7,NA,NA,6,NA,NA,NA,NA,NA,NA
"457","Artur Sérgio Batista de Souza","Artur","https://s.glbimg.com/es/sde/f/2017/05/02/5c01ab099352ecad2baaa0a00f978720_FORMATO.png",85591,28,"PON","lat","Contundido",0,4,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Jonas Gomes de Sousa","Jonas","https://s.glbimg.com/es/sde/f/2017/04/24/d4c75e365c9c04af042bf7ff378d60c7_FORMATO.png",85586,28,"COR","mei","Provável",2.5,7.55,0.22,2.87,21,"Coritiba",7,45,8,20,NA,NA,52,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","Miguel Angel Borja Hernandez","Borja","https://s.glbimg.com/es/sde/f/2017/04/23/4b0f5cd460ee874344bfbfd4e3eef9a6_FORMATO.png",86120,28,"PAL","ata","Nulo",2,14.84,0.11,1.91,18,"Palmeiras",3,17,16,12,3,3,19,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","Emilio Enrique Zeballos Gutiérrez","Zeballos","https://s.glbimg.com/es/sde/f/2017/04/25/002d92dbfd9e5915f565d1ba437c95d5_FORMATO.png",87859,28,"CHA","lat","Nulo",0,3,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","Hyoran Kaue Dalmoro","Hyoran","https://s.glbimg.com/es/sde/f/2017/02/19/1ec83086a8ae2fe33a1e88113fff1ac1_FORMATO.png",85931,28,"PAL","mei","Nulo",0,3.59,0,3.47,3,"Palmeiras",NA,2,NA,1,1,NA,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"462","Leonardo Pinheiro da Conceição","Léo","https://s.glbimg.com/es/sde/f/2017/07/25/a991dde92eec83e89482b3d11115669f_FORMATO.png",85626,28,"FLU","lat","Nulo",0,3.06,0,1.01,18,"Fluminense",2,39,2,7,1,3,41,15,2,1,NA,2,NA,NA,NA,NA,NA,NA
"463","Andrew Erik Feitosa","Morato","https://s.glbimg.com/es/sde/f/2017/04/28/773338b7d4efec23c8bd970486c9ff68_FORMATO.png",86227,28,"SAO","ata","Contundido",0,3,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","Jonas Jessué da Silva Júnior","Jonas","https://s.glbimg.com/es/sde/f/2017/04/17/da28ba844b13dd322862abfcda7e77b7_FORMATO.png",39152,28,"BOT","lat","Nulo",0,6,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","Breno Gonçalves Lopes","Breno Lopes","https://s.glbimg.com/es/sde/f/2017/05/19/68d8c5dda3ea6323520ddfd58086f176_FORMATO.png",86411,28,"ATL","lat","Nulo",0,3.74,0,2.18,12,"Atlético-GO",NA,14,4,7,NA,6,30,14,5,NA,NA,2,NA,NA,NA,NA,NA,NA
"466","Rafael Marques Mariano","Rafael Marques","https://s.glbimg.com/es/sde/f/2017/05/16/3246550328efb6a72fe4e85ea0bbff11_FORMATO.png",38957,28,"CRU","ata","Nulo",0,3.7,0,1.29,13,"Cruzeiro",NA,5,6,11,1,1,22,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"467","Jandrei Chitolina Carniel","Jandrei","https://s.glbimg.com/es/sde/f/2017/05/04/e34c217d3230604bddf15c133fde3fd2_FORMATO.png",86508,28,"CHA","gol","Provável",4.4,5.4,1.37,1.52,27,"Chapecoense",1,NA,NA,10,NA,NA,27,NA,NA,NA,NA,7,NA,NA,28,40,NA,1
"468","Victor Luis Chuab Zamblauskas","Victor Luis","https://s.glbimg.com/es/sde/f/2017/04/18/9a9a735957f9522e9ffcf1664bd29a44_FORMATO.png",86410,28,"BOT","lat","Provável",4.3,12.6,0.51,4.49,23,"Botafogo",4,23,7,24,1,1,49,40,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
"469","Marcos da Silva França","Keno","https://s.glbimg.com/es/sde/f/2017/04/18/ab0e22f1ff91a12ce2e88a367450bf03_FORMATO.png",86485,28,"PAL","ata","Provável",17.1,9.17,2.94,3.25,21,"Palmeiras",2,19,7,18,4,4,42,16,5,3,1,NA,NA,NA,NA,NA,NA,NA
"470","Vagner Carmo Mancini","Vagner Mancini","https://s.glbimg.com/es/sde/f/2017/07/26/03f653f62309ac6ad508e084fbc4c7e5_FORMATO.png",39850,28,"VIT","tec","Provável",3.69,9.39,0.2,3.6,23,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","Jonathan Francisco Lemos","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/27/f0005dbb8cf4d46b99cf08acf8949256_FORMATO.png",86713,28,"ATL","lat","Provável",2.7,2.77,0.39,2.15,15,"Atlético-GO",2,13,4,4,NA,1,34,18,3,NA,NA,3,NA,NA,NA,NA,NA,NA
"472","Richard Cândido Coelho","Richard","https://s.glbimg.com/es/sde/f/2017/08/19/525a2fd7bb807a508e3f99a5d1285034_FORMATO.png",86711,28,"FLU","mei","Provável",8.6,4.11,1.04,5.02,4,"Fluminense",NA,5,2,3,NA,NA,8,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","Abel Carlos da Silva Braga","Abel Braga","https://s.glbimg.com/es/sde/f/2017/07/26/530dd6d653e00f41f2159828518f0bf3_FORMATO.png",40006,28,"FLU","tec","Provável",6.56,12.33,0.71,2.97,26,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474","Levir Culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2017/06/14/136e0a7f3e7fc28586ac419c9c08efd2_FORMATO.png",40025,28,"SAN","tec","Provável",4.07,11.41,0.09,4.29,22,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Alessandro Beti Rosa","Magrão","https://s.glbimg.com/es/sde/f/2017/08/30/c7dca7402951841de5cd3c5a531e0cee_FORMATO.png",41218,28,"SPO","gol","Provável",1,5.82,-0.32,2.96,24,"Sport",NA,NA,NA,1,NA,NA,7,2,NA,NA,NA,7,NA,NA,32,31,NA,NA
"476","Everton Felipe de Oliveira Silva","Everton Felipe","https://s.glbimg.com/es/sde/f/2017/08/30/61e2143d4bf6e2d3ed0ce11f995be203_FORMATO.png",86519,28,"SPO","mei","Contundido",0,4.41,0,1.63,18,"Sport",2,27,7,24,1,2,102,18,13,2,NA,NA,NA,NA,NA,NA,NA,NA
"477","Vanderlei Luxemburgo da Silva","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2017/05/31/d059e86ab694b638ba5a43c3b0b0444f_FORMATO.png",41327,28,"SPO","tec","Provável",4.32,9.21,-0.04,4.32,24,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478","Kleber Giacomace de Souza Freitas","Kleber","https://s.glbimg.com/es/sde/f/2017/09/05/45c6f808fc644c74001e20c938a4112a_FORMATO.png",40179,28,"COR","ata","Contundido",0,10.74,0,3.35,11,"Coritiba",2,30,7,31,4,7,33,4,10,1,NA,NA,1,NA,NA,NA,NA,NA
"479","Dorival Silvestre Júnior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2017/07/10/44451249912d8a454f2c40009fb27f1b_FORMATO.png",40990,28,"SAO","tec","Provável",4.91,10.19,0.18,3.32,20,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","Danilo das Neves Pinheiro","Tchê Tchê","https://s.glbimg.com/es/sde/f/2016/05/20/2b96e76d6b1e3f8fc29f37d9dfe90206_FORMATO.jpeg",86686,28,"PAL","mei","Provável",2.5,6.99,-0.27,1.53,24,"Palmeiras",4,40,6,26,NA,1,57,32,6,2,NA,NA,1,NA,NA,NA,NA,NA
"481","Felipe Augusto Santana","Felipe Santana","https://s.glbimg.com/es/sde/f/2017/02/19/6ca71225c6186e7ca8dfcf1ac0111b14_FORMATO.png",42140,28,"ATL","zag","Provável",1.9,8.39,-1.13,4.53,11,"Atlético-MG",NA,9,2,8,1,1,15,14,2,1,NA,3,NA,NA,NA,NA,NA,NA
"482","Willian Gomes de Siqueira","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,28,"PAL","ata","Provável",7.4,8.91,-1.87,4.64,21,"Palmeiras",4,29,10,31,7,7,37,20,7,4,1,NA,1,1,NA,NA,NA,NA
"483","Osvaldo Lourenço Filho","Osvaldo","https://s.glbimg.com/es/sde/f/2017/08/30/ca1ccec3b2b10a0ecede58b69bb07f1a_FORMATO.png",42222,28,"SPO","ata","Provável",-1.2,4.53,-0.54,2.1,21,"Sport",2,11,5,24,3,2,56,13,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"484","Renato Portaluppi","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2016/10/20/11389b106c935a0e20c5b557a4161683_FORMATO.png",41929,28,"GRE","tec","Provável",4.82,15.61,0.32,4.24,27,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","Egídio de Araújo Pereira Júnior","Egídio","https://s.glbimg.com/es/sde/f/2017/04/18/594aacef190963b0476d2c76f4f48f57_FORMATO.png",42145,28,"PAL","lat","Dúvida",5.1,8.7,0.03,5.78,16,"Palmeiras",3,16,2,21,1,2,70,38,4,1,NA,7,NA,NA,NA,NA,NA,NA
"486","Fabricio dos Santos Silva","Fabrício","https://s.glbimg.com/es/sde/f/2017/08/04/af2a8afc274774bf29c72ad4817f021e_FORMATO.png",49674,28,"ATL","lat","Provável",0,4.32,0,2.96,10,"Atlético-PR",3,16,3,7,NA,2,37,18,1,NA,1,3,NA,NA,NA,NA,NA,NA
"487","Everton Cardoso da Silva","Everton","https://s.glbimg.com/es/sde/f/2017/08/16/eea748e91cc2c7fcc14df5b06906b1e1_FORMATO.jpeg",50301,28,"FLA","mei","Provável",4,13.72,-0.73,3.83,20,"Flamengo",6,34,10,33,3,11,59,31,10,3,1,NA,NA,NA,NA,NA,NA,NA
"488","Fernando Paixão da Silva","Fernando Bob","https://s.glbimg.com/es/sde/f/2017/05/02/c182483a84aebf5ed52ddb9d82da6407_FORMATO.png",42213,28,"PON","mei","Suspenso",0,7.1,0,1.86,13,"Ponte Preta",3,35,1,15,NA,1,37,33,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"489","Júlio César Jacobi","Júlio César","https://s.glbimg.com/es/sde/f/2017/07/25/ff1d090ecbc688a4eaf1cd1f5e07cb34_FORMATO.png",49673,28,"FLU","gol","Nulo",0,5.15,0,1.7,20,"Fluminense",NA,NA,NA,11,NA,NA,12,NA,NA,NA,NA,2,NA,NA,26,28,NA,NA
"490","Adilson Warken","Adilson","https://s.glbimg.com/es/sde/f/2017/04/03/8a5b4672974501d33850ca575e0f117c_FORMATO.png",50307,28,"ATL","mei","Provável",1.3,4.45,-0.2,1.12,18,"Atlético-MG",5,35,3,16,NA,1,32,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491","Fagner Conserva Lemos","Fagner","https://s.glbimg.com/es/sde/f/2017/04/19/e126b3b0182f6b12d3cc13d20f515810_FORMATO.png",42500,28,"COR","lat","Provável",1.8,12.61,-0.02,4.93,22,"Corinthians",6,23,4,35,NA,3,104,39,1,2,2,12,NA,NA,NA,NA,NA,NA
"492","Guilherme Milhomem Gusmão","Guilherme","https://s.glbimg.com/es/sde/f/2017/04/28/0dde0e778cab6579a9bf8d745efc2bf0_FORMATO.png",50294,28,"ATL","mei","Provável",1.5,9.35,-1.2,3.56,14,"Atlético-PR",3,26,7,16,4,2,63,14,5,3,NA,NA,NA,NA,NA,NA,NA,NA
"493","David Braz de Oliveira Filho","David Braz","https://s.glbimg.com/es/sde/f/2017/05/02/7e17e0feab3ee583c5049f63df2c2771_FORMATO.png",50317,28,"SAN","zag","Provável",7.4,12.25,0.78,4.33,22,"Santos",8,21,6,12,2,2,52,27,1,1,NA,13,1,NA,NA,NA,NA,NA
"494","William José de Souza","Amaral","https://s.glbimg.com/es/sde/f/2017/05/08/d967be031145a156a67e168aaeecb1fa_FORMATO.png",42232,28,"CHA","mei","Provável",0,5,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"495","Cássio Ramos","Cássio","https://s.glbimg.com/es/sde/f/2017/04/19/aaa96b0be41ff91da112273cc059467e_FORMATO.png",42234,28,"COR","gol","Provável",-1,12.66,-1.46,5.36,27,"Corinthians",2,NA,NA,7,NA,NA,8,NA,NA,NA,NA,14,NA,NA,33,18,NA,2
"496","Elicarlos Souza Santos","Elicarlos","https://s.glbimg.com/es/sde/f/2017/09/26/84f2413b25e7d3769e7678f63ccdc322_FORMATO.png",50313,28,"CHA","mei","Nulo",0.4,4.24,-0.06,-0.15,4,"Chapecoense",1,2,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"497","Lucas Gonçalves Reis Santos","Lucas Rex","https://s.glbimg.com/es/sde/f/2017/08/18/9e40a3e5256626c0192b3adef4243677_FORMATO.jpeg",86745,28,"GRE","zag","Nulo",0,2,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
