"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","G","PE","RB","SG","FT","I","PP","DD","GS","CV","DP","GC"
"203","Jorge de Moura Xavier","Jorginho","https://s.glbimg.com/es/sde/f/2017/04/28/24064c0ab4f724a2a4252d37f02b7223_FORMATO.png",77544,37,"ATL","mei","Provável",3.6,6.34,0.52,2.25,34,"Atlético-GO",2,4,54,5,16,76,3,120,40,NA,NA,8,NA,NA,NA,1,NA,NA
"204","Moisés Ribeiro Santos","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,37,"CHA","mei","Provável",1.2,3.57,-0.04,1.49,22,"Chapecoense",NA,7,57,NA,3,37,NA,45,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"205","Jonathan Copete Valencia","Copete","https://s.glbimg.com/es/sde/f/2017/05/02/38284b2eba393aa675069aff35def330_FORMATO.png",77959,37,"SAN","ata","Dúvida",-0.9,6.01,-1.58,2.5,28,"Santos",1,4,35,10,19,30,6,75,19,NA,NA,11,NA,NA,NA,NA,NA,NA
"206","Lucas de Souza Ventura","Nonoca","https://s.glbimg.com/es/sde/f/2017/04/06/4a26ea9ccd869d0076aa6dae12e454c3_FORMATO.png",97856,37,"CRU","mei","Nulo",0,2.83,0,2.3,6,"Cruzeiro",1,1,7,NA,1,3,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Matheus Alessandro dos Santos Pereira","Matheus Alessandro","https://s.glbimg.com/es/sde/f/2017/07/25/feb918cb9fca075fc2d542c88aeff29e_FORMATO.png",97527,37,"FLU","ata","Provável",0.4,1.81,-0.2,2.08,15,"Fluminense",1,2,7,1,NA,17,1,13,8,NA,2,1,NA,NA,NA,NA,NA,NA
"208","Madson Ferreira dos Santos","Madson","https://s.glbimg.com/es/sde/f/2017/04/06/e6c07b2728a78e64ae8c1ed0d4ce9d6a_FORMATO.png",78077,37,"VAS","lat","Provável",5.4,4.77,0.17,3.1,18,"Vasco",1,3,15,NA,4,22,NA,43,15,7,1,1,NA,NA,NA,NA,NA,NA
"209","Leandro Marcos Pereira","Leandro Pereira","https://s.glbimg.com/es/sde/f/2017/02/22/377457c54b890731e2cfdb9013dc7397_FORMATO.png",78968,37,"SPO","ata","Nulo",0,5.86,0,2.3,2,"Sport",NA,NA,NA,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Shaylon Kallyson Cardoso","Shaylon","https://s.glbimg.com/es/sde/f/2017/02/09/81337ea0dca634d71b1201853010e1dd_FORMATO.png",97520,37,"SAO","mei","Provável",8.2,3.4,1.03,3.66,9,"São Paulo",1,NA,3,3,NA,3,2,16,6,NA,1,NA,NA,NA,NA,NA,NA,NA
"211","Marinaldo dos Santos Oliveira","Naldo","https://s.glbimg.com/es/sde/f/2017/05/02/466546b7c0d2a31683ba60341c08ef34_FORMATO.png",78897,37,"PON","mei","Nulo",0,5.67,0,2.34,22,"Ponte Preta",NA,7,37,2,6,13,2,47,48,NA,NA,4,NA,NA,NA,2,NA,NA
"212","Jhemerson Guimarães Gaigher","Jhemerson","https://s.glbimg.com/es/sde/f/2017/04/01/739e03a0f382a2fe2c4518ea0a20d39e_FORMATO.png",97863,37,"VIT","mei","Nulo",0,3.62,0,1.2,4,"Vitória",NA,NA,NA,NA,3,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"213","César Bernardo Dutra","César","https://s.glbimg.com/es/sde/f/2017/04/24/8a28cbc657b6535a81d1cbad583afa48_FORMATO.png",78086,37,"FLA","gol","Provável",0,3,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"214","Patrick Correia Sales","Patrick Correia","https://s.glbimg.com/es/sde/f/2017/02/14/521d0e8322cc9471f226a14e06549443_FORMATO.png",97877,37,"SPO","ata","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"215","Eduardo Henrique da Silva","Eduardo Henrique","https://s.glbimg.com/es/sde/f/2017/05/10/45db49dd3d8dceb223dc6d2afdf72801_FORMATO.png",78994,37,"ATL","mei","Nulo",4.7,3.78,0.71,2.74,14,"Atlético-PR",NA,1,24,4,2,18,2,23,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"216","Jacy Maranhão Oliveira","Jacy","https://s.glbimg.com/es/sde/f/2017/04/23/9434953cbf73327a425e3b46a230bebd_FORMATO.png",97878,37,"ATL","zag","Nulo",0,1,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"217","Douglas Ricardo Grolli","Douglas Grolli","https://s.glbimg.com/es/sde/f/2017/04/24/ef04c0af64af6a9173d17eb922ff55e4_FORMATO.png",78407,37,"CHA","zag","Suspenso",7.6,6.77,0.98,1.1,19,"Chapecoense",NA,9,40,NA,1,5,1,27,19,5,NA,3,NA,NA,NA,NA,NA,NA
"218","Murillo Magno de Carvalho","Murillo","https://s.glbimg.com/es/sde/f/2017/01/20/1ac0bd987facdb6f4ac949db15538370_FORMATO.png",97880,37,"ATL","ata","Nulo",0,1,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"219","Gustavo Henrique Vernes","Gustavo Henrique","https://s.glbimg.com/es/sde/f/2017/05/02/ebaacf4dc046774b9b9f3003c35ba254_FORMATO.png",78248,37,"SAN","zag","Contundido",0,6,0,5.7,2,"Santos",NA,NA,4,2,1,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"220","William Augusto Alves Conserva","William Alves","https://s.glbimg.com/es/sde/f/2017/08/08/eb4348a74110c5ac475fc0be6f1b2cd3_FORMATO.png",79032,37,"ATL","zag","Suspenso",-1.3,1.84,-0.44,0.84,17,"Atlético-GO",NA,3,16,1,5,6,NA,20,11,4,NA,2,NA,NA,NA,1,NA,1
"221","Jean Paul Jesús Pineda Cortés","Jean Pineda","https://s.glbimg.com/es/sde/f/2017/04/01/c2cf595a92569119a049ee25c8310ba1_FORMATO.png",97532,37,"VIT","ata","Nulo",0,2.38,0,-0.2,2,"Vitória",NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"222","Luiz Felipe do Nascimento dos Santos","Luiz Felipe","https://s.glbimg.com/es/sde/f/2017/05/02/3b3fe001039a93d9ea75e58f817381cf_FORMATO.png",79035,37,"SAN","zag","Provável",-0.1,3.72,-1.28,1.25,7,"Santos",NA,2,4,NA,NA,4,NA,8,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"223","Antonio Thomaz Santos de Barros","Thomaz","https://s.glbimg.com/es/sde/f/2017/04/28/df8a959dc2f3885176d2c02e5d69a246_FORMATO.png",79041,37,"SAO","mei","Nulo",0.9,4.38,0.06,2.27,11,"São Paulo",1,1,13,1,3,9,1,7,10,NA,NA,4,NA,NA,NA,NA,NA,NA
"224","Wesley Frazan Bernardo","Frazan","https://s.glbimg.com/es/sde/f/2017/07/25/2a1a617893f9ffdc46ea71e64684ffc9_FORMATO.png",97528,37,"FLU","zag","Nulo",0,1.06,0,-1.08,6,"Fluminense",NA,3,16,1,NA,2,NA,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"225","Renê Rodrigues Martins","Renê","https://s.glbimg.com/es/sde/f/2017/08/22/99c083a6ab42125b85a679e552eea687_FORMATO.jpeg",78445,37,"FLA","lat","Nulo",8,7.61,1.34,3.91,17,"Flamengo",NA,3,26,2,3,15,NA,59,42,4,NA,NA,NA,NA,NA,NA,NA,NA
"226","Alex Roberto Santana Rafael ","Alex Muralha","https://s.glbimg.com/es/sde/f/2017/04/24/3fb41a018fb2c9084cb4800fba9b6607_FORMATO.png",79066,37,"FLA","gol","Nulo",-4,3.22,-1.89,2.5,7,"Flamengo",NA,NA,1,NA,NA,3,NA,5,NA,3,NA,NA,NA,5,6,NA,NA,NA
"227","Vitor Eduardo da Silva Matos","Vitão","https://s.glbimg.com/es/sde/f/2017/01/21/5f3648e93f9a502e7fefc17ed1d70110_FORMATO.jpeg",97900,37,"PAL","zag","Nulo",0,1,0,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"228","Maílson Tenório dos Santos","Maílson","https://s.glbimg.com/es/sde/f/2017/02/14/9e10795b558271c6baddcda617d65c21_FORMATO.png",98034,37,"SPO","gol","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"229","Arnaldo Manoel de Almeida","Arnaldo","https://s.glbimg.com/es/sde/f/2017/05/19/ff6d87578b92fff5c4d0ff68a60fc859_FORMATO.png",78497,37,"BOT","lat","Provável",3.6,9.68,-0.9,4.4,29,"Botafogo",1,5,39,4,1,44,NA,87,63,9,NA,1,NA,NA,NA,NA,NA,NA
"230","Rafael Santos de Sousa","Rafael","https://s.glbimg.com/es/sde/f/2017/04/24/db3ab616836bf6fcfa76a2dd7846986b_FORMATO.png",97902,37,"FLA","zag","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"231","Tiago Pagnussat","Tiago ","https://s.glbimg.com/es/sde/f/2017/07/28/9fb65a9e8f5831d924c08c76337f8967_FORMATO.png",79042,37,"BAH","zag","Provável",9.2,11,1.02,3,34,"Bahia",NA,8,41,5,4,32,2,49,37,10,1,6,NA,NA,NA,NA,NA,NA
"232","Bryan Borges Mascarenhas","Bryan","https://s.glbimg.com/es/sde/f/2017/06/07/423798cbfcbd349a861fc146b3a5c1e9_FORMATO.png",97536,37,"CHA","mei","Nulo",0,1,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"233","Ricardo César Dantas da Silva","Ricardo Silva","https://s.glbimg.com/es/sde/f/2017/04/27/e409f5c1c4551cf8457b204abc422a73_FORMATO.png",79334,37,"ATL","zag","Provável",0,2.94,0,0.28,4,"Atlético-GO",NA,1,8,NA,2,1,NA,11,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"234","Willian Souza Arão da Silva","Willian Arão","https://s.glbimg.com/es/sde/f/2017/08/22/283b47a1bbb66d81e0b2118ce53853f1_FORMATO.jpeg",78478,37,"FLA","mei","Provável",5.5,10.13,-0.24,3.96,29,"Flamengo",3,2,31,4,8,20,1,65,64,NA,1,2,NA,NA,NA,NA,NA,NA
"235","Hiago Correa Silveira Cena","Hiago","https://s.glbimg.com/es/sde/f/2017/04/24/f7869b26b810fd7e1e0fc61465eca493_FORMATO.png",97535,37,"CHA","zag","Nulo",0,1,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"236","Jean Mota Oliveira de Sousa","Jean Mota","https://s.glbimg.com/es/sde/f/2017/05/02/6f250e3510eb4a5cf33223d20befd72c_FORMATO.png",78548,37,"SAN","mei","Dúvida",0.6,5.47,-0.58,3.26,29,"Santos",3,5,23,9,10,35,1,82,50,NA,NA,2,NA,NA,NA,NA,NA,NA
"237","Loran dos Santos da Silva","Loran ","https://s.glbimg.com/es/sde/f/2017/04/24/149b93c661d3270e681e0e96242ef3ee_FORMATO.png",98516,37,"FLA","ata","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"238","Luiz Felipe Machado de Souza","Luiz Felipe","https://s.glbimg.com/es/sde/f/2017/04/27/f440fdbfbca6b16934ab91e0d9d8dff0_FORMATO.png",98056,37,"ATL","mei","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"239","Caio Felipe dos Santos Silva","Caio","https://s.glbimg.com/es/sde/f/2017/02/14/a6f6b29df8097bacd2fc794872711c70_FORMATO.png",98035,37,"SPO","lat","Nulo",0,2,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"240","Pedro Victor Delmino da Silva","Pedrinho","https://s.glbimg.com/es/sde/f/2017/04/23/cd96a7cb3e7a985ccca026996bab950b_FORMATO.png",98706,37,"COR","ata","Provável",-0.5,0.88,-0.09,0.57,11,"Corinthians",NA,NA,2,3,2,1,NA,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"241","Joeliton Lima Santos","Mansur","https://s.glbimg.com/es/sde/f/2016/07/05/885bc2c7afe242e7ce810bccdccd27cc_FORMATO.png",79553,37,"ATL","lat","Nulo",0,5,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"242","José Augusto Bernardo","Zé Augusto","https://s.glbimg.com/es/sde/f/2017/05/04/259c00461a34a8c1ba60d770d10fca35_FORMATO.jpeg",98762,37,"GRE","zag","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"243","Jean Lucas de Souza Oliveira","Jean Lucas","https://s.glbimg.com/es/sde/f/2017/04/24/51b0b51b6e93e3be827dfbed26355d91_FORMATO.png",98517,37,"FLA","mei","Nulo",0,2,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"244","Luiz Ricardo Alves","Sassá","https://s.glbimg.com/es/sde/f/2017/06/22/e7d5b223d7908854c81e04f0e7e0fcc0_FORMATO.png",79578,37,"CRU","ata","Contundido",0,7.43,0,3.75,15,"Cruzeiro",NA,2,32,4,6,25,6,10,12,NA,NA,13,1,NA,NA,NA,NA,NA
"245","Gilberto Moraes Júnior","Gilberto ","https://s.glbimg.com/es/sde/f/2017/07/11/6b5408cf6a95787a4a68b548a6d31752_FORMATO.png",80313,37,"VAS","lat","Provável",0,10.96,0,4.13,25,"Vasco",1,6,30,3,11,33,NA,104,60,5,1,2,NA,NA,NA,NA,NA,NA
"246","Rodrigo Alves da Cruz","Rodrigo Pelezinho","https://s.glbimg.com/es/sde/f/2017/08/17/520cb9ececbfed6f3b3074b650d51d6b_FORMATO.png",98184,37,"CHA","ata","Nulo",0,1.49,0,0,2,"Chapecoense",NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"247","Evanderson Costa da Silva","Evanderson","https://s.glbimg.com/es/sde/f/2017/04/27/691a60e07461729409b8c945c33b5afe_FORMATO.png",98315,37,"ATL","mei","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"248","Ilson Cedric Borges de Accacio Lima","Cedric","https://s.glbimg.com/es/sde/f/2017/04/01/b42c80735aa423756f5307c1bd099859_FORMATO.png",98221,37,"VIT","lat","Nulo",0,2,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"249","Matheus Caldeira Vidotto de Oliveira","Matheus Vidotto","https://s.glbimg.com/es/sde/f/2017/04/23/0469f80ea84703c3178371ab0fa1dd2f_FORMATO.png",80286,37,"COR","gol","Nulo",0,3,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250","Lucas Silva Borges","Lucas Silva","https://s.glbimg.com/es/sde/f/2017/04/06/f4598cc08e1804689d22d338ac6f7d9b_FORMATO.png",79701,37,"CRU","mei","Provável",0.6,4.67,0.13,1.27,19,"Cruzeiro",2,3,28,1,6,17,NA,43,23,NA,NA,1,NA,NA,NA,1,NA,NA
"251","Bruno Guimarães Rodriguez Moura","Bruno Guimarães","https://s.glbimg.com/es/sde/f/2017/05/11/f5024b3a361d2a09da365bea55b67c88_FORMATO.png",98352,37,"ATL","mei","Nulo",0,0.79,0,-2.27,3,"Atlético-PR",NA,2,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"252","Arthur Caíke do Nascimento Cruz","Arthur ","https://s.glbimg.com/es/sde/f/2017/04/24/56939ae4c18f332e1a3bb20305de4f33_FORMATO.png",80337,37,"CHA","ata","Provável",0,11.48,0,5.08,33,"Chapecoense",6,6,56,17,28,67,8,73,38,NA,2,12,NA,NA,NA,NA,NA,NA
"253","José Marcos Costa Martins","Marquinho","https://s.glbimg.com/es/sde/f/2017/07/05/cd8999b74581b3b3784402a115de312f_FORMATO.png",98765,37,"ATL","mei","Contundido",0,1.38,0,-0.8,1,"Atlético-MG",NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"254","Antônio Carlos Cunha Capocasali Júnior","Antônio Carlos ","https://s.glbimg.com/es/sde/f/2017/04/18/5b3fcb4c6c1625d8e38d933619f9e42a_FORMATO.png",79702,37,"PAL","zag","Nulo",0,2.91,0,1.36,5,"Palmeiras",NA,1,2,1,1,4,NA,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"255","Gabriel Batista de Souza","Gabriel Batista","https://s.glbimg.com/es/sde/f/2017/04/24/0bf67a6d877be0a2c761a714831fe092_FORMATO.png",98333,37,"FLA","gol","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"256","Ezequiel Jacinto de Biasi","Ezequiel ","https://s.glbimg.com/es/sde/f/2017/04/23/059f269b9ef5b88550eb9899af203b7b_FORMATO.png",80318,37,"CRU","lat","Contundido",0,6.27,0,2.76,21,"Cruzeiro",1,5,32,2,3,19,NA,46,29,6,NA,NA,NA,NA,NA,NA,NA,NA
"257","Emanuel Rocha Dos Santos","Emanuel","https://s.glbimg.com/es/sde/f/2017/05/04/c6a8401c8828ee07e786f390818a7e2e_FORMATO.png",98766,37,"ATL","lat","Nulo",0,1,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"258","Fabiano Leissmann","Fabiano","https://s.glbimg.com/es/sde/f/2017/04/18/ccce9b9aad578e5dc82e1d75b816fa25_FORMATO.png",79887,37,"PAL","lat","Dúvida",0,4.32,0,1.14,5,"Palmeiras",NA,NA,3,1,2,1,NA,8,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"259","Odair Souza ","Nenén","https://s.glbimg.com/es/sde/f/2017/04/25/cf7dd5cb7c3b2349fc0a5145f894f495_FORMATO.png",79892,37,"CHA","mei","Nulo",0,2.23,0,1.35,8,"Chapecoense",NA,NA,2,2,2,5,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"260","Flávio Augusto De Castro","Flávio","https://s.glbimg.com/es/sde/f/2017/05/04/19c748c11cefe0c492c56193adca9ab0_FORMATO.png",98774,37,"ATL","ata","Nulo",0,1,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"261","João Victor da Silva Fonseca","João Victor",NA,98382,37,"ATL","mei","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"262","Alejandro Ariel Cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2017/04/22/6b0dea43cdbaa38c369c09b3e7b75700_FORMATO.png",80363,37,"CRU","mei","Nulo",0,5.29,0,1.69,13,"Cruzeiro",NA,4,16,NA,8,23,NA,55,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"263","Jean Pyerre Casagrande Silveira Correa","Jean Pyerre","https://s.glbimg.com/es/sde/f/2017/05/04/80cc9cc69c9d3444383c8a203334be97_FORMATO.jpeg",98832,37,"GRE","mei","Provável",0,0.79,-0.21,0.22,5,"Grêmio",NA,NA,2,1,1,2,NA,6,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"264","Edson Felipe da Cruz","Edson","https://s.glbimg.com/es/sde/f/2017/07/28/848d6125a9c369432280eafad030d57a_FORMATO.png",80370,37,"BAH","mei","Provável",4.5,14.04,0.08,5.19,20,"Bahia",2,3,31,3,12,24,1,33,59,NA,NA,3,NA,NA,NA,1,NA,NA
"265","Marcelo dos Santos Rosa","Marcelo","https://s.glbimg.com/es/sde/f/2017/04/27/104329d7a936e544604f9da1cd61995f_FORMATO.png",98874,37,"ATL","ata","Nulo",0,2,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"266","Helton Brant Aleixo Leite","Helton Leite","https://s.glbimg.com/es/sde/f/2016/05/20/5fd57defcef29c5cd30495ee3eb4e67f_FORMATO.png",79973,37,"BOT","gol","Nulo",0,3.32,0,1,1,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA
"267","Patrick Luan dos Santos","Patrick Luan","https://s.glbimg.com/es/sde/f/2017/07/25/2d9389fe90f695a0986db9d4d6c5b7b4_FORMATO.png",98401,37,"FLU","ata","Nulo",0,1,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"268","Matheus Mancini","Matheus Mancini","https://s.glbimg.com/es/sde/f/2017/05/19/5bca9708b9e4c88d08f62e3935fe8cb4_FORMATO.png",80124,37,"ATL","zag","Nulo",0,1.36,0,0.13,6,"Atlético-MG",NA,3,11,NA,2,2,NA,12,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"269","Wanderson Carvalho de Oliveira","Wanderson","https://s.glbimg.com/es/sde/f/2017/04/27/a7b0a15537c943f557f8fb73d8a9171b_FORMATO.png",80373,37,"ATL","lat","Nulo",0,4,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"270","Giovanni Silva Tiepo","Tiepo","https://s.glbimg.com/es/sde/f/2017/08/17/95f1c899aa2ce348c9a1e29c2842edd1_FORMATO.png",98412,37,"CHA","gol","Nulo",0,1,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"271","Marcus Wendel Valle da Silva","Wendel","https://s.glbimg.com/es/sde/f/2017/07/25/5e57c3eff1438fe8585a1615e6f89282_FORMATO.png",98402,37,"FLU","mei","Dúvida",5.3,12.69,0.94,3.92,30,"Fluminense",2,4,32,11,8,69,4,62,36,NA,2,2,NA,NA,NA,NA,NA,NA
"272","Leonardo Natel Vieira","Léo Natel","https://s.glbimg.com/es/sde/f/2017/05/24/2a8d67ff31bfc2ad352d55926c1b6556_FORMATO.png",98952,37,"SAO","ata","Nulo",0,0.92,0,0.5,1,"São Paulo",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"273","Michael Vinicius Silva de Morais","Michael","https://s.glbimg.com/es/sde/f/2017/05/04/c43b96f2a0e0c8a8006defaedc1db2ee_FORMATO.png",80537,37,"FLU","ata","Nulo",0,2,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"274","Brenner Marlos Varanda de Oliveira","Brenner","https://s.glbimg.com/es/sde/f/2017/07/21/eba301f5c887ff5cf7a3f94b5f6eb918_FORMATO.png",80080,37,"BOT","ata","Provável",0,6.72,0,3.8,17,"Botafogo",2,NA,23,4,11,20,5,19,8,NA,NA,7,NA,NA,NA,NA,NA,NA
"275","Éder Gabriel Militão","Éder Militão","https://s.glbimg.com/es/sde/f/2017/05/04/a8a8f4eb8075ba4ad4fde3d5d0d6f996_FORMATO.png",99424,37,"SAO","mei","Provável",8.8,4.29,1.55,2.8,21,"São Paulo",NA,1,27,2,5,26,2,54,36,NA,NA,1,NA,NA,NA,1,NA,NA
"276","Victor Hugo Soares dos Santos","Kanu","https://s.glbimg.com/es/sde/f/2017/04/23/7a72c5c22ba23c60f92cdd4c2915e646_FORMATO.png",98484,37,"BOT","zag","Nulo",0,1,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"277","Jadson Alves dos Santos","Jadson","https://s.glbimg.com/es/sde/f/2017/05/02/e17a729351ce9e086c7f6fdaf907c355_FORMATO.png",80129,37,"PON","mei","Nulo",0,3.49,0,1.27,20,"Ponte Preta",NA,3,24,1,4,23,NA,31,22,NA,NA,NA,NA,NA,NA,NA,NA,NA
"278","Riuler de Oliveira Faustino","Riuler","https://s.glbimg.com/es/sde/f/2017/04/23/f9a0f4d378841844615990bf95a39da9_FORMATO.png",99021,37,"ATL","lat","Nulo",0,2,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"279","Nadson da Silva Almeida","Nadson","https://s.glbimg.com/es/sde/f/2017/04/25/9c0263cf980f89da4cca8b6bc120585f_FORMATO.png",80140,37,"CHA","mei","Contundido",2.7,1.12,0.22,0.84,5,"Chapecoense",NA,NA,1,NA,1,3,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"280","Fernando Peixoto Costanza","Fernando","https://s.glbimg.com/es/sde/f/2017/05/16/0243a49a67c8ced003f53d80efea1bb0_FORMATO.png",99550,37,"BOT","lat","Nulo",0,1,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"281","Luan Garcia Teixeira","Luan","https://s.glbimg.com/es/sde/f/2017/04/23/21b43228acd34549ca343f42576f7632_FORMATO.png",80692,37,"PAL","zag","Dúvida",0,6.36,0,2.69,18,"Palmeiras",NA,3,23,1,5,15,1,22,19,5,NA,NA,NA,NA,NA,1,NA,NA
"282","Lucas da Silva de Jesus","Lucas Silva","https://s.glbimg.com/es/sde/f/2017/04/24/685913465b4d1ad49e7160a89ef627fd_FORMATO.png",98515,37,"FLA","ata","Nulo",0,2,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"283","João Paulo Ferreira Lourenço","Lourenço","https://s.glbimg.com/es/sde/f/2017/06/18/cf178cdbd6bb2ee507ce289881e464b7_FORMATO.png",99032,37,"AVA","ata","Provável",0.2,0.79,-1.1,0.47,9,"Avaí",NA,3,8,2,3,9,1,12,1,NA,NA,1,NA,NA,NA,NA,NA,NA
"284","Pedro Tonon Geromel","Pedro Geromel","https://s.glbimg.com/es/sde/f/2017/04/23/e509769d9e394ef42a8681bfdacc8283_FORMATO.png",80853,37,"GRE","zag","Nulo",0,13.91,0,6.52,20,"Grêmio",2,4,15,3,6,12,NA,47,48,11,NA,NA,NA,NA,NA,NA,NA,NA
