"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","FC","FD","FF","FS","FT","PE","RB","SG","DD","GS","I","G","PP","CV","GC","DP"
"34","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2017/04/23/7277c35fed3ff5f997fbf230b96586e4_FORMATO.png",37701,35,"GRE","lat","Nulo",0,9.67,0,3.51,15,"Grêmio",1,NA,7,1,4,18,NA,58,11,8,NA,NA,6,NA,NA,NA,NA,NA
"35","Maicon Douglas Sisenando","Maicon","https://s.glbimg.com/es/sde/f/2017/05/31/ef02f85ca8a5590abd7f361e7b0dd858_FORMATO.png",38748,35,"AVA","lat","Provável",5.1,5.39,0.41,2.2,6,"Avaí",NA,NA,5,NA,2,6,NA,10,9,1,NA,NA,NA,NA,NA,NA,1,NA
"36","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,35,"BOT","gol","Dúvida",0,9.57,0,7.78,6,"Botafogo",NA,2,NA,NA,NA,1,NA,6,NA,2,15,5,NA,NA,NA,NA,NA,1
"37","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2017/08/30/f01a7a8db062d1a1317322f7ca87a782_FORMATO.png",38100,35,"SPO","zag","Provável",0.7,5.99,0.29,2.5,20,"Sport",1,3,20,4,1,14,NA,30,23,4,NA,NA,2,NA,NA,NA,NA,NA
"38","Luis Fabiano Clemente","Luis Fabiano","https://s.glbimg.com/es/sde/f/2017/04/17/37ff07beed4a39ead1876fadd586d068_FORMATO.png",37919,35,"VAS","ata","Nulo",0,11.3,0,4.69,12,"Vasco",2,6,26,6,17,25,NA,15,5,NA,NA,NA,6,5,NA,NA,NA,NA
"39","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2017/04/03/d0fe78529c78b3decfed9ab7ea31e79b_FORMATO.png",38246,35,"ATL","ata","Provável",1.7,12.62,-1.77,3.19,28,"Atlético-MG",5,8,26,5,9,31,1,73,25,NA,NA,NA,20,7,1,NA,NA,NA
"40","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2017/04/19/b627c9025ae6426b1e4397a1e4806a3e_FORMATO.png",38067,35,"COR","mei","Nulo",0.5,4.04,-0.96,0.5,1,"Corinthians",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Marcos Vicente dos Santos","Marquinhos","https://s.glbimg.com/es/sde/f/2017/04/28/16b2b3c31dc9b2e904ab87a434b26f8b_FORMATO.png",38150,35,"AVA","mei","Provável",-0.8,2.5,0.13,0.9,20,"Avaí",NA,1,9,8,5,20,NA,70,3,NA,NA,NA,NA,3,NA,1,NA,NA
"42","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2017/04/23/2d7990dd22103819070a18092e4a35b7_FORMATO.png",38196,35,"GRE","mei","Contundido",0,7.26,0,1,11,"Grêmio",NA,3,11,1,3,10,NA,20,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Fábio Santos Romeu","Fábio Santos","https://s.glbimg.com/es/sde/f/2017/04/03/513ae4d7abe5f2024ee9a5cfa9c87bd4_FORMATO.png",38229,35,"ATL","lat","Provável",-1.1,4.34,-0.51,3.48,31,"Atlético-MG",2,8,38,3,5,52,NA,104,34,7,NA,NA,3,5,NA,NA,NA,NA
