"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FS","G","I","PE","RB","A","FD","FF","FT","SG","DD","GS","CV","PP","DP","GC"
"414","Renan Ribeiro","Renan Ribeiro","https://s.glbimg.com/es/sde/f/2016/05/01/443bbaa43b246a9ce7d8a4e682ed4af6_FORMATO.png",68932,22,"SAO","gol","Nulo",0,8.9,0,2.06,20,"São Paulo",2,1,1,NA,NA,15,NA,NA,NA,NA,NA,5,27,28,NA,NA,NA,NA
"415","Jean Carlos de Souza Irmer","Jean","https://s.glbimg.com/es/sde/f/2017/04/06/d3926623525ad9fc2a3896099f523066_FORMATO.png",89150,22,"VAS","mei","Suspenso",3.1,10.65,0.67,4.2,21,"Vasco",6,41,29,1,NA,45,56,1,5,9,NA,NA,NA,NA,NA,NA,NA,NA
"416","Giovanni Augusto Oliveira Cardoso","Giovanni Augusto","https://s.glbimg.com/es/sde/f/2017/04/19/c4d5da0001a31ba757c52ea56bf8cb21_FORMATO.png",68938,22,"COR","mei","Nulo",0,5.16,0,1.4,5,"Corinthians",1,2,2,NA,1,10,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"417","Judivan Flor da Silva","Judivan ","https://s.glbimg.com/es/sde/f/2017/04/23/f49ad5df5316c41a536cbc083724ee17_FORMATO.png",89190,22,"CRU","ata","Nulo",0,4,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Ânderson Balbino Assis","Balbino","https://s.glbimg.com/es/sde/f/2016/04/30/aa305ef16d18275ce438c74c73d54e15_FORMATO.png",89227,22,"GRE","mei","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Iago Ângelo Dias","Iago","https://s.glbimg.com/es/sde/f/2017/04/24/6d1258d426eef6b245dc52182b65814b_FORMATO.png",88417,22,"COR","ata","Dúvida",0.5,4.16,0.14,0.16,9,"Coritiba",NA,3,4,NA,2,13,2,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"420","Maurício Andreazzi Pereira","Andreazzi","https://s.glbimg.com/es/sde/f/2017/04/24/2e3edae4ff2b6836e1ea7f55380193fa_FORMATO.png",89253,22,"BOT","mei","Nulo",0,2,0,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Matheus de Sales Cabral","Matheus Sales","https://s.glbimg.com/es/sde/f/2017/07/28/3f6f5e42ab4526ee91e011dab0d45545_FORMATO.png",89285,22,"BAH","mei","Nulo",0,4.86,0,2.25,8,"Bahia",3,12,10,NA,1,19,14,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"422","Igor Ribeiro de Jesus","Igor","https://s.glbimg.com/es/sde/f/2017/08/30/e792b551e6a9ca62b2bb2b2d25533d6b_FORMATO.png",88667,22,"SPO","zag","Nulo",0,5.8,0,6.2,1,"Sport",NA,2,2,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","Ronaldo Luiz Alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2017/08/30/2f2abedd21538d0c8abafce309debab1_FORMATO.png",68950,22,"SPO","zag","Provável",0,8.98,0,4.57,16,"Sport",4,19,28,1,1,40,18,1,4,2,NA,8,NA,NA,NA,NA,NA,NA
"424","Giovanni Aparecido Adriano dos Santos","Giovanni","https://s.glbimg.com/es/sde/f/2017/04/03/54ca82f676684e32e2092814be84c655_FORMATO.png",68979,22,"ATL","gol","Nulo",0,4.47,0,-1.3,1,"Atlético-MG",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA
"425","Kaio Silva Mendes","Kaio","https://s.glbimg.com/es/sde/f/2016/04/30/a83b6e7bb6661dbbb2b8c85d3afc4b48_FORMATO.png",92574,22,"GRE","mei","Dúvida",0,4.29,0,2.98,4,"Grêmio",1,7,15,NA,NA,10,6,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"426","Wanderson de Jesus Martins","Caju","https://s.glbimg.com/es/sde/f/2016/05/01/54af0c3c3d1522543c64c18ca5a50a22_FORMATO.png",89342,22,"SAN","lat","Nulo",0,3.83,0,3.3,1,"Santos",NA,1,1,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Gustavo dos Santos","Gustavo Santos","https://s.glbimg.com/es/sde/f/2017/04/28/66d8349d86cb0a157df269d3cbb425b6_FORMATO.png",68986,22,"AVA","lat","Nulo",0,1,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Aderbar Melo dos Santos Neto","Santos","https://s.glbimg.com/es/sde/f/2017/04/23/27e1cdc40e6cfe45b59a89f20a9a2b4f_FORMATO.png",69012,22,"ATL","gol","Nulo",0,5.43,0,3.35,2,"Atlético-PR",NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,2,NA,NA,NA,NA
"429","João Carlos Heidemann","João Carlos","https://s.glbimg.com/es/sde/f/2017/05/02/d7292ead1ddbe03d301309fe8a47b770_FORMATO.png",69010,22,"PON","gol","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Hélio Hermito Zampier Neto","Neto","https://s.glbimg.com/es/sde/f/2016/04/27/f217614f7ad8e77684e58501d147fa3a_FORMATO.png",69008,22,"CHA","zag","Contundido",0,5,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Carlos Eugenio Júnior Tavares dos Santos","Júnior Tavares","https://s.glbimg.com/es/sde/f/2017/02/09/25d0a51f886e8f5b2db83e4bea6a4e20_FORMATO.png",89343,22,"SAO","lat","Nulo",0,12.18,0,4.29,15,"São Paulo",2,17,31,NA,NA,54,19,4,1,6,NA,4,NA,NA,NA,NA,NA,NA
"432","João Vitor Lima Gomes","João Vitor","https://s.glbimg.com/es/sde/f/2017/05/02/4b0d7dac70db84093f533231220f3287_FORMATO.png",68987,22,"PON","mei","Contundido",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","Igor Rabello da Costa","Igor Rabello","https://s.glbimg.com/es/sde/f/2016/05/20/45658f95ac34e82da4d58cf9c77f2587_FORMATO.png",89493,22,"BOT","zag","Provável",0.2,10.03,0.71,3.14,17,"Botafogo",4,15,9,NA,1,25,25,NA,3,4,NA,6,NA,NA,NA,NA,NA,1
"434","Manoel Messias Silva Carvalho","Manoel","https://s.glbimg.com/es/sde/f/2016/04/29/34d00289aba9d71e705b5b7a470861b8_FORMATO.png",69014,22,"CRU","zag","Contundido",0,8.77,0,5.2,1,"Cruzeiro",NA,NA,2,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"435","Paulo Sérgio de Oliveira","Paulinho","https://s.glbimg.com/es/sde/f/2017/07/07/b665d8639383dbe3e6bc9401b9dadddb_FORMATO.png",69016,22,"ATL","mei","Suspenso",-2.2,6,-1.86,5.01,10,"Atlético-GO",3,21,17,2,1,32,24,NA,3,7,1,NA,NA,NA,NA,NA,NA,NA
"436","Nickson Gabriel Reis Silva","Nickson","https://s.glbimg.com/es/sde/f/2017/04/22/fe8ee314651bfce7367d25049b99720f_FORMATO.png",89676,22,"CRU","ata","Nulo",0,3,0,0,0,"Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","Saulo Ferreira Silva Nascimento","Saulo","https://s.glbimg.com/es/sde/f/2017/04/18/8fb7b68bea9068528d9381cfe5c0b32a_FORMATO.png",89492,22,"BOT","gol","Nulo",0,1.18,0,-2,1,"Botafogo",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Deivid Willian da Silva","Deivid","https://s.glbimg.com/es/sde/f/2017/04/23/7fa8d8853f5f9b5502dcde923aababee_FORMATO.png",69018,22,"ATL","mei","Nulo",0,5.04,0,0.48,5,"Atlético-PR",2,3,5,NA,NA,5,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"439","Leonan José Valandro Gomes","Leonan","https://s.glbimg.com/es/sde/f/2017/04/03/f7ef2c1763cfea19e19b624be9bd9f68_FORMATO.png",89693,22,"ATL","lat","Nulo",0,2.69,0,3.17,3,"Atlético-MG",1,4,7,NA,NA,6,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"440","Paulo Roberto da Silva","Paulo Roberto","https://s.glbimg.com/es/sde/f/2017/04/20/ab90dca3a15edcb4ef4af21626e0d3a9_FORMATO.png",69047,22,"COR","mei","Nulo",0,3.53,0,2.32,5,"Corinthians",NA,3,3,NA,NA,15,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","James Dean Araújo de Lima","James Dean","https://s.glbimg.com/es/sde/f/2017/05/01/c92d594519fdaaff86e13dce57f1b587_FORMATO.png",89694,22,"SPO","ata","Nulo",0,1,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Pablo Felipe Teixeira","Pablo","https://s.glbimg.com/es/sde/f/2017/04/23/3edce5d707460f97a267436370d60be7_FORMATO.png",69138,22,"ATL","ata","Nulo",2.1,2.61,0.52,-1.19,13,"Atlético-PR",4,21,12,NA,8,42,4,NA,2,7,NA,NA,NA,NA,NA,NA,NA,NA
"443","Iury Lirio Freitas de Castilho","Iury","https://s.glbimg.com/es/sde/f/2017/04/28/0bdfd4fa134d2a07bf26cd328dcd9cf7_FORMATO.png",89695,22,"AVA","ata","Nulo",0,1.68,0,0.5,1,"Avaí",NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","Leonardo Moreira Morais","Léo","https://s.glbimg.com/es/sde/f/2017/05/17/6b570687f8d47a6998a08f7f27fdd4ac_FORMATO.png",69177,22,"COR","lat","Provável",2.4,5.59,-1.31,3.44,10,"Coritiba",2,19,19,NA,NA,39,23,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA
"445","Pablo Nascimento Castro","Pablo","https://s.glbimg.com/es/sde/f/2017/04/20/c99a3be1e61944db1aad05f99ed5b954_FORMATO.png",69165,22,"COR","zag","Provável",6.5,11.63,-0.21,4.78,14,"Corinthians",2,10,8,NA,NA,18,12,NA,2,7,NA,10,NA,NA,NA,NA,NA,NA
"446","Romulo dos Santos de Souza","Romulo","https://s.glbimg.com/es/sde/f/2017/04/28/039439859f768160af8a4dc5be23db1b_FORMATO.png",89696,22,"AVA","ata","Nulo",0,8.77,0,1.94,20,"Avaí",1,26,29,2,5,48,15,NA,7,11,NA,NA,NA,NA,NA,NA,NA,NA
"447","Martín Andrés Silva","Martín Silva","https://s.glbimg.com/es/sde/f/2017/04/06/5380df54d3b16b7d46117c5173040d3d_FORMATO.png",69249,22,"VAS","gol","Provável",5,7.25,1.45,1.36,22,"Vasco",2,NA,2,NA,NA,17,NA,NA,NA,NA,NA,5,27,34,NA,NA,NA,NA
"448","Leonardo Pisculichi","Pisculichi","https://s.glbimg.com/es/sde/f/2017/02/18/c8a64d1e825d4a06c352c94d5499c77d_FORMATO.png",89871,22,"VIT","mei","Nulo",0,4.13,0,-0.55,2,"Vitória",NA,1,1,NA,NA,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"449","Lucas Ramón Barrios Arioli","Lucas Barrios","https://s.glbimg.com/es/sde/f/2017/04/23/cfc485340a51d2cf63f5fd033c85b2f1_FORMATO.png",69282,22,"GRE","ata","Dúvida",0,9.41,0,3.88,10,"Grêmio",3,15,13,4,6,16,6,1,5,2,NA,NA,NA,NA,NA,NA,NA,NA
"450","Gustavo Henrique Ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2017/07/28/f9a5ac323f358bb4e2d5bbc354956624_FORMATO.png",89815,22,"BAH","mei","Nulo",0,5.11,0,1.05,11,"Bahia",1,8,6,1,NA,15,2,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA
"451","Róger Krug Guedes","Róger Guedes","https://s.glbimg.com/es/sde/f/2017/04/18/8320b12c035d14425a7a1685c28eea51_FORMATO.png",89898,22,"PAL","ata","Nulo",0,6.61,0,2.25,20,"Palmeiras",2,32,26,4,6,57,7,3,4,8,1,NA,NA,NA,NA,NA,NA,NA
"452","Reinaldo Rueda Rivera","Reinaldo Rueda","https://s.glbimg.com/es/sde/f/2017/08/15/f70ca24058c7afc7bcf48280e01aa139_FORMATO.png",69486,22,"FLA","tec","Provável",5.37,12.16,0.63,6.65,2,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Luiz Eduardo Fleuri Pacheco","Dudu",NA,89919,22,"GRE","mei","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","Romulo Borges Monteiro","Romulo","https://s.glbimg.com/es/sde/f/2017/04/24/b61c326027e887dd7e7893e82ca94121_FORMATO.png",70009,22,"FLA","mei","Nulo",2.7,5.85,-0.21,1.12,4,"Flamengo",1,5,1,NA,NA,1,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Gerferson Cerqueira Teles","Geferson","https://s.glbimg.com/es/sde/f/2017/02/18/1797455db8d122f09c954f551c9c8350_FORMATO.png",89976,22,"VIT","lat","Contundido",0,11.19,0,3.12,12,"Vitória",5,19,9,NA,2,25,26,NA,1,1,NA,3,NA,NA,NA,NA,NA,NA
"456","Andrigo Oliveira de Araujo","Andrigo","https://s.glbimg.com/es/sde/f/2017/05/19/78c75bce6fe9af97abe3a17761c64821_FORMATO.png",89930,22,"ATL","mei","Provável",-0.4,5.53,0.09,2.85,21,"Atlético-GO",5,19,12,2,1,79,30,2,8,13,1,NA,NA,NA,NA,NA,NA,NA
"457","Leandro Alves de Carvalho","Leandrinho","https://s.glbimg.com/es/sde/f/2016/05/20/5f4b91fa5fbbd56dc1f2fe3f094cbb22_FORMATO.png",89885,22,"BOT","mei","Dúvida",0,3.25,0,3.18,5,"Botafogo",1,4,4,1,NA,10,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Maycon Vinícius Ferreira da Cruz","Nikão","https://s.glbimg.com/es/sde/f/2017/04/23/f0381b648963d11c0a911835d6b060da_FORMATO.png",69705,22,"ATL","mei","Provável",0.4,8.79,-0.56,3.01,20,"Atlético-PR",2,20,33,2,2,67,18,2,13,8,1,NA,NA,NA,NA,NA,NA,NA
"459","John Stiven Mendoza Valencia","Mendoza","https://s.glbimg.com/es/sde/f/2017/07/28/3526a1e303bf419c36b347c3684a027f_FORMATO.png",90031,22,"BAH","ata","Provável",-0.6,4.38,-3.43,4.45,17,"Bahia",NA,18,22,4,1,45,21,NA,8,17,NA,NA,NA,NA,NA,NA,NA,NA
"460","Bruno Henrique Pinto","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/02/19/6fc23a37c23198ad6b9da39da99ad82b_FORMATO.png",90285,22,"SAN","ata","Provável",10,14.07,2.26,5.01,17,"Santos",3,43,47,5,5,56,15,6,9,8,1,NA,NA,NA,1,NA,NA,NA
"461","Victor Ferraz Macedo","Victor Ferraz","https://s.glbimg.com/es/sde/f/2016/05/01/58576d141c8216fac9dedb1df391d5e8_FORMATO.png",70046,22,"SAN","lat","Provável",1,9.53,-0.89,4.08,14,"Santos",2,11,11,2,NA,48,13,NA,1,2,NA,7,NA,NA,NA,NA,NA,NA
"462","Fellipe Ramos Ignez Bastos","Fellipe Bastos","https://s.glbimg.com/es/sde/f/2017/04/19/2333e7afbab5775fa04708f8532bdf88_FORMATO.png",70116,22,"COR","mei","Nulo",0,3.53,0,0.7,2,"Corinthians",NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"463","Tiago Real do Prado","Tiago Real","https://s.glbimg.com/es/sde/f/2017/04/24/80440f6618b79e66630f3d1bd8709562_FORMATO.png",70058,22,"COR","mei","Nulo",0,4.63,0,1.3,11,"Coritiba",2,13,6,NA,2,30,7,2,5,2,1,NA,NA,NA,NA,NA,NA,NA
"464","Bruno de Jesus Pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2017/04/27/fcbcf7704c49830f8c99c33ecbadb435_FORMATO.png",90061,22,"ATL","lat","Provável",9.9,9.38,1.85,3.12,20,"Atlético-GO",4,28,47,NA,NA,46,21,4,2,3,NA,3,NA,NA,NA,NA,NA,NA
"465","Jaílson Marques Siqueira","Jailson","https://s.glbimg.com/es/sde/f/2017/04/23/bbc1e20f5a841fe3d2fc8cbf1553e368_FORMATO.png",90290,22,"GRE","mei","Nulo",0,3.25,0,0.73,10,"Grêmio",1,5,5,NA,NA,8,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","Alan Santos da Silva","Alan Santos","https://s.glbimg.com/es/sde/f/2017/04/24/fbeeb71f969362dfd7489a955a0a5b00_FORMATO.png",70132,22,"COR","mei","Provável",9.8,6.3,0.89,2.42,14,"Coritiba",2,18,8,NA,1,34,26,NA,3,4,1,NA,NA,NA,NA,NA,NA,NA
"467","Teodoro Junio Barbosa de Araújo","Araújo","https://s.glbimg.com/es/sde/f/2016/04/30/8da3cdd181e04b0c114f91c721ad89b1_FORMATO.png",90334,22,"GRE","mei","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468","David Correa da Fonseca","David","https://s.glbimg.com/es/sde/f/2017/04/24/9a0112f0276ff9f2806956277d2eb848_FORMATO.png",90309,22,"VIT","ata","Provável",-0.3,4.49,-0.08,2.2,21,"Vitória",4,22,12,2,9,54,11,4,7,16,2,NA,NA,NA,NA,NA,NA,NA
"469","Ederson Honorato Campos","Ederson","https://s.glbimg.com/es/sde/f/2017/04/24/219907d77bba093529105f5b79abce53_FORMATO.png",70173,22,"FLA","mei","Contundido",0,4.25,0,0.94,5,"Flamengo",NA,5,9,NA,NA,8,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"470","Jonathan da Silveira Fernandes Reis","Fernandes","https://s.glbimg.com/es/sde/f/2016/05/20/02861c5449623b3038673b374f31d53e_FORMATO.png",90399,22,"BOT","mei","Nulo",0,2.52,0,-0.48,5,"Botafogo",1,1,3,NA,NA,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"471","Sidney Aparecido Ramos da Silva","Sidão","https://s.glbimg.com/es/sde/f/2017/04/25/6b33818b6514572559c1fef9b6ca9686_FORMATO.png",70222,22,"SAO","gol","Provável",-5,3.96,-1.02,-2.15,2,"São Paulo",1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA
"472","Luiz Fernando Ferreira Maximiliano","Luiz Fernando ","https://s.glbimg.com/es/sde/f/2017/07/25/b1dafe35e50cc680c9452d9dafbc9522_FORMATO.png",90366,22,"FLU","mei","Contundido",0,1.94,0,1.1,2,"Fluminense",NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","Fillipe Soutto Mayor Nogueira Ferreira","Fillipe Soutto","https://s.glbimg.com/es/sde/f/2017/06/05/17f3216f11db1702707de11a5f0b6854_FORMATO.png",70581,22,"VIT","mei","Provável",0,3.12,0.42,0.7,5,"Vitória",1,2,2,NA,NA,10,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474","Mário Rogério Reis Micale ","Rogério Micale","https://s.glbimg.com/es/sde/f/2017/07/24/00470c79ffe3386dcbeb9796e90dfb87_FORMATO.png",70526,22,"ATL","tec","Provável",2.85,9.57,0.01,3.62,6,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Jefferson Vasconcelos Braz da Silva ","Jefferson Nem","https://s.glbimg.com/es/sde/f/2017/07/05/e19ea6817dece25a3dba36acabd4ea9f_FORMATO.png",90455,22,"ATL","ata","Nulo",0,1,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476","Fábio Luiz Carille de Araújo","Fábio Carille","https://s.glbimg.com/es/sde/f/2017/04/22/b5151c5cf6b267103af7605949496c18_FORMATO.png",70696,22,"COR","tec","Provável",3.96,11.93,0.39,4.67,21,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"477","Raul José Cardoso","Raul","https://s.glbimg.com/es/sde/f/2016/04/30/20baeb0768cee2ef5e7e760abad4ddfa_FORMATO.png",90531,22,"GRE","lat","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478","Mateus da Silva Vital Assumpção","Mateus Vital","https://s.glbimg.com/es/sde/f/2017/04/24/fde017fc32efb6582710007242bff4d4_FORMATO.png",93108,22,"VAS","mei","Provável",3.5,8.93,0.48,3.25,18,"Vasco",1,12,39,NA,2,28,18,2,12,5,NA,NA,NA,NA,NA,NA,NA,NA
"479","Arthur Henrique Ramos de Oliveira Melo","Arthur","https://s.glbimg.com/es/sde/f/2017/04/23/ad145ff7dd594174acc3863cb2569b83_FORMATO.png",90532,22,"GRE","mei","Provável",0,8.85,0,4.29,16,"Grêmio",3,11,33,1,NA,33,38,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","Vladimir Orlando Cardoso de Araújo Filho","Vladimir","https://s.glbimg.com/es/sde/f/2016/05/01/961c8216a0f294aa3cfbee03eaa996db_FORMATO.png",69040,22,"SAN","gol","Nulo",0,4,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","Jean Paulo Fernandes Filho","Jean","https://s.glbimg.com/es/sde/f/2017/07/28/d36fdad47b0813c57a2b46c71ec4af32_FORMATO.png",90933,22,"BAH","gol","Provável",1.1,11.45,-0.44,4.03,22,"Bahia",2,1,1,NA,NA,18,NA,NA,NA,NA,NA,7,41,30,NA,NA,NA,NA
"482","Moisés Roberto Barbosa","Moisés","https://s.glbimg.com/es/sde/f/2017/04/20/341682456801d7e2449a82062f6ef9be_FORMATO.png",90444,22,"COR","lat","Nulo",1.1,3.02,-0.3,3.57,3,"Corinthians",NA,4,NA,NA,NA,5,5,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"483","Diogo Barbosa Mendanha","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2017/04/22/9ee14b744ca9f1e250cc299b955bc6e9_FORMATO.png",70916,22,"CRU","lat","Nulo",0.3,12,-0.52,4.22,19,"Cruzeiro",4,20,23,NA,2,75,31,2,2,3,1,8,NA,NA,NA,NA,NA,NA
"484","Jackson de Souza","Jackson","https://s.glbimg.com/es/sde/f/2017/07/28/de12cacc448f4add788473ff0d4009bf_FORMATO.png",70934,22,"BAH","zag","Contundido",0,7,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","Guilherme Ferreira Pinto","Negueba","https://s.glbimg.com/es/sde/f/2017/06/07/fe68884503980ded30df6a7cb9cdd77b_FORMATO.jpeg",70929,22,"PON","ata","Nulo",0,4.01,0,0.6,4,"Ponte Preta",1,4,4,NA,NA,8,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"486","Yuri Oliveira Lima","Yuri","https://s.glbimg.com/es/sde/f/2016/07/05/6918c687f15258af809e99a14e04318e_FORMATO.png",90569,22,"SAN","mei","Nulo",0,0.79,0,-0.67,9,"Santos",3,14,4,NA,NA,21,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"487","Rafael Vinicius Carvalho Longuine","Rafael Longuine","https://s.glbimg.com/es/sde/f/2017/08/22/5218f0e7d3620fdf31c4115509777d95_FORMATO.png",90566,22,"COR","mei","Provável",-4.5,0.79,-0.6,-1.26,5,"Coritiba",1,4,4,NA,2,15,1,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA
"488","Leonardo Cittadini","Léo Cittadini","https://s.glbimg.com/es/sde/f/2017/05/02/6694b4703f10f789b166d7ca4f6f764e_FORMATO.png",70986,22,"SAN","mei","Nulo",-0.5,2.48,-0.47,1.12,6,"Santos",NA,3,3,NA,NA,6,4,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"489","Bruno Henrique Corsini","Bruno Henrique","https://s.glbimg.com/es/sde/f/2017/09/04/f252554797209a70ab4bd0e0cf7e8692_FORMATO.jpeg",70944,22,"PAL","mei","Nulo",-0.2,9.48,-0.77,4.08,9,"Palmeiras",2,19,10,1,NA,14,18,1,1,7,NA,NA,NA,NA,NA,NA,NA,NA
"490","Gustavo Cascardo de Assis","Cascardo","https://s.glbimg.com/es/sde/f/2017/04/23/772a99574fe81da3c28fa586c83c7c91_FORMATO.png",90587,22,"ATL","lat","Nulo",0,3.17,0,2.65,9,"Atlético-PR",NA,7,13,NA,1,22,7,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA
"491","Pablo Diogo Lopes de Lima","Pablo Diogo","https://s.glbimg.com/es/sde/f/2017/08/01/876c2e59d47193a1d2968b73eed90a34_FORMATO.png",70987,22,"ATL","ata","Nulo",0,1.68,0,-0.4,3,"Atlético-MG",NA,3,NA,NA,2,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"492","Lucas da Silva Izidoro","Lucas Mineiro","https://s.glbimg.com/es/sde/f/2017/04/24/a585ecd4b08d42c62414a32c9103edc3_FORMATO.png",90634,22,"CHA","mei","Nulo",1,2.53,-1.33,1.25,9,"Chapecoense",3,18,6,NA,NA,12,14,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"493","Leonardo da Silva Vieira","Leo","https://s.glbimg.com/es/sde/f/2017/08/02/b370bcdca91adb4e0f9cfe1f7ce54837_FORMATO.png",71043,22,"ATL","gol","Nulo",0,3,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"494","Alex Sandro dos Santos Apolinario","Alex","https://s.glbimg.com/es/sde/f/2017/04/05/144a762b27b789eee8fd1c1a682c0512_FORMATO.png",90535,22,"CRU","mei","Nulo",0,3.3,0,4.2,1,"Cruzeiro",NA,NA,2,NA,NA,3,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"495","Rodrigo Gomes dos Santos","Rodrigão","https://s.glbimg.com/es/sde/f/2017/07/07/cb596c22b44400d38cf56cab0476618c_FORMATO.png",90651,22,"BAH","ata","Provável",0.7,5.55,0.21,4.52,10,"Bahia",1,11,8,4,7,24,2,2,7,10,NA,NA,NA,NA,NA,NA,NA,NA
