"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FS","G","I","PE","RB","A","FD","FF","FT","SG","DD","GS","CV","PP","DP","GC"
"87","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png",38738,22,"GRE","mei","Contundido",0,14,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Renato Portaluppi","Renato Gaúcho","https://s.glbimg.com/es/sde/f/2016/10/20/11389b106c935a0e20c5b557a4161683_FORMATO.png",41929,22,"GRE","tec","Provável",0,15.56,0,4.56,21,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Alessandro Beti Rosa","Magrão","https://s.glbimg.com/es/sde/f/2017/08/30/c7dca7402951841de5cd3c5a531e0cee_FORMATO.png",41218,22,"SPO","gol","Provável",0,5.56,0,3.61,18,"Sport",NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,7,26,24,NA,NA,NA,NA
"90","Kleber Giacomace de Souza Freitas","Kleber","https://s.glbimg.com/es/sde/f/2017/09/05/45c6f808fc644c74001e20c938a4112a_FORMATO.png",40179,22,"COR","ata","Provável",0,12.46,0,3.74,10,"Coritiba",1,28,26,4,6,32,4,1,10,6,NA,NA,NA,NA,1,NA,NA,NA
"91","Levir Culpi","Levir Culpi","https://s.glbimg.com/es/sde/f/2017/06/14/136e0a7f3e7fc28586ac419c9c08efd2_FORMATO.png",40025,22,"SAN","tec","Provável",2.94,10.86,-0.07,4.32,16,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","Abel Carlos da Silva Braga","Abel Braga","https://s.glbimg.com/es/sde/f/2017/07/26/530dd6d653e00f41f2159828518f0bf3_FORMATO.png",40006,22,"FLU","tec","Provável",0.93,11.57,-0.4,3.23,20,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","Willian Gomes de Siqueira","Willian","https://s.glbimg.com/es/sde/f/2017/04/18/8ce197bf5176cc970a5782466268bd80_FORMATO.png",42116,22,"PAL","ata","Provável",22.6,10.52,3.91,3.96,16,"Palmeiras",4,24,22,5,5,27,13,2,6,7,1,NA,NA,NA,NA,1,NA,NA
"94","Egídio de Araújo Pereira Júnior","Egídio","https://s.glbimg.com/es/sde/f/2017/04/18/594aacef190963b0476d2c76f4f48f57_FORMATO.png",42145,22,"PAL","lat","Provável",0,7.15,0,5.11,11,"Palmeiras",1,10,16,NA,2,53,23,1,3,NA,NA,5,NA,NA,NA,NA,NA,NA
"95","Felipe Augusto Santana","Felipe Santana","https://s.glbimg.com/es/sde/f/2017/02/19/6ca71225c6186e7ca8dfcf1ac0111b14_FORMATO.png",42140,22,"ATL","zag","Nulo",0,9.43,0,4.35,9,"Atlético-MG",NA,9,7,1,1,14,12,1,NA,2,NA,2,NA,NA,NA,NA,NA,NA
"96","Fernando Paixão da Silva","Fernando Bob","https://s.glbimg.com/es/sde/f/2017/05/02/c182483a84aebf5ed52ddb9d82da6407_FORMATO.png",42213,22,"PON","mei","Provável",4.3,8.56,0.2,2.77,10,"Ponte Preta",2,22,13,NA,1,33,27,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
