"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","FC","FD","FF","FS","G","I","PE","RB","CA","SG","FT","DD","GS","DP","PP","CV","GC"
"54","Willians dos Santos Santana","Willians","https://s.glbimg.com/es/sde/f/2017/06/07/e24d137ff5aa2e79299e85cf581744a1_FORMATO.png",60787,17,"AVA","ata","Provável",0,3.41,0,0.98,10,"Avaí",1,16,1,NA,6,NA,NA,10,7,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","Marcos Antônio da Silva Gonçalves","Marquinhos","https://s.glbimg.com/es/sde/f/2017/05/03/cc800ad5ce3aeb287358e50e4352911b_FORMATO.png",60788,17,"SPO","ata","Nulo",0,5.05,0,3.03,3,"Sport",2,2,NA,NA,2,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","Anderson Vital da Silva","Dedé","https://s.glbimg.com/es/sde/f/2017/04/05/526dd85f05139f739aca91b753b00ec9_FORMATO.png",60819,17,"CRU","zag","Contundido",0,8.86,0,3.43,3,"Cruzeiro",NA,1,NA,NA,2,NA,NA,12,2,NA,2,NA,NA,NA,NA,NA,NA,NA
"57","Onitlasi Júnior de Moraes Rodrigues","Moraes","https://s.glbimg.com/es/sde/f/2017/04/24/f4c96c6b48180d485af9f86fa6068922_FORMATO.png",95058,17,"FLA","lat","Nulo",0,1,0,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","Luis Guilherme Castro de Melo","Luis Guilherme","https://s.glbimg.com/es/sde/f/2017/04/25/f29f6e2b42f604bc517f157512d669f6_FORMATO.png",95023,17,"ATL","ata","Nulo",0,2,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Thalis Henrique Cantanhede","Thalis ","https://s.glbimg.com/es/sde/f/2017/04/03/a4b96c74f796865cee82e21548874cc4_FORMATO.png",95022,17,"ATL","mei","Nulo",0,0.81,0,0.2,1,"Atlético-MG",NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Waltenecir da Silva Ramos Júnior","Júnior Ramos","https://s.glbimg.com/es/sde/f/2017/02/21/f383d4a15e59c944585c2931a507d422_FORMATO.png",95054,17,"BAH","mei","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Jael Ferreira Vieira","Jael","https://s.glbimg.com/es/sde/f/2017/04/23/585f69babcaf14c7eaf22537e3c5338c_FORMATO.png",60859,17,"GRE","ata","Contundido",0,5,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Yago César da Silva","Yago","https://s.glbimg.com/es/sde/f/2017/04/23/4c090a0a625b4d824e5a755f4a428f46_FORMATO.png",95126,17,"ATL","ata","Nulo",0,1.44,0,-0.2,3,"Atlético-PR",NA,3,NA,2,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","Nicolas Vichiatto da Silva","Nicolas","https://s.glbimg.com/es/sde/f/2017/04/23/056a95089efcf92df7bb3f732a875306_FORMATO.png",95127,17,"ATL","lat","Nulo",0,3.55,0,0.76,5,"Atlético-PR",NA,5,NA,NA,NA,NA,NA,17,2,1,2,NA,NA,NA,NA,NA,NA,NA
"64","Lucca Borges Brito","Lucca","https://s.glbimg.com/es/sde/f/2017/05/02/bd59d7bbf1fff0ce2e2dd4b489c5c99a_FORMATO.png",61149,17,"PON","ata","Provável",0,24.02,0,8.67,16,"Ponte Preta",1,17,17,15,56,10,6,46,17,1,NA,NA,NA,NA,NA,1,NA,NA
"65","Patric Cabral Lalau","Patric","https://s.glbimg.com/es/sde/f/2017/04/24/89077bf2beda96cfae171fad51c21cd1_FORMATO.png",60969,17,"VIT","lat","Nulo",9.4,7.86,1.67,1.95,14,"Vitória",1,21,4,8,8,NA,5,66,18,2,3,NA,NA,NA,NA,NA,NA,NA
"66","Wildson Silva de Melo","Índio","https://s.glbimg.com/es/sde/f/2017/05/11/4fd214518b14eb3d936a1bb566f6945f_FORMATO.png",95180,17,"SPO","ata","Nulo",3.7,2.26,0.26,3.7,1,"Sport",NA,NA,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","Airton Ribeiro Santos","Airton","https://s.glbimg.com/es/sde/f/2016/05/19/53e1bd0759a8f98439752def04457e15_FORMATO.png",61985,17,"BOT","mei","Contundido",0,5.63,0,1.17,3,"Botafogo",NA,3,NA,NA,4,NA,NA,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","Edimar Curitiba Fraga","Edimar","https://s.glbimg.com/es/sde/f/2017/04/25/0991c88dd099660fdb7cfc88a4bedab1_FORMATO.png",62024,17,"SAO","lat","Provável",4.2,5.14,0.01,5.3,3,"São Paulo",NA,2,1,1,6,NA,NA,10,6,NA,1,NA,NA,NA,NA,NA,NA,NA
"69","Gilberto Oliveira Souza Júnior","Gilberto","https://s.glbimg.com/es/sde/f/2016/08/18/6af48de27fa231f0a84e3301c9451cb9_FORMATO.png",61188,17,"SAO","ata","Nulo",0.5,3.9,-0.5,1.21,9,"São Paulo",NA,5,2,3,3,1,3,6,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"70","Rodrigo Eduardo Costa Marinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2017/04/20/ff3f0ec8867916a05745cdee54815442_FORMATO.png",61033,17,"COR","mei","Provável",-0.6,12.91,0.1,2.75,13,"Corinthians",3,25,8,6,24,1,1,42,11,4,NA,1,NA,NA,NA,NA,NA,NA
"71","Jean Raphael Vanderlei Moreira","Jean","https://s.glbimg.com/es/sde/f/2017/04/18/84289863d6f3328bec523c3cfeadb268_FORMATO.png",62047,17,"PAL","lat","Provável",10.8,15.54,0.93,4.99,8,"Palmeiras",NA,5,2,9,8,1,1,25,8,NA,4,NA,NA,NA,NA,1,NA,NA
"72","Carlos Cesar Neves","Carlos Cesar","https://s.glbimg.com/es/sde/f/2017/04/03/ed8cd5220fe7c5ba0069143fad70f518_FORMATO.png",61211,17,"ATL","lat","Contundido",0,4.46,0,-0.7,1,"Atlético-MG",NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Vanderlei Farias da Silva","Vanderlei","https://s.glbimg.com/es/sde/f/2016/05/01/82e0b04b2f7623a1d61ffaff2e36a59c_FORMATO.png",62121,17,"SAN","gol","Provável",10.4,22.71,-1.52,10.83,16,"Santos",NA,1,NA,NA,2,NA,NA,7,NA,2,9,NA,45,11,3,NA,NA,NA
"74","Maikon Fernando Souza Leite","Maikon Leite","https://s.glbimg.com/es/sde/f/2017/07/28/8007ddc987249203ffd2dc0d80f422f2_FORMATO.png",62069,17,"BAH","ata","Nulo",0,2.15,0,-0.5,2,"Bahia",NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75","Marcos Rogério Ricci Lopes","Pará","https://s.glbimg.com/es/sde/f/2017/04/24/44fa9261c93718d8ee74e043fad7adbb_FORMATO.png",62086,17,"FLA","lat","Provável",1.5,8.25,0.12,2.69,11,"Flamengo",1,15,NA,2,9,1,1,27,4,NA,4,NA,NA,NA,NA,NA,NA,NA
"76","Róbson Michael Signorini","Robinho","https://s.glbimg.com/es/sde/f/2016/05/12/bca701933eaad8640785a2a634d5edf4_FORMATO.png",62104,17,"CRU","mei","Nulo",0,8.73,0,2.13,6,"Cruzeiro",NA,5,3,7,4,1,1,39,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"77","Oswaldo José Henríquez Bocanegra","Oswaldo Henríquez","https://s.glbimg.com/es/sde/f/2016/05/01/49c33afe8104b8c052fd2c593fca02e5_FORMATO.png",81241,17,"SPO","zag","Provável",2.3,4.85,-0.63,5.4,5,"Sport",NA,9,NA,1,3,NA,NA,8,11,1,3,NA,NA,NA,NA,NA,NA,NA
"78","Victor Ramos Ferreira","Victor Ramos","https://s.glbimg.com/es/sde/f/2017/04/25/b46cb463e6cdc67676c6fde0cbbdfdf9_FORMATO.png",63000,17,"CHA","zag","Contundido",0,7.19,0,2.26,12,"Chapecoense",NA,19,2,4,2,1,NA,23,11,2,3,NA,NA,NA,NA,NA,NA,NA
"79","Wellington Aparecido Martins","Wellington","https://s.glbimg.com/es/sde/f/2017/07/27/3f91d9b6357f754bb2a32e60e5876ea6_FORMATO.png",62129,17,"VAS","mei","Nulo",0,0.87,0,-1.51,8,"Vasco",NA,22,1,NA,6,NA,1,18,4,3,NA,NA,NA,NA,NA,NA,NA,NA
