"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FD","FS","FT","PE","RB","SG","DD","GS","A","FF","I","G","PP","GC","CV","DP"
"192","William José de Souza","Amaral","https://s.glbimg.com/es/sde/f/2017/05/08/d967be031145a156a67e168aaeecb1fa_FORMATO.png",42232,32,"CHA","mei","Provável",1.3,4.39,0.01,3.3,4,"Chapecoense",1,7,NA,1,NA,4,11,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"193","Paulo Victor Mileo Vidotti","Paulo Victor","https://s.glbimg.com/es/sde/f/2017/07/19/429e3fc1b0f671fe9b25019c5f735f67_FORMATO.png",68873,32,"GRE","gol","Nulo",1,6.49,-0.14,4.97,7,"Grêmio",1,NA,NA,2,NA,4,NA,2,12,8,NA,NA,NA,NA,NA,NA,NA,1
"194","Fabricio dos Santos Silva","Fabrício","https://s.glbimg.com/es/sde/f/2017/08/04/af2a8afc274774bf29c72ad4817f021e_FORMATO.png",49674,32,"ATL","lat","Provável",-1.1,4.52,-1.19,2.67,14,"Atlético-PR",4,20,2,9,1,52,23,4,NA,NA,NA,4,2,NA,NA,NA,NA,NA
"195","Everton Cardoso da Silva","Everton","https://s.glbimg.com/es/sde/f/2017/08/16/eea748e91cc2c7fcc14df5b06906b1e1_FORMATO.jpeg",50301,32,"FLA","mei","Provável",4.1,13.75,0.56,3.96,24,"Flamengo",6,38,12,38,1,72,34,NA,NA,NA,6,10,12,3,NA,NA,NA,NA
"196","Rodrigo Júnior Paula Silva","Digão","https://s.glbimg.com/es/sde/f/2017/08/10/45b089a35e467b5f5cc0a9d46a380b7a_FORMATO.png",68886,32,"CRU","zag","Nulo",0,5.1,0,2.6,6,"Cruzeiro",NA,3,NA,2,NA,5,7,1,NA,NA,1,1,NA,NA,NA,NA,1,NA
"197","Guilherme Milhomem Gusmão","Guilherme","https://s.glbimg.com/es/sde/f/2017/04/28/0dde0e778cab6579a9bf8d745efc2bf0_FORMATO.png",50294,32,"ATL","mei","Nulo",3.2,9.92,-0.13,4.15,18,"Atlético-PR",3,29,7,24,1,73,19,NA,NA,NA,5,9,2,4,NA,NA,NA,NA
"198","Elicarlos Souza Santos","Elicarlos","https://s.glbimg.com/es/sde/f/2017/09/26/84f2413b25e7d3769e7678f63ccdc322_FORMATO.png",50313,32,"CHA","mei","Nulo",-0.5,3.97,-0.4,0.34,8,"Chapecoense",1,5,NA,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"199","Luiz Rhodolfo Dini Gaioto","Rhodolfo","https://s.glbimg.com/es/sde/f/2017/06/20/fa889cb0da25023565bc57fe3fa29fde_FORMATO.png",42501,32,"FLA","zag","Provável",2.8,8.43,-0.23,3.99,15,"Flamengo",1,16,2,5,NA,14,19,7,NA,NA,NA,5,3,NA,NA,NA,NA,NA
"200","Adilson Warken","Adilson","https://s.glbimg.com/es/sde/f/2017/04/03/8a5b4672974501d33850ca575e0f117c_FORMATO.png",50307,32,"ATL","mei","Dúvida",0,4.31,-0.1,1.29,22,"Atlético-MG",5,52,NA,21,NA,38,37,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA
"201","David Braz de Oliveira Filho","David Braz","https://s.glbimg.com/es/sde/f/2017/05/02/7e17e0feab3ee583c5049f63df2c2771_FORMATO.png",50317,32,"SAN","zag","Provável",8.3,12.47,1.05,4.38,26,"Santos",8,25,2,15,NA,58,31,14,NA,NA,1,6,2,3,NA,NA,1,NA
"202","Fagner Conserva Lemos","Fagner","https://s.glbimg.com/es/sde/f/2017/04/19/e126b3b0182f6b12d3cc13d20f515810_FORMATO.png",42500,32,"COR","lat","Provável",1.4,12.36,-0.36,4.52,26,"Corinthians",8,29,2,38,2,110,45,13,NA,NA,2,4,3,NA,NA,NA,NA,NA
"203","Júlio César Jacobi","Júlio César","https://s.glbimg.com/es/sde/f/2017/07/25/ff1d090ecbc688a4eaf1cd1f5e07cb34_FORMATO.png",49673,32,"FLU","gol","Nulo",0,5.15,0,1.7,20,"Fluminense",NA,NA,NA,11,NA,12,NA,2,26,28,NA,NA,NA,NA,NA,NA,NA,NA
"204","Wilson Rodrigues de Moura Júnior","Wilson","https://s.glbimg.com/es/sde/f/2017/09/05/a1edec3abed61e3df5ec4b21d324e499_FORMATO.png",50284,32,"COR","gol","Provável",19,16.87,0.85,5.48,32,"Coritiba",2,NA,NA,6,NA,17,NA,9,63,41,NA,NA,NA,1,NA,NA,NA,3
"205","Marcelo Oliveira Ferreira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/401897dab69a776fef1185ec3ba1b85f_FORMATO.png",50328,32,"GRE","lat","Provável",-0.2,7.2,-0.01,1.95,11,"Grêmio",1,13,NA,8,NA,18,12,3,NA,NA,NA,NA,1,NA,1,NA,NA,NA
"206","Darío Leonardo Conca","Conca","https://s.glbimg.com/es/sde/f/2017/08/22/78ca498fcf5cadcc0cd8ae43c4e186b8_FORMATO.jpeg",50348,32,"FLA","mei","Nulo",0,8.35,0,-0.95,2,"Flamengo",1,1,1,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"207","Paulo Henrique Carneiro Filho","Paulo Henrique","https://s.glbimg.com/es/sde/f/2017/02/14/f3e039a98588fd2760ea1b06034d2567_FORMATO.png",50398,32,"SPO","ata","Nulo",0,3,0,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","Kayke Moreno de Andrade Rodrigues","Kayke","https://s.glbimg.com/es/sde/f/2017/05/02/175b6e25643dfdf97032cd564bc4e5c4_FORMATO.png",50402,32,"SAN","ata","Nulo",0,3.94,0,1.38,23,"Santos",NA,20,8,9,NA,50,6,NA,NA,NA,1,19,10,3,1,NA,NA,NA
"209","Marco Antonio de Mattos Filho","Marquinho","https://s.glbimg.com/es/sde/f/2017/07/25/49f339ad5e5c362acf8628d9d617d724_FORMATO.png",50407,32,"FLU","mei","Nulo",0,2.98,0,-0.4,4,"Fluminense",1,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"210","Leonardo Fabiano da Silva e Silva","Leonardo Silva","https://s.glbimg.com/es/sde/f/2017/04/03/d52533a1acf6457724394d769b43771f_FORMATO.png",68925,32,"ATL","zag","Provável",6.2,9.33,0.45,2.16,16,"Atlético-MG",5,20,2,25,1,26,13,4,NA,NA,NA,4,1,NA,NA,NA,NA,NA
"211","Carlos Eduardo Marques","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2017/08/30/1d0425c1f6b3c4bb5041fa1cb9ee960e_FORMATO.png",50369,32,"VIT","mei","Nulo",-0.3,1.95,0.13,0.14,10,"Vitória",2,8,3,12,NA,38,7,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA
"212","Hudson Rodrigues dos Santos","Hudson","https://s.glbimg.com/es/sde/f/2017/02/05/3d3e3081a494b80799d348813e420860_FORMATO.png",50324,32,"CRU","mei","Contundido",0,6.9,0,3.51,16,"Cruzeiro",1,25,1,17,NA,26,32,NA,NA,NA,NA,10,1,1,NA,NA,NA,NA
"213","Leonardo Renan Simões de Lacerda","Léo","https://s.glbimg.com/es/sde/f/2016/04/29/442f1e513bf554cc4cbcce5ae7ace03b_FORMATO.png",50459,32,"CRU","zag","Nulo",0,8.89,0,3.04,23,"Cruzeiro",7,15,5,12,1,51,16,10,NA,NA,1,3,NA,1,NA,NA,NA,NA
