"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FD","FF","FS","PE","RB","SG","DD","GS","G","I","A","PP","CV","FT","GC","DP"
"44","Roger de Oliveira Bernardo","Roger Bernardo","https://s.glbimg.com/es/sde/f/2017/06/22/c2345aa6df43625e0d6ec0ff375de539_FORMATO.png",37934,20,"ATL","mei","Provável",0,5.15,0,1.15,4,"Atlético-MG",1,12,NA,NA,8,15,8,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"45","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,20,"SAO","zag","Nulo",-2,3.05,-0.19,0.25,7,"São Paulo",5,11,1,3,2,12,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Mário Lúcio Duarte Costa","Aranha","https://s.glbimg.com/es/sde/f/2017/05/02/803e0f7a5e12a827547f82d97fb403f0_FORMATO.png",37984,20,"PON","gol","Provável",9.4,13.43,0.96,4.85,19,"Ponte Preta",1,NA,NA,NA,3,7,1,9,32,24,NA,NA,NA,NA,NA,NA,NA,NA
"47","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2017/04/24/134bd2592921a7ea460e78f357f4d99a_FORMATO.png",37792,20,"COR","mei","Nulo",0,3.6,0,-0.68,4,"Coritiba",1,2,NA,NA,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2017/05/02/4a4ad263fb8caeebedbea1c1bab7d397_FORMATO.png",38021,20,"PON","mei","Nulo",3.9,4.7,-0.08,1.38,11,"Ponte Preta",2,7,NA,4,10,5,7,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"49","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,20,"CRU","ata","Nulo",-5.3,8.84,-0.85,1.51,13,"Cruzeiro",3,17,8,11,11,31,4,NA,NA,NA,2,1,1,NA,1,NA,NA,NA
"50","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2017/05/01/510c7156c6f1b989be6cdcdfb393eb82_FORMATO.png",38100,20,"SPO","zag","Nulo",0,6.81,0,2.97,14,"Sport",1,11,4,NA,9,20,13,4,NA,NA,NA,1,1,NA,NA,NA,NA,NA
"51","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,20,"BOT","gol","Provável",0,9.33,0,8.04,5,"Botafogo",1,NA,NA,NA,NA,6,NA,2,11,3,NA,NA,NA,NA,NA,NA,NA,1
"52","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2017/06/07/4171a633f759e859ac04b9293992adf3_FORMATO.png",37705,20,"AVA","mei","Provável",0,4.99,0,1.25,14,"Avaí",4,23,3,9,21,42,14,NA,NA,NA,1,1,NA,NA,1,1,NA,NA
"53","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2017/04/19/b627c9025ae6426b1e4397a1e4806a3e_FORMATO.png",38067,20,"COR","mei","Nulo",0,5,0,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Jadson Rodrigues da Silva","Jadson","https://s.glbimg.com/es/sde/f/2017/04/23/74a0bb24699753dd991412e8c67a1623_FORMATO.png",38315,20,"COR","mei","Nulo",0,9.2,0,1.97,14,"Corinthians",2,13,3,8,5,68,7,NA,NA,NA,4,3,1,NA,NA,NA,NA,NA
"55","Marcos Vicente dos Santos","Marquinhos","https://s.glbimg.com/es/sde/f/2017/04/28/16b2b3c31dc9b2e904ab87a434b26f8b_FORMATO.png",38150,20,"AVA","mei","Nulo",0,2.72,0,0.61,10,"Avaí",NA,4,4,3,10,37,3,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"56","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2017/04/03/3c0b9d4407aa9d0eadfb90461cc048e1_FORMATO.png",38162,20,"ATL","ata","Nulo",0,14.99,0,3.49,13,"Atlético-MG",2,22,4,7,27,26,3,NA,NA,NA,5,9,1,1,NA,1,NA,NA
"57","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2017/04/03/d0fe78529c78b3decfed9ab7ea31e79b_FORMATO.png",38246,20,"ATL","ata","Nulo",-2,11.79,-0.11,1.53,16,"Atlético-MG",4,13,3,7,14,39,16,NA,NA,NA,1,12,2,1,NA,NA,NA,NA
"58","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2017/04/25/063a393c23a936c42fa8d9c6ee455747_FORMATO.png",38279,20,"CHA","ata","Nulo",0,9.54,0,2.17,15,"Chapecoense",3,18,10,11,15,28,3,NA,NA,NA,3,4,NA,NA,NA,1,NA,NA
"59","João Alves de Assis Silva","Jô","https://s.glbimg.com/es/sde/f/2017/04/23/013b2879d66c81bb0e92137fdfe045a8_FORMATO.png",38138,20,"COR","ata","Provável",0,12.75,0,4.63,19,"Corinthians",2,36,11,10,23,45,6,NA,NA,NA,11,21,2,1,NA,NA,NA,NA
"60","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,20,"PAL","gol","Provável",-2,13.6,-1.06,3.68,16,"Palmeiras",NA,NA,NA,NA,2,4,NA,4,25,18,NA,NA,NA,NA,NA,NA,NA,NA
"61","Fábio Santos Romeu","Fábio Santos","https://s.glbimg.com/es/sde/f/2017/04/03/513ae4d7abe5f2024ee9a5cfa9c87bd4_FORMATO.png",38229,20,"ATL","lat","Provável",14.8,5.71,1.86,3.33,16,"Atlético-MG",6,24,2,5,35,61,22,4,NA,NA,2,2,NA,NA,NA,NA,NA,NA
"62","Thiago Neves Augusto","Thiago Neves","https://s.glbimg.com/es/sde/f/2017/02/19/6bb6e70216d205ad23e44268eba27692_FORMATO.png",38277,20,"CRU","mei","Nulo",2.4,17.39,0.18,5.84,17,"Cruzeiro",2,18,25,10,31,67,15,NA,NA,NA,6,4,2,NA,NA,1,NA,NA
"63","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2017/04/22/b38b67b4598e604b5f9219b7e65d47d7_FORMATO.png",38421,20,"CRU","mei","Provável",1.7,5.77,-0.12,1.68,11,"Cruzeiro",NA,11,2,3,21,35,10,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
"64","Artur Guilherme Moraes Gusmão","Artur Moraes","https://s.glbimg.com/es/sde/f/2017/04/24/5e85a2f95507d900cd0da5a482163c0d_FORMATO.png",38156,20,"CHA","gol","Nulo",0,6,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2017/04/23/2d7990dd22103819070a18092e4a35b7_FORMATO.png",38196,20,"GRE","mei","Suspenso",0,7.26,0,1,11,"Grêmio",3,11,1,3,10,20,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2017/04/23/1f11c20ef0f3dc5415e347a5080e0877_FORMATO.png",38394,20,"ATL","zag","Nulo",5,9.27,-1.16,4.11,14,"Atlético-PR",5,17,NA,5,9,27,13,6,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"67","Diego Cavalieri","Diego Cavalieri","https://s.glbimg.com/es/sde/f/2017/07/25/e9e063853438a8237b3f988c83e35607_FORMATO.png",38431,20,"FLU","gol","Nulo",0,3.91,0,-1,3,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,3,6,NA,NA,NA,NA,NA,NA,NA,NA
"68","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2017/07/25/2b0656054e6766c7389fc96b6a00cbde_FORMATO.png",38440,20,"FLU","mei","Contundido",0,3.54,0,0,1,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Edílson Mendes Guimarães","Edílson","https://s.glbimg.com/es/sde/f/2017/04/23/01562d5599dfea4ea49171288751df8a_FORMATO.png",38523,20,"GRE","lat","Nulo",0,9.32,0,2.7,13,"Grêmio",4,23,3,6,10,35,17,5,NA,NA,1,1,NA,1,1,NA,NA,NA
"70","Diego Alves Carreira","Diego Alves","https://s.glbimg.com/es/sde/f/2017/07/27/01f4269046199527133f29de2df7001b_FORMATO.png",38509,20,"FLA","gol","Provável",5,8.19,1.53,-1.15,4,"Flamengo",NA,NA,NA,NA,NA,2,NA,NA,4,8,NA,NA,NA,NA,NA,NA,NA,NA
"71","Cleiton Ribeiro Xavier","Cleiton Xavier","https://s.glbimg.com/es/sde/f/2017/02/18/12b5f4babe911d2c08e5e106d926ef3d_FORMATO.png",38530,20,"VIT","mei","Nulo",0,5.18,0,1.8,14,"Vitória",2,18,6,10,8,46,12,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA
"72","Eder Luis de Oliveira","Eder Luis","https://s.glbimg.com/es/sde/f/2017/04/27/a624683a1be2238af9bf43179557bd20_FORMATO.png",38508,20,"VAS","ata","Nulo",0,2.34,0,0,1,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Danilo Verón Bairros","Danilinho","https://s.glbimg.com/es/sde/f/2017/07/18/67111050a2c2d4213b8625c1326c1fe3_FORMATO.png",38617,20,"VIT","ata","Nulo",1.4,3.93,0.11,0.45,2,"Vitória",NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","Maicon Douglas Sisenando","Maicon","https://s.glbimg.com/es/sde/f/2017/05/31/ef02f85ca8a5590abd7f361e7b0dd858_FORMATO.png",38748,20,"AVA","lat","Nulo",0,4.72,0,-6,1,"Avaí",NA,1,NA,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
"75","Douglas dos Santos","Douglas","https://s.glbimg.com/es/sde/f/2017/04/23/fa6eb12f4d4fee6467bb3bb75ccc55ce_FORMATO.png",38738,20,"GRE","mei","Contundido",0,14,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"76","Anderson Hernanes de Carvalho Andrade Lima","Hernanes","https://s.glbimg.com/es/sde/f/2017/07/25/c8d6e4905b3131ebe8cdc8c1c8b432fd_FORMATO.png",38648,20,"SAO","mei","Provável",20.2,18.79,3.71,11.3,4,"São Paulo",1,5,2,2,11,10,4,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA
"77","Renato Dirnei Florêncio","Renato","https://s.glbimg.com/es/sde/f/2017/05/02/ce9c1e5d21a2efec50dbdc2870d5a8c9_FORMATO.png",38908,20,"SAN","mei","Nulo",0,6.31,0,1.48,12,"Santos",NA,8,NA,1,14,27,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78","Fábio Ferreira da Silva","Fábio Ferreira","https://s.glbimg.com/es/sde/f/2017/05/02/dfab84ee22e942e61a82ff8910b56353_FORMATO.png",38425,20,"PON","zag","Nulo",0,5,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","Felipe Melo de Carvalho","Felipe Melo","https://s.glbimg.com/es/sde/f/2017/04/18/d1031b5a0a0783e2fc55c0668ef4d8de_FORMATO.png",38545,20,"PAL","mei","Nulo",0,8.27,0,2.04,5,"Palmeiras",2,10,1,2,9,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
