"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","FC","FF","FS","I","PE","RB","CV","SG","DD","GS","A","FD","G","PP","FT","DP","GC"
"137","Henrique Almeida Caixeta Nascentes","Henrique Almeida","https://s.glbimg.com/es/sde/f/2017/04/24/95e996eaef78ad7ac0e285e3d6d057e0_FORMATO.png",68773,11,"COR","ata","Provável",11.6,16.16,2.09,4.72,11,"Coritiba",1,10,11,20,9,30,13,NA,NA,NA,NA,1,8,2,NA,1,NA,NA
"138","Sérgio Dutra Júnior","Júnior Dutra","https://s.glbimg.com/es/sde/f/2017/04/25/448f2fd931dfdfe48b3cb84ea4f0665a_FORMATO.png",68784,11,"AVA","ata","Nulo",4.4,6.48,0.33,2.92,5,"Avaí",NA,3,4,9,NA,12,2,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
"139","Ronaldo Luiz Alves","Ronaldo Alves","https://s.glbimg.com/es/sde/f/2016/07/08/b5631b95dc105cd68b154bfaa21ecf74_FORMATO.png",68950,11,"SPO","zag","Dúvida",6.3,7.42,0.78,2.35,8,"Sport",2,9,NA,12,1,21,3,NA,4,NA,NA,NA,3,NA,NA,NA,NA,NA
"140","Renato de Araújo Chaves Júnior","Renato Chaves","https://s.glbimg.com/es/sde/f/2016/04/29/1ea275be2b3908677e2dc5d61a3c2995_FORMATO.png",68827,11,"FLU","zag","Contundido",0,3.32,0,-1.3,1,"Fluminense",NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Francisco Rithely da Silva Sousa","Rithely","https://s.glbimg.com/es/sde/f/2016/05/01/c410c14470ebc6e02ab963212b89a17a_FORMATO.png",68834,11,"SPO","mei","Provável",7,11.24,0.73,4.48,9,"Sport",1,14,8,13,NA,27,22,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA
"142","André Luiz Barretto Silva Lima","André Lima","https://s.glbimg.com/es/sde/f/2017/05/28/8c9906d1639eafeb5779494c61890457_FORMATO.png",68893,11,"VIT","ata","Provável",-0.7,6.93,-0.62,3.82,4,"Vitória",1,3,3,2,1,4,2,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA
"143","Welington Pereira Rodrigues","Gum","https://s.glbimg.com/es/sde/f/2016/04/29/0e6b421a8c0214078fd1f5854cce3874_FORMATO.png",68887,11,"FLU","zag","Contundido",0,7,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Ramon de Morais Motta ","Ramon","https://s.glbimg.com/es/sde/f/2017/07/05/d9ef0647f6f2b1147f8e0f3a9bab29e9_FORMATO.png",68896,11,"VAS","lat","Nulo",0,6,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Severino do Ramo Clementino da Silva","Nino Paraíba","https://s.glbimg.com/es/sde/f/2017/05/02/d14ab91bfca642dc286aec9f19adea15_FORMATO.png",68808,11,"PON","lat","Provável",0,20.16,0,5.68,9,"Ponte Preta",3,15,2,21,1,48,21,NA,3,NA,NA,1,4,1,NA,NA,NA,NA
"146","Wellington Alves da Silva","Wellington Silva","https://s.glbimg.com/es/sde/f/2017/01/13/890838d7b4008a35572bcd44dfafc6e0_FORMATO.png",68895,11,"FLU","ata","Dúvida",5.4,9.54,1.11,2.3,3,"Fluminense",NA,2,1,7,3,5,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
