"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","FC","FD","FF","FS","PE","RB","A","I","CA","SG","DD","GS","FT","G","PP","CV","GC","DP"
"410","Breno Gonçalves Lopes","Breno Lopes","https://s.glbimg.com/es/sde/f/2017/05/19/68d8c5dda3ea6323520ddfd58086f176_FORMATO.png",86411,10,"ATL","lat","Provável",0.3,3.66,-0.63,2.65,6,"Atlético-GO",9,4,4,3,19,9,NA,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"411","Thalles Lima","Thalles","https://s.glbimg.com/es/sde/f/2017/04/24/3201728e4a68e69b6c3e6fc2f8f5b1e1_FORMATO.png",85211,10,"VAS","ata","Provável",-1,3.22,-0.81,-0.15,2,"Vasco",2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","Robert Gonçalves Santos","Robert ","https://s.glbimg.com/es/sde/f/2017/06/09/64450e07dea4504ab9914e254f7ba3f5_FORMATO.png",85121,10,"FLU","mei","Nulo",0,4,0,0,0,"Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Uilson Pedruzzi de Oliveira","Uilson","https://s.glbimg.com/es/sde/f/2017/04/03/f77329e6065eec16e496b8b12ad6384a_FORMATO.png",85418,10,"ATL","gol","Nulo",0,4,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Artur Sérgio Batista de Souza","Artur","https://s.glbimg.com/es/sde/f/2017/05/02/5c01ab099352ecad2baaa0a00f978720_FORMATO.png",85591,10,"PON","lat","Nulo",0,4,0,0,0,"Ponte Preta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","Orlando Enrique Berrío Meléndez","Berrío ","https://s.glbimg.com/es/sde/f/2017/04/24/7b390ea7b4f8d9ae25e9e72d40cf4d97_FORMATO.png",85300,10,"FLA","ata","Nulo",7.7,5.07,1.57,1.23,4,"Flamengo",3,NA,1,2,10,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"416","Jonas Gomes de Sousa","Jonas","https://s.glbimg.com/es/sde/f/2017/04/24/d4c75e365c9c04af042bf7ff378d60c7_FORMATO.png",85586,10,"COR","mei","Provável",3.3,7.49,0.39,2.85,9,"Coritiba",19,NA,6,5,28,24,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","João Paulo Silva Martins","João Paulo","https://s.glbimg.com/es/sde/f/2017/05/02/f85d6ca954388c9c5635f0e28f95b5cf_FORMATO.png",85425,10,"SAN","gol","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Wanderson Ferreira de Oliveira","Valdívia","https://s.glbimg.com/es/sde/f/2017/05/31/6bc774b62632d57e756a9e0533fcfd85_FORMATO.png",85423,10,"ATL","mei","Nulo",5.9,8.49,0.74,2.64,5,"Atlético-MG",5,3,2,10,11,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","Leonardo Pinheiro da Conceição","Léo","https://s.glbimg.com/es/sde/f/2017/01/13/cc39276a755987fc3b57896f3b160fa6_FORMATO.png",85626,10,"FLU","lat","Provável",-1.1,3.32,-0.96,0.69,9,"Fluminense",17,1,NA,5,20,6,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"420","Daniel Correa Freitas","Daniel","https://s.glbimg.com/es/sde/f/2017/04/24/5b71e14cce546da5e531c172e54e0ce2_FORMATO.png",85629,10,"COR","mei","Contundido",0,6,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Andrew Erik Feitosa","Morato","https://s.glbimg.com/es/sde/f/2017/04/28/773338b7d4efec23c8bd970486c9ff68_FORMATO.png",86227,10,"SAO","ata","Contundido",0,3,0,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","Miguel Angel Borja Hernandez","Borja","https://s.glbimg.com/es/sde/f/2017/04/23/4b0f5cd460ee874344bfbfd4e3eef9a6_FORMATO.png",86120,10,"PAL","ata","Nulo",-0.5,17.28,-1.58,5.1,5,"Palmeiras",5,2,4,5,6,NA,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA
"423","Walterson Silva","Walterson","https://s.glbimg.com/es/sde/f/2017/04/27/97d6aedd55de114d9c932ce2e9901989_FORMATO.png",86323,10,"ATL","ata","Nulo",-1.4,1.63,-0.2,-0.25,6,"Atlético-GO",9,1,NA,2,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","Hyoran Kaue Dalmoro","Hyoran","https://s.glbimg.com/es/sde/f/2017/02/19/1ec83086a8ae2fe33a1e88113fff1ac1_FORMATO.png",85931,10,"PAL","mei","Nulo",0,2.64,0,1.35,2,"Palmeiras",2,1,NA,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","Victor Luis Chuab Zamblauskas","Victor Luis","https://s.glbimg.com/es/sde/f/2017/04/18/9a9a735957f9522e9ffcf1664bd29a44_FORMATO.png",86410,10,"BOT","lat","Provável",3,12.4,-0.72,5.93,8,"Botafogo",10,NA,1,8,18,16,NA,NA,1,4,NA,NA,NA,1,NA,NA,NA,NA
"426","Milton Mendes","Milton Mendes","https://s.glbimg.com/es/sde/f/2017/04/26/7b563b4abe14ffb25496b6fcd414bd88_FORMATO.png",86486,10,"VAS","tec","Provável",5.31,9.3,0.69,3.8,10,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Everton Felipe de Oliveira Silva","Everton Felipe","https://s.glbimg.com/es/sde/f/2016/05/01/7c68f11162db883d1bca790a596547c2_FORMATO.png",86519,10,"SPO","mei","Provável",2.1,3.86,0.33,0.65,6,"Sport",8,6,2,5,35,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Jonathan Francisco Lemos","Jonathan","https://s.glbimg.com/es/sde/f/2017/04/27/f0005dbb8cf4d46b99cf08acf8949256_FORMATO.png",86713,10,"ATL","lat","Nulo",0,2,0,0,0,"Atlético-GO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Jandrei Chitolina Carniel","Jandrei","https://s.glbimg.com/es/sde/f/2017/05/04/e34c217d3230604bddf15c133fde3fd2_FORMATO.png",86508,10,"CHA","gol","Provável",-2.3,3.9,-0.5,0.36,10,"Chapecoense",NA,NA,NA,5,10,NA,NA,NA,NA,3,9,19,NA,NA,NA,NA,NA,NA
"430","Wanderson Santos Pereira","Wanderson","https://s.glbimg.com/es/sde/f/2017/04/23/3914af8715466d38cf77d94b2c5c5685_FORMATO.png",86143,10,"ATL","zag","Provável",10.8,7.63,0.14,9.6,4,"Atlético-PR",1,3,NA,2,4,3,NA,NA,NA,3,NA,NA,NA,2,NA,NA,NA,NA
"431","Marcos da Silva França","Keno","https://s.glbimg.com/es/sde/f/2017/04/18/ab0e22f1ff91a12ce2e88a367450bf03_FORMATO.png",86485,10,"PAL","ata","Nulo",0,5.99,0,2.21,9,"Palmeiras",9,1,1,7,25,6,NA,2,1,NA,NA,NA,1,2,NA,NA,NA,NA
"432","Danilo das Neves Pinheiro","Tchê Tchê","https://s.glbimg.com/es/sde/f/2016/05/20/2b96e76d6b1e3f8fc29f37d9dfe90206_FORMATO.jpeg",86686,10,"PAL","mei","Suspenso",-3.5,6.85,-1.57,1.35,10,"Palmeiras",20,3,3,10,26,11,2,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA
"433","João Lucas Cardoso","João Lucas","https://s.glbimg.com/es/sde/f/2017/05/15/fa1caa8ea5726060cd391422d3fb93fc_FORMATO.png",86740,10,"PON","lat","Provável",4.2,11.26,0.56,3.39,10,"Ponte Preta",7,1,NA,6,43,14,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"434","Walter Luiz Silva de Araujo","Luizão","https://s.glbimg.com/es/sde/f/2017/06/22/5b6da4a5651cbd0822f33cea7f49be63_FORMATO.png",86724,10,"COR","zag","Nulo",0,2,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Carlos Eugenio Júnior Tavares dos Santos","Júnior Tavares","https://s.glbimg.com/es/sde/f/2017/02/09/25d0a51f886e8f5b2db83e4bea6a4e20_FORMATO.png",89343,10,"SAO","lat","Provável",1.5,12.31,-0.23,4.69,10,"São Paulo",13,1,3,20,38,11,3,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"436","Everton Sousa Soares","Everton","https://s.glbimg.com/es/sde/f/2017/04/23/f8b4218756c0dc59793c36159228a00f_FORMATO.png",86757,10,"GRE","ata","Provável",0.4,9.7,0.03,6.4,7,"Grêmio",4,5,3,3,7,4,NA,NA,1,NA,NA,NA,1,4,NA,NA,NA,NA
"437","Lucas Macanhan Ferreira","Lucas Macanhan","https://s.glbimg.com/es/sde/f/2016/05/13/222c790995cc7292f07b0dc4db7cc5f4_FORMATO.png",86760,10,"ATL","gol","Nulo",0,2,0,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Luan Guilherme de Jesus Vieira","Luan","https://s.glbimg.com/es/sde/f/2017/04/23/458569d2d0c260a004befc5988da9350_FORMATO.png",86759,10,"GRE","ata","Nulo",3.2,23.12,-1.68,10.15,9,"Grêmio",14,12,10,20,40,14,6,2,NA,NA,NA,NA,NA,4,1,NA,NA,NA
"439","Sidcley Ferreira Pereira","Sidcley","https://s.glbimg.com/es/sde/f/2017/04/23/eff5699ee67d7b1a4f3c4cf923789370_FORMATO.png",86764,10,"ATL","lat","Provável",4.1,12.73,-0.1,6.19,9,"Atlético-PR",10,1,2,18,31,13,2,5,1,3,NA,NA,NA,2,NA,NA,NA,NA
"440","Matheus Rossetto","Matheus Rossetto","https://s.glbimg.com/es/sde/f/2017/04/23/c091af2e156b654e15abd7e687d0aeb2_FORMATO.png",86766,10,"ATL","mei","Provável",7.4,6.08,1.82,2.39,9,"Atlético-PR",7,2,NA,8,18,7,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"441","Raniel Santana de Vasconcelos","Raniel","https://s.glbimg.com/es/sde/f/2017/04/06/b362899a01b537ee09468f95d34f40f7_FORMATO.png",86797,10,"CRU","ata","Contundido",0,0.73,0,-0.75,2,"Cruzeiro",NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Jordi Almeida","Jordi","https://s.glbimg.com/es/sde/f/2017/04/17/8a166ba697085a60b3f3b7d74a9c6114_FORMATO.png",86776,10,"VAS","gol","Nulo",0,4,0,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","Henrique Gelain Custódio","Henrique Gelain","https://s.glbimg.com/es/sde/f/2017/04/24/048b1eb6ff970a66fa5eb5087290c03b_FORMATO.png",86783,10,"COR","lat","Nulo",0,1,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","Luís Vinícius da Silva Matos","Vinicius","https://s.glbimg.com/es/sde/f/2017/02/20/d2acf5df4ac30ffcbc7bd264583d6467_FORMATO.png",86861,10,"VIT","zag","Nulo",0,2,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","José Welison da Silva","José Welison","https://s.glbimg.com/es/sde/f/2017/04/24/842ad25f4c670bababfa051fb5fb8ca6_FORMATO.png",86859,10,"VIT","mei","Contundido",0,4,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","Gustavo Henrique da Silva Sousa","Gustavo","https://s.glbimg.com/es/sde/f/2017/02/21/e7a9a7d9b378f749dc3094f28a2465bc_FORMATO.png",86932,10,"BAH","ata","Nulo",0,6.55,0,2.56,5,"Bahia",3,1,5,3,2,2,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"447","Edson Carlos Santos Lima Junior","Capa","https://s.glbimg.com/es/sde/f/2017/04/28/4a0d17271060eaf419c78016735076ee_FORMATO.png",86874,10,"AVA","lat","Provável",5.3,11.35,0.96,4.2,10,"Avaí",10,1,4,23,57,19,1,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"448","Luiz Otávio da Silva Santos","Luiz Otávio ","https://s.glbimg.com/es/sde/f/2017/04/25/239f4dc20386b0bc2988aa004f7c02b7_FORMATO.png",86863,10,"CHA","zag","Provável",0.9,5.89,-0.11,2.18,8,"Chapecoense",10,3,3,NA,19,10,1,NA,2,2,NA,NA,NA,NA,NA,1,NA,NA
"449","Rodrigo Vasconcelos Oliveira","Rodrigo","https://s.glbimg.com/es/sde/f/2017/05/01/6d2201a3689f5a71696f8b8eacbd9646_FORMATO.png",86935,10,"SPO","mei","Nulo",4.5,4.16,0.06,2.15,2,"Sport",4,NA,NA,2,4,5,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Eduardo Gabriel dos Santos Bauermann","Eduardo Gabriel","https://s.glbimg.com/es/sde/f/2017/05/25/590ba3c156c116d43014e1e9b5d4e74f_FORMATO.png",86970,10,"ATL","zag","Provável",0.3,2.37,-0.07,1.43,6,"Atlético-GO",4,NA,NA,1,4,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"451","Leonardo Gomes da Conceição Silva","Léo Gomes","https://s.glbimg.com/es/sde/f/2017/04/23/0cd6a2a3718c7c36858e7d11ad867645_FORMATO.png",86973,10,"GRE","lat","Dúvida",0,2,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Emerson Raymundo Santos","Emerson Santos","https://s.glbimg.com/es/sde/f/2016/05/20/7743ec4420461e770a65425100024972_FORMATO.png",86972,10,"BOT","zag","Nulo",0,0.71,0,-5.6,1,"Botafogo",4,NA,NA,1,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Julio Buffarini","Buffarini","https://s.glbimg.com/es/sde/f/2016/08/18/4be0e28d27402ead434d4b7dae9ea797_FORMATO.png",87350,10,"SAO","lat","Nulo",0,8.87,0,6.9,1,"São Paulo",NA,NA,NA,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"454","Cicero Clebson Alves Santana","Cícero","https://s.glbimg.com/es/sde/f/2017/05/04/4ce602dbb0545123e778ce27a88ca159_FORMATO.png",87158,10,"ATL","mei","Nulo",0,2,0,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Caio César da Silva Silveira","Caio César","https://s.glbimg.com/es/sde/f/2017/04/28/c9789925a7e321c7432e9e22a2b5a2c9_FORMATO.png",86974,10,"AVA","mei","Nulo",0,3,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","Eduardo Augusto Baptista Miguel","Eduardo Baptista","https://s.glbimg.com/es/sde/f/2017/05/25/c38f3011ce585e25426a9724f64b6f77_FORMATO.png",87211,10,"ATL","tec","Provável",6.63,10.8,0.65,3.45,7,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Leonardo Cesar Jardim","Léo","https://s.glbimg.com/es/sde/f/2017/04/23/56c2f46953852255c8d3c1a685ecd757_FORMATO.png",87008,10,"GRE","gol","Provável",0,3.51,0,3.1,2,"Grêmio",NA,NA,NA,1,1,NA,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA
"458","Matheus Vieira Campos Peixoto","Matheus Peixoto","https://s.glbimg.com/es/sde/f/2017/02/21/9a6be83af417e88aab380c4245ab7655_FORMATO.png",87098,10,"BAH","ata","Nulo",0,1,0,0,0,"Bahia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","Marcos do Nascimento Teixeira","Marcão","https://s.glbimg.com/es/sde/f/2017/06/21/bf3514d4994589ee2e16dacdf0c45add_FORMATO.png",87267,10,"ATL","zag","Nulo",0,4.39,0,3.2,1,"Atlético-GO",3,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA
"460","José Carlos Cracco Neto","Zeca","https://s.glbimg.com/es/sde/f/2016/05/01/b75497cbd7fdf4e7cc56e0a77979a9f7_FORMATO.png",87192,10,"SAN","lat","Contundido",0,11.45,0,2.45,2,"Santos",2,NA,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"461","Pedro Henrique Ribeiro Gonçalves","Pedro Henrique","https://s.glbimg.com/es/sde/f/2017/04/20/3b8a82a4adde6089a76eea746b858971_FORMATO.png",87225,10,"COR","zag","Nulo",0,8.16,0,3.76,5,"Corinthians",1,NA,NA,1,10,4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"462","Guilherme Antonio Arana Lopes","Guilherme Arana","https://s.glbimg.com/es/sde/f/2017/04/23/a4d7cefcde751da5dcf52b042baafbb5_FORMATO.png",87228,10,"COR","lat","Provável",6,9.46,0.52,4.57,10,"Corinthians",8,1,NA,12,30,6,2,3,1,7,NA,NA,NA,NA,NA,NA,NA,NA
"463","Moisés Wolschick","Moisés","https://s.glbimg.com/es/sde/f/2017/04/25/59ac946a38de5a26b19ffc56c68885dc_FORMATO.png",82567,10,"CHA","mei","Nulo",0,2.32,0,3.1,1,"Chapecoense",NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","Alan Henrique Costa","Alan Costa","https://s.glbimg.com/es/sde/f/2017/05/28/e1ec05f6af0ed5e2047bfa90f97426f7_FORMATO.png",82613,10,"VIT","zag","Nulo",0,7.75,0,2.16,5,"Vitória",3,NA,1,3,4,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"465","Reginaldo Manoel da Silva Júnior","Reginaldo","https://s.glbimg.com/es/sde/f/2017/01/13/8392420b99c9b1c5f98f6e0db532ccdc_FORMATO.png",82515,10,"FLU","zag","Provável",2.1,4.28,-1.09,4.18,6,"Fluminense",9,NA,NA,4,21,17,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"466","Matheus Galdezani","Matheus Galdezani","https://s.glbimg.com/es/sde/f/2017/04/24/d7ff115c90d6778d22e113333700259c_FORMATO.png",82634,10,"COR","mei","Provável",7,8.4,0.96,3.87,9,"Coritiba",19,8,5,20,44,20,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA
"467","Gabriel Costa França","Gabriel","https://s.glbimg.com/es/sde/f/2017/04/03/2f4037ee6c2ce20e96ff5cb1f6db210f_FORMATO.png",87393,10,"ATL","zag","Provável",0,9.99,0,5,5,"Atlético-MG",4,NA,NA,3,9,6,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA
"468","Walter Kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2017/04/23/42279ad5c60655b3336944e26189eda5_FORMATO.png",87342,10,"GRE","zag","Nulo",-2.1,9.45,-1.37,3.35,8,"Grêmio",12,NA,1,5,21,7,NA,1,2,5,NA,NA,1,NA,NA,NA,NA,NA
"469","Ânderson Balbino Assis","Balbino","https://s.glbimg.com/es/sde/f/2016/04/30/aa305ef16d18275ce438c74c73d54e15_FORMATO.png",89227,10,"GRE","mei","Nulo",0,1,0,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470","Thaciano Mickael da Silva","Thaciano","https://s.glbimg.com/es/sde/f/2017/05/02/f7f6eeca4ba43412b5d6010188c6bb0f_FORMATO.png",87470,10,"SAN","mei","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","Matheus Reis de Lima","Matheus Reis","https://s.glbimg.com/es/sde/f/2017/02/21/1ec4894c6713d50f53837e0e84429f88_FORMATO.png",87486,10,"BAH","lat","Provável",1.2,4.49,0.14,2.02,9,"Bahia",12,NA,1,14,28,7,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"472","Rodrigo de Souza Prado","Rodrigão","https://s.glbimg.com/es/sde/f/2017/04/25/3901e3335987512552a1dcdc23413368_FORMATO.png",87398,10,"ATL","zag","Contundido",5,2.97,1.03,2.8,3,"Atlético-MG",2,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"473","Caíque Silva Sá","Caíque Sá","https://s.glbimg.com/es/sde/f/2017/05/28/8c084fed591a67a554da06e53f403549_FORMATO.png",87437,10,"VIT","lat","Nulo",0,2,0,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474","Vitor Frezarin Bueno","Vitor Bueno","https://s.glbimg.com/es/sde/f/2016/05/01/6a51ac71a5e8a928c9cf1b71c2db243b_FORMATO.png",87552,10,"SAN","mei","Nulo",0.5,9.43,0.08,1.66,7,"Santos",6,1,4,11,20,9,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Leonardo Araújo dos Santos","Léo Santos","https://s.glbimg.com/es/sde/f/2017/04/24/6b4eee4e3d34200c6f23e434a79f4af3_FORMATO.png",87743,10,"COR","ata","Nulo",0,3,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"476","Luis Alberto Caicedo Medina","Luis Caicedo","https://s.glbimg.com/es/sde/f/2017/02/19/0fe56c228b48f83796fc15772646cd33_FORMATO.png",87833,10,"CRU","zag","Provável",5.1,5.98,1.51,2.36,5,"Cruzeiro",6,1,NA,4,10,4,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
"477","Yago Felipe da Costa Rocha","Yago","https://s.glbimg.com/es/sde/f/2017/06/22/23cefb71d6b2d4a53d900e9e4e2abfee_FORMATO.png",87747,10,"VIT","mei","Provável",-0.4,0.78,0.01,-1.03,3,"Vitória",6,NA,NA,5,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"478","Emilio Enrique Zeballos Gutiérrez","Zeballos","https://s.glbimg.com/es/sde/f/2017/04/25/002d92dbfd9e5915f565d1ba437c95d5_FORMATO.png",87859,10,"CHA","lat","Nulo",0,3,0,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"479","Giorgian Daniel de Arrascaeta Benedetti","Arrascaeta","https://s.glbimg.com/es/sde/f/2017/04/05/c7a931941057f3ba5a13209ed19a41f1_FORMATO.png",87863,10,"CRU","mei","Contundido",0,9.34,0,3.9,3,"Cruzeiro",4,3,3,8,13,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"480","Leonardo Artur de Melo","Léo Artur","https://s.glbimg.com/es/sde/f/2017/06/22/815076c3546beb2abb2496060f51deeb_FORMATO.png",82644,10,"PON","mei","Provável",-0.5,2.42,-0.15,0.63,7,"Ponte Preta",7,3,4,3,17,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"481","Jefferson Gabriel Orejuela Izquierdo","Orejuela","https://s.glbimg.com/es/sde/f/2017/01/13/f990ae4feff11a2f7f5bb847c2e3cdb5_FORMATO.png",87874,10,"FLU","mei","Provável",3.8,10.75,0.18,3.59,7,"Fluminense",6,NA,NA,17,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"482","Felipe Gedoz da Conceição","Felipe Gedoz ","https://s.glbimg.com/es/sde/f/2017/04/23/b22d35fda6b1ebe5b12170bfaf1dced7_FORMATO.png",87864,10,"ATL","mei","Nulo",0,8.33,0,-1.45,2,"Atlético-PR",4,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"483","Fabián Cornelio Balbuena González","Balbuena","https://s.glbimg.com/es/sde/f/2017/04/19/104f0248fd96daefe11d16e064dd8ce9_FORMATO.png",87887,10,"COR","zag","Provável",6.2,9.25,-0.46,6,7,"Corinthians",2,NA,2,5,19,4,NA,2,1,5,NA,NA,NA,2,NA,NA,NA,NA
"484","André Andrade de Castro","André Castro","https://s.glbimg.com/es/sde/f/2017/05/11/9b573723fd4d39c5179b8dfc70e31b3f_FORMATO.png",82754,10,"ATL","mei","Provável",0.3,1.51,0.38,0.67,9,"Atlético-GO",11,1,1,5,17,10,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"485","Júnior Nazareno Sornoza Moreira","Sornoza","https://s.glbimg.com/es/sde/f/2017/01/13/81e2c355bf1a4fff96dbce63945a25c2_FORMATO.png",87877,10,"FLU","mei","Contundido",0,15.81,0,5.05,2,"Fluminense",1,1,1,2,5,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA
"486","Gustavo Henrique Furtado Scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2016/04/29/6e433eb3cd2ccb3fe639c110479ebf7c_FORMATO.png",87999,10,"FLU","mei","Provável",6.8,12.13,0.74,3.24,9,"Fluminense",9,7,5,16,51,10,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"487","Régis Augusto Salmazzo","Régis","https://s.glbimg.com/es/sde/f/2017/02/21/9d27cbd1feb4ee89f8c73795d7d480ff_FORMATO.png",82647,10,"BAH","mei","Provável",0,15.67,0,6.33,3,"Bahia",NA,1,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"488","Toshiya Tojo","Toshi","https://s.glbimg.com/es/sde/f/2017/04/28/5e3d92955c32b6c74898e471661e6390_FORMATO.png",82791,10,"AVA","ata","Nulo",0,3,0,0,0,"Avaí",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"489","Tagueu Tadjo Diederrick Joel","Joel","https://s.glbimg.com/es/sde/f/2017/06/22/5c80b78fe327f41b3b8afc79d10defed_FORMATO.png",82787,10,"AVA","ata","Provável",15.7,5.51,3.15,3.84,5,"Avaí",6,1,1,5,3,2,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"490","Geremias Ribeiro Junior","Todinho","https://s.glbimg.com/es/sde/f/2017/06/09/2e36d120085f3fb7908f2921ee4c592e_FORMATO.png",87946,10,"VIT","ata","Nulo",0,1.17,0,1.35,2,"Vitória",1,NA,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
