"player_slug","player_id","player_nickname","player_team","player_position","price_cartoletas","score_mean","score_no_cleansheets_mean","diff_home_away_s","n_games","score_mean_home","score_mean_away","shots_x_mean","fouls_mean","DS_mean","PI_mean","A_mean","I_mean","FS_mean","FF_mean","G_mean","DD_mean","status","price_diff","last_points"
"marcelo-benevenuto",95638,"Marcelo Benevenuto","263","zag",6.13,2.5,0.833333333333333,-0.15369376265939,3,0.9,0.7,0.333333333333333,0.333333333333333,0.333333333333333,2.66666666666667,0,0,1.33333333333333,0.333333333333333,0,0,"Provável",-0.76,0.9
"nathan-silva",95794,"Nathan Silva","294","mei",2.39,1.2,1.2,0.725820426112559,3,2.7,-1.8,0,3.66666666666667,3,3,0,0,1.66666666666667,0,0,0,"Provável",-0.66,-1.3
"artur",95799,"Artur","Bragantino","ata",12.35,5.075,5.075,0,4,0,0,2.25,1,1.75,8.5,0.25,0,2.25,1,0,0,"Provável",-1.35,-1
"yan-sasse",96055,"Yan Sasse","294","mei",0.75,-0.833333333333333,-0.833333333333333,0.39855933261602,3,1.1,-1.8,0,2.33333333333333,1.33333333333333,3.33333333333333,0,0,0.666666666666667,0,0,0,"Suspenso",-1.56,-5.5
"lima",96340,"Lima","354","mei",4.43,2.06666666666667,2.06666666666667,-0.808215949652468,3,-1.3,1.7,0.333333333333333,0.666666666666667,1.33333333333333,3.33333333333333,0,0,3,0,0,0,"Nulo",-1.02,-1.3
"charles",96342,"Charles","354","mei",4.94,2.15,2.15,-0.255962854377058,4,1.9,2.2,0.25,1.25,3,4.25,0,0,0,0.25,0,0,"Contundido",-0.12,1.3
"quintero",96382,"Quintero","356","zag",1.03,-1,-2.66666666666667,-0.992300314744271,3,-4.6,-0.7,0.333333333333333,1.33333333333333,0.666666666666667,1,0,0,0.333333333333333,0.333333333333333,0,0,"Provável",-0.96,-0.7
"allan",96652,"Allan","282","mei",7.78,2.675,2.675,-0.54231631118653,4,1.4,3.1,1.5,2.5,3.75,5.25,0,0,0.5,1.5,0,0,"Provável",0.06,2.8
"saravia",96725,"Saravia","285","lat",20.31,13.9,8.9,0.848543336173761,3,17.3,12.2,1.33333333333333,3,8,7.66666666666667,0.333333333333333,0,2.33333333333333,0.666666666666667,0,0,"Provável",-0.73,5.1
"dudu",97133,"Dudu","373","lat",1.6,3.7,-1.3,0,2,3.7,0,0,4,1,8,0,0,1,0,0,0,"Suspenso",-3,-6.7
"janderson",97245,"Janderson","264","ata",4.14,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,0,"Nulo",-0.86,1
