,atletas.posicao_id,atletas.jogos_num,atletas.entrou_em_campo,atletas.media_num,atletas.apelido,atletas.variacao_num,atletas.clube_id,atletas.foto,atletas.clube.id.full.name,atletas.status_id,atletas.pontos_num,atletas.rodada_id,atletas.apelido_abreviado,atletas.slug,atletas.atleta_id,atletas.preco_num,atletas.nome,CA,DS,FC,FD,FF,FS,G,SG,A,I,PS,FT,V,CV,DE,DP,GS,PP,PC,GC
230,1,0,False,0.0,Keiller,0.0,354,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,6,0.0,24,Keiller,keiller,93834,3.0,Keiller da Silva Nunes,,,,,,,,,,,,,,,,,,,,
231,1,21,True,4.21,Cleiton,-0.85,280,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,RBB,7,0.3,24,Cleiton,cleiton,93882,7.11,Cleiton Schwengber,4.0,,,,,7.0,,5.0,,,,,,,73.0,,31.0,,,
232,4,10,True,5.41,Matheusinho,1.58,292,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,6,10.7,24,Matheusinho,matheusinho,93886,8.81,Matheus Leonardo Sales Cardoso,1.0,11.0,7.0,3.0,7.0,11.0,2.0,,2.0,1.0,,,,,,,,,,
233,5,15,True,4.04,Breno Lopes,-1.13,356,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,7,1.2,24,B. Lopes,breno-lopes,93988,6.8,Breno Henrique Vasconcelos Lopes,2.0,3.0,7.0,5.0,9.0,26.0,4.0,,,10.0,,1.0,,,,,,,,
234,4,11,True,1.65,Matheus Fernandes,-0.03,280,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,RBB,6,0.2,24,M. Fernandes,matheus-fernandes,94067,4.2,Matheus Fernandes Siqueira,2.0,14.0,9.0,,1.0,2.0,,,,,,,,,,,,,,
235,4,15,True,2.08,Maycon,0.21,264,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,COR,7,2.7,24,Maycon,maycon,94154,4.11,Maycon de Andrade Barberan,,14.0,7.0,,3.0,4.0,1.0,,,,,,,,,,,,,
236,5,17,True,6.84,Guilherme,1.3,277,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,SAN,7,10.7,24,Guilherme,guilherme,94207,10.8,Guilherme Augusto Vieira dos Santos,,26.0,9.0,9.0,17.0,29.0,4.0,,2.0,10.0,,,,,,,,,,
237,5,14,True,1.86,Matheus Babi,0.37,286,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,6,2.5,24,M. Babi,matheus-babi,94444,3.87,Matheus Barcelos da Silva,4.0,7.0,14.0,,4.0,10.0,2.0,,,4.0,,,,,,,,,,
238,4,12,True,3.11,Raphael Veiga,0.68,275,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,PAL,6,9.2,24,R. Veiga,raphael-veiga,94509,12.13,Raphael Cavalcante Veiga,,6.0,10.0,3.0,4.0,21.0,1.0,,1.0,,1.0,,,,,,,,,
239,3,4,True,0.93,Lucas Oliveira,-0.75,267,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,6,-1.3,24,L. Oliveira,lucas-oliveira,94514,3.58,Lucas da Cruz Oliveira,1.0,,1.0,,,,,1.0,,,,,,,,,,,,
240,5,17,True,7.7,Pedro,0.14,262,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,FLA,7,2.8,24,Pedro,pedro,94583,16.37,Pedro Guilherme Abreu dos Santos,3.0,8.0,9.0,14.0,4.0,10.0,10.0,,4.0,1.0,1.0,1.0,,,,,,1.0,,
241,4,3,True,2.47,Lucas Fernandes,0.64,286,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,6,4.4,24,L. Fernandes,lucas-fernandes,94931,5.62,Lucas Fernandes da Silva,,3.0,2.0,1.0,1.0,3.0,,,,,,,,,,,,,,
242,2,12,False,8.26,Juninho Capixaba,0.0,280,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,RBB,5,0.0,24,J. Capixaba,juninho-capixaba,94968,11.57,Luis Antônio da Rocha Júnior,1.0,29.0,17.0,4.0,7.0,27.0,1.0,6.0,,1.0,,,,,,,,,,
243,3,0,False,0.0,Gabriel Bahia,0.0,263,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,BOT,6,0.0,24,G. Bahia,gabriel-bahia,95106,3.0,Gabriel Henrique Feitosa da Silva,,,,,,,,,,,,,,,,,,,,
244,2,10,True,3.48,Nicolas,1.06,354,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,7,8.0,24,Nicolas,nicolas,95127,6.33,Nicolas Vecchiato da Silva - Vichiatto / Vechiatto,1.0,11.0,9.0,1.0,3.0,7.0,,3.0,,,,,,,,,,,,
245,5,20,True,4.21,Gabriel Taliari,0.12,286,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,7,1.8,24,G. Taliari,gabriel-taliari,95131,8.05,Gabriel Pereira Taliari,2.0,17.0,28.0,5.0,10.0,31.0,3.0,,2.0,3.0,,2.0,,,,,,,,
246,4,13,True,0.3,Giraldo,0.09,286,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,6,-0.6,24,Giraldo,giraldo,95354,1.83,Daniel Eduardo Giraldo Cárdenas,3.0,6.0,17.0,,2.0,3.0,,,,1.0,,,,,,,,,,
247,4,20,True,2.81,Rivera,-0.36,292,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,7,2.3,24,Rivera,rivera,95357,4.85,Christian Hernando Rivera Cuéllar,5.0,43.0,50.0,,,24.0,,,,2.0,,,,,,,,,,
248,2,10,False,3.17,Igor Vinícius,0.0,277,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,SAN,7,0.0,24,I. Vinícius,igor-vinicius,95466,6.52,Igor Vinícius de Souza,3.0,13.0,13.0,3.0,3.0,6.0,,2.0,,,,,,,,,,,,
249,4,19,True,3.42,Raniele,-0.05,264,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,COR,6,1.3,24,Raniele,raniele,95556,5.72,Raniele Almeida Melo,4.0,31.0,21.0,4.0,5.0,30.0,,,1.0,,,,,,,,,,,
250,3,0,False,0.0,Marcelo Benevenuto,0.0,356,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,FOR,5,0.0,24,M. Benevenuto,marcelo-benevenuto,95638,5.0,Marcelo da Conceição Benevenuto Malaquias,,,,,,,,,,,,,,,,,,,,
251,4,1,True,0.0,Lucas Kal,-0.46,292,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,7,0.0,24,L. Kal,lucas-kal,95662,4.54,Lucas Kal Schenfeld Prigioli,,,,,,,,,,,,,,,,,,,,
252,5,15,False,4.72,Artur,0.0,263,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,BOT,6,0.0,24,Artur,artur,95799,9.43,Artur Victor Guimarães,1.0,8.0,8.0,6.0,10.0,16.0,2.0,,4.0,1.0,,1.0,,,,,,,,
253,1,2,False,-0.7,Daniel Fuzato,0.0,267,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,6,0.0,24,D. Fuzato,daniel-fuzato,95936,2.04,Daniel Cerântula Fuzato,,,,,,,,,,,,,,,2.0,,4.0,,,
254,4,16,True,1.92,Lima,-0.31,266,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,6,0.5,24,Lima,lima,96340,4.67,Vinícius Moreira de Lima,2.0,4.0,13.0,3.0,7.0,21.0,1.0,,,1.0,,1.0,,,,,,,,
255,4,11,False,1.49,Charles,0.0,264,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,COR,6,0.0,24,Charles,charles,96342,2.96,Charles Rigon Mattos,2.0,15.0,17.0,1.0,,2.0,,,,2.0,,,,,,,,,1.0,
256,5,11,True,1.77,Joaquín Correa,-0.32,263,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,BOT,6,1.0,24,J. Correa,joaquin-correa,96353,7.56,Carlos Joaquín Correa,1.0,5.0,5.0,5.0,4.0,11.0,,,,2.0,,,,,,,,,,
257,4,22,True,7.62,Matheus Pereira,-0.37,283,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,CRU,7,1.2,24,M. Pereira,matheus-pereira,96610,14.24,Matheus Fellipe Costa Pereira,5.0,30.0,27.0,14.0,16.0,67.0,5.0,,6.0,5.0,,1.0,,,,,,,,
258,4,13,True,0.56,Allan,0.55,262,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,FLA,6,3.0,24,Allan,allan,96652,2.22,Allan Rodrigues de Souza,2.0,5.0,19.0,2.0,2.0,7.0,,,,,,,,,,,,,,
259,5,2,True,2.1,Rigoni,-0.75,276,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,7,0.0,24,Rigoni,rigoni,96684,5.36,Emiliano Ariel Rigoni,1.0,,4.0,2.0,1.0,1.0,,,,3.0,,1.0,,,,,,,,
260,2,8,False,3.48,Saravia,0.0,282,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,CAM,5,0.0,24,Saravia,saravia,96725,6.02,Renzo Saravia,1.0,6.0,11.0,,2.0,3.0,,4.0,,,,,,,,,,,,
261,3,3,True,3.83,Camutanga,0.78,287,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,7,5.0,24,Camutanga,camutanga,96793,6.0,Cleidson Andrade da Souza Silva,1.0,4.0,3.0,1.0,1.0,1.0,,1.0,,1.0,,,,,,,,,,
262,5,4,False,2.02,Carlinhos,0.0,287,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,6,0.0,24,Carlinhos,carlinhos,96831,4.71,Carlos Moisés de Lima,2.0,1.0,8.0,,4.0,,1.0,,,2.0,,,,,,,,,,
263,2,5,True,6.46,Emerson Royal,-1.6,262,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,FLA,6,5.5,24,E. Royal,emerson-royal,96870,10.78,Emerson Aparecido Leite de Souza Júnior,,10.0,5.0,,1.0,10.0,1.0,1.0,,,,,,,,,,,,
264,1,0,False,0.0,Guruceaga,0.0,286,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,6,0.0,24,Guruceaga,guruceaga,96874,4.0,Gastón Guruceaga Fagúndez,,,,,,,,,,,,,,,,,,,,
265,3,2,True,5.75,Carlos Cuesta,-0.57,267,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,6,2.6,24,C. Cuesta,carlos-cuesta,97095,10.05,Carlos Eccehomo Cuesta Figueroa,,2.0,4.0,1.0,,1.0,1.0,,,,,,,,,,,,,
266,4,15,False,3.93,Villasanti,0.0,284,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,GRE,5,0.0,24,Villasanti,villasanti,97145,9.45,Mathías Adalberto Villasanti Rolón,5.0,42.0,24.0,,4.0,10.0,,,,,,,,,,,,,,
267,5,10,True,4.22,Alesson,-1.01,2305,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,7,2.0,24,Alesson,alesson,97321,6.2,Alesson dos Santos Batista,,5.0,11.0,,2.0,6.0,3.0,,2.0,5.0,,,,,,,,,,
268,6,22,True,5.52,Rogério Ceni,0.0,265,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,BAH,7,4.07,24,R. Ceni,rogerio-ceni,97341,9.1,Rogério Mücke Ceni,,,,,,,,,,,,,10.0,,,,,,,
269,3,18,False,3.03,João Victor,0.0,2305,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,7,0.0,24,J. Victor,joao-victor,97460,4.13,João Victor Carroll Santana,5.0,12.0,15.0,1.0,3.0,9.0,1.0,5.0,1.0,1.0,,1.0,,1.0,,,,,,
270,2,8,True,5.93,Marçal,0.91,263,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,BOT,6,7.2,24,Marçal,marcal,97468,9.39,Fernando Marçal de Oliveira,3.0,10.0,13.0,,1.0,3.0,2.0,4.0,,,,,,,,,,,,
271,4,2,True,1.2,Shaylon,-0.32,2305,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,MIR,6,1.2,24,Shaylon,shaylon,97520,5.54,Shaylon Kallyson Cardozo - Cardoso,,1.0,1.0,1.0,,,,,,,,,,,,,,,,
272,3,9,False,3.72,Félix Torres,0.0,264,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,COR,6,0.0,24,F. Torres,felix-torres,97642,6.74,Félix Eduardo Torres Caicedo,1.0,14.0,12.0,,2.0,1.0,,3.0,,,,,,,,,,,,
273,1,0,False,0.0,Thiago Couto,0.0,287,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,6,0.0,24,T. Couto,thiago-couto,97645,3.0,Thiago Couto Wenceslau,,,,,,,,,,,,,,,,,,,,
274,3,8,False,3.27,Murilo,0.0,275,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,PAL,7,0.0,24,Murilo,murilo,97653,7.47,Murilo Cerqueira Paim,4.0,5.0,13.0,1.0,3.0,2.0,1.0,3.0,,,,,,,,,,,1.0,
275,5,18,True,4.86,Erick,-0.03,287,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,7,4.7,24,Erick,erick,97810,7.15,Erick de Arruda Serafim,4.0,11.0,14.0,6.0,12.0,45.0,3.0,,2.0,,,2.0,,,,,,,,
276,3,21,True,5.19,Léo Ortiz,0.29,262,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,FLA,7,1.5,24,L. Ortiz,leo-ortiz,97867,7.23,Leonardo Rech Ortiz,3.0,18.0,16.0,3.0,7.0,3.0,1.0,11.0,2.0,1.0,,2.0,,,,,,,,
277,2,7,True,2.73,Iago,-0.94,265,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,BAH,6,0.0,24,Iago,iago,97868,4.46,Iago Amaral Borduchi,,4.0,2.0,1.0,2.0,2.0,,2.0,,1.0,,,,,,,,,,
278,2,1,True,0.9,Maílton,-0.11,276,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,6,0.9,24,Maílton,mailton,97898,4.89,Maílton dos Santos de Sá,,,2.0,,,3.0,,,,,,,,,,,,,,
