,atletas.slug,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.apelido_abreviado,atletas.nome,atletas.media_num,atletas.variacao_num,atletas.atleta_id,atletas.status_id,atletas.clube.id.full.name,atletas.preco_num,atletas.jogos_num,atletas.rodada_id,atletas.entrou_em_campo,atletas.foto,atletas.apelido,DS,FC,FD,FF,FS,I,SG,CA,A,FT,G,CV,PC,PS,DE,GS,DP,V,PP,GC
37,willian-jose,0.0,265,5,W. José,Willian José da Silva,3.05,0.0,68996,6,BAH,6.84,11,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Willian José,,3.0,4.0,4.0,3.0,,,2.0,1.0,2.0,2.0,,,,,,,,,
38,manoel,0.0,266,3,Manoel,Manoel Messias Silva Carvalho,0.0,0.0,69014,6,FLU,5.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Manoel,,,,,,,,,,,,,,,,,,,,
39,danilo-fernandes,0.0,265,1,D. Fernandes,Danilo Fernandes Batista,0.0,0.0,69051,6,BAH,4.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Danilo Fernandes,,,,,,,,,,,,,,,,,,,,
40,pablo,0.0,292,5,Pablo,Pablo Felipe Teixeira,3.27,0.0,69138,5,SPT,6.43,7,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Pablo,5.0,8.0,2.0,5.0,10.0,6.0,,1.0,,,1.0,,,,,,,,,
41,allan,0.0,263,4,Allan,Allan Marques Loureiro,0.62,0.0,69140,6,BOT,2.84,6,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Allan,3.0,10.0,1.0,,4.0,,,1.0,,,,,,,,,,,,
42,danilo,4.9,262,3,Danilo,Danilo Luiz da Silva,6.63,-0.05,69783,5,FLA,14.33,6,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Danilo,4.0,8.0,1.0,,4.0,,5.0,,,,1.0,,,,,,,,,
43,lucas-moura,0.0,276,4,L. Moura,Lucas Rodrigues Moura da Silva,0.0,0.0,70164,5,SAO,5.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Lucas Moura,,,,,,,,,,,,,,,,,,,,
44,gustavo,-0.1,286,1,Gustavo,Luiz Gustavo de Almeida Pinto,3.22,-1.4,70216,7,JUV,4.45,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Gustavo,1.0,,,,,,1.0,1.0,,,,,,,24.0,18.0,1.0,,,
45,bruno-uvini,0.0,287,3,B. Uvini,Bruno Uvini Bortolança,0.0,0.0,70221,6,VIT,4.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Bruno Uvini,,,,,,,,,,,,,,,,,,,,
46,eduardo-sasha,0.0,280,5,E. Sasha,Eduardo Colcenti Antunes,4.55,0.0,70360,7,RBB,8.26,14,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Eduardo Sasha,5.0,4.0,10.0,10.0,17.0,1.0,,3.0,1.0,1.0,3.0,,,,,,,,,
47,gabriel,4.2,292,1,Gabriel,Gabriel Vasconcelos Ferreira,1.1,0.89,70449,6,SPT,3.7,3,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Gabriel,,,,,1.0,,,,,,,,,,6.0,5.0,,,,
48,felipe-anderson,4.2,275,4,F. Anderson,Felipe Anderson Pereira Gomes,3.17,-0.05,70592,7,PAL,6.72,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Felipe Anderson,14.0,9.0,3.0,5.0,6.0,1.0,,,,1.0,,,,,,,,,,
49,marllon,-1.6,354,3,Marllon,Marllon Gonçalves Jerônimo Borges,4.32,-0.71,70666,7,CEA,6.92,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Marllon,7.0,8.0,,1.0,6.0,,5.0,1.0,,,2.0,,,,,,,,,
50,fabio-carille,6.6,287,6,F. Carille,Fábio Luiz Carille de Araújo,5.09,0.39,70696,7,VIT,8.82,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Fábio Carille,,,,,,,,,,,,,,,,,,3.0,,
51,enner-valencia,1.3,285,5,E. Valencia,Enner Remberto Valencia Lastra,2.18,-0.03,70788,6,INT,6.12,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Enner Valencia,1.0,12.0,4.0,5.0,9.0,3.0,,,,1.0,1.0,,,,,,,,,
52,diogo-barbosa,5.9,356,2,D. Barbosa,Diogo Barbosa Mendanha,4.55,0.8,70916,6,FOR,8.44,7,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Diogo Barbosa,8.0,3.0,,1.0,6.0,,2.0,1.0,,,1.0,,,,,,,,,
53,bruno-henrique,2.6,285,4,B. Henrique,Bruno Henrique Corsini,3.15,-0.42,70944,7,INT,6.63,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Bruno Henrique,17.0,24.0,3.0,6.0,6.0,,,,,,1.0,1.0,,,,,,,,
54,thiago-mendes,0.0,267,4,T. Mendes,Thiago Henrique Mendes Ribeiro,0.0,0.0,71123,6,VAS,7.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Thiago Mendes,,,,,,,,,,,,,,,,,,,,
55,luiz-gustavo,0.0,276,4,L. Gustavo,Luiz Gustavo Dias,9.6,0.0,71536,5,SAO,10.73,1,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Luiz Gustavo,4.0,4.0,,1.0,2.0,,,,,1.0,,,,,,,,,,
56,fernando-miguel,0.0,354,1,F. Miguel,Fernando Miguel Kaufmann,6.18,0.0,71571,6,CEA,7.02,6,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Fernando Miguel,,,,,6.0,,3.0,,,,,,,,17.0,3.0,,,,
57,weverton,-0.7,275,1,Weverton,Weverton Pereira da Silva,4.47,-0.25,71631,7,PAL,7.86,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Weverton,,,,,6.0,,5.0,1.0,,,,,,,27.0,11.0,1.0,,,
58,raul-caceres,7.0,287,2,R. Cáceres,Raúl Alejandro Cáceres Bogado,2.22,0.69,71680,7,VIT,3.45,5,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Raúl Cáceres,3.0,6.0,,,1.0,1.0,2.0,2.0,,,,,,,,,,,,
59,gustavo-gomez,6.1,275,3,G. Gómez,Gustavo Raúl Gómez Portillo,4.3,0.16,71684,7,PAL,9.49,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Gustavo Gómez,15.0,13.0,1.0,4.0,7.0,5.0,4.0,3.0,,,,,,,,,,,,
60,santiago-arias,0.0,265,2,S. Arias,Santiago Arias Naranjo,1.84,0.0,71701,6,BAH,6.17,5,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Santiago Arias,2.0,,1.0,,2.0,,1.0,1.0,,,,,,,,,,,,
61,cuellar,0.0,284,4,Cuéllar,Gustavo Leonardo Cuellar Gallego,3.1,0.0,71709,5,GRE,6.52,2,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Cuéllar,4.0,1.0,,,1.0,,,,,,,,,,,,,,,
62,tiago-volpi,6.8,284,1,T. Volpi,Tiago Luis Volpi,3.88,0.86,72018,6,GRE,7.53,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Tiago Volpi,,,,,5.0,,3.0,2.0,,,,,1.0,,46.0,20.0,,,,
63,thomazella,0.0,2305,1,Thomazella,Carlos Eduardo Lecciolle Thomazella,0.0,0.0,72279,6,MIR,2.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Thomazella,,,,,,,,,,,,,,,,,,,,
64,everson,3.5,282,1,Everson,Everson Felipe Marques Pires,5.32,-0.38,72294,6,CAM,9.95,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Everson,,,,,4.0,,7.0,3.0,,,,,,,37.0,13.0,,,,
65,luiz-otavio,0.0,354,3,L. Otávio,Luiz Otávio Anacleto Leandro,0.0,0.0,72359,5,CEA,4.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Luiz Otávio,,,,,,,,,,,,,,,,,,,,
66,fernando-diniz,4.57,267,6,F. Diniz,Fernando Diniz Silva,4.8,0.25,72391,6,VAS,9.49,6,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Fernando Diniz,,,,,,,,,,,,,,,,,,2.0,,
67,bernard,-0.3,282,4,Bernard,Bernard Anício Caldeira Duarte,0.89,-0.34,72460,6,CAM,3.66,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Bernard,7.0,6.0,,1.0,3.0,1.0,,1.0,,,,,,,,,,,,
68,alex-telles,9.3,263,2,A. Telles,Alex Nicolao Telles,5.68,0.6,72493,6,BOT,11.09,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Alex Telles,7.0,13.0,2.0,4.0,8.0,1.0,9.0,1.0,,,1.0,,,,,,,,,
69,pedro-henrique,4.9,354,5,P. Henrique,Pedro Henrique Konzen Medina da Silva,3.63,0.76,72583,7,CEA,7.61,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Pedro Henrique,7.0,15.0,4.0,7.0,10.0,3.0,,2.0,,1.0,1.0,,1.0,,,,,,,
70,vitor-hugo,0.0,282,3,V. Hugo,Vitor Hugo Franchescoli de Souza,5.92,0.0,72605,6,CAM,8.15,5,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Vitor Hugo,5.0,,,2.0,1.0,,4.0,,,,,,,,,,,,,
71,wilker-angel,1.4,286,3,W. Ángel,Wílker José Ángel Romero,0.65,-0.35,72801,7,JUV,2.78,7,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Wilker Ángel,2.0,9.0,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,
72,mercado,0.0,285,3,Mercado,Gabriel Iván Mercado,0.0,0.0,72951,6,INT,6.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Mercado,,,,,,,,,,,,,,,,,,,,
73,daniel-borges,5.0,2305,2,D. Borges,Daniel Fortunato Borges,3.88,0.88,73318,7,MIR,4.71,6,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Daniel Borges,3.0,5.0,,1.0,1.0,,1.0,2.0,,,2.0,,,,,,,,,
74,samuel-xavier,0.0,266,2,S. Xavier,Samuel Xavier Brito,4.44,0.0,73384,7,FLU,8.82,10,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Samuel Xavier,8.0,13.0,1.0,2.0,15.0,,3.0,2.0,1.0,,1.0,,,,,,,,,
