,atletas.slug,atletas.pontos_num,atletas.clube_id,atletas.posicao_id,atletas.apelido_abreviado,atletas.nome,atletas.media_num,atletas.variacao_num,atletas.atleta_id,atletas.status_id,atletas.clube.id.full.name,atletas.preco_num,atletas.jogos_num,atletas.rodada_id,atletas.entrou_em_campo,atletas.foto,atletas.apelido,DS,FC,FD,FF,FS,I,SG,CA,A,FT,G,CV,PC,PS,DE,GS,DP,V,PP,GC
232,wanderson,1.5,283,5,Wanderson,Wanderson Maciel Sousa Campos,2.07,0.15,93478,7,CRU,5.26,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Wanderson,7.0,17.0,7.0,12.0,8.0,4.0,,1.0,,1.0,,,,,,,,,,
233,bruno-tubarao,-0.1,354,2,B. Tubarão,Bruno Nunes de Barros,2.57,-0.43,93637,6,CEA,4.8,6,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Bruno Tubarão,,1.0,,1.0,,1.0,3.0,,,,,,,,,,,,,
234,paulo-henrique,5.4,267,2,P. Henrique,Paulo Henrique de Oliveira Alves,7.72,0.44,93716,6,VAS,12.68,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Paulo Henrique,38.0,21.0,3.0,4.0,7.0,1.0,2.0,4.0,3.0,1.0,,,,,,,,,,
235,marlon-freitas,1.9,263,4,M. Freitas,Marlon Rodrigues Freitas,2.61,-0.15,93790,6,BOT,5.74,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Marlon Freitas,11.0,12.0,3.0,3.0,6.0,,,3.0,3.0,,,,,,,,,,,
236,keiller,0.0,354,1,Keiller,Keiller da Silva Nunes,0.0,0.0,93834,6,CEA,3.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Keiller,,,,,,,,,,,,,,,,,,,,
237,marcao,0.0,286,1,Marcão,Marcos Venicius Santos Miranda - Vinícius,5.93,0.0,93879,6,JUV,7.5,6,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Marcão,,,,,,,1.0,,,,,,1.0,,32.0,10.0,,,,
238,cleiton,0.3,280,1,Cleiton,Cleiton Schwengber,4.91,-0.42,93882,7,RBB,7.44,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Cleiton,,,,,3.0,,5.0,2.0,,,,,,,41.0,14.0,,,,
239,matheusinho,2.0,292,4,Matheusinho,Matheus Leonardo Sales Cardoso,2.0,0.33,93886,6,SPT,5.33,1,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Matheusinho,1.0,,,,1.0,,,,,,,,,,,,,,,
240,breno-lopes,4.4,356,5,B. Lopes,Breno Henrique Vasconcelos Lopes,3.53,0.63,93988,6,FOR,6.91,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Breno Lopes,2.0,6.0,3.0,7.0,17.0,7.0,,1.0,,1.0,1.0,,,,,,,,,
241,john,11.5,263,1,John,John Victor Maciel Furtado,7.23,0.76,94044,6,BOT,12.96,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,John,1.0,1.0,,,3.0,,9.0,2.0,,,,,,,41.0,5.0,,,,
242,matheus-fernandes,0.0,280,4,M. Fernandes,Matheus Fernandes Siqueira,2.27,0.0,94067,5,RBB,4.9,8,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Matheus Fernandes,13.0,7.0,,1.0,2.0,,,1.0,,,,,,,,,,,,
243,maycon,0.0,264,4,Maycon,Maycon de Andrade Barberan,1.3,0.0,94154,5,COR,3.58,11,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Maycon,9.0,3.0,,1.0,2.0,,,,,,,,,,,,,,,
244,diego-pituca,4.2,277,4,D. Pituca,Diego Cristiano Evaristo,1.53,0.55,94156,6,SAN,4.48,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Diego Pituca,4.0,6.0,,2.0,7.0,,,2.0,,,1.0,,,,,,,,,
245,guilherme,0.2,277,5,Guilherme,Guilherme Augusto Vieira dos Santos,6.88,-1.28,94207,7,SAN,9.17,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Guilherme,21.0,6.0,5.0,11.0,21.0,3.0,,,1.0,,2.0,,,,,,,,,
246,matheus-babi,1.2,286,5,M. Babi,Matheus Barcelos da Silva,1.87,0.09,94444,6,JUV,3.83,7,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Matheus Babi,4.0,5.0,,1.0,2.0,2.0,,1.0,,,1.0,,,,,,,,,
247,raphael-veiga,0.5,275,4,R. Veiga,Raphael Cavalcante Veiga,2.92,-1.54,94509,7,PAL,12.21,7,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Raphael Veiga,3.0,3.0,2.0,3.0,12.0,,,,1.0,,,,,1.0,,,,,,
248,lucas-oliveira,0.0,267,3,L. Oliveira,Lucas da Cruz Oliveira,0.0,0.0,94514,6,VAS,4.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Lucas Oliveira,,,,,,,,,,,,,,,,,,,,
249,pedro,8.2,262,5,Pedro,Pedro Guilherme Abreu dos Santos,7.28,0.03,94583,6,FLA,17.68,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Pedro,2.0,1.0,8.0,1.0,7.0,1.0,,1.0,2.0,1.0,5.0,,,1.0,,,,,1.0,
250,lucas-fernandes,0.0,286,4,L. Fernandes,Lucas Fernandes da Silva,0.0,0.0,94931,6,JUV,5.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Lucas Fernandes,,,,,,,,,,,,,,,,,,,,
251,juninho-capixaba,0.0,280,2,J. Capixaba,Luis Antônio da Rocha Júnior,8.26,0.0,94968,5,RBB,11.57,12,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Juninho Capixaba,29.0,17.0,4.0,7.0,27.0,1.0,6.0,1.0,,,1.0,,,,,,,,,
252,nicolas,0.0,354,2,Nicolas,Nicolas Vecchiato da Silva - Vichiatto / Vechiatto,3.67,0.0,95127,7,CEA,5.6,4,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Nicolas,3.0,2.0,,1.0,,,2.0,,,,,,,,,,,,,
253,gabriel-taliari,5.8,286,5,G. Taliari,Gabriel Pereira Taliari,5.3,-0.39,95131,7,JUV,9.22,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Gabriel Taliari,11.0,15.0,4.0,6.0,16.0,3.0,,,2.0,1.0,2.0,,,,,,,,,
254,giraldo,0.0,286,4,Giraldo,Daniel Eduardo Giraldo Cárdenas,0.54,0.0,95354,6,JUV,2.09,7,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Giraldo,4.0,11.0,,2.0,3.0,,,2.0,,,,,,,,,,,,
255,rivera,7.1,292,4,Rivera,Christian Hernando Rivera Cuéllar,3.04,0.99,95357,7,SPT,5.49,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Rivera,26.0,27.0,,,13.0,,,4.0,,,,,,,,,,,,
256,igor-vinicius,3.5,277,2,I. Vinícius,Igor Vinícius de Souza,3.8,-0.29,95466,6,SAN,7.59,4,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,Igor Vinícius,5.0,2.0,1.0,2.0,3.0,,1.0,1.0,,,,,,,,,,,,
257,raniele,1.2,264,4,Raniele,Raniele Almeida Melo,2.58,-0.17,95556,3,COR,5.22,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Raniele,18.0,14.0,2.0,3.0,18.0,,,3.0,,,,,,,,,,,,
258,artur,1.0,263,5,Artur,Artur Victor Guimarães,5.04,-0.82,95799,6,BOT,9.13,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Artur,8.0,8.0,4.0,7.0,15.0,1.0,,1.0,3.0,1.0,2.0,,,,,,,,,
259,daniel-fuzato,0.0,267,1,D. Fuzato,Daniel Cerântula Fuzato,0.0,0.0,95936,6,VAS,3.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Daniel Fuzato,,,,,,,,,,,,,,,,,,,,
260,lima,3.0,266,4,Lima,Vinícius Moreira de Lima,2.41,-0.12,96340,6,FLU,5.46,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Lima,2.0,7.0,2.0,6.0,12.0,,,1.0,,1.0,1.0,,,,,,,,,
261,charles,0.0,264,4,Charles,Charles Rigon Mattos,-0.08,0.0,96342,6,COR,2.53,5,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Charles,1.0,3.0,,,,,,1.0,,,,,,,,,,,,
262,joaquin-correa,3.2,263,5,J. Correa,Carlos Joaquín Correa,1.73,-0.63,96353,6,BOT,11.34,3,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Joaquín Correa,1.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,
263,matheus-pereira,0.5,283,4,M. Pereira,Matheus Fellipe Costa Pereira,8.32,-2.09,96610,7,CRU,14.75,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Matheus Pereira,23.0,17.0,11.0,9.0,43.0,2.0,,4.0,5.0,,2.0,,,,,,,,,
264,allan,-1.4,262,4,Allan,Allan Rodrigues de Souza,0.46,-0.94,96652,7,FLA,1.81,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Allan,2.0,11.0,1.0,1.0,6.0,,,1.0,,,,,,,,,,,,
265,saravia,1.5,282,2,Saravia,Renzo Saravia,3.79,-0.71,96725,6,CAM,6.15,7,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Saravia,4.0,7.0,,2.0,2.0,,4.0,,,,,,,,,,,,,
266,carlinhos,0.0,287,5,Carlinhos,Carlos Moisés de Lima,1.93,0.0,96831,6,VIT,4.57,3,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Carlinhos,,8.0,,3.0,,2.0,,2.0,,,1.0,,,,,,,,,
267,villasanti,0.2,284,4,Villasanti,Mathías Adalberto Villasanti Rolón,4.58,-0.84,97145,6,GRE,9.79,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Villasanti,40.0,23.0,,3.0,9.0,,,5.0,,,,,,,,,,,,
268,alesson,4.3,2305,5,Alesson,Alesson dos Santos Batista,2.35,0.7,97321,2,MIR,5.43,2,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Alesson,1.0,5.0,,,,3.0,,,1.0,,,,,,,,,,,
269,rogerio-ceni,3.89,265,6,R. Ceni,Rogério Mücke Ceni,5.36,-0.23,97341,6,BAH,8.85,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Rogério Ceni,,,,,,,,,,,,,,,,,,7.0,,
270,joao-victor,1.7,2305,3,J. Victor,João Victor Carroll Santana,2.47,-0.79,97460,3,MIR,2.93,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,João Victor,9.0,10.0,1.0,3.0,6.0,1.0,3.0,2.0,1.0,,,1.0,,,,,,,,
271,marcal,0.0,263,2,Marçal,Fernando Marçal de Oliveira,4.6,0.0,97468,6,BOT,6.8,2,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Marçal,,1.0,,,1.0,,2.0,2.0,,,,,,,,,,,,
272,felix-torres,1.5,264,3,F. Torres,Félix Eduardo Torres Caicedo,4.18,-0.77,97642,6,COR,6.82,7,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Félix Torres,11.0,11.0,,2.0,1.0,,3.0,1.0,,,,,,,,,,,,
273,thiago-couto,0.0,287,1,T. Couto,Thiago Couto Wenceslau,0.0,0.0,97645,6,VIT,3.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Thiago Couto,,,,,,,,,,,,,,,,,,,,
274,murilo,0.0,275,3,Murilo,Murilo Cerqueira Paim,2.82,0.0,97653,5,PAL,7.72,4,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Murilo,2.0,8.0,1.0,,1.0,,1.0,3.0,,,1.0,,1.0,,,,,,,
275,erick,3.4,287,5,Erick,Erick de Arruda Serafim,3.17,0.37,97810,6,VIT,5.76,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Erick,4.0,8.0,5.0,8.0,22.0,,,2.0,2.0,,,,,,,,,,,
276,leo-ortiz,11.7,262,3,L. Ortiz,Leonardo Rech Ortiz,6.18,1.63,97867,7,FLA,8.62,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Léo Ortiz,10.0,11.0,3.0,5.0,2.0,,9.0,1.0,2.0,2.0,,,,,,,,,,
277,iago,0.0,265,2,Iago,Iago Amaral Borduchi,2.66,0.0,97868,6,BAH,4.39,5,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Iago,4.0,2.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,
278,matheus-bahia,1.0,354,2,M. Bahia,Matheus Bahia Santos,6.77,-0.44,97899,3,CEA,8.83,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Matheus Bahia,17.0,7.0,2.0,2.0,11.0,,5.0,2.0,1.0,,,,,,,,,,,
279,vitao,8.8,285,3,Vitão,Vitor Eduardo da Silva Matos,3.7,0.37,97900,7,INT,8.59,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Vitão,16.0,7.0,1.0,1.0,1.0,,4.0,2.0,1.0,,,,,,,,,,,1.0
280,erick,0.0,265,4,Erick,Erick Luis Conrado de Carvalho,3.53,0.0,98022,5,BAH,8.32,8,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Erick,14.0,12.0,,2.0,3.0,2.0,,3.0,,1.0,1.0,,,,,,,,,
281,pedro-raul,2.9,354,5,P. Raul,Pedro Raul Garay da Silva,3.35,0.32,98225,7,CEA,7.84,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Pedro Raul,3.0,21.0,4.0,12.0,14.0,18.0,,3.0,,2.0,2.0,,,,,,,,,
282,bastos,0.0,263,3,Bastos,Bartolomeu Jacinto Quissanga,0.0,0.0,98280,5,BOT,11.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Bastos,,,,,,,,,,,,,,,,,,,,
283,val-soares,0.0,287,4,V. Soares,Valdemir de Oliveira Soares,0.0,0.0,98306,5,VIT,3.0,0,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Val Soares,,,,,,,,,,,,,,,,,,,,
284,negueba,5.4,2305,5,Negueba,Luiz Henrique Soares Firmino,2.03,0.89,98384,6,MIR,3.8,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Negueba,6.0,7.0,2.0,4.0,16.0,2.0,,2.0,,,,,,,,,,,,
285,kanu,0.0,265,3,Kanu,Victor Hugo Soares dos Santos,2.85,0.0,98484,5,BAH,4.58,2,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Kanu,4.0,1.0,,,,,,,,,,,,,,,,,,
286,jean-lucas,4.5,265,4,J. Lucas,Jean Lucas de Souza Oliveira,3.2,-0.4,98517,6,BAH,5.9,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Jean Lucas,21.0,10.0,1.0,6.0,12.0,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,
287,kuscevic,3.5,356,3,Kuscevic,Benjamín Kuščević Jaramillo,3.4,0.18,98619,6,FOR,6.44,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Kuscevic,14.0,11.0,,2.0,3.0,,4.0,,,,,,,,,,,,,
288,savarino,0.0,263,4,Savarino,Jefferson David Savarino Quintero,4.96,0.0,98672,6,BOT,10.45,9,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Savarino,4.0,4.0,7.0,10.0,7.0,1.0,,1.0,1.0,,2.0,,,,,,,,,
289,angileri,2.3,264,2,Angileri,Fabrizio Germán Angileri - Fabricio,2.72,-0.37,98720,6,COR,4.77,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Angileri,11.0,7.0,,3.0,3.0,,2.0,1.0,,,,,,,,,,,,
290,cuello,0.0,282,5,Cuello,Tomás Esteban Cuello,3.63,0.0,98909,6,CAM,7.49,9,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Cuello,6.0,11.0,6.0,9.0,15.0,,,3.0,,,1.0,,,,,,,,,
291,vina,5.0,262,2,Viña,Matías Nicolás Viña Susperreguy,4.85,0.41,98974,6,FLA,9.4,2,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Viña,,1.0,,,,,2.0,,,,,,,,,,,,,
292,lourenco,5.0,354,4,Lourenço,João Paulo Ferreira Lourenço,1.83,0.81,99032,6,CEA,4.32,10,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Lourenço,10.0,9.0,2.0,2.0,4.0,,,,,,,,,,,,,,,
293,lucas-braga,2.0,287,5,L. Braga,Lucas Braga Ribeiro,1.86,0.2,99119,7,VIT,4.99,9,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Lucas Braga,4.0,7.0,,2.0,9.0,2.0,,1.0,,,1.0,,,,,,,,,
294,vegetti,8.0,267,5,Vegetti,Pablo Vegetti,7.11,0.91,99198,6,VAS,15.61,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Vegetti,3.0,17.0,5.0,14.0,12.0,3.0,,1.0,1.0,2.0,7.0,,,,,,,,,1.0
295,puma-rodriguez,0.0,267,2,P. Rodríguez,José Luis Rodríguez Bebanz,1.08,0.0,99213,6,VAS,3.54,5,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Puma Rodríguez,3.0,4.0,,2.0,1.0,,,,,,,,,,,,,,,
296,ignacio-ramirez,0.8,292,5,I. Ramírez,Juan Ignacio Ramírez Polero,0.8,0.04,99221,6,SPT,3.04,1,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Ignacio Ramírez,,,,1.0,,,,,,,,,,,,,,,,
297,de-la-cruz,0.0,262,4,D. Cruz,Diego Nicolás de la Cruz Arcosa,2.25,0.0,99228,6,FLA,8.21,9,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,De la Cruz,9.0,11.0,3.0,,19.0,,,3.0,,,,,,,,,,,,
298,bareiro,0.5,356,5,Bareiro,Adam Fernando Bareiro Gamarra,0.5,-0.44,99248,6,FOR,6.56,1,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Bareiro,,1.0,,1.0,,,,,,,,,,,,,,,,
299,chico,0.9,292,3,Chico,Francisco Alves da Silva Neto - Melo,3.05,-0.36,99253,7,SPT,5.55,13,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Chico,17.0,7.0,1.0,5.0,6.0,,2.0,1.0,,,,,1.0,,,,,,,
300,pochettino,2.2,356,4,Pochettino,Tomás Pochettino,6.09,-0.08,99267,6,FOR,11.54,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Pochettino,14.0,4.0,6.0,8.0,5.0,1.0,,,1.0,,1.0,,,,,,,,,
301,alexander-barboza,11.0,263,3,A. Barboza,Alexander Nahuel Barboza Ullúa,7.29,0.49,99274,6,BOT,12.02,8,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Alexander Barboza,22.0,13.0,,4.0,,,6.0,4.0,,,,,,,,,,,,
302,dinenno,0.0,276,5,Dinenno,Juan Ignacio Dinenno de Cara,0.3,0.0,99316,6,SAO,5.24,3,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Dinenno,1.0,3.0,,1.0,1.0,,,1.0,,,,,,,,,,,,
303,michael,0.0,262,5,Michael,Michael Richard Delgado de Oliveira,3.89,0.0,99392,6,FLA,8.08,10,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Michael,7.0,1.0,2.0,3.0,2.0,1.0,,,3.0,,1.0,,,,,,,,,
304,baralhas,5.8,287,4,Baralhas,Gabriel Baralhas dos Santos,2.53,0.61,99440,6,VIT,5.8,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Baralhas,20.0,19.0,1.0,6.0,6.0,,,3.0,,,,,,,,,,,,
305,rossi,6.3,262,1,Rossi,Agustín Daniel Rossi,6.9,0.58,99552,7,FLA,10.23,14,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Rossi,,,,,2.0,,10.0,1.0,,,,,,,29.0,5.0,2.0,,,
306,paulinho,0.0,275,5,Paulinho,Paulo Henrique Sampaio Filho,1.03,0.0,99818,5,PAL,5.0,7,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Paulinho,2.0,1.0,1.0,3.0,2.0,1.0,,,,,,,,,,,,,,
307,alan-franco,6.2,276,3,A. Franco,Alan Javier Franco,2.22,0.83,99889,7,SAO,6.43,11,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Alan Franco,9.0,12.0,,,3.0,1.0,3.0,2.0,,,,,,,,,,,,
308,igor-gomes,2.9,282,4,I. Gomes,Igor Silveira Gomes,3.02,0.19,100084,6,CAM,5.64,12,15,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Igor Gomes,7.0,9.0,2.0,3.0,5.0,,,,1.0,,2.0,,,,,,,,,
309,pedro-augusto,0.0,292,4,P. Augusto,Pedro Augusto Borges da Costa,-1.85,0.0,100085,6,SPT,1.25,2,15,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Pedro Augusto,1.0,4.0,,,,,,1.0,,,,1.0,,,,,,,,
