,atletas.posicao_id,atletas.apelido,atletas.variacao_num,atletas.preco_num,atletas.rodada_id,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.clube.id.full.name,atletas.status_id,atletas.entrou_em_campo,atletas.slug,atletas.atleta_id,atletas.apelido_abreviado,atletas.clube_id,atletas.foto,atletas.pontos_num,CA,DS,FC,FF,FS,G,I,FD,SG,A,PS,FT,V,CV,DE,DP,GS,PC,PP,GC
86,3,Thiago Santos,0.0,6.98,23,7,4.35,Thiago dos Santos,FLU,6,False,thiago-santos,78855,T. Santos,266,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,2.0,5.0,8.0,1.0,3.0,,,,5.0,,,,,,,,,,,
87,1,Alex Muralha,0.0,3.34,23,6,2.37,Alex Roberto Santana Rafael,MIR,6,False,alex-muralha,79066,A. Muralha,2305,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0.0,2.0,,,,1.0,,,,,,,,,,19.0,,9.0,,,
88,1,Bruno Ferreira,0.37,5.87,23,14,3.44,Bruno Ferreira Ventura Diniz - de Lins,CEA,7,True,bruno-ferreira,79266,B. Ferreira,354,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3.7,2.0,,1.0,,5.0,,,,4.0,,,,,,33.0,,15.0,,,
89,6,Roger Machado,-0.33,9.32,23,22,5.01,Roger Machado Marques,INT,7,True,roger-machado,79437,R. Machado,285,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,2.95,,,,,,,,,,,,,7.0,,,,,,,
90,5,Cano,0.42,9.45,23,14,5.02,Germán Ezequiel Cano,FLU,7,True,cano,79631,Cano,266,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,4.5,1.0,4.0,5.0,17.0,17.0,5.0,2.0,4.0,,,,,,,,,,,,
91,4,Lucas Silva,0.0,4.41,23,21,2.37,Lucas Silva Borges,CRU,7,False,lucas-silva,79701,L. Silva,283,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0.0,3.0,17.0,31.0,6.0,17.0,1.0,,2.0,,2.0,,1.0,,,,,,,,
92,1,Helton Leite,0.0,4.66,23,3,0.93,Helton Brant Aleixo Leite,FOR,6,False,helton-leite,79973,H. Leite,356,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0.0,,,,,,,,,,,,,,,6.0,,5.0,,,
93,4,Saúl,0.86,11.15,23,5,5.0,Saúl Ñíguez Esclapez,FLA,7,True,saul,80061,Saúl,262,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,11.5,,11.0,9.0,5.0,2.0,,,1.0,,1.0,,,,,,,,,,
94,5,Zé Roberto,0.0,6.0,23,0,0.0,José Roberto Assunção de Araújo Filho,SPT,6,False,ze-roberto,80076,Z. Roberto,292,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0.0,,,,,,,,,,,,,,,,,,,,
95,4,Jadson,0.12,5.9,23,20,3.46,Jadson Alves dos Santos,JUV,7,True,jadson,80129,Jadson,286,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1.7,5.0,36.0,29.0,6.0,33.0,,2.0,3.0,,1.0,,,,,,,,1.0,,
96,4,Yago Pikachu,-0.05,5.29,23,17,2.51,Glaybson Yago Souza Lisboa,FOR,2,True,yago-pikachu,80196,Y. Pikachu,356,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0.0,2.0,8.0,7.0,4.0,12.0,2.0,3.0,5.0,,,1.0,1.0,,,,,,,,
97,5,Luciano,0.0,9.29,23,18,5.71,Luciano da Rocha Neves,SAO,7,False,luciano,80287,Luciano,276,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.0,6.0,18.0,22.0,19.0,26.0,4.0,4.0,13.0,,3.0,2.0,,,,,,,,1.0,
98,2,Gilberto,0.0,7.33,23,15,4.13,Gilberto Moraes Júnior,BAH,6,False,gilberto,80313,Gilberto,265,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0.0,3.0,22.0,11.0,4.0,6.0,1.0,1.0,1.0,4.0,,,,,,,,,,,
99,2,Wendell,1.19,10.29,23,12,5.09,Wendell Nascimento Borges,SAO,2,True,wendell,80570,Wendell,276,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,8.5,,17.0,11.0,3.0,13.0,,,,5.0,1.0,,,,,,,,,,
100,4,Lucas Lima,-1.32,6.32,23,19,4.02,Lucas Rafael Araújo Lima,SPT,3,True,lucas-lima,80583,L. Lima,292,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,2.6,9.0,16.0,22.0,3.0,33.0,3.0,6.0,9.0,,3.0,,,,,,,,,,
101,4,Jair,0.0,4.63,23,10,2.07,Jair Rodrigues Júnior,VAS,5,False,jair,81091,Jair,267,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,3.0,14.0,12.0,1.0,11.0,,,,,,,,,,,,,,,
