,atletas.apelido,atletas.apelido_abreviado,atletas.entrou_em_campo,atletas.slug,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.variacao_num,atletas.media_num,atletas.status_id,atletas.jogos_num,atletas.pontos_num,atletas.nome,atletas.clube.id.full.name,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.foto,A,CA,DS,FC,FD,FF,FS,I,G,FT,DE,GS,V,CV,PS,SG,DP,PC,PP,GC
47,Eduardo Sasha,E. Sasha,True,eduardo-sasha,280,8.97,9,-0.08,5.56,7,9,3.2,Eduardo Colcenti Antunes,RBB,70360,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,1.0,1.0,4.0,3.0,8.0,8.0,12.0,1.0,2.0,1.0,,,,,,,,,,
48,Gabriel,Gabriel,False,gabriel,287,3.66,9,0.0,1.1,6,1,0.0,Gabriel Vasconcelos Ferreira,VIT,70449,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,,,,,,,1.0,,,,2.0,2.0,,,,,,,,
49,Felipe Anderson,F. Anderson,False,felipe-anderson,275,6.7,9,0.0,2.86,7,8,0.0,Felipe Anderson Pereira Gomes,PAL,70592,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,,,9.0,8.0,2.0,5.0,5.0,1.0,,1.0,,,,,,,,,,
50,Marllon,Marllon,True,marllon,354,8.28,9,0.28,5.56,6,8,5.5,Marllon Gonçalves Jerônimo Borges,CEA,70666,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,,,5.0,5.0,,,5.0,,2.0,,,,,,,4.0,,,,
51,Enner Valencia,E. Valencia,False,enner-valencia,285,6.63,9,0.0,2.84,5,7,0.0,Enner Remberto Valencia Lastra,INT,70788,,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,,,1.0,10.0,4.0,3.0,7.0,3.0,1.0,1.0,,,,,,,,,,
52,Diogo Barbosa,D. Barbosa,False,diogo-barbosa,356,9.03,9,0.0,6.0,5,4,0.0,Diogo Barbosa Mendanha,FOR,70916,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,,,2.0,1.0,,1.0,5.0,,1.0,,,,,,,2.0,,,,
53,Bruno Henrique,B. Henrique,True,bruno-henrique,285,6.8,9,1.37,2.5,7,7,6.1,Bruno Henrique Corsini,INT,70944,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,,,8.0,16.0,2.0,3.0,1.0,,1.0,,,,,1.0,,,,,,
54,Jean Carlos,J. Carlos,False,jean-carlos,286,3.74,9,0.0,1.08,7,6,0.0,Jean Carlos Vicente,JUV,70958,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,,1.0,3.0,3.0,1.0,3.0,1.0,2.0,,,,,,,,,,,,
55,Payet,Payet,False,payet,267,8.7,9,0.0,5.23,5,3,0.0,Florent Dimitri Payet,VAS,70984,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,2.0,,2.0,2.0,,1.0,5.0,,,,,,,,,,,,,
56,Luiz Gustavo,L. Gustavo,False,luiz-gustavo,276,10.73,9,0.0,9.6,6,1,0.0,Luiz Gustavo Dias,SAO,71536,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,,,4.0,4.0,,1.0,2.0,,,1.0,,,,,,,,,,
57,Fernando Miguel,F. Miguel,True,fernando-miguel,354,7.95,9,1.47,6.74,6,5,10.7,Fernando Miguel Kaufmann,CEA,71571,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,,,,,,,5.0,,,,14.0,2.0,,,,3.0,,,,
58,Weverton,Weverton,True,weverton,275,9.12,9,-1.24,6.74,7,9,0.3,Weverton Pereira da Silva,PAL,71631,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,,1.0,,,,,5.0,,,,24.0,4.0,,,,5.0,1.0,,,
59,Raúl Cáceres,R. Cáceres,False,raul-caceres,287,1.72,9,0.0,-0.95,2,2,0.0,Raúl Alejandro Cáceres Bogado,VIT,71680,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,,1.0,,3.0,,,,,,,,,,,,,,,,
60,Gustavo Gómez,G. Gómez,True,gustavo-gomez,275,9.56,9,-0.47,4.57,7,7,4.5,Gustavo Raúl Gómez Portillo,PAL,71684,,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,,2.0,7.0,7.0,1.0,3.0,5.0,5.0,,,,,,,,4.0,,,,
61,Santiago Arias,S. Arias,False,santiago-arias,265,6.38,9,0.0,0.6,5,2,0.0,Santiago Arias Naranjo,BAH,71701,,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,,1.0,,,1.0,,2.0,,,,,,,,,,,,,
62,Cuéllar,Cuéllar,False,cuellar,284,6.52,9,0.0,3.1,5,2,0.0,Gustavo Leonardo Cuellar Gallego,GRE,71709,,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,,,4.0,1.0,,,1.0,,,,,,,,,,,,,
63,Tiago Volpi,T. Volpi,True,tiago-volpi,284,6.1,9,-0.24,2.64,7,9,0.9,Tiago Luis Volpi,GRE,72018,,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,,2.0,,,,,4.0,,,,26.0,14.0,,,,1.0,,1.0,,
