,atletas.preco_num,atletas.clube.id.full.name,atletas.rodada_id,atletas.slug,atletas.entrou_em_campo,atletas.media_num,atletas.status_id,atletas.foto,atletas.posicao_id,atletas.pontos_num,atletas.clube_id,atletas.nome,atletas.variacao_num,atletas.jogos_num,atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,FS,FT,I,DS,FC,FD,FF,DE,GS,SG,A,CA,G,PS,V,CV,DP,PP,PC,GC
44,8.05,PAL,38,felipe-anderson,False,4.92,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,4,0.0,275,Felipe Anderson Pereira Gomes,0.0,27,Felipe Anderson,F. Anderson,70592,16.0,1.0,2.0,51.0,12.0,6.0,10.0,,,,2.0,,3.0,,,,,,,
45,6.35,CEA,38,marllon,False,3.31,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3,0.0,354,Marllon Gonçalves Jerônimo Borges,0.0,22,Marllon,Marllon,70666,10.0,,,14.0,14.0,,4.0,,,7.0,,3.0,2.0,,,,,,,
46,11.18,CAM,38,jorge-sampaoli,True,6.06,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,6,9.87,282,Jorge Sampaoli,0.27,11,Jorge Sampaoli,J. Sampaoli,70800,,,,,,,,,,,,,,,5.0,,,,,
47,6.98,FOR,38,diogo-barbosa,True,3.54,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,2,0.0,356,Diogo Barbosa Mendanha,-0.53,15,Diogo Barbosa,D. Barbosa,70916,11.0,,,17.0,7.0,,4.0,,,3.0,,2.0,1.0,,,,,,,
48,5.42,INT,38,bruno-henrique,True,2.41,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,4,0.0,285,Bruno Henrique Corsini,-0.12,28,Bruno Henrique,B. Henrique,70944,15.0,,,31.0,38.0,3.0,11.0,,,,,1.0,2.0,1.0,,1.0,,,,
49,3.51,VAS,38,thiago-mendes,False,0.45,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,4,0.0,267,Thiago Henrique Mendes Ribeiro,0.0,7,Thiago Mendes,T. Mendes,71123,3.0,,,3.0,6.0,,,,,,,1.0,,,,,,,,
50,4.2,CEA,38,vina,True,1.5,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,4,0.0,354,Vinícius Goes Barbosa de Souza,-0.12,15,Vina,Vina,71162,6.0,1.0,,4.0,8.0,6.0,7.0,,,,1.0,2.0,,,,1.0,,,,
51,7.59,SAO,38,luiz-gustavo,True,3.29,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,4,2.2,276,Luiz Gustavo Dias,-0.33,12,Luiz Gustavo,L. Gustavo,71536,12.0,1.0,,16.0,17.0,1.0,3.0,,,,,,1.0,,,,,,,
52,7.02,CEA,38,fernando-miguel,False,6.18,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,1,0.0,354,Fernando Miguel Kaufmann,0.0,6,Fernando Miguel,F. Miguel,71571,6.0,,,,,,,17.0,3.0,3.0,,,,,,,,,,
53,7.96,PAL,38,weverton,False,4.36,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,1,0.0,275,Weverton Pereira da Silva,0.0,25,Weverton,Weverton,71631,10.0,,,,,,,57.0,20.0,9.0,,2.0,,,,,1.0,,,
54,5.18,VIT,38,raul-caceres,True,3.94,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,2,7.7,287,Raúl Alejandro Cáceres Bogado,0.48,18,Raúl Cáceres,R. Cáceres,71680,5.0,,3.0,12.0,22.0,5.0,3.0,,,6.0,2.0,6.0,2.0,,,,,,1.0,
55,9.58,PAL,38,gustavo-gomez,False,4.93,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,3,0.0,275,Gustavo Raúl Gómez Portillo,0.0,25,Gustavo Gómez,G. Gómez,71684,14.0,,10.0,33.0,33.0,2.0,9.0,,,11.0,1.0,8.0,2.0,,,,,,,
