,atletas.variacao_num,atletas.preco_num,atletas.nome,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.media_num,atletas.atleta_id,atletas.jogos_num,atletas.rodada_id,atletas.foto,atletas.slug,atletas.clube_id,atletas.posicao_id,atletas.pontos_num,atletas.apelido,atletas.status_id,A,CA,DS,FC,FD,FF,FS,G,I,SG,CV,FT,PC,PS,DE,DP,GS,V,PP,GC
25,0.0,5.43,Alan Luciano Ruschel,False,JUV,A. Ruschel,2.89,63110,10,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,alan-ruschel,286,2,0.0,Alan Ruschel,6,,2.0,10.0,8.0,,,17.0,,2.0,2.0,,,,,,,,,,
26,0.0,4.89,Edenílson Andrade dos Santos,False,GRE,Edenílson,2.05,63289,9,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,edenilson,284,4,0.0,Edenílson,3,1.0,4.0,4.0,6.0,,1.0,9.0,1.0,,,,,,,,,,,,
27,-0.8,14.27,Alan Patrick Lourenço,True,INT,A. Patrick,6.8,68685,11,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,alan-patrick,285,4,7.2,Alan Patrick,7,5.0,3.0,10.0,7.0,5.0,3.0,15.0,3.0,1.0,,,,,,,,,,,
28,-1.83,3.32,Carlos Eduardo de Oliveira Alves,True,CRU,Eduardo,1.19,68708,13,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,eduardo,283,4,0.0,Eduardo,6,,1.0,6.0,9.0,1.0,2.0,3.0,1.0,1.0,,1.0,,,1.0,,,,,,
29,0.0,11.39,Oscar dos Santos Emboaba Júnior,False,SAO,Oscar,1.67,68811,6,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,oscar,276,4,0.0,Oscar,5,,1.0,5.0,3.0,2.0,,4.0,,,,,,,,,,,,,
30,0.0,7.0,Marcelo Lomba do Nascimento,False,PAL,M. Lomba,0.0,68872,0,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,marcelo-lomba,275,1,0.0,Marcelo Lomba,6,,,,,,,,,,,,,,,,,,,,
31,0.0,9.37,Philippe Coutinho Correia,False,VAS,P. Coutinho,3.15,68899,9,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,philippe-coutinho,267,4,0.0,Philippe Coutinho,6,1.0,,1.0,8.0,10.0,9.0,16.0,,,,1.0,,,,,,,,,
32,0.0,8.39,Eduardo Pereira Rodrigues,False,CAM,Dudu,2.57,68920,7,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,dudu,282,5,0.0,Dudu,3,,,4.0,5.0,,,11.0,1.0,,,,,,,,,,,,
33,-0.03,5.03,Carlos Gilberto do Nascimento Silva,False,SAN,Gil,2.08,68923,6,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,gil,277,3,-1.0,Gil,3,,3.0,7.0,7.0,,2.0,1.0,,,1.0,,,,,,,,,,
34,-0.61,9.93,Rafael Pires Monteiro,True,SAO,Rafael,4.51,68928,15,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,rafael,276,1,5.0,Rafael,7,,2.0,1.0,,,,5.0,,,4.0,,,,,49.0,,18.0,,,
35,0.0,7.97,Mário Sérgio Santos Costa,False,FOR,Marinho,3.57,68952,9,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,marinho,356,5,0.0,Marinho,2,2.0,1.0,6.0,17.0,3.0,5.0,15.0,1.0,9.0,,1.0,,,,,,,,,
36,0.0,8.29,Lucas Pacheco Affini,False,FOR,L. Sasha,6.36,68991,9,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,lucas-sasha,356,4,0.0,Lucas Sasha,7,,1.0,37.0,15.0,2.0,1.0,8.0,,,,,,,,,,,,,
37,0.0,6.84,Willian José da Silva,False,BAH,W. José,3.05,68996,11,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,willian-jose,265,5,0.0,Willian José,6,1.0,2.0,,3.0,4.0,4.0,3.0,2.0,,,,2.0,,,,,,,,
38,0.0,5.0,Manoel Messias Silva Carvalho,False,FLU,Manoel,0.0,69014,0,16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,manoel,266,3,0.0,Manoel,6,,,,,,,,,,,,,,,,,,,,
