,atletas.apelido,atletas.rodada_id,atletas.variacao_num,atletas.nome,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.clube_id,atletas.media_num,atletas.pontos_num,atletas.clube.id.full.name,atletas.jogos_num,atletas.preco_num,atletas.atleta_id,atletas.slug,atletas.apelido_abreviado,atletas.status_id,atletas.foto,atletas.entrou_em_campo,CA,DS,FC,FF,FS,SG,DE,DP,GS,FD,G,I,A,V,CV,FT,PP,PS,PC,GC
159,Soteldo,5,0.0,Yeferson Julio Soteldo Martínez,,5,277,0.6,0.0,SAN,2,11.43,87258,soteldo,Soteldo,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,False,1.0,,,,2.0,,,,,1.0,,,,,,,,,,
160,Dionísio,5,0.0,Dionísio Pereira de Souza Neto,,4,287,0.0,0.0,VIT,0,2.0,87274,dionisio,Dionísio,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
161,Kannemann,5,0.05,Walter Kannemann,,3,284,1.5,1.5,GRE,1,5.05,87342,kannemann,Kannemann,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,,1.0,,,,,,,,,,,,,,,,,,
162,Thaciano,5,-0.02,Thaciano Mickael da Silva,,4,277,2.56,2.0,SAN,5,5.74,87470,thaciano,Thaciano,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,True,,1.0,,2.0,1.0,,,,,1.0,1.0,,,,,,,,,
163,Neto Moura,5,-0.27,Antônio Francisco Moura Neto,,4,2305,0.98,0.9,MIR,5,3.19,87742,neto-moura,N. Moura,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,True,,4.0,7.0,,2.0,,,,,,,,,,,,,,,
164,Yago Felipe,5,-0.34,Yago Felipe da Costa Rocha,,4,2305,2.6,1.2,MIR,2,5.48,87747,yago-felipe,Y. Felipe,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,True,,2.0,1.0,,5.0,,,,,,,,,,,,,,,
165,Philipe Sampaio,5,0.0,Philipe Sampaio Azevedo,,3,263,0.0,0.0,BOT,0,3.0,87808,philipe-sampaio,P. Sampaio,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
166,Mauricio Lemos,5,0.0,Paolo Mauricio Lemos Merladett,,3,267,1.5,0.0,VAS,1,5.43,87853,mauricio-lemos,M. Lemos,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,False,,1.0,,,,,,,,,,,,,,,,,,
167,Arrascaeta,5,-2.78,Giorgian Daniel de Arrascaeta Benedetti,,4,262,12.07,1.2,FLA,4,19.27,87863,arrascaeta,Arrascaeta,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,True,,2.0,1.0,2.0,4.0,,,,,,4.0,,2.0,,,,,,,
168,Gustavo Scarpa,5,-1.45,Gustavo Henrique Furtado Scarpa,,4,282,2.94,-0.3,CAM,5,10.95,87999,gustavo-scarpa,G. Scarpa,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,,2.0,2.0,4.0,6.0,,,,,1.0,,1.0,1.0,,,,,,,
169,Ramon Menezes,5,0.0,Ramon Menezes Roma,,3,354,0.0,0.0,CEA,0,6.0,88087,ramon-menezes,R. Menezes,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
170,Ivan,5,0.0,Ivan Quaresma da Silva,,1,285,0.0,0.0,INT,0,4.0,88136,ivan,Ivan,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
171,Junior Alonso,5,1.28,Júnior Osmar Ignacio Alonso Mujica,,3,282,3.04,7.2,CAM,5,5.95,88312,junior-alonso,J. Alonso,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,,1.0,3.0,3.0,2.0,2.0,,,,1.0,,,,,,,,,,
172,Ángel Romero,5,2.56,Ángel Rodrigo Romero Villamayor,,5,264,4.44,15.3,COR,5,8.87,88323,angel-romero,Ã. Romero,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,True,,6.0,2.0,2.0,4.0,,,,,2.0,,2.0,1.0,,,1.0,,,,
173,Ayrton Lucas,5,0.98,Ayrton Lucas Dantas de Medeiros,,2,262,6.47,9.7,FLA,3,10.27,88393,ayrton-lucas,A. Lucas,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,True,,5.0,1.0,,2.0,2.0,,,,1.0,,,,,,,,,,
174,Aderlan,5,0.0,Aderlan de Lima Silva,,2,277,0.0,0.0,SAN,0,5.0,88423,aderlan,Aderlan,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
175,Walace,5,-0.48,Walace Souza Silva,,4,283,-0.17,-0.3,CRU,4,3.21,88479,walace,Walace,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,True,1.0,1.0,4.0,,,,,,,,,,,,,,,,,
176,Leonardo Jardim,5,-0.73,José Leonardo Nunes Alves Sousa Jardim,,6,283,5.87,4.19,CRU,5,9.21,88963,leonardo-jardim,L. Jardim,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,True,,,,,,,,,,,,,,2.0,,,,,,
177,Héctor Hernández,5,-0.38,Héctor José Hernández Marrero,,5,264,2.4,-0.3,COR,5,4.25,89048,hector-hernandez,H. Hernández,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,True,,2.0,1.0,1.0,1.0,,,,,,1.0,,,,,,,,,
178,Gerson,5,-1.0,Gerson Santos da Silva,,4,262,4.33,3.0,FLA,4,10.84,89256,gerson,Gerson,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,True,,1.0,2.0,2.0,10.0,,,,,4.0,,,1.0,,,,,,,
179,João Pedro,5,0.1,João Pedro Maturano dos Santos,,2,284,2.28,3.2,GRE,4,5.77,89273,joao-pedro,J. Pedro,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,,7.0,5.0,,,,,,,1.0,,1.0,,,,,,,1.0,
180,William,5,0.0,Willian de Asevedo Furtado,,2,283,12.17,0.0,CRU,3,17.38,89275,william,William,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,False,1.0,14.0,5.0,2.0,3.0,1.0,,,,,,1.0,2.0,,,,,,,
181,Matheus Sales,5,0.0,Matheus de Sales Cabral,,4,2305,0.0,0.0,MIR,0,4.0,89285,matheus-sales,M. Sales,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
182,Braithwaite,5,-1.76,Martin Christensen Braithwaite,,5,284,5.77,2.4,GRE,3,16.02,89368,braithwaite,Braithwaite,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,1.0,3.0,3.0,3.0,4.0,,,,,2.0,1.0,1.0,,,,,,,,
183,Igor Rabello,5,0.0,Igor Rabello da Costa,,3,282,0.0,0.0,CAM,0,5.0,89493,igor-rabello,I. Rabello,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
184,Thiago Maia,5,0.0,Thiago Maia Alencar,,4,285,-0.15,0.0,INT,2,4.3,89637,thiago-maia,T. Maia,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,False,,,1.0,,,,,,,,,,,,,,,,,
185,Iury Castilho,5,1.43,Iury Lirio Freitas de Castilho,,5,2305,3.36,9.7,MIR,5,6.33,89695,iury-castilho,I. Castilho,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,True,1.0,2.0,5.0,1.0,16.0,,,,,,1.0,5.0,,,,,,,,
186,Calleri,5,0.0,Jonathan Calleri,,5,276,-0.77,0.0,SAO,3,5.78,89840,calleri,Calleri,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,False,,1.0,2.0,2.0,2.0,,,,,1.0,,,,,1.0,,1.0,,,
187,Cristaldo,5,-0.2,Franco Cristaldo,,4,284,2.95,3.0,GRE,4,8.05,89846,cristaldo,Cristaldo,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,,4.0,,2.0,6.0,,,,,1.0,,,,,,,,,,
188,Dodi,5,0.6,Douglas Moreira Fagundes,,4,284,2.73,4.0,GRE,3,4.86,89883,dodi,Dodi,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,1.0,4.0,1.0,,7.0,,,,,,,,,,,,,,,
189,Bruno Pacheco,5,0.0,Bruno de Jesus Pacheco,,2,356,2.5,0.0,FOR,1,7.57,90061,bruno-pacheco,B. Pacheco,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,False,,1.0,,,2.0,,,,,,,,,,,,,,,
190,Bruno Henrique,5,-0.45,Bruno Henrique Pinto,,5,262,2.9,0.6,FLA,5,6.74,90285,bruno-henrique,B. Henrique,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,True,,1.0,4.0,4.0,4.0,,,,,1.0,1.0,2.0,,,,,,,,
191,Juninho,5,0.0,Olávio Vieira dos Santos Júnior,,5,262,3.9,0.0,FLA,3,5.76,90307,juninho,Juninho,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,False,,2.0,4.0,2.0,,,,,,2.0,,1.0,,,,2.0,,,,
192,David,5,0.0,David Correa da Fonseca,,5,267,0.0,0.0,VAS,0,6.0,90309,david,David,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
193,Rezende,5,0.0,Júlio César de Rezende Miranda,,4,265,0.0,0.0,BAH,0,3.0,90449,rezende,Rezende,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
194,Caíque,5,0.0,Caique de Jesus Gonçalves,,4,286,0.0,0.0,JUV,0,4.0,90588,caique,Caíque,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
195,Matheuzinho,5,-0.99,Matheus Martins Fogaça de Paulo,,4,287,9.45,6.3,VIT,4,13.42,90703,matheuzinho,Matheuzinho,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,True,,7.0,2.0,,12.0,,,,,5.0,2.0,1.0,,,,,,,,
196,Fabrício Bruno,5,-1.41,Fabrício Bruno Soares de Faria,,3,283,2.94,0.5,CRU,5,7.49,90768,fabricio-bruno,F. Bruno,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,True,3.0,8.0,5.0,,2.0,1.0,,,,1.0,,,,,,,,,,
197,Carlos Eduardo,5,0.0,Carlos Eduardo Ferreira de Souza,,5,287,1.5,0.0,VIT,1,4.02,90917,carlos-eduardo,C. Eduardo,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,False,,1.0,,,,,,,,,,,,,,,,,,
198,Zé Marcos,5,-0.22,José Marcos Alves Luis,,3,287,0.78,0.5,VIT,5,2.75,90943,ze-marcos,Z. Marcos,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,True,,2.0,2.0,,3.0,,,,,,,,,,,,,,,
199,Ronaldo,5,0.0,Ronaldo de Oliveira Strada,,1,265,3.68,0.0,BAH,4,5.47,91101,ronaldo,Ronaldo,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,False,,,,,2.0,,9.0,1.0,4.0,,,,,,,,,,1.0,
200,Fernandinho,5,0.0,Fernando José Marques Maciel,,5,354,4.3,0.0,CEA,2,5.88,91130,fernandinho,Fernandinho,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,False,,4.0,1.0,1.0,2.0,,,,,1.0,,1.0,,,,,,,,
201,Éder,5,0.0,Éder Ferreira Graminho,,3,354,0.8,0.0,CEA,1,2.9,91203,eder,Éder,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,False,,,,1.0,,,,,,,,,,,,,,,,
202,Erick Pulgar,5,-0.4,Erick Antonio Pulgar Farfán,,4,262,4.08,4.7,FLA,5,7.71,91473,erick-pulgar,E. Pulgar,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,True,2.0,8.0,10.0,,6.0,,,,,2.0,1.0,,,,,,,,,
203,Rodrigo Sam,5,0.0,Rodrigo Eduardo da Silva,,3,286,0.0,0.0,JUV,0,4.0,91509,rodrigo-sam,R. Sam,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
204,Arboleda,5,0.0,Robert Abel Arboleda Escobar,,3,276,4.0,0.0,SAO,3,7.88,91573,arboleda,Arboleda,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,False,1.0,2.0,3.0,,2.0,2.0,,,,,,1.0,,,,,,,,
205,Rony,5,-0.69,Ronielson da Silva Barbosa,,5,282,5.74,1.8,CAM,5,11.49,91607,rony,Rony,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,1.0,6.0,9.0,4.0,6.0,,,,,8.0,1.0,4.0,,,,,,,,
206,Dudu Vieira,5,0.0,Carlos Eduardo de Souza Vieira,,4,286,0.0,0.0,JUV,0,3.0,91627,dudu-vieira,D. Vieira,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
207,Igor Cariús,5,0.0,Igor Aquino da Silva,,2,292,6.4,0.0,SPT,2,7.06,91639,igor-carius,I. Cariús,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,False,,4.0,2.0,,5.0,1.0,,,,,,1.0,,,,,,,,
208,Marlon,5,1.42,Marlon Rodrigues Xavier,,2,284,3.35,6.7,GRE,2,7.26,91706,marlon,Marlon,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,1.0,5.0,1.0,,1.0,,,,,,,,,,,,,,,
209,David Duarte,5,0.79,David de Duarte Macedo,,3,265,2.83,4.4,BAH,3,4.97,91772,david-duarte,D. Duarte,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,True,,3.0,3.0,,,1.0,,,,,,1.0,,,,,,,,
210,Caíque França,5,-1.15,Caíque França Godoy,,1,292,3.72,0.1,SPT,5,5.48,91808,caique-franca,C. França,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,True,1.0,,,,1.0,1.0,17.0,,8.0,,,,,,,,,,,
211,Zé Ivaldo,5,-1.83,José Ivaldo Almeida Silva,,3,277,4.64,0.2,SAN,5,6.31,91866,ze-ivaldo,Z. Ivaldo,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,True,2.0,7.0,8.0,4.0,2.0,1.0,,,,,1.0,1.0,,,,,,,,
212,Pavón,5,0.0,Cristian David Pavón,,5,284,1.73,0.0,GRE,4,4.89,91908,pavon,Pavón,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,False,1.0,2.0,2.0,2.0,3.0,,,,,2.0,,,,,,,,,,
213,James Freitas,5,1.29,James Francisco Freitas Iahnke,,6,284,5.29,5.29,GRE,1,8.29,91970,james-freitas,J. Freitas,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,True,,,,,,,,,,,,,,,,,,,,
214,Giovanny,5,-0.42,Giovanny Bariani Marques,,5,286,2.55,-0.3,JUV,4,3.65,92085,giovanny,Giovanny,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,True,,1.0,2.0,3.0,4.0,,,,,,,1.0,1.0,,,,,,,
215,Lyanco,5,2.77,Lyanco Evangelista Silveira Neves Vojnovic,,3,282,6.02,14.7,CAM,4,9.43,92087,lyanco,Lyanco,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,,10.0,7.0,,4.0,2.0,,,,2.0,,2.0,,,1.0,,,,,
216,Juninho,5,0.0,José Carlos Ferreira Júnior,,3,285,-1.3,0.0,INT,1,3.63,92182,juninho,Juninho,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,False,1.0,,1.0,,,,,,,,,,,,,,,,,
217,Rodrigo Ely,5,0.0,Rodrigo Ely,,3,284,0.6,0.0,GRE,2,4.75,92237,rodrigo-ely,R. Ely,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,False,,1.0,1.0,,,,,,,,,,,,,,,,,
218,André Ramalho,5,0.0,André Ramalho Silva,,3,264,1.7,0.0,COR,3,5.25,92440,andre-ramalho,A. Ramalho,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,False,1.0,1.0,3.0,,1.0,1.0,,,,,,,,,,,,,,
219,Renato Kayzer,5,0.0,Renato Kayzer de Souza,,5,287,0.0,0.0,VIT,0,4.0,92696,renato-kayzer,R. Kayzer,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
220,Deyverson,5,1.55,Deyverson Brum Silva Acosta,,5,356,4.16,10.8,FOR,5,7.35,92708,deyverson,Deyverson,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,True,1.0,2.0,7.0,5.0,7.0,,,,,2.0,1.0,,,,,1.0,,,,
221,Bruno Rodrigues,5,0.0,Bruno Rafael Rodrigues do Nascimento,,5,275,0.0,0.0,PAL,0,6.0,92811,bruno-rodrigues,B. Rodrigues,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
222,Borré,5,-0.36,Rafael Santos Borré Maury,,5,285,2.56,3.8,INT,5,11.45,92854,borre,Borré,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,True,,2.0,2.0,2.0,2.0,,,,,,1.0,2.0,,,,,,,,
223,Ronaldo,5,-0.47,Ronaldo da Silva Souza Guerrero,,4,285,1.06,-0.7,INT,5,3.26,92981,ronaldo,Ronaldo,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,True,1.0,5.0,8.0,,,,,,,1.0,,,,,,,,,,
224,Rafael Ramos,5,0.04,Rafael António Figueiredo Ramos,,2,354,1.5,1.8,CEA,3,3.75,93236,rafael-ramos,R. Ramos,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,True,1.0,4.0,6.0,1.0,1.0,,,,,,,,,,,,,,,
225,João Basso,5,0.0,João Othávio Basso,,3,277,0.0,0.0,SAN,0,5.0,93372,joao-basso,J. Basso,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
226,Wanderson,5,-0.62,Wanderson Maciel Sousa Campos,,5,283,2.16,0.5,CRU,5,5.71,93478,wanderson,Wanderson,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,True,1.0,3.0,5.0,4.0,3.0,,,,,1.0,,1.0,,,,1.0,,,,
227,Bruno Tubarão,5,0.0,Bruno Nunes de Barros,,2,354,0.0,0.0,CEA,0,4.0,93637,bruno-tubarao,B. Tubarão,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
228,Paulo Henrique,5,0.43,Paulo Henrique de Oliveira Alves,,2,267,11.87,8.2,VAS,3,13.43,93716,paulo-henrique,P. Henrique,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,True,1.0,19.0,4.0,1.0,1.0,1.0,,,,,,,,,,1.0,,,,
229,Marlon Freitas,5,-0.27,Marlon Rodrigues Freitas,,4,263,0.56,2.2,BOT,5,5.24,93790,marlon-freitas,M. Freitas,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,True,1.0,2.0,4.0,,4.0,,,,,,,,,,,,,,,
230,Keiller,5,0.0,Keiller da Silva Nunes,,1,354,0.0,0.0,CEA,0,3.0,93834,keiller,Keiller,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
231,Marcão,5,0.0,Marcos Venicius Santos Miranda - Vinícius,,1,286,7.35,0.0,JUV,2,5.54,93879,marcao,Marcão,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,False,,,,,,1.0,9.0,,2.0,,,,,,,,,,,
232,Cleiton,5,0.0,Cleiton Schwengber,,1,280,6.45,0.0,RBB,4,8.64,93882,cleiton,Cleiton,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,False,1.0,,,,,2.0,16.0,,4.0,,,,,,,,,,,
233,Breno Lopes,5,0.0,Breno Henrique Vasconcelos Lopes,,5,356,0.0,0.0,FOR,0,6.0,93988,breno-lopes,B. Lopes,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,False,,,,,,,,,,,,,,,,,,,,
234,John,5,0.05,John Victor Maciel Furtado,,1,263,4.94,4.5,BOT,5,10.92,94044,john,John,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,True,1.0,1.0,,,,2.0,14.0,,4.0,,,,,,,,,,,
235,Matheus Fernandes,5,0.0,Matheus Fernandes Siqueira,,4,280,2.9,0.0,RBB,3,5.85,94067,matheus-fernandes,M. Fernandes,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,False,1.0,7.0,6.0,,2.0,,,,,,,,,,,,,,,
236,Maycon,5,0.1,Maycon de Andrade Barberan,,4,264,1.62,2.0,COR,4,4.35,94154,maycon,Maycon,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,True,,4.0,,,1.0,,,,,,,,,,,,,,,
237,Diego Pituca,5,-0.29,Diego Cristiano Evaristo,,4,277,1.76,0.5,SAN,5,4.46,94156,diego-pituca,D. Pituca,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,True,1.0,,,1.0,2.0,,,,,,1.0,,,,,,,,,
238,Guilherme,5,1.64,Guilherme Augusto Vieira dos Santos,,5,277,7.54,11.3,SAN,5,9.81,94207,guilherme,Guilherme,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,True,,15.0,3.0,8.0,10.0,,,,,4.0,,1.0,,,,,,,,
