,atletas.slug,atletas.media_num,atletas.entrou_em_campo,atletas.preco_num,atletas.foto,atletas.status_id,atletas.atleta_id,atletas.clube_id,atletas.rodada_id,atletas.apelido,atletas.jogos_num,atletas.nome,atletas.pontos_num,atletas.variacao_num,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.posicao_id,V,A,CA,DS,FC,FD,FF,FS,G,I,PS,SG,FT,CV,DE,DP,GS,PP,PC,GC
51,weverton,4.62,True,9.07,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,7,71631,275,26,Weverton,23,Weverton Pereira da Silva,8.9,0.65,PAL,Weverton,1,,,2.0,,,,,9.0,,,,9.0,,,53.0,1.0,17.0,,,
52,raul-caceres,2.07,True,3.52,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,7,71680,287,26,Raúl Cáceres,12,Raúl Alejandro Cáceres Bogado,4.8,0.78,VIT,R. Cáceres,2,,1.0,5.0,5.0,18.0,4.0,2.0,3.0,,2.0,,3.0,,,,,,,,
53,gustavo-gomez,4.9,True,9.64,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,7,71684,275,26,Gustavo Gómez,19,Gustavo Raúl Gómez Portillo,6.5,0.36,PAL,G. Gómez,3,,1.0,5.0,29.0,24.0,1.0,5.0,9.0,1.0,8.0,,8.0,,,,,,,,
54,santiago-arias,3.11,True,6.06,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,3,71701,265,26,Santiago Arias,12,Santiago Arias Naranjo,1.9,0.31,BAH,S. Arias,2,,,3.0,13.0,8.0,2.0,3.0,9.0,,1.0,,3.0,,,,,,,1.0,
55,cuellar,3.63,False,6.05,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,6,71709,284,26,Cuéllar,7,Gustavo Leonardo Cuellar Gallego,0.0,0.0,GRE,Cuéllar,4,,,1.0,17.0,12.0,,,9.0,,,,,,,,,,,,
56,tiago-volpi,4.16,False,7.33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,5,72018,284,26,Tiago Volpi,22,Tiago Luis Volpi,0.0,0.0,GRE,T. Volpi,1,,,2.0,,,,,7.0,1.0,,,4.0,,,70.0,,28.0,,1.0,
57,thomazella,0.0,False,2.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,6,72279,2305,26,Thomazella,0,Carlos Eduardo Lecciolle Thomazella,0.0,0.0,MIR,Thomazella,1,,,,,,,,,,,,,,,,,,,,
58,everson,4.38,False,10.16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,7,72294,282,26,Everson,22,Everson Felipe Marques Pires,0.0,0.0,CAM,Everson,1,,,6.0,,,,,6.0,,,,8.0,,,64.0,,24.0,,,
59,luiz-otavio,0.0,False,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,5,72359,354,26,Luiz Otávio,0,Luiz Otávio Anacleto Leandro,0.0,0.0,CEA,L. Otávio,3,,,,,,,,,,,,,,,,,,,,
60,fernando-diniz,5.39,True,9.48,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,7,72391,267,26,Fernando Diniz,16,Fernando Diniz Silva,2.91,-0.99,VAS,F. Diniz,6,5.0,,,,,,,,,,,,,,,,,,,
61,bernard,0.72,False,3.34,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,7,72460,282,26,Bernard,16,Bernard Anício Caldeira Duarte,0.0,0.0,CAM,Bernard,4,,,1.0,8.0,8.0,,2.0,3.0,,1.0,,,,,,,,,,
62,alex-telles,5.59,False,10.51,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,2,72493,263,26,Alex Telles,17,Alex Nicolao Telles,0.0,0.0,BOT,A. Telles,2,,2.0,1.0,8.0,16.0,2.0,7.0,10.0,2.0,1.0,,10.0,,,,,,,,
