,atletas.slug,atletas.preco_num,atletas.foto,atletas.clube.id.full.name,atletas.atleta_id,atletas.status_id,atletas.apelido_abreviado,atletas.pontos_num,atletas.apelido,atletas.clube_id,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.rodada_id,atletas.posicao_id,atletas.variacao_num,A,DS,FC,FD,FF,FS,V,I,CA,SG,DE,GS,G,CV,PP,PC,FT,DP,PS,GC
38,willian-jose,9.96,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,BAH,68996,6,W. José,2.2,Willian José,265,,True,1,2.2,Willian José da Silva,2,5,-1.04,,,,1.0,,2.0,,,,,,,,,,,,,,
39,manoel,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,FLU,69014,6,Manoel,0.0,Manoel,266,,False,0,0.0,Manoel Messias Silva Carvalho,2,3,0.0,,,,,,,,,,,,,,,,,,,,
40,danilo-fernandes,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,BAH,69051,6,D. Fernandes,0.0,Danilo Fernandes,265,,False,0,0.0,Danilo Fernandes Batista,2,1,0.0,,,,,,,,,,,,,,,,,,,,
41,pablo,6.32,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,SPT,69138,7,Pablo,-0.1,Pablo,292,,True,2,1.2,Pablo Felipe Teixeira,2,5,-1.1,,1.0,3.0,,,6.0,,2.0,1.0,,,,,,,,,,,
42,allan,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,BOT,69140,6,Allan,0.0,Allan,263,,False,0,0.0,Allan Marques Loureiro,2,4,0.0,,,,,,,,,,,,,,,,,,,,
43,danilo,13.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,FLA,69783,6,Danilo,0.0,Danilo,262,,False,0,0.0,Danilo Luiz da Silva,2,3,0.0,,,,,,,,,,,,,,,,,,,,
44,lucas-moura,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,SAO,70164,6,L. Moura,0.0,Lucas Moura,276,,False,0,0.0,Lucas Rodrigues Moura da Silva,2,4,0.0,,,,,,,,,,,,,,,,,,,,
45,gustavo,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,JUV,70216,6,Gustavo,0.0,Gustavo,286,,False,0,0.0,Luiz Gustavo de Almeida Pinto,2,1,0.0,,,,,,,,,,,,,,,,,,,,
46,bruno-uvini,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,70221,6,B. Uvini,0.0,Bruno Uvini,287,,False,0,0.0,Bruno Uvini Bortolança,2,3,0.0,,,,,,,,,,,,,,,,,,,,
47,eduardo-sasha,6.94,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,RBB,70360,7,E. Sasha,-0.3,Eduardo Sasha,280,,True,2,1.05,Eduardo Colcenti Antunes,2,5,-1.26,,,1.0,2.0,,,,,,,,,,,,,,,,
48,gabriel,3.66,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,VIT,70449,6,Gabriel,0.0,Gabriel,287,,False,1,1.1,Gabriel Vasconcelos Ferreira,2,1,0.0,,,,,,1.0,,,,,2.0,2.0,,,,,,,,
49,felipe-anderson,7.06,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,PAL,70592,6,F. Anderson,3.0,Felipe Anderson,275,,True,2,1.35,Felipe Anderson Pereira Gomes,2,4,-0.2,,2.0,1.0,,,,,,,,,,,,,,,,,
50,marllon,7.97,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,CEA,70666,7,Marllon,6.5,Marllon,354,,True,2,8.0,Marllon Gonçalves Jerônimo Borges,2,3,0.55,,2.0,,,,,,,,1.0,,,1.0,,,,,,,
51,fabio-carille,7.72,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,VAS,70696,7,F. Carille,3.24,Fábio Carille,267,,True,2,4.99,Fábio Luiz Carille de Araújo,2,6,-0.37,,,,,,,1.0,,,,,,,,,,,,,
52,enner-valencia,9.33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,INT,70788,2,E. Valencia,11.8,Enner Valencia,285,,True,2,5.6,Enner Remberto Valencia Lastra,2,5,2.18,,,6.0,,2.0,1.0,,1.0,,,,,1.0,,,,1.0,,,
