,atletas.apelido_abreviado,atletas.preco_num,atletas.status_id,atletas.foto,atletas.apelido,atletas.rodada_id,atletas.posicao_id,atletas.slug,atletas.clube.id.full.name,atletas.variacao_num,atletas.atleta_id,atletas.clube_id,atletas.pontos_num,atletas.media_num,atletas.jogos_num,atletas.entrou_em_campo,atletas.nome,CA,DS,FC,FD,FS,SG,FF,A,G,I,PC,V,FT,DE,DP,GS,CV,PS,PP,GC
375,Moisés,11.49,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Moisés,20,5,moises,FOR,0.0,104666,356,0.0,3.53,3,False,Moisés Vieira da Veiga,1.0,2.0,1.0,1.0,1.0,,3.0,1.0,,2.0,,,,,,,,,,
376,Newton,5.19,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Newton,20,4,newton,BOT,0.0,104693,263,0.0,3.22,7,False,Newton Araújo da Costa Júnior,1.0,10.0,10.0,3.0,2.0,,5.0,,,1.0,,,1.0,,,,,,,
377,E. Díaz,9.3,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Enzo Díaz,20,2,enzo-diaz,SAO,0.0,104758,276,0.0,5.3,17,False,Enzo Hernán Díaz,5.0,42.0,35.0,1.0,19.0,4.0,6.0,2.0,,1.0,3.0,,,,,,,,,
378,Acevedo,4.11,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Acevedo,20,4,acevedo,BAH,-0.18,104783,265,0.6,2.1,13,True,Nicolás Brian Acevedo Tabárez,1.0,17.0,8.0,2.0,4.0,,1.0,,,,,,,,,,,,,
379,J. Meurer,2.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Jorge Meurer,20,1,jorge-meurer,GRE,0.0,104933,284,0.0,0.0,0,False,Jorge Meurer Bartholdy,,,,,,,,,,,,,,,,,,,,
380,W. Leonardo,6.1,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Wagner Leonardo,20,3,wagner-leonardo,GRE,0.0,104994,284,0.0,3.01,17,False,Wagner Leonardo Calvelo de Souza,2.0,20.0,14.0,4.0,4.0,3.0,1.0,1.0,,1.0,,,,,,,,,,
381,J. Marcelo,7.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,João Marcelo,20,3,joao-marcelo,CRU,0.0,105047,283,0.0,0.0,0,False,João Marcelo Messias Ferreira,,,,,,,,,,,,,,,,,,,,
382,Reinier,4.48,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Reinier,20,4,reinier,CAM,-0.52,105068,282,-0.1,-0.1,1,True,Reinier Jesus Carvalho,1.0,1.0,2.0,,,,,,,,,,,,,,,,,
383,Khellven,6.88,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Khellven,20,2,khellven,PAL,0.54,105175,275,4.4,2.2,2,True,Khellven Douglas Silva Oliveira,,,2.0,,,1.0,,,,,,,,,,,,,,
384,Sant'Anna,5.06,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Sant'Anna,20,2,sant-anna,RBB,0.0,105213,280,0.0,2.4,9,False,Ariel Agustín Sant'Anna Quintero,3.0,8.0,8.0,1.0,2.0,1.0,6.0,,,1.0,,,1.0,,,,,,,
385,S. Rodríguez,4.68,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Santiago Rodríguez,20,4,santiago-rodriguez,BOT,0.14,105214,263,1.9,1.72,10,True,Santiago Mariano Rodríguez Molina,1.0,5.0,4.0,4.0,8.0,,4.0,,,1.0,,,,,,,,,,
386,G. Ávila,7.9,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Gastón Ávila,20,3,gaston-avila,FOR,-0.13,105258,356,1.7,3.41,8,True,Gastón Luciano Ávila,1.0,12.0,4.0,2.0,5.0,1.0,2.0,,,,,,,,,,,,,
387,Ferraresi,8.4,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Ferraresi,20,3,ferraresi,SAO,-2.08,105300,276,1.7,6.22,15,True,Nahuel Adolfo Ferraresi Hernández,2.0,41.0,19.0,,12.0,4.0,2.0,3.0,,1.0,,,,,,,,,,1.0
388,L. Lima,2.3,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Lucas Lima,20,4,lucas-lima,CEA,-0.32,105337,354,0.0,0.62,7,True,Lucas Eduardo Lima da Silva,,2.0,,,1.0,,1.0,,,,,,,,,,,,,
389,G. Xavier,6.66,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Gabriel Xavier,20,3,gabriel-xavier,BAH,0.0,105373,265,0.0,2.82,4,False,Gabriel Lheman Xavier - Lhman,1.0,2.0,4.0,,1.0,2.0,,,,,,,,,,,,,,
390,Carrascal,8.72,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Carrascal,20,4,carrascal,FLA,-0.28,105436,262,1.5,1.5,1,True,Jorge Andrés Carrascal Guardo,,1.0,,,,,,,,,,,,,,,,,,
391,M. Bidu,10.38,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Matheus Bidu,20,2,matheus-bidu,COR,0.53,105531,264,5.9,6.31,12,True,Matheus Lima Beltrão Oliveira Valin,2.0,19.0,6.0,2.0,28.0,5.0,5.0,1.0,,3.0,,,,,,,,1.0,,
392,C. Vinícius,7.17,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Carlos Vinícius,20,5,carlos-vinicius,GRE,-1.96,105563,284,-2.9,-0.2,2,True,Carlos Vinícius Alves Morais,1.0,,4.0,2.0,5.0,,,,,1.0,,,,,,,1.0,,,
393,Lucero,7.7,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Lucero,20,5,lucero,FOR,0.12,105568,356,2.1,2.85,15,True,Juan Martín Lucero,4.0,8.0,18.0,5.0,7.0,,4.0,1.0,3.0,6.0,,,1.0,,,,,,1.0,
394,L. Piton,9.77,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Lucas Piton,20,2,lucas-piton,VAS,2.39,105584,267,18.5,4.53,15,True,Lucas Piton Crivellaro,3.0,16.0,23.0,,7.0,3.0,3.0,5.0,1.0,1.0,,,,,,,,,,
395,Roni,1.66,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,Roni,20,4,roni,MIR,0.0,105585,2305,0.0,0.1,5,False,Roni Medeiros de Moura,1.0,1.0,,,,,,,,,,,,,,,,,,
396,Maurício,8.78,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Maurício,20,4,mauricio,PAL,-0.63,105647,275,1.3,4.1,13,True,Maurício Magalhães Prado,,7.0,8.0,2.0,7.0,,7.0,2.0,3.0,4.0,,,,,,,,,,
397,T. Magno,6.53,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Talles Magno,20,5,talles-magno,COR,0.23,105786,264,4.6,3.24,17,True,Talles Magno Bacelar Martins,1.0,13.0,17.0,5.0,25.0,,10.0,1.0,1.0,9.0,,,1.0,,,,,,,
398,Wesley,10.58,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Wesley,20,5,wesley,INT,-1.06,105811,285,0.9,4.51,17,True,Wesley Ribeiro Silva,2.0,21.0,17.0,9.0,32.0,,10.0,3.0,,5.0,,,1.0,,,,,,,
399,Edu,4.51,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Edu,20,3,edu,VIT,-0.25,105842,287,0.5,3.5,11,True,Lucas Eduardo Ribeiro de Souza,,10.0,5.0,1.0,3.0,4.0,3.0,,,,,,,,,,,,,
400,M. Araújo,5.34,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Matheus Araújo,20,4,matheus-araujo,CEA,0.0,105845,354,0.0,2.4,8,False,Matheus de Araújo Andrade,,2.0,1.0,1.0,3.0,,1.0,1.0,1.0,,,,,,,,,,,
401,Allanzinho,4.7,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Allanzinho,20,5,allanzinho,FOR,0.8,105900,356,5.5,2.76,5,True,Allan Victor Oliveira Mota,1.0,1.0,4.0,,6.0,,2.0,2.0,,1.0,,,,,,,,,,
402,J. Aldo,4.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,José Aldo,20,4,jose-aldo,MIR,0.52,105903,2305,4.8,2.23,15,True,José Aldo Soares de Oliveira Filho,2.0,19.0,15.0,3.0,8.0,,5.0,,,1.0,,,,,,,,,,
403,Rochet,10.87,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Rochet,20,1,rochet,INT,0.0,105949,285,0.0,5.69,7,False,Sergio Ramón Rochet Álvarez,,,,,2.0,2.0,,,,,,,,26.0,,5.0,,,,
404,S. Mingo,4.21,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Santiago Mingo,20,3,santiago-mingo,BAH,-0.1,105990,265,-0.3,2.54,17,True,Santiago Martín Ramos Mingo,4.0,13.0,22.0,,11.0,5.0,5.0,,,2.0,,,,,,,,,,
405,Ewerthon,6.23,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Ewerthon,20,2,ewerthon,JUV,0.0,106082,286,0.0,3.34,12,False,Ewerthon Diógenes da Silva,2.0,20.0,7.0,2.0,7.0,1.0,4.0,,,,,,,,,,,,,
406,T. Carpini,6.75,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Thiago Carpini,20,6,thiago-carpini,JUV,-0.15,106147,286,3.8,4.09,14,True,Thiago Carpini Barbosa,,,,,,,,,,,,3.0,,,,,,,,
407,Lucão,7.15,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Lucão,20,1,lucao,RBB,0.0,106160,280,0.0,6.23,3,False,Lucas Alexandre Galdino de Azevedo,1.0,,,,1.0,1.0,,,,,,,,14.0,,4.0,,,,
408,B. Gomes,6.0,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Bruno Gomes,20,2,bruno-gomes,INT,0.0,106202,285,0.0,0.0,0,False,Bruno Gomes da Silva Clevelário,,,,,,,,,,,,,,,,,,,,
409,M. Antônio,3.7,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Marcos Antônio,20,4,marcos-antonio,SAO,0.0,106294,276,0.0,2.13,15,False,Marcos Antônio Silva Santos,3.0,12.0,17.0,1.0,17.0,,3.0,2.0,,,,,,,,,,,,
410,C. Alexandre,5.13,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Caio Alexandre,20,4,caio-alexandre,BAH,-0.19,106323,265,1.4,2.4,16,True,Caio Alexandre Souza e Silva,4.0,18.0,28.0,1.0,27.0,,5.0,1.0,,,,,,,,,,,,
411,E. Santos,8.19,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Eduardo Santos,20,3,eduardo-santos,RBB,0.0,106434,280,0.0,5.1,7,False,Eduardo Gonzaga Mendes Santos,,10.0,1.0,,2.0,4.0,,,,,,,,,,,,,,
412,Villalba,7.84,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,Villalba,20,3,villalba,CRU,-0.36,106593,283,0.0,5.97,17,True,Lucas Hernán Villalba,4.0,23.0,10.0,1.0,7.0,10.0,3.0,,1.0,,,,3.0,,,,,,,
413,L. Pereira,5.13,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Léo Pereira,20,5,leo-pereira,SPT,-0.41,106681,292,6.5,3.35,9,True,Leonardo Augusto dos Santos Pereira,,8.0,7.0,3.0,19.0,,3.0,1.0,,2.0,,,,,,,,,,
414,I. Formiga,6.98,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Igor Formiga,20,2,igor-formiga,JUV,3.98,106708,286,11.0,11.0,1,True,Igor Marques Paciência Cardoso,,2.0,,,,,,,1.0,,,,,,,,,,,
415,R. Nestor,5.88,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Rodrigo Nestor,20,4,rodrigo-nestor,BAH,0.0,106822,265,0.0,3.33,7,False,Rodrigo Nestor Bertalia,1.0,9.0,5.0,1.0,3.0,,2.0,,1.0,,,,,,,,,,,
416,Patryck,5.81,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Patryck,20,2,patryck,SAO,-0.07,106829,276,2.5,4.15,2,True,Patryck Lanza dos Reis,,,,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
417,P. Baya,4.16,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Paulo Baya,20,5,paulo-baya,CEA,-1.19,106918,354,0.0,2.84,5,True,Paulo Henrique Silva Ribeiro,,,,1.0,,,,1.0,1.0,,,,,,,,,,,
418,L. Juba,8.8,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Luciano Juba,20,2,luciano-juba,BAH,-1.73,107093,265,-1.3,6.07,18,True,Luciano Batista da Silva Júnior,2.0,18.0,16.0,3.0,6.0,6.0,7.0,3.0,4.0,1.0,,,,,,,,,,
419,Jeffinho,3.45,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Jeffinho,20,5,jeffinho,BOT,-0.88,107170,263,-0.3,1.67,4,True,Jefferson Ruan Pereira dos Santos,,1.0,2.0,,,,1.0,1.0,,,,,,,,,,,,
420,M. Araújo,7.22,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Michel Araújo,20,4,michel-araujo,BAH,1.68,107173,265,10.6,3.48,11,True,Michel Daryl Araújo Villar,1.0,6.0,10.0,,1.0,,1.0,,4.0,,,,,,,,,,,
421,B. Tabata,6.87,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Bruno Tabata,20,4,bruno-tabata,INT,0.0,107174,285,0.0,4.11,15,False,Bruno Vinícius Souza Ramos,3.0,13.0,9.0,7.0,18.0,,8.0,1.0,2.0,1.0,,,1.0,,,,,,,
422,M. Donelli,4.42,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Matheus Donelli,20,1,matheus-donelli,COR,0.0,107179,264,0.0,3.08,5,False,Matheus Planelles Donelli,1.0,,,,1.0,1.0,,,,,,,,13.0,,6.0,,,,
423,L. Linck,6.98,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Léo Linck,20,1,leo-linck,BOT,0.0,107183,263,0.0,6.3,1,False,Leonardo Matias Baiersdorf Linck,,,,,,1.0,,,,,,,,1.0,,,,,,
424,Magrão,3.44,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Magrão,20,1,magrao,FOR,0.0,107221,356,0.0,2.9,2,False,Audenirton Soares da Silva,,,,,,,,,,,,,,6.0,,2.0,,,,
425,Danilo,8.58,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,Danilo,20,4,danilo,BOT,-1.22,107231,263,0.2,0.23,3,True,Danilo dos Santos de Oliveira,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,
426,Vanderlan,5.17,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Vanderlan,20,2,vanderlan,RBB,0.33,107236,280,4.2,3.3,4,True,Vanderlan Barbosa da Silva,,8.0,6.0,,6.0,,,,,,,,,,,,,,,
427,Ênio,4.28,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Ênio,20,5,enio,JUV,-0.19,107516,286,0.5,2.74,13,True,Sebastião Ênio Santos de Almeida,2.0,6.0,4.0,3.0,22.0,,6.0,,1.0,5.0,,,1.0,,,,,,,
428,Natanael,8.5,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Natanael,20,2,natanael,CAM,-0.1,107554,282,3.3,5.58,18,True,Natanael Moreira Milouski,1.0,31.0,18.0,3.0,15.0,7.0,8.0,,1.0,2.0,,,,,,,,,,
429,Adriano,1.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Adriano,20,1,adriano,SPT,0.0,107698,292,0.0,0.0,0,False,Antônio Adriano Nascimento de Sousa,,,,,,,,,,,,,,,,,,,,
430,C. Barletta,6.33,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,Chrystian Barletta,20,5,chrystian-barletta,SPT,0.09,107726,292,2.0,4.19,18,True,Chrystian Amaral Barletta de Almeida,1.0,13.0,9.0,14.0,20.0,,14.0,,2.0,5.0,,,2.0,,,,,,,
431,Praxedes,4.97,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Praxedes,20,4,praxedes,RBB,-0.54,107744,280,3.0,2.54,5,True,Bruno Conceição Praxedes,1.0,3.0,5.0,2.0,7.0,,6.0,,,,,,,,,,,,,
432,Adriel,3.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Adriel,20,1,adriel,GRE,0.0,107748,284,0.0,0.0,0,False,Adriel Vasconcelos Ramos,,,,,,,,,,,,,,,,,,,,
433,Natã,2.43,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,Natã,20,3,nata,JUV,0.0,107801,286,0.0,1.35,2,False,Natã Felipe de Amorim Santos,,2.0,1.0,,,,,,,,,,,,,,,,,
434,Fintelman,2.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Fintelman,20,1,fintelman,VIT,0.0,107859,287,0.0,0.0,0,False,Alexandre Fintelman de Mello Ribeiro da Silva,,,,,,,,,,,,,,,,,,,,
435,Bobadilla,5.38,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Bobadilla,20,4,bobadilla,SAO,-1.43,107873,276,0.0,3.92,15,True,Damián Josué Bobadilla Benítez,1.0,25.0,15.0,4.0,7.0,,3.0,,2.0,,,,,,,,,,,
436,Hugo,5.41,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,Hugo,20,2,hugo,COR,0.0,107908,264,0.0,2.23,3,False,Hugo Ferreira de Farias,,3.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,
437,F. Vera,6.33,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,Fausto Vera,20,4,fausto-vera,CAM,0.0,107950,282,0.0,2.69,8,False,Fausto Mariano Vera,2.0,9.0,8.0,,4.0,,3.0,,1.0,,,,,,,,,,,
438,Carbonero,5.5,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Carbonero,20,5,carbonero,INT,0.0,107989,285,0.0,3.99,8,False,Johan Stiven Carbonero Balanta,1.0,1.0,9.0,1.0,17.0,,6.0,,2.0,4.0,,,1.0,,,,,1.0,,
439,I. Pitta,7.9,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,Isidro Pitta,20,5,isidro-pitta,RBB,0.0,108133,280,0.0,3.72,16,False,Isidro Miguel Pitta Saldívar,3.0,1.0,14.0,3.0,9.0,,6.0,1.0,6.0,7.0,,,,,,,,,,
440,G. Lacerda,4.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Gabriel Lacerda,20,3,gabriel-lacerda,CEA,0.0,108176,354,0.0,0.0,0,False,Gabriel Santos Cordeiro Lacerda,,,,,,,,,,,,,,,,,,,,
441,D. Ricardo,6.32,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,David Ricardo,20,3,david-ricardo,BOT,0.0,108274,263,0.0,4.35,7,False,David Ricardo Loiola da Silva,,4.0,6.0,,1.0,4.0,1.0,,1.0,,,,,,,,1.0,,,
442,S. Moreno,7.0,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Santi Moreno,20,5,santi-moreno,FLU,0.0,108474,266,0.0,0.0,0,False,Santiago Moreno,,,,,,,,,,,,,,,,,,,,
443,Aravena,5.07,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Aravena,20,5,aravena,GRE,1.13,108548,284,9.7,2.85,11,True,Alexander Ernesto Aravena Guzmán,1.0,6.0,3.0,1.0,5.0,,2.0,,2.0,1.0,,,1.0,,,,,,,
444,Tapia,5.75,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,Tapia,20,5,tapia,SAO,-0.37,108588,276,1.2,2.5,4,True,Gonzalo Andrés Tapia Dubournais,2.0,,3.0,2.0,2.0,,2.0,,1.0,1.0,,,,,,,,,,
445,Garré,1.83,6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,Garré,20,5,garre,VAS,0.0,108671,267,0.0,0.02,8,False,Benjamín Antonio Garré,1.0,1.0,6.0,,3.0,,,,,,,,,,,,,,,
446,E. Martínez,5.47,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Emiliano Martínez,20,4,emiliano-martinez,PAL,0.0,108683,275,0.0,3.48,15,False,Emiliano Martínez Toranza,2.0,27.0,17.0,3.0,8.0,,4.0,,1.0,,,,,,,,,,,
447,Galeano,6.61,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Galeano,20,5,galeano,CEA,0.26,108713,354,6.3,5.14,17,True,Antonio Javier Galeano Ferreira,1.0,16.0,10.0,4.0,29.0,,5.0,2.0,4.0,7.0,,,1.0,,,,,,,
448,Plata,8.39,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,Plata,20,5,plata,FLA,0.04,109096,262,10.5,5.32,12,True,Gonzalo Jordy Plata Jiménez,,16.0,9.0,5.0,9.0,,4.0,1.0,3.0,2.0,,,,,,,,,,
449,E. Pulga,8.89,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,Erick Pulga,20,5,erick-pulga,BAH,-0.28,109401,265,-1.0,6.48,15,False,Erick da Costa Farias,3.0,24.0,12.0,5.0,32.0,,19.0,3.0,2.0,3.0,,,,,,,,,,
450,Weverson,2.71,7,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Weverson,20,2,weverson,FOR,0.11,109426,356,1.4,0.55,2,True,Weverson Moreira da Costa,,1.0,4.0,,,,1.0,,,,,,,,,,,,,
451,Martinelli,6.29,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,Martinelli,20,4,martinelli,FLU,-0.26,109573,266,0.4,2.82,18,True,Matheus Martinelli Lima,3.0,20.0,20.0,2.0,22.0,,2.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,
