,atletas.atleta_id,atletas.jogos_num,atletas.preco_num,atletas.status_id,atletas.clube.id.full.name,atletas.rodada_id,atletas.slug,atletas.entrou_em_campo,atletas.nome,atletas.apelido,atletas.media_num,atletas.foto,atletas.apelido_abreviado,atletas.variacao_num,atletas.posicao_id,atletas.clube_id,atletas.pontos_num,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PS,DE,GS,PC,V,DP,CV,PP,GC
48,70788,12,5.81,6,INT,18,enner-valencia,True,Enner Remberto Valencia Lastra,Enner Valencia,1.83,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,E. Valencia,0.24,5,285,1.5,,2.0,2.0,13.0,4.0,5.0,11.0,1.0,3.0,,1.0,,,,,,,,,
49,70916,9,7.58,6,FOR,18,diogo-barbosa,True,Diogo Barbosa Mendanha,Diogo Barbosa,4.01,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,D. Barbosa,-0.48,2,356,1.2,,1.0,10.0,4.0,,1.0,9.0,1.0,,2.0,,,,,,,,,,
50,70944,13,6.22,6,INT,18,bruno-henrique,False,Bruno Henrique Corsini,Bruno Henrique,3.05,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,B. Henrique,0.0,4,285,0.0,,,19.0,26.0,3.0,8.0,8.0,1.0,,,,,,,,,,1.0,,
51,71123,2,5.92,6,VAS,18,thiago-mendes,True,Thiago Henrique Mendes Ribeiro,Thiago Mendes,0.45,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,T. Mendes,-0.19,4,267,1.7,,1.0,1.0,2.0,,,2.0,,,,,,,,,,,,,
52,71162,0,6.0,6,CEA,18,vina,False,Vinícius Goes Barbosa de Souza,Vina,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Vina,0.0,4,354,0.0,,,,,,,,,,,,,,,,,,,,
53,71536,1,10.73,5,SAO,18,luiz-gustavo,False,Luiz Gustavo Dias,Luiz Gustavo,9.6,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,L. Gustavo,0.0,4,276,0.0,,,4.0,4.0,,1.0,2.0,,,,1.0,,,,,,,,,
54,71571,6,7.02,6,CEA,18,fernando-miguel,False,Fernando Miguel Kaufmann,Fernando Miguel,6.18,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,F. Miguel,0.0,1,354,0.0,,,,,,,6.0,,,3.0,,,17.0,3.0,,,,,,
55,71631,15,7.93,7,PAL,18,weverton,False,Weverton Pereira da Silva,Weverton,4.33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Weverton,-1.14,1,275,-1.0,,2.0,,,,,6.0,,,6.0,,,30.0,12.0,,,1.0,,,
56,71680,8,3.09,3,VIT,18,raul-caceres,True,Raúl Alejandro Cáceres Bogado,Raúl Cáceres,2.75,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,R. Cáceres,-0.82,2,287,-1.3,1.0,3.0,4.0,7.0,3.0,2.0,2.0,,1.0,2.0,,,,,,,,,,
57,71684,12,9.22,7,PAL,18,gustavo-gomez,False,Gustavo Raúl Gómez Portillo,Gustavo Gómez,3.99,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,G. Gómez,0.0,3,275,0.0,,3.0,15.0,15.0,1.0,4.0,8.0,,5.0,5.0,,,,,,,,,,
