,atletas.preco_num,atletas.foto,atletas.media_num,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.clube_id,atletas.jogos_num,atletas.nome,atletas.entrou_em_campo,atletas.apelido,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.pontos_num,atletas.variacao_num,atletas.rodada_id,atletas.status_id,CA,DS,FC,FD,FF,FS,G,I,SG,A,PS,DE,GS,FT,CV,V,DP,PC,PP,GC
56,5.15,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2.55,4,cuellar,71709,284,12,Gustavo Leonardo Cuellar Gallego,True,Cuéllar,Cuéllar,GRE,-0.8,-0.48,33,6,2.0,20.0,13.0,,,13.0,,,,,,,,,,,,,,
57,7.77,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,4.18,1,tiago-volpi,72018,284,26,Tiago Luis Volpi,True,Tiago Volpi,T. Volpi,GRE,7.6,0.33,33,7,2.0,,,,,9.0,1.0,,4.0,,,87.0,34.0,,,,,1.0,,
58,2.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0.0,1,thomazella,72279,2305,0,Carlos Eduardo Lecciolle Thomazella,False,Thomazella,Thomazella,MIR,0.0,0.0,33,6,,,,,,,,,,,,,,,,,,,,
59,8.91,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,4.75,1,everson,72294,282,29,Everson Felipe Marques Pires,True,Everson,Everson,CAM,0.6,-1.18,33,6,7.0,,,,,7.0,,,11.0,,,90.0,31.0,,,,,,,
60,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,3,luiz-otavio,72359,354,0,Luiz Otávio Anacleto Leandro,False,Luiz Otávio,L. Otávio,CEA,0.0,0.0,33,5,,,,,,,,,,,,,,,,,,,,
61,9.59,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,5.51,6,fernando-diniz,72391,267,23,Fernando Diniz Silva,True,Fernando Diniz,F. Diniz,VAS,2.94,0.07,33,7,,,,,,,,,,,,,,,,9.0,,,,
62,3.17,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,1.0,4,bernard,72460,282,22,Bernard Anício Caldeira Duarte,False,Bernard,Bernard,CAM,0.0,0.0,33,6,3.0,14.0,15.0,1.0,5.0,7.0,,1.0,,,,,,,,,,,,
63,10.48,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,5.8,2,alex-telles,72493,263,21,Alex Nicolao Telles,True,Alex Telles,A. Telles,BOT,4.7,-1.37,33,6,2.0,8.0,18.0,3.0,8.0,11.0,3.0,1.0,13.0,2.0,,,,1.0,,,,,,
64,7.73,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,4.39,5,pedro-henrique,72583,354,23,Pedro Henrique Konzen Medina da Silva,True,Pedro Henrique,P. Henrique,CEA,3.6,0.14,33,7,6.0,22.0,26.0,8.0,12.0,23.0,4.0,10.0,,3.0,,,,2.0,,,,1.0,,
65,7.57,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,4.85,3,vitor-hugo,72605,282,15,Vitor Hugo Franchescoli de Souza,True,Vitor Hugo,V. Hugo,CAM,1.0,-0.4,33,6,2.0,20.0,8.0,,4.0,2.0,1.0,1.0,7.0,,,,,1.0,1.0,,,,,
66,2.85,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,1.51,3,wilker-angel,72801,286,17,Wílker José Ángel Romero,True,Wilker Ángel,W. Ángel,JUV,-0.3,-0.71,33,7,5.0,5.0,26.0,4.0,3.0,4.0,1.0,2.0,3.0,,,,,,,,,1.0,,
67,5.43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,2.7,3,mercado,72951,285,8,Gabriel Iván Mercado,True,Mercado,Mercado,INT,0.2,-0.69,33,7,2.0,8.0,8.0,1.0,1.0,4.0,,,2.0,,,,,,,,,,,
68,5.23,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,4.49,2,daniel-borges,73318,2305,15,Daniel Fortunato Borges,False,Daniel Borges,D. Borges,MIR,0.0,0.0,33,6,3.0,9.0,14.0,2.0,4.0,9.0,2.0,,5.0,2.0,,,,,,,,,,
69,9.59,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,5.51,2,samuel-xavier,73384,266,22,Samuel Xavier Brito,True,Samuel Xavier,S. Xavier,FLU,5.2,-0.57,33,7,3.0,20.0,29.0,1.0,4.0,23.0,4.0,,10.0,1.0,,,,,,,,,,
70,6.84,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,3.16,4,gabriel,73515,2305,21,Gabriel Santana Pinto,True,Gabriel,Gabriel,MIR,11.9,1.34,33,6,2.0,5.0,7.0,7.0,6.0,25.0,4.0,7.0,,1.0,1.0,,,,,,,,,
71,5.16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,2.92,4,guilherme-marques,73781,2305,8,Guilherme Costa Marques,False,Guilherme Marques,G. Marques,MIR,0.0,0.0,33,6,1.0,8.0,7.0,,3.0,8.0,1.0,,,,,,,,,,,,,
72,3.28,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,1.27,4,rincon,74187,277,16,Tomás Eduardo Rincón Hernández,False,Rincón,Rincón,SAN,0.0,0.0,33,6,4.0,17.0,24.0,,7.0,7.0,,,,,,,,,1.0,,,,,
