,atletas.apelido_abreviado,atletas.foto,atletas.pontos_num,atletas.jogos_num,atletas.variacao_num,atletas.rodada_id,atletas.status_id,atletas.preco_num,atletas.atleta_id,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.slug,atletas.clube_id,atletas.apelido,atletas.nome,atletas.media_num,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PS,DE,GS,CV,V,PP,DP,PC,GC
23,Eduardo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0.0,22,-0.17,29,6,3.21,68708,CRU,True,eduardo,283,Eduardo,Carlos Eduardo de Oliveira Alves,1.32,4,,1.0,12.0,17.0,2.0,4.0,11.0,1.0,1.0,,,1.0,,,1.0,,,,,
24,Neto,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.0,3,0.0,29,5,7.25,68806,BOT,False,neto,263,Neto,Norberto Murara Neto,2.03,1,,,,,,,,,,,,,7.0,3.0,,,,,,
25,Oscar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.0,6,0.0,29,5,11.39,68811,SAO,False,oscar,276,Oscar,Oscar dos Santos Emboaba Júnior,1.67,4,,1.0,5.0,3.0,2.0,,4.0,,,,,,,,,,,,,
26,M. Lomba,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0.0,1,0.0,29,6,7.63,68872,PAL,False,marcelo-lomba,275,Marcelo Lomba,Marcelo Lomba do Nascimento,3.2,1,,,,,,,,,,,,,4.0,2.0,,,,,,
27,P. Coutinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,3.3,21,-0.26,29,7,9.89,68899,VAS,True,philippe-coutinho,267,Philippe Coutinho,Philippe Coutinho Correia,4.94,4,3.0,1.0,9.0,13.0,15.0,17.0,31.0,4.0,1.0,,1.0,1.0,,,1.0,,,,,
28,Dudu,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,1.6,11,-0.5,29,6,7.77,68920,CAM,True,dudu,282,Dudu,Eduardo Pereira Rodrigues,2.21,5,,,4.0,6.0,1.0,2.0,13.0,1.0,2.0,,1.0,,,,,,,,,
29,Rafael,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,3.5,26,-0.25,29,7,9.62,68928,SAO,True,rafael,276,Rafael,Rafael Pires Monteiro,4.87,1,,2.0,1.0,,,,6.0,,,8.0,,,88.0,30.0,,,,,,
30,Marinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,4.1,16,0.41,29,6,6.63,68952,FOR,True,marinho,356,Marinho,Mário Sérgio Santos Costa,3.02,5,2.0,2.0,11.0,24.0,5.0,13.0,22.0,1.0,13.0,,,,,,1.0,,,,,
31,L. Sasha,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,8.0,20,0.22,29,7,9.13,68991,FOR,True,lucas-sasha,356,Lucas Sasha,Lucas Pacheco Affini,5.81,4,,2.0,70.0,37.0,5.0,4.0,16.0,1.0,1.0,,,,,,,,,,1.0,
32,W. José,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,15.0,22,1.48,29,7,9.18,68996,BAH,True,willian-jose,265,Willian José,Willian José da Silva,4.35,5,5.0,3.0,1.0,8.0,8.0,8.0,9.0,6.0,1.0,,2.0,,,,,,,,,
