,atletas.apelido_abreviado,atletas.foto,atletas.pontos_num,atletas.jogos_num,atletas.variacao_num,atletas.rodada_id,atletas.status_id,atletas.preco_num,atletas.atleta_id,atletas.clube.id.full.name,atletas.entrou_em_campo,atletas.slug,atletas.clube_id,atletas.apelido,atletas.nome,atletas.media_num,atletas.posicao_id,A,CA,DS,FC,FD,FF,FS,G,I,SG,FT,PS,DE,GS,CV,V,PP,DP,PC,GC
384,Newton,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,5.2,15,0.96,29,7,5.12,104693,BOT,True,newton,263,Newton,Newton Araújo da Costa Júnior,3.4,4,,3.0,23.0,25.0,4.0,6.0,7.0,1.0,1.0,,2.0,,,,,,,,,
385,J. Vojvoda,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,2.94,20,-0.74,29,7,10.07,104754,SAN,True,juan-vojvoda,277,Juan Vojvoda,Juan Pablo Vojvoda Rizzo,5.25,6,,,,,,,,,,,,,,,,4.0,,,,
386,E. Díaz,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,-0.1,24,-1.35,29,7,8.7,104758,SAO,True,enzo-diaz,276,Enzo Díaz,Enzo Hernán Díaz,5.9,2,5.0,8.0,53.0,43.0,1.0,7.0,32.0,,1.0,7.0,1.0,,,,,,,,3.0,
387,Acevedo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,5.4,21,-0.27,29,7,5.32,104783,BAH,True,acevedo,265,Acevedo,Nicolás Brian Acevedo Tabárez,3.08,4,1.0,3.0,36.0,22.0,6.0,2.0,13.0,,,,,,,,,,,,,
388,J. Meurer,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,0,0.0,29,6,2.0,104933,GRE,False,jorge-meurer,284,Jorge Meurer,Jorge Meurer Bartholdy,0.0,1,,,,,,,,,,,,,,,,,,,,
389,W. Leonardo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,23,0.0,29,6,7.06,104994,GRE,False,wagner-leonardo,284,Wagner Leonardo,Wagner Leonardo Calvelo de Souza,2.9,3,1.0,2.0,23.0,15.0,5.0,1.0,5.0,,1.0,5.0,,,,,,,,,,
390,J. Marcelo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,0.0,2,0.0,29,6,5.91,105047,CRU,False,joao-marcelo,283,João Marcelo,João Marcelo Messias Ferreira,0.6,3,,,1.0,1.0,,,,,,,,,,,,,,,,
391,Reinier,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,0.0,7,0.0,29,6,3.66,105068,CAM,False,reinier,282,Reinier,Reinier Jesus Carvalho,1.66,4,,2.0,5.0,4.0,1.0,2.0,3.0,,,,1.0,,,,,,,,,
392,A. Duarte,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,0.0,3,0.0,29,6,6.71,105114,SAN,False,alexis-duarte,277,Alexis Duarte,Alexis David Duarte Pereira,3.0,3,,,5.0,4.0,1.0,,3.0,,,,,,,,,,,,,
393,Khellven,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,10.1,6,1.68,29,7,8.13,105175,PAL,True,khellven,275,Khellven,Khellven Douglas Silva Oliveira,4.52,2,1.0,,9.0,13.0,,,5.0,,,2.0,,,,,,,,,,
394,Sant'Anna,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,0.0,9,0.0,29,6,5.06,105213,RBB,False,sant-anna,280,Sant'Anna,Ariel Agustín Sant'Anna Quintero,2.4,2,,3.0,8.0,8.0,1.0,6.0,2.0,,1.0,1.0,1.0,,,,,,,,,
395,S. Rodríguez,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,8.5,18,0.75,29,7,7.07,105214,BOT,True,santiago-rodriguez,263,Santiago Rodríguez,Santiago Mariano Rodríguez Molina,4.31,4,3.0,4.0,21.0,12.0,4.0,8.0,23.0,2.0,1.0,,,,,,,,,,,
396,G. Ávila,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0.0,16,0.0,29,3,8.61,105258,FOR,False,gaston-avila,356,Gastón Ávila,Gastón Luciano Ávila,4.38,3,,3.0,33.0,13.0,4.0,4.0,11.0,,1.0,3.0,,,,,,,,,1.0,
397,Ferraresi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,2.3,18,-0.16,29,7,8.85,105300,SAO,True,ferraresi,276,Ferraresi,Nahuel Adolfo Ferraresi Hernández,6.53,3,3.0,3.0,53.0,25.0,,2.0,20.0,,1.0,5.0,,,,,,,,,,1.0
398,L. Lima,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,10,0.0,29,6,2.56,105337,CEA,False,lucas-lima,354,Lucas Lima,Lucas Eduardo Lima da Silva,0.95,4,,,5.0,1.0,,1.0,3.0,,,,,,,,,,,,,
399,G. Xavier,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0.0,9,0.0,29,6,5.18,105373,BAH,False,gabriel-xavier,265,Gabriel Xavier,Gabriel Lheman Xavier - Lhman,2.26,3,,3.0,6.0,16.0,,2.0,5.0,,,3.0,,,,,,,,,,
400,Carrascal,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,1.5,9,-0.74,29,6,8.69,105436,FLA,True,carrascal,262,Carrascal,Jorge Andrés Carrascal Guardo,5.07,4,4.0,3.0,10.0,11.0,,3.0,13.0,1.0,,,,,,,,,,,,
401,M. Bidu,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,5.5,19,0.07,29,7,10.24,105531,COR,True,matheus-bidu,264,Matheus Bidu,Matheus Lima Beltrão Oliveira Valin,5.88,2,2.0,7.0,28.0,15.0,3.0,7.0,43.0,,6.0,8.0,,1.0,,,,,,,,
402,C. Vinícius,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.1,6,-2.52,29,7,7.94,105563,GRE,True,carlos-vinicius,284,Carlos Vinícius,Carlos Vinícius Alves Morais,4.65,5,,1.0,1.0,11.0,2.0,2.0,12.0,3.0,3.0,,,,,,1.0,,,,,
403,Lucero,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0.3,23,-0.03,29,7,6.99,105568,FOR,True,lucero,356,Lucero,Juan Martín Lucero,2.61,5,1.0,6.0,17.0,35.0,8.0,9.0,14.0,3.0,8.0,,1.0,,,,,,1.0,,,
404,L. Piton,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,9.2,20,0.65,29,7,8.75,105584,VAS,True,lucas-piton,267,Lucas Piton,Lucas Piton Crivellaro,4.69,2,6.0,4.0,23.0,31.0,1.0,5.0,9.0,1.0,1.0,5.0,,,,,,,,,,
405,Roni,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0.0,7,0.0,29,6,1.55,105585,MIR,False,roni,2305,Roni,Roni Medeiros de Moura,0.14,4,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,
406,Maurício,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,2.5,20,-0.51,29,7,8.86,105647,PAL,True,mauricio,275,Maurício,Maurício Magalhães Prado,4.31,4,6.0,1.0,11.0,12.0,5.0,10.0,13.0,3.0,5.0,,,,,,,,,,,
407,T. Magno,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,0.0,21,0.0,29,6,5.83,105786,COR,False,talles-magno,264,Talles Magno,Talles Magno Bacelar Martins,2.8,5,1.0,2.0,14.0,21.0,6.0,10.0,31.0,1.0,9.0,,1.0,,,,,,,,,
408,L. Freitas,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,5,0.0,29,5,5.47,105807,JUV,False,luan-freitas,286,Luan Freitas,Luan de Freitas Molarinho Chagas,3.5,3,,,7.0,3.0,,3.0,1.0,,,1.0,,,,,,,,,,
409,Edu,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,3.7,15,0.31,29,7,5.04,105842,VIT,True,edu,287,Edu,Lucas Eduardo Ribeiro de Souza,3.47,3,,1.0,13.0,7.0,1.0,3.0,4.0,,,6.0,,,,,,,,,,
410,M. Araújo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,8,0.0,29,6,5.34,105845,CEA,False,matheus-araujo,354,Matheus Araújo,Matheus de Araújo Andrade,2.4,4,1.0,,2.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,
411,Allanzinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0.0,7,0.0,29,5,4.29,105900,FOR,False,allanzinho,356,Allanzinho,Allan Victor Oliveira Mota,2.69,5,2.0,1.0,2.0,5.0,,3.0,10.0,,1.0,,,1.0,,,,,,,,
412,J. Aldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0.0,22,-0.01,29,6,3.21,105903,MIR,True,jose-aldo,2305,José Aldo,José Aldo Soares de Oliveira Filho,1.84,4,,3.0,21.0,24.0,6.0,7.0,13.0,,1.0,,,,,,,,,,,
413,Rochet,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0.0,11,0.0,29,5,8.51,105949,INT,False,rochet,285,Rochet,Sergio Ramón Rochet Álvarez,4.01,1,,,,,,,2.0,,,2.0,,,37.0,15.0,,,,,,
414,S. Mingo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,10.7,24,1.56,29,7,5.99,105990,BAH,True,santiago-mingo,265,Santiago Mingo,Santiago Martín Ramos Mingo,3.12,3,,4.0,20.0,24.0,1.0,8.0,18.0,,2.0,8.0,,,,,,,,,,
415,Ewerthon,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,14,0.0,29,6,6.44,106082,JUV,False,ewerthon,286,Ewerthon,Ewerthon Diógenes da Silva,3.23,2,,2.0,22.0,8.0,2.0,6.0,9.0,,1.0,1.0,,,,,,,,,,
416,T. Carpini,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,7.56,22,0.83,29,7,7.36,106147,JUV,True,thiago-carpini,286,Thiago Carpini,Thiago Carpini Barbosa,4.11,6,,,,,,,,,,,,,,,,5.0,,,,
417,Lucão,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,0.0,4,0.0,29,2,7.34,106160,RBB,False,lucao,280,Lucão,Lucas Alexandre Galdino de Azevedo,5.7,1,,1.0,,,,,1.0,,,1.0,,,21.0,9.0,,,,,,
418,B. Gomes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,9.1,4,1.35,29,7,8.11,106202,INT,True,bruno-gomes,285,Bruno Gomes,Bruno Gomes da Silva Clevelário,5.0,2,,,6.0,5.0,1.0,1.0,1.0,,,2.0,,,,,,,,,,
419,M. Antônio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.4,21,-0.32,29,7,3.7,106294,SAO,True,marcos-antonio,276,Marcos Antônio,Marcos Antônio Silva Santos,1.97,4,3.0,4.0,13.0,21.0,1.0,6.0,23.0,,1.0,,,,,,,,,,,
420,C. Alexandre,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0.0,16,0.0,29,5,5.13,106323,BAH,False,caio-alexandre,265,Caio Alexandre,Caio Alexandre Souza e Silva,2.4,4,1.0,4.0,18.0,28.0,1.0,5.0,27.0,,,,,,,,,,,,,
421,E. Santos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,0.0,7,0.0,29,5,8.19,106434,RBB,False,eduardo-santos,280,Eduardo Santos,Eduardo Gonzaga Mendes Santos,5.1,3,,,10.0,1.0,,,2.0,,,4.0,,,,,,,,,,
422,Villalba,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,5.2,25,0.66,29,7,8.22,106593,CRU,True,villalba,283,Villalba,Lucas Hernán Villalba,5.09,3,,8.0,29.0,19.0,3.0,5.0,16.0,1.0,,13.0,3.0,,,,,,,,,
423,L. Pereira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0.0,15,0.0,29,6,4.1,106681,SPT,False,leo-pereira,292,Léo Pereira,Leonardo Augusto dos Santos Pereira,2.6,5,1.0,,12.0,11.0,4.0,5.0,24.0,,4.0,,,,,,,,,,1.0,
424,I. Formiga,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,15.6,8,1.71,29,7,10.52,106708,JUV,True,igor-formiga,286,Igor Formiga,Igor Marques Paciência Cardoso,7.31,2,1.0,,19.0,7.0,2.0,4.0,7.0,1.0,,2.0,,,,,,,,,,
425,R. Nestor,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,10.8,15,1.23,29,6,7.89,106822,BAH,True,rodrigo-nestor,265,Rodrigo Nestor,Rodrigo Nestor Bertalia,4.29,4,,3.0,14.0,9.0,3.0,5.0,13.0,4.0,1.0,,1.0,,,,,,,,,
426,Patryck,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.0,4,0.0,29,6,5.13,106829,SAO,False,patryck,276,Patryck,Patryck Lanza dos Reis,2.7,2,,1.0,1.0,3.0,1.0,5.0,2.0,,,1.0,,,,,,,,,,
427,P. Baya,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,1.6,12,0.12,29,6,4.21,106918,CEA,True,paulo-baya,354,Paulo Baya,Paulo Henrique Silva Ribeiro,2.34,5,1.0,,3.0,1.0,5.0,5.0,2.0,1.0,1.0,,,,,,,,,,,
428,L. Juba,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0.0,24,0.0,29,5,8.74,107093,BAH,False,luciano-juba,265,Luciano Juba,Luciano Batista da Silva Júnior,5.66,2,3.0,3.0,23.0,16.0,3.0,9.0,7.0,5.0,1.0,8.0,,,,,,,,,,
429,Jeffinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,10.3,11,1.58,29,6,6.21,107170,BOT,True,jeffinho,263,Jeffinho,Jefferson Ruan Pereira dos Santos,4.09,5,2.0,,8.0,7.0,3.0,2.0,8.0,2.0,1.0,,,,,,,,,,,
430,M. Araújo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,10.1,18,1.19,29,7,7.06,107173,BAH,True,michel-araujo,265,Michel Araújo,Michel Daryl Araújo Villar,3.32,4,,1.0,14.0,13.0,2.0,6.0,9.0,4.0,1.0,,,,,,,,,,,
431,B. Tabata,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0.0,20,0.0,29,6,6.08,107174,INT,False,bruno-tabata,285,Bruno Tabata,Bruno Vinícius Souza Ramos,3.88,4,1.0,4.0,19.0,15.0,7.0,9.0,20.0,3.0,2.0,,1.0,,,,,,,,,
432,M. Donelli,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,0.0,5,0.0,29,6,4.42,107179,COR,False,matheus-donelli,264,Matheus Donelli,Matheus Planelles Donelli,3.08,1,,1.0,,,,,1.0,,,1.0,,,13.0,6.0,,,,,,
433,L. Linck,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,8.9,8,1.64,29,7,7.14,107183,BOT,True,leo-linck,263,Léo Linck,Leonardo Matias Baiersdorf Linck,3.51,1,,1.0,,,,,,,,3.0,,,17.0,8.0,,,,,,
434,Magrão,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0.0,2,0.0,29,6,3.44,107221,FOR,False,magrao,356,Magrão,Audenirton Soares da Silva,2.9,1,,,,,,,,,,,,,6.0,2.0,,,,,,
435,Danilo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.0,6,0.0,29,5,7.36,107231,BOT,False,danilo,263,Danilo,Danilo dos Santos de Oliveira,2.3,4,,1.0,3.0,2.0,,3.0,1.0,1.0,,,,,,,,,,,,
436,Vanderlan,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,1.3,13,-0.61,29,7,5.27,107236,RBB,True,vanderlan,280,Vanderlan,Vanderlan Barbosa da Silva,3.45,2,1.0,1.0,23.0,22.0,1.0,3.0,9.0,,1.0,1.0,,,,,,,,,,
437,Ênio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.8,17,-0.02,29,6,4.44,107516,JUV,True,enio,286,Ênio,Sebastião Ênio Santos de Almeida,2.83,5,,3.0,7.0,5.0,4.0,8.0,25.0,2.0,5.0,,1.0,,,,,,,,,
438,Natanael,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,7.5,26,0.92,29,6,8.8,107554,CAM,True,natanael,282,Natanael,Natanael Moreira Milouski,4.98,2,,1.0,45.0,20.0,4.0,9.0,19.0,1.0,3.0,8.0,,,,,,,,,,
439,Adriano,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0.0,0,0.0,29,6,1.0,107698,SPT,False,adriano,292,Adriano,Antônio Adriano Nascimento de Sousa,0.0,1,,,,,,,,,,,,,,,,,,,,
440,C. Barletta,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0.5,27,-0.25,29,6,5.65,107726,SPT,True,chrystian-barletta,292,Chrystian Barletta,Chrystian Amaral Barletta de Almeida,3.24,5,,2.0,16.0,12.0,16.0,18.0,28.0,2.0,5.0,,2.0,,,,,,,,,
441,Praxedes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,0.0,10,-0.42,29,6,3.96,107744,RBB,True,praxedes,280,Praxedes,Bruno Conceição Praxedes,1.67,4,,2.0,5.0,6.0,2.0,7.0,10.0,,,,,,,,,,,,,
442,Adriel,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,0.0,0,0.0,29,6,3.0,107748,GRE,False,adriel,284,Adriel,Adriel Vasconcelos Ramos,0.0,1,,,,,,,,,,,,,,,,,,,,
443,Natã,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.0,2,0.0,29,5,2.43,107801,JUV,False,nata,286,Natã,Natã Felipe de Amorim Santos,1.35,3,,,2.0,1.0,,,,,,,,,,,,,,,,
444,Pierre,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,1.5,3,-0.14,29,6,3.59,107812,FOR,True,pierre,356,Pierre,Pierre Wagner Oliveira dos Santos,1.13,4,,1.0,3.0,2.0,,,1.0,,,,,,,,,,,,,
445,Fintelman,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,0,0.0,29,6,2.0,107859,VIT,False,fintelman,287,Fintelman,Alexandre Fintelman de Mello Ribeiro da Silva,0.0,1,,,,,,,,,,,,,,,,,,,,
446,Bobadilla,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.6,22,0.29,29,7,5.38,107873,SAO,True,bobadilla,276,Bobadilla,Damián Josué Bobadilla Benítez,3.49,4,1.0,3.0,33.0,28.0,6.0,7.0,10.0,2.0,1.0,,,,,,,,,,,
447,Hugo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,0.0,7,0.0,29,6,5.52,107908,COR,False,hugo,264,Hugo,Hugo Ferreira de Farias,2.78,2,,,7.0,3.0,1.0,1.0,6.0,,1.0,1.0,,,,,,,,,,
448,F. Vera,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,-0.7,13,-0.48,29,7,5.92,107950,CAM,True,fausto-vera,282,Fausto Vera,Fausto Mariano Vera,2.48,4,,3.0,18.0,21.0,,5.0,5.0,1.0,,,,,,,,,,,,
449,Carbonero,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,7.0,16,-0.36,29,7,7.4,107989,INT,True,carbonero,285,Carbonero,Johan Stiven Carbonero Balanta,5.32,5,2.0,3.0,6.0,22.0,9.0,9.0,43.0,4.0,8.0,,1.0,2.0,,,,,,,,
450,I. Pitta,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,0.0,16,0.0,29,6,7.9,108133,RBB,False,isidro-pitta,280,Isidro Pitta,Isidro Miguel Pitta Saldívar,3.72,5,1.0,3.0,1.0,14.0,3.0,6.0,9.0,6.0,7.0,,,,,,,,,,,
451,G. Lacerda,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,0,0.0,29,6,4.0,108176,CEA,False,gabriel-lacerda,354,Gabriel Lacerda,Gabriel Santos Cordeiro Lacerda,0.0,3,,,,,,,,,,,,,,,,,,,,
452,D. Ricardo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,5.4,14,0.54,29,7,4.74,108274,BOT,True,david-ricardo,263,David Ricardo,David Ricardo Loiola da Silva,2.92,3,,3.0,8.0,14.0,,2.0,9.0,1.0,,5.0,,,,,1.0,,,,,
453,A. Frías,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,3.0,5,-0.21,29,7,5.4,108469,SAN,True,adonis-frias,277,Adonis Frías,Adonis Uriel Frías,2.56,3,,1.0,5.0,9.0,1.0,1.0,4.0,,,1.0,,,,,,,,,,
454,S. Moreno,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,4,0.0,29,6,5.64,108474,FLU,False,santi-moreno,266,Santi Moreno,Santiago Moreno,1.88,5,,1.0,6.0,5.0,,,2.0,,,,,,,,,,,,,
455,Aravena,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,1.6,18,0.18,29,7,3.9,108548,GRE,True,aravena,284,Aravena,Alexander Ernesto Aravena Guzmán,2.37,5,,1.0,6.0,6.0,1.0,6.0,7.0,3.0,1.0,,1.0,,,,,,,,,
456,Tapia,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,1.2,11,-0.49,29,7,6.74,108588,SAO,True,tapia,276,Tapia,Gonzalo Andrés Tapia Dubournais,4.52,5,,4.0,4.0,13.0,3.0,11.0,15.0,4.0,3.0,,,,,,,,,,,
457,Garré,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,8,0.0,29,6,1.83,108671,VAS,False,garre,267,Garré,Benjamín Antonio Garré,0.02,5,,1.0,1.0,6.0,,,3.0,,,,,,,,,,,,,
458,E. Martínez,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,1.5,20,0.11,29,6,5.14,108683,PAL,True,emiliano-martinez,275,Emiliano Martínez,Emiliano Martínez Toranza,2.85,4,,3.0,30.0,19.0,4.0,5.0,8.0,1.0,,,,,,,,,,,,
459,Galeano,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,2.9,26,-0.07,29,7,6.48,108713,CEA,True,galeano,354,Galeano,Antonio Javier Galeano Ferreira,4.93,5,3.0,1.0,23.0,17.0,10.0,10.0,46.0,5.0,11.0,,1.0,,,,,,,,,
