,atletas.clube.id.full.name,atletas.minimo_para_valorizar,atletas.pontos_num,atletas.atleta_id,atletas.foto,atletas.clube_id,atletas.preco_num,atletas.status_id,atletas.variacao_num,atletas.media_num,atletas.posicao_id,atletas.apelido_abreviado,atletas.rodada_id,atletas.nome,atletas.entrou_em_campo,atletas.slug,atletas.jogos_num,atletas.apelido,A,DS,FC,FD,FF,FS,G,I,CA,DE,GS,DP,SG,V,FT,PS,PC,CV,PP,GC
27,PAL,,0.0,63013,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,275,7.0,6,0.0,0.0,2,M. Rocha,7,Marcos Luis Rocha Aquino,False,marcos-rocha,0,Marcos Rocha,,,,,,,,,,,,,,,,,,,,
28,JUV,,2.0,63110,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,286,6.59,7,-0.55,4.53,2,A. Ruschel,7,Alan Luciano Ruschel,True,alan-ruschel,4,Alan Ruschel,,7.0,1.0,,,6.0,,1.0,,,,,1.0,,,,,,,
29,GRE,,2.5,63289,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,284,4.97,7,-0.01,1.75,4,Edenílson,7,Edenílson Andrade dos Santos,True,edenilson,7,Edenílson,,3.0,5.0,,1.0,7.0,1.0,,3.0,,,,,,,,,,,
30,INT,,5.0,68685,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,285,14.69,7,-1.83,7.77,4,A. Patrick,7,Alan Patrick Lourenço,True,alan-patrick,6,Alan Patrick,4.0,5.0,3.0,2.0,2.0,4.0,2.0,,2.0,,,,,,,,,,,
31,CRU,,1.0,68708,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,283,3.55,6,0.0,0.4,4,Eduardo,7,Carlos Eduardo de Oliveira Alves,True,eduardo,6,Eduardo,,,1.0,1.0,,1.0,,,,,,,,,,1.0,,,,
32,SAO,,0.0,68811,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,276,20.0,5,0.0,0.0,4,Oscar,7,Oscar dos Santos Emboaba Júnior,False,oscar,0,Oscar,,,,,,,,,,,,,,,,,,,,
33,PAL,,0.0,68872,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,275,7.0,6,0.0,0.0,1,M. Lomba,7,Marcelo Lomba do Nascimento,False,marcelo-lomba,0,Marcelo Lomba,,,,,,,,,,,,,,,,,,,,
34,VAS,,0.0,68899,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,267,11.36,7,0.0,3.87,4,P. Coutinho,7,Philippe Coutinho Correia,False,philippe-coutinho,4,Philippe Coutinho,1.0,,3.0,3.0,6.0,6.0,,,,,,,,,,,,,,
35,CAM,,0.0,68920,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,282,9.15,6,0.0,3.26,5,Dudu,7,Eduardo Pereira Rodrigues,False,dudu,5,Dudu,,4.0,4.0,,,7.0,1.0,,,,,,,,,,,,,
36,SAN,,0.0,68923,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,277,5.06,7,0.0,2.25,3,Gil,7,Carlos Gilberto do Nascimento Silva,False,gil,6,Gil,,7.0,7.0,,2.0,1.0,,,2.0,,,,1.0,,,,,,,
