,atletas.preco_num,atletas.pontos_num,atletas.apelido_abreviado,atletas.apelido,atletas.jogos_num,atletas.nome,atletas.posicao_id,atletas.media_num,atletas.clube_id,atletas.entrou_em_campo,atletas.status_id,atletas.variacao_num,atletas.foto,atletas.atleta_id,atletas.slug,atletas.rodada_id,atletas.clube.id.full.name,A,CA,DS,FC,FD,FF,FS,G,I,PS,SG,FT,V,CV,DE,DP,GS,PP,PC,GC
449,6.37,4.8,Carbonero,Carbonero,13,Johan Stiven Carbonero Balanta,5,4.33,285,True,7,0.32,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,107989,carbonero,25,INT,,1.0,4.0,17.0,5.0,6.0,34.0,3.0,5.0,2.0,,1.0,,,,,,,,
450,7.9,0.0,I. Pitta,Isidro Pitta,16,Isidro Miguel Pitta Saldívar,5,3.72,280,False,5,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,108133,isidro-pitta,25,RBB,1.0,3.0,1.0,14.0,3.0,6.0,9.0,6.0,7.0,,,,,,,,,,,
451,4.0,0.0,G. Lacerda,Gabriel Lacerda,0,Gabriel Santos Cordeiro Lacerda,3,0.0,354,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,108176,gabriel-lacerda,25,CEA,,,,,,,,,,,,,,,,,,,,
452,4.27,1.5,D. Ricardo,David Ricardo,11,David Ricardo Loiola da Silva,3,3.08,263,True,6,0.2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,108274,david-ricardo,25,BOT,,1.0,6.0,9.0,,2.0,4.0,1.0,,,4.0,,,1.0,,,,,,
453,5.85,0.0,A. Frías,Adonis Frías,2,Adonis Uriel Frías,3,1.8,277,False,2,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,108469,adonis-frias,25,SAN,,1.0,,3.0,,,1.0,,,,1.0,,,,,,,,,
454,6.44,0.0,S. Moreno,Santi Moreno,3,Santiago Moreno,5,2.5,266,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,108474,santi-moreno,25,FLU,,1.0,6.0,5.0,,,2.0,,,,,,,,,,,,,
455,4.86,8.0,Aravena,Aravena,15,Alexander Ernesto Aravena Guzmán,5,2.71,284,True,6,1.25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,108548,aravena,25,GRE,,1.0,6.0,4.0,1.0,4.0,5.0,3.0,1.0,,,1.0,,,,,,,,
456,5.55,0.0,Tapia,Tapia,7,Gonzalo Andrés Tapia Dubournais,5,2.76,276,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,108588,tapia,25,SAO,,3.0,,7.0,2.0,4.0,6.0,2.0,2.0,,,,,,,,,,,
457,1.83,0.0,Garré,Garré,8,Benjamín Antonio Garré,5,0.02,267,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,108671,garre,25,VAS,,1.0,1.0,6.0,,,3.0,,,,,,,,,,,,,
458,5.11,0.0,E. Martínez,Emiliano Martínez,18,Emiliano Martínez Toranza,4,3.14,275,True,7,-0.33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,108683,emiliano-martinez,25,PAL,,2.0,29.0,19.0,4.0,5.0,8.0,1.0,,,,,,,,,,,,
459,6.39,2.1,Galeano,Galeano,22,Antonio Javier Galeano Ferreira,5,5.21,354,True,7,-0.1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,108713,galeano,25,CEA,2.0,1.0,22.0,16.0,9.0,8.0,36.0,5.0,7.0,,,1.0,,,,,,,,
460,6.56,0.0,Plata,Plata,17,Gonzalo Jordy Plata Jiménez,5,4.15,262,True,7,-0.25,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,109096,plata,25,FLA,1.0,,20.0,14.0,5.0,5.0,12.0,3.0,2.0,,,,,,,,,,,
461,5.0,0.0,K. Saverio,Kike Saverio,0,Javier Enrique Delgado Saverio,5,0.0,287,False,6,0.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,109138,kike-saverio,25,VIT,,,,,,,,,,,,,,,,,,,,
