,atletas.atleta_id,atletas.jogos_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.slug,atletas.nome,atletas.media_num,atletas.clube_id,atletas.preco_num,atletas.pontos_num,atletas.rodada_id,atletas.status_id,atletas.variacao_num,atletas.apelido_abreviado,atletas.apelido,atletas.clube.id.full.name,atletas.foto,A,DS,FC,FF,FS,I,CA,FD,G,FT,SG,V,DE,DP,GS,PC,PS,CV,PP,GC
57,71684,13,True,3,gustavo-gomez,Gustavo Raúl Gómez Portillo,4.32,275,9.61,8.3,19,7,0.39,G. Gómez,Gustavo Gómez,PAL,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,,20.0,15.0,5.0,8.0,5.0,3.0,1.0,,,5.0,,,,,,,,,
58,71701,6,False,2,santiago-arias,Santiago Arias Naranjo,3.32,265,7.38,0.0,19,2,0.0,S. Arias,Santiago Arias,BAH,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,,5.0,,,2.0,,1.0,2.0,,,2.0,,,,,,,,,
59,71709,2,False,4,cuellar,Gustavo Leonardo Cuellar Gallego,3.1,284,6.52,0.0,19,6,0.0,Cuéllar,Cuéllar,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,,4.0,1.0,,1.0,,,,,,,,,,,,,,,
60,72018,17,True,1,tiago-volpi,Tiago Luis Volpi,3.4,284,6.72,2.9,19,7,0.41,T. Volpi,Tiago Volpi,GRE,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,,,,,5.0,,2.0,,,,3.0,,51.0,,23.0,1.0,,,,
61,72279,0,False,1,thomazella,Carlos Eduardo Lecciolle Thomazella,0.0,2305,2.0,0.0,19,6,0.0,Thomazella,Thomazella,MIR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,,,,,,,,,,,,,,,,,,,,
62,72294,16,True,1,everson,Everson Felipe Marques Pires,4.89,282,9.55,2.9,19,7,0.02,Everson,Everson,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,,,,,4.0,,4.0,,,,7.0,,47.0,,16.0,,,,,
63,72359,0,False,3,luiz-otavio,Luiz Otávio Anacleto Leandro,0.0,354,4.0,0.0,19,5,0.0,L. Otávio,Luiz Otávio,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,,,,,,,,,,,,,,,,,,,,
64,72391,9,True,6,fernando-diniz,Fernando Diniz Silva,4.58,267,9.21,4.32,19,7,-0.06,F. Diniz,Fernando Diniz,VAS,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,,,,,,,,,,,,2.0,,,,,,,,
65,72460,14,True,4,bernard,Bernard Anício Caldeira Duarte,0.81,282,3.46,0.0,19,6,-0.3,Bernard,Bernard,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,,8.0,6.0,1.0,3.0,1.0,1.0,,,,,,,,,,,,,
66,72493,15,True,2,alex-telles,Alex Nicolao Telles,5.64,263,11.73,15.2,19,7,2.05,A. Telles,Alex Telles,BOT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,2.0,7.0,15.0,6.0,9.0,1.0,1.0,2.0,1.0,,10.0,,,,,,,,,
67,72583,11,False,5,pedro-henrique,Pedro Henrique Konzen Medina da Silva,3.48,354,7.28,0.0,19,7,0.0,P. Henrique,Pedro Henrique,CEA,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,,12.0,17.0,9.0,11.0,5.0,4.0,6.0,1.0,1.0,,,,,,1.0,,,,
68,72605,5,False,3,vitor-hugo,Vitor Hugo Franchescoli de Souza,5.92,282,8.15,0.0,19,6,0.0,V. Hugo,Vitor Hugo,CAM,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,,5.0,,2.0,1.0,,,,,,4.0,,,,,,,,,
69,72801,10,False,3,wilker-angel,Wílker José Ángel Romero,1.65,286,4.16,0.0,19,7,0.0,W. Ángel,Wilker Ángel,JUV,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,,5.0,15.0,1.0,3.0,,3.0,1.0,1.0,,1.0,,,,,,,,,
70,72951,1,False,3,mercado,Gabriel Iván Mercado,2.9,285,6.6,0.0,19,5,0.0,Mercado,Mercado,INT,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,,2.0,2.0,,1.0,,,,,,,,,,,,,,,
71,73318,8,False,2,daniel-borges,Daniel Fortunato Borges,3.72,2305,4.38,0.0,19,6,0.0,D. Borges,Daniel Borges,MIR,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,,3.0,6.0,2.0,3.0,,2.0,,2.0,,2.0,,,,,,,,,
72,73384,13,False,2,samuel-xavier,Samuel Xavier Brito,4.64,266,9.17,0.0,19,7,0.0,S. Xavier,Samuel Xavier,FLU,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,1.0,10.0,16.0,3.0,17.0,,3.0,1.0,2.0,,4.0,,,,,,,,,
