,atletas.slug,atletas.preco_num,atletas.foto,atletas.jogos_num,atletas.rodada_id,atletas.pontos_num,atletas.apelido,atletas.entrou_em_campo,atletas.clube_id,atletas.posicao_id,atletas.nome,atletas.clube.id.full.name,atletas.media_num,atletas.apelido_abreviado,atletas.status_id,atletas.atleta_id,atletas.variacao_num,CA,DS,FC,FD,FS,CV,FF,FT,I,PC,G,SG,DE,GS,A,PS,V,DP,GC,PP
39,danilo-fernandes,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0,14,0.0,Danilo Fernandes,False,265,1,Danilo Fernandes Batista,BAH,0.0,D. Fernandes,6,69051,0.0,,,,,,,,,,,,,,,,,,,,
40,pablo,6.43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,7,14,0.0,Pablo,False,292,5,Pablo Felipe Teixeira,SPT,3.27,Pablo,6,69138,0.0,1.0,5.0,8.0,2.0,10.0,,5.0,,6.0,,1.0,,,,,,,,,
41,allan,2.84,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,6,14,-1.2,Allan,True,263,4,Allan Marques Loureiro,BOT,0.62,Allan,7,69140,-0.42,1.0,3.0,10.0,1.0,4.0,,,,,,,,,,,,,,,
42,danilo,14.38,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,5,14,2.1,Danilo,True,262,3,Danilo Luiz da Silva,FLA,6.98,Danilo,2,69783,-1.37,,4.0,6.0,1.0,3.0,,,,,,1.0,4.0,,,,,,,,
43,lucas-moura,5.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0,14,0.0,Lucas Moura,False,276,4,Lucas Rodrigues Moura da Silva,SAO,0.0,L. Moura,6,70164,0.0,,,,,,,,,,,,,,,,,,,,
44,gustavo,5.85,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,7,14,0.0,Gustavo,False,286,1,Luiz Gustavo de Almeida Pinto,JUV,3.69,Gustavo,7,70216,0.0,1.0,1.0,,,,,,,,,,1.0,21.0,14.0,,,,1.0,,
45,bruno-uvini,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0,14,0.0,Bruno Uvini,False,287,3,Bruno Uvini Bortolança,VIT,0.0,B. Uvini,6,70221,0.0,,,,,,,,,,,,,,,,,,,,
46,eduardo-sasha,8.26,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,14,14,1.4,Eduardo Sasha,True,280,5,Eduardo Colcenti Antunes,RBB,4.55,E. Sasha,3,70360,-1.27,3.0,5.0,4.0,10.0,17.0,,10.0,1.0,1.0,,3.0,,,,1.0,,,,,
47,gabriel,2.81,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,2,14,0.0,Gabriel,False,292,1,Gabriel Vasconcelos Ferreira,SPT,-0.45,Gabriel,7,70449,0.0,,,,,1.0,,,,,,,,2.0,4.0,,,,,,
48,felipe-anderson,6.77,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,9,14,4.7,Felipe Anderson,True,275,4,Felipe Anderson Pereira Gomes,PAL,3.06,F. Anderson,2,70592,0.07,,11.0,8.0,3.0,6.0,,5.0,1.0,1.0,,,,,,,,,,,
49,marllon,7.63,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,11,14,1.5,Marllon,True,354,3,Marllon Gonçalves Jerônimo Borges,CEA,4.86,Marllon,7,70666,-0.51,,7.0,6.0,,6.0,,1.0,,,,2.0,5.0,,,,,,,,
50,fabio-carille,8.43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,7,14,4.35,Fábio Carille,True,287,6,Fábio Luiz Carille de Araújo,VIT,4.87,F. Carille,7,70696,0.2,,,,,,,,,,,,,,,,,2.0,,,
51,enner-valencia,6.15,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,9,14,0.0,Enner Valencia,False,285,5,Enner Remberto Valencia Lastra,INT,2.28,E. Valencia,6,70788,0.0,,1.0,12.0,4.0,8.0,,4.0,1.0,3.0,,1.0,,,,,,,,,
52,diogo-barbosa,7.64,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,6,14,0.0,Diogo Barbosa,False,356,2,Diogo Barbosa Mendanha,FOR,4.33,D. Barbosa,7,70916,0.0,,3.0,1.0,,6.0,,1.0,,,,1.0,2.0,,,,,,,,
53,bruno-henrique,7.05,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,10,14,0.0,Bruno Henrique,False,285,4,Bruno Henrique Corsini,INT,3.21,B. Henrique,7,70944,0.0,,15.0,21.0,3.0,5.0,1.0,6.0,,,,1.0,,,,,,,,,
54,thiago-mendes,7.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0,14,0.0,Thiago Mendes,False,267,4,Thiago Henrique Mendes Ribeiro,VAS,0.0,T. Mendes,6,71123,0.0,,,,,,,,,,,,,,,,,,,,
55,luiz-gustavo,10.73,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,1,14,0.0,Luiz Gustavo,False,276,4,Luiz Gustavo Dias,SAO,9.6,L. Gustavo,5,71536,0.0,,4.0,4.0,,2.0,,1.0,1.0,,,,,,,,,,,,
56,fernando-miguel,7.02,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,14,0.0,Fernando Miguel,False,354,1,Fernando Miguel Kaufmann,CEA,6.18,F. Miguel,6,71571,0.0,,,,,6.0,,,,,,,3.0,17.0,3.0,,,,,,
57,weverton,8.11,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,12,14,-1.0,Weverton,True,275,1,Weverton Pereira da Silva,PAL,4.9,Weverton,7,71631,-0.19,1.0,,,,6.0,,,,,,,5.0,26.0,9.0,,,,1.0,,
58,raul-caceres,2.76,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,4,14,6.7,Raúl Cáceres,True,287,2,Raúl Alejandro Cáceres Bogado,VIT,1.02,R. Cáceres,7,71680,1.48,2.0,2.0,6.0,,,,,,1.0,,,1.0,,,,,,,,
59,gustavo-gomez,9.33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,9,14,5.0,Gustavo Gómez,True,275,3,Gustavo Raúl Gómez Portillo,PAL,4.1,G. Gómez,7,71684,0.66,3.0,11.0,9.0,1.0,6.0,,3.0,,5.0,,,4.0,,,,,,,,
60,santiago-arias,6.17,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,5,14,0.0,Santiago Arias,False,265,2,Santiago Arias Naranjo,BAH,1.84,S. Arias,6,71701,0.0,1.0,2.0,,1.0,2.0,,,,,,,1.0,,,,,,,,
61,cuellar,6.52,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2,14,0.0,Cuéllar,False,284,4,Gustavo Leonardo Cuellar Gallego,GRE,3.1,Cuéllar,5,71709,0.0,,4.0,1.0,,1.0,,,,,,,,,,,,,,,
62,tiago-volpi,6.67,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,13,14,0.0,Tiago Volpi,False,284,1,Tiago Luis Volpi,GRE,3.65,T. Volpi,7,72018,0.0,2.0,,,,5.0,,,,,1.0,,3.0,40.0,19.0,,,,,,
63,thomazella,2.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,14,0.0,Thomazella,False,2305,1,Carlos Eduardo Lecciolle Thomazella,MIR,0.0,Thomazella,6,72279,0.0,,,,,,,,,,,,,,,,,,,,
64,everson,10.33,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,12,14,0.0,Everson,False,282,1,Everson Felipe Marques Pires,CAM,5.47,Everson,6,72294,0.0,3.0,,,,4.0,,,,,,,7.0,32.0,10.0,,,,,,
65,luiz-otavio,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0,14,0.0,Luiz Otávio,False,354,3,Luiz Otávio Anacleto Leandro,CEA,0.0,L. Otávio,5,72359,0.0,,,,,,,,,,,,,,,,,,,,
66,fernando-diniz,9.24,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,5,14,0.0,Fernando Diniz,False,267,6,Fernando Diniz Silva,VAS,4.85,F. Diniz,7,72391,0.0,,,,,,,,,,,,,,,,,2.0,,,
67,bernard,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,10,14,0.0,Bernard,False,282,4,Bernard Anício Caldeira Duarte,CAM,1.01,Bernard,6,72460,0.0,1.0,7.0,5.0,,3.0,,1.0,,1.0,,,,,,,,,,,
68,alex-telles,10.49,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,11,14,5.5,Alex Telles,True,263,2,Alex Nicolao Telles,BOT,5.35,A. Telles,7,72493,0.1,1.0,5.0,12.0,2.0,8.0,,2.0,,1.0,,1.0,8.0,,,,,,,,
69,pedro-henrique,6.85,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,7,14,0.0,Pedro Henrique,False,354,5,Pedro Henrique Konzen Medina da Silva,CEA,3.45,P. Henrique,7,72583,0.0,2.0,5.0,14.0,3.0,8.0,,7.0,1.0,3.0,1.0,1.0,,,,,,,,,
70,vitor-hugo,8.15,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,5,14,0.0,Vitor Hugo,False,282,3,Vitor Hugo Franchescoli de Souza,CAM,5.92,V. Hugo,6,72605,0.0,,5.0,,,1.0,,2.0,,,,,4.0,,,,,,,,
