,atletas.apelido_abreviado,atletas.foto,atletas.jogos_num,atletas.apelido,atletas.minimo_para_valorizar,atletas.nome,atletas.atleta_id,atletas.posicao_id,atletas.entrou_em_campo,atletas.status_id,atletas.pontos_num,atletas.media_num,atletas.clube_id,atletas.preco_num,atletas.rodada_id,atletas.clube.id.full.name,atletas.slug,atletas.variacao_num,CA,DS,FC,FD,FF,FS,SG,DE,DP,GS,G,I,V,A,FT,PS,CV,PC,PP,GC
155,Nathan,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2,Nathan,,Nathan Allan de Souza,87009,4,False,6,0.0,2.45,284,4.64,12,GRE,nathan,0.0,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,
156,P. Henrique,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,11,Pedro Henrique,,Pedro Henrique Ribeiro Gonçalves,87225,3,True,7,1.5,5.05,280,8.23,12,RBB,pedro-henrique,-0.77,2.0,15.0,6.0,1.0,2.0,8.0,5.0,,,,,,,1.0,,,,,,
157,G. Arana,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,4,Guilherme Arana,,Guilherme Antonio Arana Lopes,87228,2,False,5,0.0,5.03,282,11.07,12,CAM,guilherme-arana,0.0,1.0,4.0,3.0,1.0,1.0,2.0,2.0,,,,,,,,1.0,,,,,
158,Soteldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,5,Soteldo,,Yeferson Julio Soteldo Martínez,87258,5,False,6,0.0,1.72,266,8.83,12,FLU,soteldo,0.0,1.0,3.0,2.0,1.0,2.0,6.0,,,,,,1.0,,,,,,,,
159,Kannemann,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,4,Kannemann,,Walter Kannemann,87342,3,True,7,0.2,4.35,284,6.23,12,GRE,kannemann,-1.46,1.0,3.0,3.0,,1.0,,2.0,,,,,,,,1.0,1.0,,,,
160,Thaciano,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,10,Thaciano,,Thaciano Mickael da Silva,87470,4,True,6,1.0,2.37,277,5.32,12,SAN,thaciano,-0.12,,7.0,1.0,1.0,3.0,5.0,,,,,1.0,6.0,,,,,,,,
161,N. Moura,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,9,Neto Moura,,Antônio Francisco Moura Neto,87742,4,False,6,0.0,2.3,2305,4.18,12,MIR,neto-moura,0.0,3.0,17.0,12.0,,1.0,4.0,,,,,,,,,,,,1.0,,
162,Y. Felipe,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,8,Yago Felipe,,Yago Felipe da Costa Rocha,87747,4,False,7,0.0,2.17,2305,5.17,12,MIR,yago-felipe,0.0,,7.0,4.0,,2.0,13.0,,,,,,,,,,,,,,
163,P. Sampaio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0,Philipe Sampaio,,Philipe Sampaio Azevedo,87808,3,False,6,0.0,0.0,263,3.0,12,BOT,philipe-sampaio,0.0,,,,,,,,,,,,,,,,,,,,
164,M. Lemos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,2,Mauricio Lemos,,Paolo Mauricio Lemos Merladett,87853,3,False,6,0.0,4.0,267,6.92,12,VAS,mauricio-lemos,0.0,,2.0,,,,,1.0,,,,,,,,,,,,,
165,Arrascaeta,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,9,Arrascaeta,,Giorgian Daniel de Arrascaeta Benedetti,87863,4,False,7,0.0,12.7,262,21.17,12,FLA,arrascaeta,0.0,,5.0,3.0,1.0,4.0,13.0,,,,,9.0,2.0,,4.0,1.0,2.0,,,,
166,G. Scarpa,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,12,Gustavo Scarpa,,Gustavo Henrique Furtado Scarpa,87999,4,True,7,3.2,3.79,282,10.59,12,CAM,gustavo-scarpa,0.31,1.0,8.0,10.0,5.0,12.0,18.0,,,,,1.0,2.0,,1.0,,,,,,
167,R. Menezes,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0,Ramon Menezes,,Ramon Menezes Roma,88087,3,False,6,0.0,0.0,354,6.0,12,CEA,ramon-menezes,0.0,,,,,,,,,,,,,,,,,,,,
168,Ivan,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,0,Ivan,,Ivan Quaresma da Silva,88136,1,False,6,0.0,0.0,285,4.0,12,INT,ivan,0.0,,,,,,,,,,,,,,,,,,,,
169,J. Alonso,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,12,Junior Alonso,,Júnior Osmar Ignacio Alonso Mujica,88312,3,True,7,7.7,4.46,282,7.08,12,CAM,junior-alonso,0.5,2.0,8.0,11.0,1.0,4.0,5.0,7.0,,,,,,,1.0,,,,,,
170,A. Romero,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,12,Ángel Romero,,Ángel Rodrigo Romero Villamayor,88323,5,True,7,1.5,2.62,264,6.1,12,COR,angel-romero,0.0,2.0,9.0,5.0,2.0,5.0,15.0,,,,,,4.0,,1.0,1.0,,,,,
171,A. Lucas,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,5,Ayrton Lucas,,Ayrton Lucas Dantas de Medeiros,88393,2,False,6,0.0,7.9,262,11.79,12,FLA,ayrton-lucas,0.0,1.0,7.0,5.0,1.0,1.0,3.0,4.0,,,,1.0,,,,,,,,,
172,Aderlan,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,2,Aderlan,,Aderlan de Lima Silva,88423,2,False,7,0.0,4.7,277,6.64,12,SAN,aderlan,0.0,,2.0,1.0,,1.0,2.0,1.0,,,,,1.0,,,,,,,,
173,Walace,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,5,Walace,,Walace Souza Silva,88479,4,False,6,0.0,0.16,283,3.09,12,CRU,walace,0.0,1.0,2.0,4.0,,,,,,,,,,,,,,,,,
174,L. Jardim,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,12,Leonardo Jardim,,José Leonardo Nunes Alves Sousa Jardim,88963,6,True,7,6.21,6.84,283,10.52,12,CRU,leonardo-jardim,-0.07,,,,,,,,,,,,,7.0,,,,,,,
175,H. Hernández,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,9,Héctor Hernández,,Héctor José Hernández Marrero,89048,5,True,6,2.6,2.18,264,4.39,12,COR,hector-hernandez,0.03,,5.0,4.0,2.0,2.0,3.0,,,,,1.0,2.0,,,,,,,,
176,Gerson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,9,Gerson,,Gerson Santos da Silva,89256,4,False,6,0.0,4.14,262,9.64,12,FLA,gerson,0.0,,11.0,9.0,4.0,2.0,20.0,,,,,,,,2.0,,,1.0,,,
177,J. Pedro,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,6,João Pedro,,João Pedro Maturano dos Santos,89273,2,False,5,0.0,2.43,284,5.81,12,GRE,joao-pedro,0.0,,7.0,5.0,1.0,,1.0,1.0,,,,,1.0,,,,,,1.0,,
178,William,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,8,William,,Willian de Asevedo Furtado,89275,2,True,7,10.9,9.91,283,17.09,12,CRU,william,0.24,1.0,27.0,11.0,2.0,3.0,7.0,5.0,,,,,2.0,,2.0,,,,,,
179,M. Sales,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,0,Matheus Sales,,Matheus de Sales Cabral,89285,4,False,6,0.0,0.0,2305,4.0,12,MIR,matheus-sales,0.0,,,,,,,,,,,,,,,,,,,,
180,Braithwaite,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,10,Braithwaite,,Martin Christensen Braithwaite,89368,5,True,7,11.7,6.12,284,14.39,12,GRE,braithwaite,0.68,2.0,8.0,11.0,5.0,6.0,12.0,,,,,4.0,2.0,,1.0,,1.0,,,,
181,I. Rabello,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,3,Igor Rabello,,Igor Rabello da Costa,89493,3,True,6,5.6,3.53,282,5.92,12,CAM,igor-rabello,0.52,,1.0,3.0,,,,2.0,,,,,,,,,,,,,
182,T. Maia,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,9,Thiago Maia,,Thiago Maia Alencar,89637,4,True,7,13.4,4.18,285,7.18,12,INT,thiago-maia,2.09,,15.0,5.0,,2.0,4.0,,,,,1.0,,,1.0,,,,,,
183,Calleri,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,3,Calleri,,Jonathan Calleri,89840,5,False,5,0.0,-0.77,276,5.78,12,SAO,calleri,0.0,,1.0,2.0,1.0,2.0,2.0,,,,,,,,,,,1.0,,1.0,
184,Cristaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,9,Cristaldo,,Franco Cristaldo,89846,4,True,7,1.7,2.78,284,6.87,12,GRE,cristaldo,-0.77,1.0,5.0,3.0,3.0,3.0,17.0,,,,,,1.0,,1.0,,,,,,
185,Dodi,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,10,Dodi,,Douglas Moreira Fagundes,89883,4,True,3,0.4,2.79,284,4.56,12,GRE,dodi,-0.64,3.0,15.0,10.0,,3.0,18.0,,,,,,,,,,,,,,
186,B. Pacheco,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,2,Bruno Pacheco,,Bruno de Jesus Pacheco,90061,2,True,7,3.7,3.1,356,7.99,12,FOR,bruno-pacheco,0.42,1.0,4.0,1.0,,,3.0,,,,,,,,,,,,,,
187,B. Henrique,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,11,Bruno Henrique,,Bruno Henrique Pinto,90285,5,False,6,0.0,2.34,262,6.12,12,FLA,bruno-henrique,0.0,1.0,4.0,8.0,5.0,6.0,10.0,,,,,1.0,6.0,,,,,,,,
188,Juninho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,6,Juninho,,Olávio Vieira dos Santos Júnior,90307,5,False,6,0.0,2.12,262,4.71,12,FLA,juninho,0.0,,2.0,4.0,2.0,2.0,2.0,,,,,,1.0,,,2.0,,,,,
189,David,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0,David,,David Correa da Fonseca,90309,5,False,6,0.0,0.0,267,6.0,12,VAS,david,0.0,,,,,,,,,,,,,,,,,,,,
190,M. Pereira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0,Matheus Pereira,,Matheus Pereira da Silva,90370,4,False,6,0.0,0.0,356,6.0,12,FOR,matheus-pereira,0.0,,,,,,,,,,,,,,,,,,,,
191,Rezende,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,1,Rezende,,Júlio César de Rezende Miranda,90449,4,False,6,0.0,3.9,265,4.16,12,BAH,rezende,0.0,,2.0,2.0,,,3.0,,,,,,,,,,,,,,
192,Caíque,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,5,Caíque,,Caique de Jesus Gonçalves,90588,4,False,7,0.0,2.98,286,5.04,12,JUV,caique,0.0,1.0,10.0,8.0,,1.0,5.0,,,,,,,,,,,,,,
193,Matheuzinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,9,Matheuzinho,,Matheus Martins Fogaça de Paulo,90703,4,True,7,3.5,4.76,287,10.41,12,VIT,matheuzinho,-0.13,3.0,11.0,10.0,6.0,1.0,23.0,,,,,2.0,1.0,,,,,1.0,,,
194,F. Bruno,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,11,Fabrício Bruno,,Fabrício Bruno Soares de Faria,90768,3,True,7,8.2,3.98,283,8.56,12,CRU,fabricio-bruno,1.04,3.0,14.0,8.0,1.0,,4.0,5.0,,,,,,,,,,,,,
195,C. Eduardo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,2,Carlos Eduardo,,Carlos Eduardo Ferreira de Souza,90917,5,False,6,0.0,1.0,2305,3.75,12,MIR,carlos-eduardo,0.0,,1.0,,,,1.0,,,,,,,,,,,,,,
196,Z. Marcos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,9,Zé Marcos,,José Marcos Alves Luis,90943,3,True,7,5.1,1.73,287,3.67,12,VIT,ze-marcos,0.34,1.0,4.0,6.0,,,5.0,2.0,,,,,1.0,,,,,,,,
197,Ronaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,4,Ronaldo,,Ronaldo de Oliveira Strada,91101,1,False,6,0.0,3.68,265,5.47,12,BAH,ronaldo,0.0,,,,,,2.0,,9.0,1.0,4.0,,,,,,,,1.0,,
198,Fernandinho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,2,Fernandinho,,Fernando José Marques Maciel,91130,5,False,6,0.0,4.3,354,5.88,12,CEA,fernandinho,0.0,,4.0,1.0,1.0,1.0,2.0,,,,,,1.0,,,,,,,,
199,Kaio,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0,Kaio,,Kaio Fernando da Silva Pantaleão,91158,3,False,6,0.0,0.0,263,6.0,12,BOT,kaio,0.0,,,,,,,,,,,,,,,,,,,,
200,Éder,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,1,Éder,,Éder Ferreira Graminho,91203,3,False,6,0.0,0.8,354,2.9,12,CEA,eder,0.0,,,,,1.0,,,,,,,,,,,,,,,
201,E. Pulgar,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,9,Erick Pulgar,,Erick Antonio Pulgar Farfán,91473,4,False,7,0.0,2.89,262,6.34,12,FLA,erick-pulgar,0.0,2.0,12.0,13.0,2.0,,7.0,,,,,1.0,,,,,,,,,
202,R. Sam,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,5,Rodrigo Sam,,Rodrigo Eduardo da Silva,91509,3,False,7,0.0,2.04,286,4.25,12,JUV,rodrigo-sam,0.0,2.0,8.0,8.0,,1.0,4.0,,,,,,2.0,,,,,,,,
203,Arboleda,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,7,Arboleda,,Robert Abel Arboleda Escobar,91573,3,True,7,-1.9,3.87,276,7.27,12,SAO,arboleda,-1.53,2.0,6.0,9.0,,3.0,5.0,2.0,,,,1.0,1.0,,,,,,,,
204,Rony,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,12,Rony,,Ronielson da Silva Barbosa,91607,5,True,3,8.9,5.6,282,11.8,12,CAM,rony,-0.14,3.0,14.0,23.0,13.0,6.0,18.0,,,,,3.0,12.0,,,1.0,1.0,,,,
205,D. Vieira,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0,Dudu Vieira,,Carlos Eduardo de Souza Vieira,91627,4,False,6,0.0,0.0,286,3.0,12,JUV,dudu-vieira,0.0,,,,,,,,,,,,,,,,,,,,
206,I. Cariús,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,8,Igor Cariús,,Igor Aquino da Silva,91639,2,False,7,0.0,5.09,292,7.61,12,SPT,igor-carius,0.0,1.0,18.0,8.0,3.0,1.0,14.0,2.0,,,,,3.0,,,,,,1.0,,1.0
207,Marlon,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,9,Marlon,,Marlon Rodrigues Xavier,91706,2,True,7,5.1,4.0,284,6.95,12,GRE,marlon,-0.05,2.0,15.0,9.0,1.0,,4.0,3.0,,,,,,,,,,,,,
208,D. Duarte,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,9,David Duarte,,David de Duarte Macedo,91772,3,True,7,4.7,2.97,265,5.26,12,BAH,david-duarte,0.65,1.0,3.0,7.0,,3.0,6.0,4.0,,,,,1.0,,,,,,,,
209,C. França,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,11,Caíque França,,Caíque França Godoy,91808,1,False,7,0.0,3.19,292,5.71,12,SPT,caique-franca,0.0,2.0,2.0,,,,1.0,2.0,32.0,,18.0,,,,,,,,,,
210,Z. Ivaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,11,Zé Ivaldo,,José Ivaldo Almeida Silva,91866,3,True,7,0.1,4.18,277,6.38,12,SAN,ze-ivaldo,-0.37,4.0,18.0,13.0,,9.0,6.0,2.0,,,,1.0,3.0,,,,,,1.0,,
211,Pavón,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,7,Pavón,,Cristian David Pavón,91908,5,True,6,4.4,1.81,284,4.92,12,GRE,pavon,0.34,3.0,5.0,5.0,4.0,3.0,5.0,,,,,,,,,,,,,,
212,Giovanny,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,9,Giovanny,,Giovanny Bariani Marques,92085,5,False,7,0.0,1.91,286,3.38,12,JUV,giovanny,0.0,,3.0,4.0,,5.0,10.0,,,,,,1.0,,1.0,,,,,,
213,Lyanco,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,8,Lyanco,,Lyanco Evangelista Silveira Neves Vojnovic,92087,3,False,6,0.0,6.31,282,8.99,12,CAM,lyanco,0.0,2.0,18.0,16.0,3.0,3.0,11.0,5.0,,,,,2.0,,,,,2.0,,,
214,A. Cabral,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0,Arthur Cabral,,Arthur Mendonça Cabral,92171,5,False,6,0.0,0.0,263,12.0,12,BOT,arthur-cabral,0.0,,,,,,,,,,,,,,,,,,,,
215,Juninho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,5,Juninho,,José Carlos Ferreira Júnior,92182,3,True,7,2.8,2.12,285,4.2,12,INT,juninho,-0.15,1.0,4.0,1.0,1.0,4.0,3.0,,,,,,,,,,,,,,
216,R. Ely,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,2,Rodrigo Ely,,Rodrigo Ely,92237,3,False,5,0.0,0.6,284,4.75,12,GRE,rodrigo-ely,0.0,,1.0,1.0,,,,,,,,,,,,,,,,,
217,A. Ramalho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,8,André Ramalho,,André Ramalho Silva,92440,3,True,3,-1.9,2.77,264,5.07,12,COR,andre-ramalho,-1.33,3.0,8.0,12.0,,1.0,2.0,3.0,,,,,,,,,,,,,
218,R. Kayzer,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,5,Renato Kayzer,,Renato Kayzer de Souza,92696,5,True,7,2.9,7.48,287,10.38,12,VIT,renato-kayzer,-0.46,,3.0,7.0,3.0,4.0,9.0,,,,,3.0,3.0,,,,,,,,
219,D. Paulista,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0,Daniel Paulista,,Daniel Pollo Barioni,92702,6,False,7,0.0,0.0,292,6.25,12,SPT,daniel-paulista,0.0,,,,,,,,,,,,,,,,,,,,
220,Deyverson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,9,Deyverson,,Deyverson Brum Silva Acosta,92708,5,True,7,6.2,3.17,356,6.32,12,FOR,deyverson,0.93,1.0,2.0,8.0,3.0,8.0,10.0,,,,,1.0,1.0,,,2.0,,,,,
221,B. Rodrigues,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,0,Bruno Rodrigues,,Bruno Rafael Rodrigues do Nascimento,92811,5,False,6,0.0,0.0,275,6.0,12,PAL,bruno-rodrigues,0.0,,,,,,,,,,,,,,,,,,,,
222,Borré,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,8,Borré,,Rafael Santos Borré Maury,92854,5,True,7,4.2,3.07,285,10.95,12,INT,borre,0.38,,2.0,3.0,1.0,2.0,2.0,,,,,2.0,3.0,,,1.0,,,,,
223,Ronaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,11,Ronaldo,,Ronaldo da Silva Souza Guerrero,92981,4,True,3,5.0,1.95,285,4.2,12,INT,ronaldo,0.86,3.0,19.0,20.0,2.0,2.0,2.0,,,,,,2.0,,,,,1.0,,,
224,R. Ramos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,6,Rafael Ramos,,Rafael António Figueiredo Ramos,93236,2,False,6,0.0,2.92,354,4.7,12,CEA,rafael-ramos,0.0,1.0,6.0,10.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,
225,J. Basso,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,3,João Basso,,João Othávio Basso,93372,3,True,7,0.2,3.87,277,6.56,12,SAN,joao-basso,-0.94,,4.0,3.0,,,3.0,1.0,,,,,,,,,,,,,
226,Wanderson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CRU/FORMATO.png,11,Wanderson,,Wanderson Maciel Sousa Campos,93478,5,True,7,2.3,2.17,283,5.49,12,CRU,wanderson,0.14,1.0,5.0,15.0,6.0,10.0,8.0,,,,,,3.0,,,1.0,,,,,
227,B. Tubarão,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,3,Bruno Tubarão,,Bruno Nunes de Barros,93637,2,False,7,0.0,3.23,354,5.22,12,CEA,bruno-tubarao,0.0,,,1.0,,,,2.0,,,,,,,,,,,,,
228,P. Henrique,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,9,Paulo Henrique,,Paulo Henrique de Oliveira Alves,93716,2,True,7,14.9,8.64,267,14.12,12,VAS,paulo-henrique,2.15,3.0,33.0,13.0,2.0,3.0,5.0,2.0,,,,,1.0,,3.0,1.0,,,,,
229,M. Freitas,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,10,Marlon Freitas,,Marlon Rodrigues Freitas,93790,4,False,7,0.0,2.43,263,5.81,12,BOT,marlon-freitas,0.0,2.0,9.0,7.0,2.0,,5.0,,,,,,,,2.0,,,,,,
230,Keiller,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0,Keiller,,Keiller da Silva Nunes,93834,1,False,6,0.0,0.0,354,3.0,12,CEA,keiller,0.0,,,,,,,,,,,,,,,,,,,,
231,Marcão,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,6,Marcão,,Marcos Venicius Santos Miranda - Vinícius,93879,1,False,7,0.0,5.93,286,7.5,12,JUV,marcao,0.0,,,,,,,1.0,32.0,,10.0,,,,,,,,1.0,,
232,Cleiton,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,11,Cleiton,,Cleiton Schwengber,93882,1,True,7,0.9,5.6,280,7.77,12,RBB,cleiton,-1.39,2.0,,,,,3.0,5.0,37.0,,11.0,,,,,,,,,,
