,atletas.atleta_id,atletas.posicao_id,atletas.slug,atletas.clube.id.full.name,atletas.pontos_num,atletas.preco_num,atletas.foto,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.media_num,atletas.variacao_num,atletas.apelido,atletas.status_id,atletas.jogos_num,atletas.clube_id,atletas.rodada_id,atletas.nome,FS,DE,GS,SG,A,CA,DS,FC,FD,FF,FT,G,I,PS,V,CV,DP,PP,PC,GC
60,72359,3,luiz-otavio,CEA,0.0,4.0,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,False,L. Otávio,0.0,0.0,Luiz Otávio,5,0,354,32,Luiz Otávio Anacleto Leandro,,,,,,,,,,,,,,,,,,,,
61,72391,6,fernando-diniz,VAS,1.62,9.52,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,True,F. Diniz,5.63,-0.24,Fernando Diniz,7,22,267,32,Fernando Diniz Silva,,,,,,,,,,,,,,,9.0,,,,,
62,72460,4,bernard,CAM,-1.1,3.17,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,True,Bernard,1.0,-0.33,Bernard,3,22,282,32,Bernard Anício Caldeira Duarte,7.0,,,,,3.0,14.0,15.0,1.0,5.0,,,1.0,,,,,,,
63,72493,2,alex-telles,BOT,15.0,11.85,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,True,A. Telles,5.86,1.7,Alex Telles,7,20,263,32,Alex Nicolao Telles,11.0,,,12.0,2.0,2.0,8.0,17.0,3.0,8.0,1.0,3.0,1.0,,,,,,,
64,72583,5,pedro-henrique,CEA,2.1,7.59,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,True,P. Henrique,4.43,-0.14,Pedro Henrique,7,22,354,32,Pedro Henrique Konzen Medina da Silva,21.0,,,,2.0,5.0,22.0,22.0,8.0,12.0,2.0,4.0,8.0,,,,,,1.0,
65,72605,3,vitor-hugo,CAM,0.0,7.97,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CAM/FORMATO.png,False,V. Hugo,5.13,0.0,Vitor Hugo,7,14,282,32,Vitor Hugo Franchescoli de Souza,1.0,,,7.0,,2.0,20.0,7.0,,3.0,1.0,1.0,1.0,,,1.0,,,,
66,72801,3,wilker-angel,JUV,4.7,3.56,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,True,W. Ángel,1.62,0.76,Wilker Ángel,6,16,286,32,Wílker José Ángel Romero,4.0,,,3.0,,5.0,5.0,25.0,4.0,3.0,,1.0,2.0,,,,,,1.0,
67,72951,3,mercado,INT,0.0,6.12,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,False,Mercado,3.06,0.0,Mercado,7,7,285,32,Gabriel Iván Mercado,3.0,,,2.0,,2.0,8.0,7.0,1.0,1.0,,,,,,,,,,
68,73318,2,daniel-borges,MIR,0.2,5.23,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,True,D. Borges,4.49,-1.05,Daniel Borges,3,15,2305,32,Daniel Fortunato Borges,9.0,,,5.0,2.0,3.0,9.0,14.0,2.0,4.0,,2.0,,,,,,,,
69,73384,2,samuel-xavier,FLU,9.5,10.16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,True,S. Xavier,5.52,-0.53,Samuel Xavier,7,21,266,32,Samuel Xavier Brito,22.0,,,9.0,1.0,3.0,20.0,28.0,1.0,4.0,,4.0,,,,,,,,
70,73515,4,gabriel,MIR,3.1,5.5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,True,Gabriel,2.72,0.28,Gabriel,5,20,2305,32,Gabriel Santana Pinto,22.0,,,,1.0,2.0,5.0,7.0,5.0,6.0,,3.0,7.0,1.0,,,,,,
71,73781,4,guilherme-marques,MIR,4.3,5.16,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/MIR/FORMATO.png,True,G. Marques,2.92,0.55,Guilherme Marques,7,8,2305,32,Guilherme Costa Marques,8.0,,,,,1.0,8.0,7.0,,3.0,,1.0,,,,,,,,
72,74187,4,rincon,SAN,0.0,3.28,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,False,Rincón,1.27,0.0,Rincón,6,16,277,32,Tomás Eduardo Rincón Hernández,7.0,,,,,4.0,17.0,24.0,,7.0,,,,,,1.0,,,,
