,atletas.clube_id,atletas.clube.id.full.name,atletas.posicao_id,atletas.nome,atletas.slug,atletas.apelido_abreviado,atletas.foto,atletas.apelido,atletas.jogos_num,atletas.media_num,atletas.pontos_num,atletas.variacao_num,atletas.entrou_em_campo,atletas.status_id,atletas.preco_num,atletas.rodada_id,atletas.atleta_id,CA,DS,FC,FD,FF,FS,G,I,SG,A,PS,DE,GS,V,FT,CV,DP,PC,PP,GC
218,284,GRE,3,Rodrigo Ely,rodrigo-ely,R. Ely,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/GRE/FORMATO.png,Rodrigo Ely,2,0.6,0.0,0.0,False,5,4.75,35,92237,,1.0,1.0,,,,,,,,,,,,,,,,,
219,264,COR,3,André Ramalho Silva,andre-ramalho,A. Ramalho,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/COR/FORMATO.png,André Ramalho,20,3.75,0.0,0.0,False,6,6.6,35,92440,4.0,24.0,19.0,2.0,9.0,10.0,,,7.0,,,,,,,,,1.0,,
220,287,VIT,5,Renato Kayzer de Souza,renato-kayzer,R. Kayzer,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Renato Kayzer,26,4.42,9.7,1.19,True,6,9.77,35,92696,3.0,9.0,36.0,6.0,13.0,48.0,9.0,16.0,,,,,,,1.0,,,,,
221,356,FOR,5,Deyverson Brum Silva,deyverson,Deyverson,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,Deyverson,20,3.02,0.0,0.0,False,6,6.67,35,92708,2.0,6.0,13.0,5.0,13.0,22.0,3.0,3.0,,,,,,,2.0,,,,,
222,275,PAL,5,Bruno Rafael Rodrigues do Nascimento,bruno-rodrigues,B. Rodrigues,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,Bruno Rodrigues,5,1.74,0.0,0.0,False,6,4.41,35,92811,,,3.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,
223,285,INT,5,Rafael Santos Borré Maury,borre,Borré,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Borré,26,4.29,15.2,1.47,True,7,11.68,35,92854,3.0,27.0,35.0,9.0,20.0,18.0,5.0,10.0,,2.0,,,,,1.0,1.0,,,,
224,285,INT,4,Ronaldo da Silva Souza Guerrero,ronaldo,Ronaldo,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/INT/FORMATO.png,Ronaldo,15,1.78,0.0,0.0,False,5,3.64,35,92981,4.0,23.0,21.0,2.0,2.0,3.0,,2.0,,,,,,,,1.0,,,,
225,354,CEA,2,Rafael António Figueiredo Ramos,rafael-ramos,R. Ramos,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,Rafael Ramos,18,3.66,1.7,-0.78,True,7,5.23,35,93236,3.0,25.0,21.0,1.0,5.0,5.0,,,6.0,,,,,,,,,,,
226,277,SAN,3,João Othávio Basso,joao-basso,J. Basso,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAN/FORMATO.png,João Basso,6,4.42,0.0,0.0,False,6,7.74,35,93372,2.0,7.0,10.0,,,6.0,1.0,,2.0,,,,,,,,,,,
227,287,VIT,5,Aitor Cantalapiedra Fernández,cantalapiedra,Cantalapiedra,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,Cantalapiedra,15,5.48,10.8,1.28,True,7,8.59,35,93411,1.0,12.0,4.0,8.0,7.0,13.0,3.0,3.0,,3.0,,,,,2.0,,,,,
