,atletas.foto,atletas.variacao_num,atletas.entrou_em_campo,atletas.atleta_id,atletas.clube_id,atletas.posicao_id,atletas.clube.id.full.name,atletas.rodada_id,atletas.pontos_num,atletas.preco_num,atletas.nome,atletas.status_id,atletas.slug,atletas.media_num,atletas.jogos_num,atletas.apelido_abreviado,atletas.apelido,atletas.minimo_para_valorizar,CA,DS,FC,FF,FS,I,FD,G,SG,DE,GS,A,DP,V,PS,FT,PC,PP,CV,GC
37,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FOR/FORMATO.png,0.0,False,68991,356,4,FOR,4,0.0,6.96,Lucas Pacheco Affini,7,lucas-sasha,6.97,3,L. Sasha,Lucas Sasha,,,14.0,7.0,,4.0,,,,,,,,,,,,,,,
38,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,-1.21,True,68996,265,5,BAH,4,0.0,7.79,Willian José da Silva,6,willian-jose,1.0,3,W. José,Willian José,,,,,1.0,2.0,,1.0,,,,,,,,,,,,,
39,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLU/FORMATO.png,0.0,False,69014,266,3,FLU,4,0.0,5.0,Manoel Messias Silva Carvalho,6,manoel,0.0,0,Manoel,Manoel,,,,,,,,,,,,,,,,,,,,,
40,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BAH/FORMATO.png,0.0,False,69051,265,1,BAH,4,0.0,4.0,Danilo Fernandes Batista,6,danilo-fernandes,0.0,0,D. Fernandes,Danilo Fernandes,,,,,,,,,,,,,,,,,,,,,
41,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SPT/FORMATO.png,0.0,False,69138,292,5,SPT,4,0.0,5.98,Pablo Felipe Teixeira,5,pablo,1.2,3,Pablo,Pablo,,1.0,1.0,3.0,1.0,7.0,3.0,,,,,,,,,,,,,,
42,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/BOT/FORMATO.png,0.0,False,69140,263,4,BOT,4,0.0,5.0,Allan Marques Loureiro,6,allan,0.0,0,Allan,Allan,,,,,,,,,,,,,,,,,,,,,
43,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/FLA/FORMATO.png,4.63,True,69783,262,3,FLA,4,17.1,17.63,Danilo Luiz da Silva,2,danilo,17.1,1,Danilo,Danilo,,,3.0,3.0,,1.0,,,1.0,1.0,,,,,,,,,,,
44,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/SAO/FORMATO.png,0.0,False,70164,276,4,SAO,4,0.0,5.0,Lucas Rodrigues Moura da Silva,6,lucas-moura,0.0,0,L. Moura,Lucas Moura,,,,,,,,,,,,,,,,,,,,,
45,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/JUV/FORMATO.png,0.16,True,70216,286,1,JUV,4,2.3,3.74,Luiz Gustavo de Almeida Pinto,7,gustavo,1.3,2,Gustavo,Gustavo,,,,,,,,,,,2.0,7.0,,1.0,,,,,,,
46,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,False,70221,287,3,VIT,4,0.0,4.0,Bruno Uvini Bortolança,6,bruno-uvini,0.0,0,B. Uvini,Bruno Uvini,,,,,,,,,,,,,,,,,,,,,
47,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/RBB/FORMATO.png,-0.71,True,70360,280,5,RBB,4,5.0,8.18,Eduardo Colcenti Antunes,7,eduardo-sasha,4.45,4,E. Sasha,Eduardo Sasha,,,,2.0,3.0,4.0,,5.0,1.0,,,,,,,,,,,,
48,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VIT/FORMATO.png,0.0,False,70449,287,1,VIT,4,0.0,3.66,Gabriel Vasconcelos Ferreira,6,gabriel,1.1,1,Gabriel,Gabriel,,,,,,1.0,,,,,2.0,2.0,,,,,,,,,
49,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/PAL/FORMATO.png,-0.92,True,70592,275,4,PAL,4,1.6,6.43,Felipe Anderson Pereira Gomes,7,felipe-anderson,2.33,4,F. Anderson,Felipe Anderson,,,4.0,5.0,1.0,2.0,,,,,,,,,,,1.0,,,,
50,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/CEA/FORMATO.png,0.0,False,70666,354,3,CEA,4,0.0,7.33,Marllon Gonçalves Jerônimo Borges,7,marllon,5.73,3,Marllon,Marllon,,,3.0,1.0,,,,,1.0,1.0,,,,,,,,,,,
51,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2025/silhuetas/VAS/FORMATO.png,0.0,False,70696,267,6,VAS,4,0.0,8.82,Fábio Luiz Carille de Araújo,7,fabio-carille,5.93,3,F. Carille,Fábio Carille,,,,,,,,,,,,,,,2.0,,,,,,
