atletas.apelido,atletas.apelido_abreviado,atletas.atleta_id,atletas.clube.id.full.name,atletas.clube_id,atletas.entrou_em_campo,atletas.foto,atletas.jogos_num,atletas.media_num,atletas.nome,atletas.pontos_num,atletas.posicao_id,atletas.preco_num,atletas.rodada_id,atletas.slug,atletas.status_id,atletas.variacao_num,A,CA,CV,DE,DS,FC,FD,FF,FS,FT,G,GC,GS,I,PC,PS,SG,V
Felipe Anderson,F. Anderson,70592,PAL,275,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,0,0.0,Felipe Anderson Pereira Gomes,0.0,4,9.0,2,felipe-anderson,5,0.0,,,,,,,,,,,,,,,,,,
Marllon,Marllon,70666,REM,364,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/REM/FORMATO.png,2,2.95,Marllon Gonçalves Jerônimo Borges,2.4,3,5.24,2,marllon,7,-0.08,,,,,4.0,2.0,,,1.0,,,,,,,,,
Jorge Sampaoli,J. Sampaoli,70800,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,2,3.22,Jorge Sampaoli,2.63,6,8.25,2,jorge-sampaoli,7,-0.45,,,,,,,,,,,,,,,,,,
Bruno Henrique,B. Henrique,70944,INT,285,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,2,1.8,Bruno Henrique Corsini,1.4,4,5.31,2,bruno-henrique,6,-0.37,,,,,1.0,3.0,1.0,1.0,2.0,,,,,,,,,
Jean Carlos,J. Carlos,70958,CHA,315,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,2,10.75,Jean Carlos Vicente,8.5,4,8.93,2,jean-carlos,6,1.1,1.0,,,,,,,,1.0,,2.0,,,,,,,
Léo Vieira,L. Vieira,71043,CHA,315,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CHA/FORMATO.png,2,7.6,Leonardo da Silva Vieira,13.0,1,5.6,2,leo-vieira,7,3.19,,1.0,,14.0,,,,,2.0,,,,3.0,,,,,
Thiago Mendes,T. Mendes,71123,VAS,267,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,2,4.25,Thiago Henrique Mendes Ribeiro,4.0,4,7.39,2,thiago-mendes,7,0.08,,,,,3.0,,,,8.0,,,,,,,,,
Maicon,Maicon,71227,CFC,294,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,2,0.85,Maicon Pereira Roque,0.0,3,4.07,2,maicon,7,-0.62,,,,,1.0,1.0,,,1.0,,,,,,,,,
Luiz Gustavo,L. Gustavo,71536,CAP,293,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,0,0.0,Luiz Gustavo Dias,0.0,4,6.0,2,luiz-gustavo,6,0.0,,,,,,,,,,,,,,,,,,
Weverton,Weverton,71631,GRE,284,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,2,0.75,Weverton Pereira da Silva,-1.7,1,6.9,2,weverton,7,-1.59,,,,5.0,,,,,,,,,5.0,,,,,
Gustavo Gómez,G. Gómez,71684,PAL,275,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/PAL/FORMATO.png,2,5.2,Gustavo Raúl Gómez Portillo,8.5,3,12.15,2,gustavo-gomez,7,0.85,,,,,1.0,3.0,,1.0,2.0,,1.0,,,,,,,
Cuéllar,Cuéllar,71709,GRE,284,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/GRE/FORMATO.png,0,0.0,Gustavo Leonardo Cuellar Gallego,0.0,4,5.0,2,cuellar,6,0.0,,,,,,,,,,,,,,,,,,
Tiago Volpi,T. Volpi,72018,RBB,280,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,0,0.0,Tiago Luis Volpi,0.0,1,8.0,2,tiago-volpi,6,0.0,,,,,,,,,,,,,,,,,,
Thomazella,Thomazella,72279,MIR,2305,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0,0.0,Carlos Eduardo Lecciolle Thomazella,0.0,1,2.0,2,thomazella,6,0.0,,,,,,,,,,,,,,,,,,
Everson,Everson,72294,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,2,3.95,Everson Felipe Marques Pires,4.2,1,10.08,2,everson,7,-0.22,,,,8.0,,,,,1.0,,,,3.0,,,,,
Fernando Diniz,F. Diniz,72391,VAS,267,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/VAS/FORMATO.png,2,4.86,Fernando Diniz Silva,5.73,6,8.43,2,fernando-diniz,7,0.48,,,,,,,,,,,,,,,,,,
Bernard,Bernard,72460,CAM,282,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,2,1.2,Bernard Anício Caldeira Duarte,3.0,4,4.93,2,bernard,7,0.23,,,,,2.0,2.0,,,,,,,,,,,,
Alex Telles,A. Telles,72493,BOT,263,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BOT/FORMATO.png,2,3.95,Alex Nicolao Telles,-0.1,2,10.86,2,alex-telles,7,-1.76,,,,,3.0,2.0,,,,,,,,,1.0,,1.0,
Vitor Hugo,V. Hugo,72605,CAM,282,False,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAM/FORMATO.png,0,0.0,Vitor Hugo Franchescoli de Souza,0.0,3,7.0,2,vitor-hugo,7,0.0,,,,,,,,,,,,,,,,,,
Mercado,Mercado,72951,INT,285,True,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/INT/FORMATO.png,1,2.0,Gabriel Iván Mercado,2.0,3,4.96,2,mercado,7,-0.04,,1.0,,,2.0,,,,,,,,,,,,,
