,atletas.variacao_num,atletas.rodada_id,atletas.apelido,atletas.status_id,atletas.entrou_em_campo,atletas.clube_id,atletas.nome,atletas.slug,atletas.preco_num,atletas.atleta_id,atletas.jogos_num,atletas.apelido_abreviado,atletas.pontos_num,atletas.posicao_id,atletas.foto,atletas.media_num,atletas.clube.id.full.name,DS,FS,G,FD,DE,GS,FC,FF,CA,A,I,PS,SG,PC,PP,CV,FT,V,DP,GC
63,0.0,3,Cédric Soares,6,False,276,Cédric Ricardo Alves Soares,cedric-soares,5.72,77656,1,C. Soares,0.0,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,2.3,SAO,1.0,,,,,,,1.0,,,,,,,,,,,,
64,-0.58,3,João Schmidt,7,True,277,João Felipe Schmidt Urbano,joao-schmidt,5.53,77777,3,J. Schmidt,1.2,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,2.57,SAN,5.0,1.0,,,,,3.0,2.0,1.0,,,,,,,,,,,
65,0.21,3,Everaldo,6,True,265,Everaldo Stum,everaldo,4.62,78117,2,Everaldo,2.7,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/BAH/FORMATO.png,1.8,BAH,2.0,2.0,,,,,1.0,,,,1.0,,,,,,,,,
66,-0.34,3,Gustavo Henrique,7,True,264,Gustavo Henrique Vernes,gustavo-henrique,11.07,78248,2,G. Henrique,4.2,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,6.7,COR,5.0,2.0,,1.0,,,3.0,2.0,1.0,,,,1.0,1.0,,,,,,
67,-0.29,3,Vitinho,6,True,264,Victor Vinícius Coelho dos Santos,vitinho,5.22,78435,2,Vitinho,1.4,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/COR/FORMATO.png,1.55,COR,1.0,1.0,,1.0,,,3.0,1.0,,,,,,,,,,,,
68,0.92,3,Renê,7,True,266,Renê Rodrigues Martins,rene,9.58,78445,3,Renê,9.2,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,8.27,FLU,9.0,2.0,,1.0,,,3.0,,,1.0,,,1.0,,,,,,,
69,0.0,3,Willian Arão,5,False,277,Willian Souza Arão da Silva,willian-arao,7.0,78478,0,W. Arão,0.0,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAN/FORMATO.png,0.0,SAN,,,,,,,,,,,,,,,,,,,,
70,-0.63,3,Gabriel,3,True,280,Gabriel Girotto Franco,gabriel,4.92,78605,3,Gabriel,1.1,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/RBB/FORMATO.png,1.9,RBB,4.0,3.0,,2.0,,,4.0,,3.0,,,,,,,,,,,
71,-2.04,3,Reinaldo,6,True,2305,Reinaldo Manoel da Silva,reinaldo,10.89,78850,3,Reinaldo,-1.0,2,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0.6,MIR,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,
72,0.0,3,Thiago Santos,6,False,294,Thiago dos Santos,thiago-santos,2.14,78855,2,T. Santos,0.0,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CFC/FORMATO.png,0.0,CFC,,,,,,,,,,,,,,,,,,,,
73,0.0,3,Dória,6,False,276,Matheus Dória Macedo,doria,7.0,78946,0,Dória,0.0,3,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/SAO/FORMATO.png,0.0,SAO,,,,,,,,,,,,,,,,,,,,
74,0.0,3,Alex Muralha,6,False,2305,Alex Roberto Santana Rafael,alex-muralha,3.0,79066,0,A. Muralha,0.0,1,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/MIR/FORMATO.png,0.0,MIR,,,,,,,,,,,,,,,,,,,,
75,0.0,3,Cano,5,False,266,Germán Ezequiel Cano,cano,6.0,79631,0,Cano,0.0,5,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLU/FORMATO.png,0.0,FLU,,,,,,,,,,,,,,,,,,,,
76,-0.49,3,Lucas Silva,2,True,283,Lucas Silva Borges,lucas-silva,6.0,79701,3,L. Silva,1.5,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CRU/FORMATO.png,0.57,CRU,2.0,,,,,,1.0,,1.0,,,,,,,,,,,
77,0.0,3,Saúl,5,False,262,Saúl Ñíguez Esclapez,saul,7.0,80061,0,Saúl,0.0,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/FLA/FORMATO.png,0.0,FLA,,,,,,,,,,,,,,,,,,,,
78,-0.05,3,Jadson,6,True,293,Jadson Alves dos Santos,jadson,5.03,80129,2,Jadson,2.0,4,https://s3.glbimg.com/v1/AUTH_58d78b787ec34892b5aaa0c7a146155f/clubes_2026/silhuetas/CAP/FORMATO.png,1.25,CAP,1.0,2.0,,,,,,,,,,,,,,,,,,
