"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FS","PE","RB","SG","DD","GS","A","FD","FF","G","I","FT","CV","GC","PP","DP"
"86","Dorival Silvestre Júnior","Dorival Júnior","https://s.glbimg.com/es/sde/f/2016/05/02/7c83e1833235983b8ce68b95d5c5ca75_FORMATO.png",40990,5,277,"tec","Provável",1.1,8.5,-0.3,2.04,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","William José de Souza","Amaral","https://s.glbimg.com/es/sde/f/2016/05/09/ebb1dc3dea737d824b387593ac26e716_FORMATO.jpeg",42232,5,294,"mei","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88","Wilson Rodrigues de Moura Júnior","Wilson","https://s.glbimg.com/es/sde/f/2016/04/28/451b957d5e77145a9740c1dd14e810fb_FORMATO.png",50284,5,294,"gol","Provável",7,8.74,2.17,3.34,5,NA,NA,NA,1,NA,1,10,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Ernando Rodrigues Lopes","Ernando","https://s.glbimg.com/es/sde/f/2016/04/30/4281780d649686f58d2350aa3f372023_FORMATO.png",49651,5,285,"zag","Provável",3.4,10.51,-0.07,4.44,5,1,4,NA,10,5,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"90","Everton Cardoso da Silva","Everton","https://s.glbimg.com/es/sde/f/2016/04/20/837d4d1c4d5f3460f897e9a3689ab070_FORMATO.png",50301,5,262,"mei","Dúvida",-0.5,13.44,-1.81,2.95,4,1,6,6,12,6,NA,NA,NA,1,NA,1,1,3,NA,1,NA,NA,NA
"91","Guilherme Milhomem Gusmão","Guilherme","https://s.glbimg.com/es/sde/f/2016/04/28/dffdad9720aa2f03053bdd0270fb8787_FORMATO.png",50294,5,264,"mei","Dúvida",2.7,14.79,-0.27,5.12,5,1,9,8,24,8,NA,NA,NA,2,3,1,1,NA,NA,NA,NA,NA,NA
"92","David Braz de Oliveira Filho","David Braz","https://s.glbimg.com/es/sde/f/2016/05/01/7bca046ddd8602f61aef411fe78c444b_FORMATO.png",50317,5,277,"zag","Provável",3.1,7.81,0.4,2.36,5,1,2,1,17,11,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"93","Felipe Menezes Jácomo","Felipe Menezes","https://s.glbimg.com/es/sde/f/2016/05/01/d3e5fd4f04b0228f20ed0c104162bf46_FORMATO.png",50295,5,303,"mei","Nulo",0,4.93,0,1.7,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","Marcelo Oliveira Ferreira","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2016/04/30/401897dab69a776fef1185ec3ba1b85f_FORMATO.png",50328,5,284,"lat","Contundido",0,15.55,0,7.67,3,1,7,NA,10,5,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"95","Alan Kardec de Sousa Pereira Júnior","Alan Kardec","https://s.glbimg.com/es/sde/f/2016/05/01/077836a3746cb3cabb53890059f12ac9_FORMATO.png",50347,5,276,"ata","Provável",-0.4,2.86,0.12,-0.58,5,1,8,7,8,1,NA,NA,NA,NA,NA,4,NA,5,NA,NA,NA,NA,NA
"96","Rafael Ramos de Lima","Rafael Lima","https://s.glbimg.com/es/sde/f/2016/04/27/6e9382dfa32bee612bc70217b093b2b6_FORMATO.png",50361,5,315,"zag","Nulo",0,6.5,0,2.35,2,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","Elicarlos Souza Santos","Elicarlos","https://s.glbimg.com/es/sde/f/2016/04/29/c60e01cd155db8e33220d9f2a9027f44_FORMATO.png",50313,5,316,"mei","Provável",4.7,8.61,1.07,2.54,5,2,6,5,13,12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"98","Júlio César Jacobi","Júlio César","https://s.glbimg.com/es/sde/f/2016/04/29/88d18a6c7e76b53f49c068867e67a91b_FORMATO.png",49673,5,266,"gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99","Lucas Rios Marques","Lucas","https://s.glbimg.com/es/sde/f/2016/05/11/c42be00e62cf171cd7509aeab8ba6d9b_FORMATO.png",50362,5,283,"lat","Provável",4,0.9,0.13,-0.8,3,NA,10,3,9,1,1,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA
"100","Fernando Gabriel Vougado Ribeiro","Fernando Gabriel","https://s.glbimg.com/es/sde/f/2016/06/02/26b087e1dac0a59c921e0d34a2abbcfe_FORMATO.jpeg",49737,5,344,"mei","Nulo",0,8.85,-0.87,2.65,4,NA,1,4,11,2,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
"101","Everton Leandro dos Santos Pinto","Everton Santos","https://s.glbimg.com/es/sde/f/2016/04/29/1aaa0e9e35c2a6eb01c03b59b13b0d1c_FORMATO.png",50326,5,316,"ata","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Willian Thiego de Jesus","Thiego","https://s.glbimg.com/es/sde/f/2016/04/27/106a8b39bab2f5fc4f76145e87e57147_FORMATO.png",50393,5,315,"zag","Provável",-0.6,2.2,-0.39,1.05,4,NA,7,4,6,4,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA
"103","Anderson Angus Aquino","Anderson Aquino","https://s.glbimg.com/es/sde/f/2016/05/20/b0b4962c891176354de801debd50dcad_FORMATO.png",50413,5,263,"ata","Dúvida",4.9,5.23,0.64,3.1,3,1,1,6,2,1,NA,NA,NA,NA,1,1,NA,2,2,NA,NA,NA,NA
"104","Hudson Rodrigues dos Santos","Hudson","https://s.glbimg.com/es/sde/f/2016/05/01/953543bc5a15bdf924109b07ae3bf85d_FORMATO.png",50324,5,276,"mei","Contundido",0,6.13,0,1.6,1,1,3,2,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"105","Wesley Lopes Beltrame","Wesley","https://s.glbimg.com/es/sde/f/2016/05/01/df95d867f8ae0ddd0e0485b9b344e610_FORMATO.png",50421,5,276,"mei","Contundido",-0.3,2.03,-0.19,-0.6,4,1,8,3,10,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"106","Sérgio Antônio Borges Júnior","Serginho","https://s.glbimg.com/es/sde/f/2016/05/01/e717b60b7c1428ab394b5a7000b297c8_FORMATO.png",50454,5,292,"mei","Provável",4.8,10.65,0.2,5.3,5,2,7,21,9,13,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA
"107","Breno Vinicius Rodrigues Borges","Breno","https://s.glbimg.com/es/sde/f/2016/05/01/b7de8b8e99aca9df7de4c3f0097a939a_FORMATO.png",50408,5,276,"zag","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Carlos Eduardo Marques","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2016/05/09/0116bb68ed6ce1217105ff5c37cb6488_FORMATO.jpeg",50369,5,282,"mei","Nulo",0,7.95,0,1.45,2,1,1,5,5,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"109","Edwin Armando Valencia Rodríguez","Valencia","https://s.glbimg.com/es/sde/f/2016/05/01/19b876352b7c66c50a6b3d872e85257c_FORMATO.png",50417,5,277,"mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Carlos Eduardo Santos Oliveira","Eduardo","https://s.glbimg.com/es/sde/f/2015/10/26/0e028d72923de801deda4e00f4dcec3d_FORMATO.png",50645,5,293,"lat","Suspenso",8,4.64,1.55,2.67,4,3,5,7,16,9,NA,NA,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA
"111","Ricardo Martins de Araújo","Kadu","https://s.glbimg.com/es/sde/f/2016/05/01/5ece8fb5b4713b05482aa2b88891e5cf_FORMATO.png",50427,5,303,"zag","Provável",1.3,4.71,0.04,0.96,5,1,7,5,8,5,1,NA,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA
"112","Leonardo Renan Simões de Lacerda","Léo","https://s.glbimg.com/es/sde/f/2016/04/29/442f1e513bf554cc4cbcce5ae7ace03b_FORMATO.png",50459,5,283,"zag","Nulo",0,1.99,0,0.9,2,1,2,1,4,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"113","Vilson Xavier de Meneses Junior","Vilson","https://s.glbimg.com/es/sde/f/2016/04/28/84ef11bf1e3dd175d1638cfb032e579c_FORMATO.png",50439,5,264,"zag","Contundido",7.4,5.64,1.42,4.03,3,1,3,NA,7,NA,3,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA
"114","Henrique Adriano Buss","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/a9d9178f59821bfca73d485e636ad040_FORMATO.png",50856,5,266,"zag","Provável",0.2,9.4,-1.11,2.66,5,1,3,4,8,3,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"115","Leandro Almeida da Silva","Leandro Almeida","https://s.glbimg.com/es/sde/f/2016/05/01/e56f9d56a969323a33eb9a57ca44f1b6_FORMATO.png",50462,5,275,"zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116","Walter Leandro Capeloza Artume","Walter","https://s.glbimg.com/es/sde/f/2016/04/28/9520a016aaf4604a0c75d928046c8bd9_FORMATO.png",51413,5,264,"gol","Provável",8,13.11,0.18,7.48,5,NA,NA,NA,2,NA,4,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117","Denis Cesar de Matos","Denis","https://s.glbimg.com/es/sde/f/2016/05/01/9e4d589b32947151072c21d1d5b71747_FORMATO.png",51175,5,276,"gol","Provável",4,7.04,-0.82,4.43,4,NA,NA,NA,1,NA,1,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118","Emerson dos Santos Silva","Emerson Silva","https://s.glbimg.com/es/sde/f/2016/05/20/32eec64b3753a7d9b1192df90028abc9_FORMATO.png",51299,5,263,"zag","Provável",0.5,3.23,-0.12,0.92,5,NA,3,4,9,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119","Leandro Donizete Gonçalves da Silva","Leandro Donizete","https://s.glbimg.com/es/sde/f/2016/04/26/765a5089ecb5053c65f7168963c61b74_FORMATO.png",51318,5,282,"mei","Provável",2.7,7.46,0.36,1.87,3,1,4,7,8,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120","Tiago dos Santos Alves","Tiago Alves","https://s.glbimg.com/es/sde/f/2016/05/01/5f47ce9d3a4af5acb91336921bbf7c64_FORMATO.png",51495,5,303,"zag","Nulo",0,3.08,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121","Roger de Carvalho","Roger Carvalho","https://s.glbimg.com/es/sde/f/2016/05/01/02e50e98f3a67626dd1c651cdd042e54_FORMATO.png",51415,5,275,"zag","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122","Alison Wágner Lira Ferreira","Alison","https://s.glbimg.com/es/sde/f/2016/05/09/d7263e570ed2a87bc24ead8f629b3d34_FORMATO.png",51702,5,327,"zag","Provável",1.1,2.04,0.05,0,4,1,2,4,11,2,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA
"123","Rafael Bastos","Rafael Bastos","https://s.glbimg.com/es/sde/f/2016/05/09/f9313737a5d1b6a09f6ea9cc9502cbae_FORMATO.png",51476,5,327,"mei","Dúvida",2.8,10.92,0.32,3.94,5,1,8,6,6,7,NA,NA,NA,NA,4,3,1,3,NA,NA,NA,NA,NA
"124","Bruno Rangel Domingues","Bruno Rangel","https://s.glbimg.com/es/sde/f/2016/04/27/3c7ecd662014838c83e615e22a14c643_FORMATO.png",51683,5,315,"ata","Provável",22,18.37,5.63,9.7,5,1,13,5,6,3,NA,NA,NA,NA,4,1,6,3,NA,NA,NA,NA,NA
"125","Giuliano Victor de Paula","Giuliano","https://s.glbimg.com/es/sde/f/2016/04/30/6abcfcc0e937e32dd475d4322fab30f8_FORMATO.png",51548,5,284,"mei","Provável",16.1,15.76,4,7.1,5,NA,5,2,19,8,NA,NA,NA,1,3,3,2,1,1,NA,NA,NA,NA
"126","Bruno Rodrigo Fenelon Palomo","Bruno Rodrigo","https://s.glbimg.com/es/sde/f/2016/04/28/b19790a721b5fdde81e82943deee9414_FORMATO.png",51705,5,283,"zag","Provável",11.1,10.63,2.4,2.9,4,2,4,2,8,7,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"127","Adalberto dos Santos Rodrigues","Adalberto","https://s.glbimg.com/es/sde/f/2016/05/09/8a1bf4ce5ccc93ee1da6783ea2355fd0_FORMATO.png",51549,5,327,"zag","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128","Bruno Henrique Corsini","Bruno Henrique","https://s.glbimg.com/es/sde/f/2016/04/28/babefb476c0292044ff5aec58dbf4331_FORMATO.png",70944,5,264,"mei","Dúvida",-2,11.95,-1.2,2.7,5,2,16,5,17,11,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA
"129","Antonio Eduardo Pereira dos Santos","Kanu",NA,51792,5,287,"zag","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","Danilo Fernandes Batista","Danilo Fernandes","https://s.glbimg.com/es/sde/f/2016/05/30/8099f366cc8319b88e07c75b7f584000_FORMATO.png",69051,5,285,"gol","Provável",5,12.49,-0.36,6.97,4,NA,NA,1,2,NA,3,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","Réver Humberto Alves Araújo","Réver","https://s.glbimg.com/es/sde/f/2016/04/30/4f252ad8b409db0afc0a0a82c20659c5_FORMATO.png",52253,5,285,"zag","Nulo",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","Gilson Gomes do Nascimento","Gilson","https://s.glbimg.com/es/sde/f/2016/05/01/6118e3c687d15a66a50d620fe3e4520f_FORMATO.png",52674,5,303,"lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","José Nivaldo Martins Constante","Nivaldo","https://s.glbimg.com/es/sde/f/2016/04/27/60b12bac28785d18e714ae866c98e6e7_FORMATO.png",52897,5,315,"gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134","Ytalo José Oliveira dos Santos","Ytalo","https://s.glbimg.com/es/sde/f/2016/02/01/5da41b38038ab484b55b7e40fd2f432c_FORMATO.jpeg",53148,5,276,"ata","Nulo",0,2.05,0,-0.15,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135","Víctor Leandro Bagy","Victor","https://s.glbimg.com/es/sde/f/2016/04/26/832210cff768e7a0bcc99eadd2bf79d1_FORMATO.png",52950,5,282,"gol","Provável",3.1,13.37,0.05,1.05,4,NA,NA,NA,6,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136","Willians Domingos Fernandes","Willians","https://s.glbimg.com/es/sde/f/2016/04/28/ddbf7a8cf8492557895f2514f35971d3_FORMATO.png",54424,5,264,"mei","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137","Túlio Vinícius Fróes de Melo","Túlio de Melo","https://s.glbimg.com/es/sde/f/2016/05/01/888bd2ad97a3e922521ae1bf34c965bd_FORMATO.png",54797,5,292,"ata","Nulo",0,3.01,0,0.4,4,NA,1,NA,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"138","Edmílson dos Santos Silva","Edmílson","https://s.glbimg.com/es/sde/f/2016/05/20/f5d805e44f2c8b3736ac44c360e1b82f_FORMATO.jpeg",55519,5,292,"ata","Provável",7.7,7.14,1.46,5.6,2,NA,2,NA,2,2,NA,NA,NA,NA,3,2,1,6,NA,NA,NA,NA,NA
"139","Elias Mendes Trindade","Elias","https://s.glbimg.com/es/sde/f/2016/04/28/5a5487a09ab32e96768a9feb9587e58c_FORMATO.png",54395,5,264,"mei","Nulo",0,13.91,0,1,2,1,2,2,8,2,NA,NA,NA,NA,NA,5,NA,1,NA,NA,NA,NA,NA
"140","Luis Ricardo Silva Umbelino","Luis Ricardo","https://s.glbimg.com/es/sde/f/2016/05/20/f1f631c4c995df1548717967d445801f_FORMATO.png",55348,5,263,"lat","Nulo",0,7.44,0,3.3,4,1,1,1,13,8,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA
"141","Lins Lima de Britto","Lins","https://s.glbimg.com/es/sde/f/2016/05/25/7b9ce78a7438f2bac4a0594608654c28_FORMATO.jpeg",53669,5,316,"ata","Nulo",1,2.62,-0.38,1,1,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"142","Vinícius Soares Eutropio","Vinícius Eutrópio","https://s.glbimg.com/es/sde/f/2016/04/07/ef1df3578474b90a7bf99dfa9c5b1431_FORMATO.png",60780,5,316,"tec","Provável",4.31,7.87,0.54,3.64,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Rafael de Souza Pereira","Rafael Carioca","https://s.glbimg.com/es/sde/f/2016/04/26/c7a8380a02c4515641cb7be29a3a8f5a_FORMATO.png",60784,5,282,"mei","Provável",3.3,9.32,0.64,2,4,1,4,7,9,6,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"144","João Paulo da Silva","João Paulo","https://s.glbimg.com/es/sde/f/2016/04/28/fedb726ec6d4804d5d34bf905cceca24_FORMATO.png",56102,5,294,"mei","Provável",2.3,5.94,0.07,1.84,5,1,11,1,11,8,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA
"145","Anderson Vital da Silva","Dedé","https://s.glbimg.com/es/sde/f/2016/04/28/667243f1202f23bca573f1ddbb3442e2_FORMATO.png",60819,5,283,"zag","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Pablo de Barros Paulino","Pablo","https://s.glbimg.com/es/sde/f/2016/05/09/35384d66b2f806991c3980f871525fe1_FORMATO.png",60794,5,327,"lat","Contundido",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147","Uendel Pereira Gonçalves","Uendel","https://s.glbimg.com/es/sde/f/2016/04/28/32ce15929c8ce3e8a780390968bf42cc_FORMATO.png",60852,5,264,"lat","Dúvida",5.1,12.36,0.09,5.7,5,NA,7,4,16,4,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"148","Luan Michel de Louzã","Luan","https://s.glbimg.com/es/sde/f/2016/05/01/b382e271d658c1a86a3f257ca46cfb8e_FORMATO.png",60834,5,275,"ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Felipe Azevedo dos Santos","Felipe Azevedo","https://s.glbimg.com/es/sde/f/2016/05/01/b65f07ed24924fb1d54139f6b07a0ec5_FORMATO.png",60825,5,303,"ata","Provável",13.2,18.09,3.63,7.42,5,NA,4,11,15,5,NA,NA,NA,1,2,8,3,2,NA,NA,1,NA,NA
"150","Marcos Antônio da Silva Gonçalves","Marquinhos","https://s.glbimg.com/es/sde/f/2016/04/30/6dd38f550a44a2bcb5094495271fd09a_FORMATO.png",60788,5,285,"mei","Contundido",0,3.82,0,0.2,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151","Ananias Elói Castro Monteiro","Ananias","https://s.glbimg.com/es/sde/f/2016/04/27/0dead0d45be78ee38c88ac55e4b5a928_FORMATO.png",61135,5,315,"ata","Contundido",0,3.08,0,-0.9,2,NA,2,3,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
"152","Carlos Cesar Neves","Carlos Cesar","https://s.glbimg.com/es/sde/f/2016/05/09/42de8657b853667a526244f2be9234aa_FORMATO.png",61211,5,282,"lat","Nulo",0,8.67,0,4.95,2,NA,2,NA,3,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Patric Cabral Lalau","Patric","https://s.glbimg.com/es/sde/f/2016/04/26/cce286c6b0a6d0a64dfc65ba3363fb6e_FORMATO.png",60969,5,282,"lat","Provável",5.4,9.16,-0.38,5.23,4,1,2,2,11,4,NA,NA,NA,1,6,2,1,2,NA,NA,NA,NA,NA
"154","Lucca Borges Brito","Lucca","https://s.glbimg.com/es/sde/f/2016/04/28/fcb4a31eaeed96a5abb3056b698207d1_FORMATO.png",61149,5,264,"ata","Dúvida",0.2,7.61,-1.22,3.85,2,NA,2,NA,7,NA,NA,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA
"155","Rodrigo Eduardo Costa Marinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2016/04/28/8d01a11770a124d6d1f9432e0d2cc9eb_FORMATO.png",61033,5,264,"mei","Nulo",0,6.12,-1.31,1.55,2,NA,1,2,4,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA
"156","Hélder Maurílio da Silva Ferreira","Hélder","https://s.glbimg.com/es/sde/f/2016/05/25/fdff31a5614f6023abc95f0dc2aa6aaa_FORMATO.jpeg",61238,5,327,"lat","Provável",9.5,3.53,2.47,2.32,4,1,9,6,14,4,NA,NA,NA,2,NA,1,NA,1,NA,NA,NA,NA,NA
"157","Jean Raphael Vanderlei Moreira","Jean","https://s.glbimg.com/es/sde/f/2016/05/01/35cbb038a295b3d40644676a8319a4fe_FORMATO.png",62047,5,275,"mei","Provável",-0.8,8.17,-0.68,1.78,5,NA,6,2,10,4,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA
"158","Róbson Michael Signorini","Robinho","https://s.glbimg.com/es/sde/f/2016/05/12/bca701933eaad8640785a2a634d5edf4_FORMATO.png",62104,5,283,"mei","Provável",7.9,8.38,1.17,6.95,2,NA,NA,2,5,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"159","Airton Ribeiro Santos","Airton","https://s.glbimg.com/es/sde/f/2016/05/19/53e1bd0759a8f98439752def04457e15_FORMATO.png",61985,5,263,"mei","Contundido",0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","Marcos Rogério Ricci Lopes","Pará","https://s.glbimg.com/es/sde/f/2016/04/20/5d1ebbea8911da836ce3d8d5750ed585_FORMATO.png",62086,5,262,"lat","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Everton Kempes dos Santos Gonçalves","Kempes","https://s.glbimg.com/es/sde/f/2016/04/27/bad8378ed9eb0504e46152d7d251bf29_FORMATO.png",62056,5,315,"ata","Nulo",0,4.12,0,1.13,3,NA,3,NA,3,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"162","Vanderlei Farias da Silva","Vanderlei","https://s.glbimg.com/es/sde/f/2016/05/01/82e0b04b2f7623a1d61ffaff2e36a59c_FORMATO.png",62121,5,277,"gol","Provável",4,9.97,0.51,1.3,5,NA,NA,1,NA,NA,NA,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Wellington Aparecido Martins","Wellington","https://s.glbimg.com/es/sde/f/2016/05/01/a116ae1e36ff02160719ea8f1160f811_FORMATO.png",62129,5,276,"mei","Contundido",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Tiago Luis Martins","Tiago Luis","https://s.glbimg.com/es/sde/f/2016/05/09/877fdf56fcc529a0a7169198f7640b51_FORMATO.png",62119,5,327,"ata","Dúvida",-1.8,2.26,-0.75,-0.72,5,2,13,3,10,3,NA,NA,NA,NA,1,4,NA,1,NA,NA,NA,NA,NA
"165","Wallyson Ricardo Maciel Monteiro","Wallyson","https://s.glbimg.com/es/sde/f/2016/05/01/34369068ebb6def83baf9b6dad8c09d3_FORMATO.png",62127,5,344,"ata","Dúvida",-1.2,1.4,-0.34,0.42,5,1,2,4,16,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA
"166","Walter Henrique da Silva","Walter","https://s.glbimg.com/es/sde/f/2016/04/26/a7c5e9f33d2d3830a07c35ba1ce1b902_FORMATO.png",62128,5,293,"ata","Nulo",2.4,8.52,0.3,0.46,5,1,8,7,12,1,NA,NA,NA,NA,3,1,NA,1,1,NA,NA,NA,NA
"167","William Matheus da Silva","William Matheus","https://s.glbimg.com/es/sde/f/2016/05/30/c305f57716ad3736b7ff1a84ee695ab2_FORMATO.png",62130,5,266,"lat","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Marcelo de Oliveira Santos","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/25/3b56f79da2fe44217ad5c0725b96944b_FORMATO.jpeg",62136,5,282,"tec","Provável",3.39,11.55,0.09,2.71,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Werley Ananias da Silva","Werley","https://s.glbimg.com/es/sde/f/2016/04/30/4698f015737545e27eebbce0be96d4c0_FORMATO.png",62974,5,316,"zag","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Nirley da Silva Fonseca","Nirley","https://s.glbimg.com/es/sde/f/2016/04/29/1aa0b74d53267e417eace37b1fdc4cee_FORMATO.png",62971,5,316,"zag","Contundido",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Victor Ramos Ferreira","Victor Ramos","https://s.glbimg.com/es/sde/f/2016/05/01/06d629db34ca0a40668781f14aa5528e_FORMATO.jpeg",63000,5,287,"zag","Provável",0.9,7.93,-1.66,3.68,5,1,9,4,15,12,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
