"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","DD","DP","FC","FS","GS","PE","SG","A","FD","FF","G","RB","I","FT","CV","PP","GC"
"372","Marion Silva Fernandes","Marion","https://s.glbimg.com/es/sde/f/2016/06/28/3d4140b1fbb536f00a8563db1dc349d9_FORMATO.png",79947,19,"STC","ata","Nulo",0,3.39,0,3.47,3,NA,NA,NA,4,7,NA,6,NA,NA,1,NA,NA,6,1,NA,NA,NA,NA
"373","Mayke Rocha de Oliveira","Mayke","https://s.glbimg.com/es/sde/f/2016/04/29/c5a87a4a3a57683de818658384dace69_FORMATO.png",81150,19,"CRU","lat","Contundido",0,10.22,0,3.82,4,2,NA,NA,5,1,NA,2,1,1,NA,NA,NA,7,NA,NA,NA,NA,NA
"374","Frickson Rafael  Erazo Vivero","Erazo","https://s.glbimg.com/es/sde/f/2016/05/09/8d1e5357a150ae34a3e7f1235bf81f8a_FORMATO.png",81223,19,"ATL","zag","Provável",2.4,5.98,0.32,2.17,11,3,NA,NA,9,7,NA,25,4,NA,NA,2,NA,10,NA,NA,NA,NA,NA
"375","Marcos Junio Lima dos Santos","Marcos Junior","https://s.glbimg.com/es/sde/f/2016/04/29/05a4d91c1c469c1d8f7bc682c5eb8e11_FORMATO.png",80188,19,"FLU","ata","Provável",-3.1,7.6,-0.75,2.82,14,2,NA,NA,17,21,NA,30,NA,NA,3,4,4,6,2,1,NA,NA,NA
"376","Juan Ramón Cazares Sevillano","Cazares","https://s.glbimg.com/es/sde/f/2016/05/09/9cc66ac9c0e3b1aa96f2a58610743699_FORMATO.png",81682,19,"ATL","mei","Contundido",0,13.49,0,8.95,7,1,NA,NA,5,5,NA,29,NA,3,5,9,6,NA,2,NA,NA,NA,NA
"377","Jadson Alves dos Santos","Jadson","https://s.glbimg.com/es/sde/f/2016/07/06/44938e3b528a140a197735c0868005c5_FORMATO.png",80129,19,"STC","mei","Provável",-0.3,2.18,0.25,-0.26,5,1,NA,NA,6,3,NA,13,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA
"378","Brenner Marlos Varanda de Oliveira","Brenner","https://s.glbimg.com/es/sde/f/2016/07/06/a2fef5f37a0c3f525d91a7a781d2fe84_FORMATO.png",80080,19,"INT","ata","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"379","Josué de Oliveira Almeida","Josué","https://s.glbimg.com/es/sde/f/2016/05/01/443cd145ec9c00b3135b3ffe62d9cd00_FORMATO.png",81543,19,"VIT","zag","Contundido",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"380","Helton Brant Aleixo Leite","Helton Leite","https://s.glbimg.com/es/sde/f/2016/05/20/5fd57defcef29c5cd30495ee3eb4e67f_FORMATO.png",79973,19,"BOT","gol","Nulo",0,6.22,0,2.33,6,NA,10,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"381","Cleberson Martins de Souza","Cleberson","https://s.glbimg.com/es/sde/f/2015/10/23/e756619fc21577a6e24f6b2599e9c8e7_FORMATO.png",80281,19,"ATL","zag","Contundido",0,0.92,0,-0.77,4,NA,NA,NA,1,NA,NA,7,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"382","Clayton Silveira da Silva","Clayton","https://s.glbimg.com/es/sde/f/2016/05/09/30b9de471ace5f9a5652b40f9530ef64_FORMATO.png",81770,19,"ATL","ata","Nulo",-0.6,6.12,-1.13,0.96,13,2,NA,NA,12,11,NA,41,NA,2,5,8,NA,6,3,NA,NA,NA,NA
"383","Damián Emmanuel Lizio","Lizio","https://s.glbimg.com/es/sde/f/2016/05/20/66e6d57cbd8e83f278a7dabea1efed36_FORMATO.png",80224,19,"BOT","mei","Contundido",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"384","Douglas Coutinho Gomes de Souza","Douglas Coutinho ","https://s.glbimg.com/es/sde/f/2016/04/28/de16cbb2364fc968c073acdc06dedf33_FORMATO.png",82469,19,"CRU","ata","Nulo",0,4.69,0,2.14,7,1,NA,NA,2,1,NA,2,NA,1,2,1,1,2,2,NA,NA,NA,NA
"385","Matheus Caldeira Vidotto de Oliveira","Matheus Vidotto","https://s.glbimg.com/es/sde/f/2016/04/28/5ba6bd006602bef7f0c43836645b49c3_FORMATO.png",80286,19,"COR","gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"386","Bruno dos Santos Nazário","Bruno Nazário","https://s.glbimg.com/es/sde/f/2016/04/28/b4a45b36ada00cfc0463d86b634ac479_FORMATO.png",81776,19,"CRU","mei","Nulo",0,1.57,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"387","Osman de Menezes Venâncio Junior","Osman","https://s.glbimg.com/es/sde/f/2016/05/09/a2bc2cdd8b33a4aaa476ae435462e576_FORMATO.png",81898,19,"AME","mei","Dúvida",0.6,7.83,-0.07,1.84,14,3,NA,NA,22,19,NA,68,NA,NA,9,15,1,20,9,NA,NA,1,NA
"388","João Ricardo Riedi","João Ricardo","https://s.glbimg.com/es/sde/f/2016/05/09/a0bbd0dab2d8ed42d0781ece46879c2f_FORMATO.png",81881,19,"AME","gol","Provável",8,7.18,1.14,1.62,19,1,28,NA,2,NA,30,17,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
