"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","athletes$atletas$scout"
"262","Gabriel Pereira da Silva","Gabriel","https://s.glbimg.com/es/sde/f/2016/05/01/0af286aa902954239098c9fb8e79b885_FORMATO.png",91950,18,"VIT","mei","Nulo",0,3.03,0,3.1,1,NA
"263","Rafael Vinicius Carvalho Longuine","Rafael Longuine","https://s.glbimg.com/es/sde/f/2016/05/01/1f935974fecf9ac7b30cbc7c4a5e4c7a_FORMATO.png",90566,18,"SAN","mei","Nulo",0,2.88,0,-0.13,3,NA
"264","Sosthenes José Santos Salles","Neto Berola","https://s.glbimg.com/es/sde/f/2016/07/22/327838e3387c2c22a80fe1122849edf6_FORMATO.png",68807,18,"COR","ata","Dúvida",0,3.21,-0.79,0.2,1,NA
"265","Yuri Oliveira Lima","Yuri","https://s.glbimg.com/es/sde/f/2016/07/05/6918c687f15258af809e99a14e04318e_FORMATO.png",90569,18,"SAN","mei","Nulo",0,2.64,-0.37,1.23,9,NA
"266","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2016/04/20/a9fe945df23da97fd8ba3c0574058bbf_FORMATO.png",38311,18,"FLA","mei","Provável",0,10.78,1.44,3.47,17,NA
"267","Wallace Lucas Aires da Silva","Wallace","https://s.glbimg.com/es/sde/f/2016/05/01/ed088654406f3682c5c4ea8dbaae2b52_FORMATO.png",92078,18,"SPO","ata","Nulo",0,3,0,0,0,NA
"268","Severino do Ramo Clementino da Silva","Nino Paraíba","https://s.glbimg.com/es/sde/f/2016/05/01/cbfc0d46083f35cde541d9aea35e3a5d_FORMATO.png",68808,18,"PON","lat","Provável",0,5.25,1.26,2.65,9,NA
"269","Johnathan Aparecido da Silva","Johnathan Goiano","https://s.glbimg.com/es/sde/f/2016/05/01/ad77cb27868eb39560d27f1ae0a28e5c_FORMATO.png",68779,18,"SPO","ata","Nulo",0,4,0,0,0,NA
"270","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2016/07/08/38e8f580ae4e3bf9d8a96fb05a05cf25_FORMATO.png",38287,18,"PON","ata","Provável",0,7.87,1.94,3.63,13,NA
"271","Gustavo Cascardo de Assis","Cascardo",NA,90587,18,"ATL","lat","Nulo",0,2,0,0,0,NA
"272","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2016/05/03/46f4db4d7b5db064ec7c2460f02a5b99_FORMATO.png",38394,18,"ATL","zag","Provável",0,9.31,0.13,3.62,15,NA
"273","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2016/07/13/b976295943670eb1a5e506d9381bc658_FORMATO.png",38421,18,"CRU","mei","Nulo",0,5.67,-0.59,-1.15,4,NA
"274","Richarlison Andrade","Richarlison ","https://s.glbimg.com/es/sde/f/2016/04/29/f6f08e1efa5ce7033db704164ac007f7_FORMATO.png",92081,18,"FLU","ata","Nulo",0,6.6,0,1.59,15,NA
