"game","round","date","home_team","score","away_team","arena","X"
"1","1","14/05/2016 - 16:00","Palmeiras - SP","4 x 0","Atlético - PR","Allianz Parque - Sao Paulo - SP",""
"2","1","14/05/2016 - 16:00","Flamengo - RJ","1 x 0","Sport - PE","Raulino de Oliveira - Volta Redonda - RJ",""
"3","1","14/05/2016 - 18:30","Atlético - MG","1 x 0","Santos - SP","Independência - Belo Horizonte - MG",""
"4","1","14/05/2016 - 21:00","Coritiba - PR","1 x 0","Cruzeiro - MG","Couto Pereira - Curitiba - PR",""
"5","1","15/05/2016 - 11:00","Botafogo - RJ","0 x 1","São Paulo - SP","Raulino de Oliveira - Volta Redonda - RJ",""
"6","1","15/05/2016 - 11:00","Santa Cruz - PE","4 x 1","Vitória - BA","Arruda - Recife - PE",""
"7","1","15/05/2016 - 16:00","Corinthians - SP","0 x 0","Grêmio - RS","Arena Corinthians - Sao Paulo - SP",""
"8","1","15/05/2016 - 16:00","Figueirense - SC","0 x 0","Ponte Preta - SP","Orlando Scarpelli - Florianopolis - SC",""
"9","1","15/05/2016 - 16:00","América - MG","0 x 1","Fluminense - RJ","Independência - Belo Horizonte - MG",""
"10","1","15/05/2016 - 18:30","Internacional - RS","0 x 0","Chapecoense - SC","Beira Rio - Porto Alegre - RS",""
"11","2","22/05/2016 - 16:00","Vitória - BA","3 x 2","Corinthians - SP","Manoel Barradas - Salvador - BA",""
"12","2","21/05/2016 - 18:30","Fluminense - RJ","2 x 2","Santa Cruz - PE","Raulino de Oliveira - Volta Redonda - RJ",""
"13","2","21/05/2016 - 21:00","Cruzeiro - MG","2 x 2","Figueirense - SC","Mineirão - Belo Horizonte - MG",""
"14","2","22/05/2016 - 11:00","Santos - SP","2 x 1","Coritiba - PR","Vila Belmiro - Santos - SP",""
"15","2","22/05/2016 - 11:00","Atlético - PR","1 x 1","Atlético - MG","Arena da Baixada - Curitiba - PR",""
"16","2","22/05/2016 - 16:00","Chapecoense - SC","3 x 1","América - MG","Arena Condá - Chapeco - SC",""
"17","2","22/05/2016 - 16:00","São Paulo - SP","1 x 2","Internacional - RS","Morumbi - Sao Paulo - SP",""
"18","2","22/05/2016 - 16:00","Grêmio - RS","1 x 0","Flamengo - RJ","Arena do Grêmio - Porto Alegre - RS",""
"19","2","21/05/2016 - 16:00","Ponte Preta - SP","2 x 1","Palmeiras - SP","Moisés Lucarelli - Campinas - SP",""
"20","2","22/05/2016 - 18:30","Sport - PE","1 x 1","Botafogo - RJ","Ilha do Retiro - Recife - PE",""
"21","3","25/05/2016 - 19:30","Botafogo - RJ","2 x 1","Atlético - PR","Mário Helênio - Juiz de Fora - MG",""
"22","3","25/05/2016 - 21:00","Flamengo - RJ","2 x 2","Chapecoense - SC","Raulino de Oliveira - Volta Redonda - RJ",""
"23","3","25/05/2016 - 19:30","Figueirense - SC","2 x 2","Santos - SP","Orlando Scarpelli - Florianopolis - SC",""
"24","3","25/05/2016 - 21:00","América - MG","1 x 1","Vitória - BA","Independência - Belo Horizonte - MG",""
"25","3","25/05/2016 - 21:45","Santa Cruz - PE","4 x 1","Cruzeiro - MG","Arruda - Recife - PE",""
"26","3","25/05/2016 - 21:45","Palmeiras - SP","2 x 0","Fluminense - RJ","Allianz Parque - Sao Paulo - SP",""
"27","3","26/05/2016 - 16:00","Internacional - RS","1 x 0","Sport - PE","Beira Rio - Porto Alegre - RS",""
"28","3","25/05/2016 - 21:45","Coritiba - PR","1 x 1","São Paulo - SP","Couto Pereira - Curitiba - PR",""
"29","3","26/05/2016 - 11:00","Corinthians - SP","3 x 0","Ponte Preta - SP","Arena Corinthians - Sao Paulo - SP",""
"30","3","26/05/2016 - 21:00","Atlético - MG","0 x 3","Grêmio - RS","Independência - Belo Horizonte - MG",""
"31","4","28/05/2016 - 16:00","Cruzeiro - MG","1 x 1","América - MG","Mineirão - Belo Horizonte - MG",""
"32","4","28/05/2016 - 18:30","Atlético - PR","2 x 1","Figueirense - SC","Arena da Baixada - Curitiba - PR",""
"33","4","28/05/2016 - 21:00","Chapecoense - SC","1 x 1","Santa Cruz - PE","Arena Condá - Chapeco - SC",""
"34","4","29/05/2016 - 11:00","Ponte Preta - SP","1 x 2","Flamengo - RJ","Moisés Lucarelli - Campinas - SP",""
"35","4","29/05/2016 - 11:00","Sport - PE","0 x 2","Corinthians - SP","Ilha do Retiro - Recife - PE",""
"36","4","29/05/2016 - 16:00","Vitória - BA","1 x 1","Atlético - MG","Arena Fonte Nova - Salvador - BA",""
"37","4","29/05/2016 - 16:00","Fluminense - RJ","1 x 0","Botafogo - RJ","Raulino de Oliveira - Volta Redonda - RJ",""
"38","4","29/05/2016 - 16:00","São Paulo - SP","1 x 0","Palmeiras - SP","Morumbi - Sao Paulo - SP",""
"39","4","29/05/2016 - 18:30","Grêmio - RS","2 x 0","Coritiba - PR","Arena do Grêmio - Porto Alegre - RS",""
"40","4","29/05/2016 - 18:30","Santos - SP","0 x 1","Internacional - RS","Vila Belmiro - Santos - SP",""
"41","5","01/06/2016 - 21:45","Botafogo - RJ","0 x 1","Cruzeiro - MG","Mané Garrincha - Brasilia - DF",""
"42","5","01/06/2016 - 19:30","Internacional - RS","1 x 0","Atlético - PR","Beira Rio - Porto Alegre - RS",""
"43","5","01/06/2016 - 21:00","Coritiba - PR","3 x 4","Chapecoense - SC","Durival Britto - Curitiba - PR",""
"44","5","01/06/2016 - 21:45","Figueirense - SC","1 x 0","São Paulo - SP","Orlando Scarpelli - Florianopolis - SC",""
"45","5","01/06/2016 - 21:00","Santa Cruz - PE","0 x 1","Sport - PE","Arruda - Recife - PE",""
"46","5","01/06/2016 - 21:00","Corinthians - SP","1 x 0","Santos - SP","Arena Corinthians - Sao Paulo - SP",""
"47","5","01/06/2016 - 21:45","Atlético - MG","1 x 1","Fluminense - RJ","Independência - Belo Horizonte - MG",""
"48","5","02/06/2016 - 19:30","América - MG","1 x 2","Ponte Preta - SP","Independência - Belo Horizonte - MG",""
"49","5","02/06/2016 - 21:00","Flamengo - RJ","1 x 0","Vitória - BA","Raulino de Oliveira - Volta Redonda - RJ",""
"50","5","02/06/2016 - 21:00","Palmeiras - SP","4 x 3","Grêmio - RS","Pacaembu - Sao Paulo - SP",""
"51","6","04/06/2016 - 16:00","Atlético - PR","1 x 0","Santa Cruz - PE","Arena da Baixada - Curitiba - PR",""
"52","6","05/06/2016 - 18:30","Cruzeiro - MG","0 x 1","São Paulo - SP","Mineirão - Belo Horizonte - MG",""
"53","6","04/06/2016 - 20:30","Chapecoense - SC","0 x 0","Fluminense - RJ","Arena Condá - Chapeco - SC",""
"54","6","04/06/2016 - 20:30","Corinthians - SP","2 x 1","Coritiba - PR","Arena Corinthians - Sao Paulo - SP",""
"55","6","05/06/2016 - 11:00","América - MG","1 x 0","Figueirense - SC","Independência - Belo Horizonte - MG",""
"56","6","05/06/2016 - 11:00","Santos - SP","3 x 0","Botafogo - RJ","Pacaembu - Sao Paulo - SP",""
"57","6","05/06/2016 - 16:00","Flamengo - RJ","1 x 2","Palmeiras - SP","Mané Garrincha - Brasilia - DF",""
"58","6","05/06/2016 - 16:00","Vitória - BA","1 x 0","Internacional - RS","Manoel Barradas - Salvador - BA",""
"59","6","05/06/2016 - 16:00","Sport - PE","4 x 4","Atlético - MG","Ilha do Retiro - Recife - PE",""
"60","6","05/06/2016 - 16:00","Grêmio - RS","1 x 0","Ponte Preta - SP","Arena do Grêmio - Porto Alegre - RS",""
"61","7","11/06/2016 - 16:00","Ponte Preta - SP","2 x 1","Chapecoense - SC","Moisés Lucarelli - Campinas - SP",""
"62","7","11/06/2016 - 16:00","Internacional - RS","3 x 1","América - MG","Beira Rio - Porto Alegre - RS",""
"63","7","11/06/2016 - 21:00","São Paulo - SP","1 x 2","Atlético - PR","Morumbi - Sao Paulo - SP",""
"64","7","12/06/2016 - 19:00","Santa Cruz - PE","0 x 2","Santos - SP","Arruda - Recife - PE",""
"65","7","12/06/2016 - 16:00","Figueirense - SC","1 x 0","Flamengo - RJ","Orlando Scarpelli - Florianopolis - SC",""
"66","7","11/06/2016 - 18:30","Fluminense - RJ","1 x 1","Grêmio - RS","Raulino de Oliveira - Volta Redonda - RJ",""
"67","7","12/06/2016 - 16:00","Atlético - MG","2 x 3","Cruzeiro - MG","Independência - Belo Horizonte - MG",""
"68","7","12/06/2016 - 16:00","Palmeiras - SP","1 x 0","Corinthians - SP","Allianz Parque - Sao Paulo - SP",""
"69","7","12/06/2016 - 11:00","Coritiba - PR","3 x 2","Sport - PE","Couto Pereira - Curitiba - PR",""
"70","7","12/06/2016 - 11:00","Botafogo - RJ","1 x 1","Vitória - BA","Raulino de Oliveira - Volta Redonda - RJ",""
"71","8","15/06/2016 - 21:45","Coritiba - PR","2 x 2","Palmeiras - SP","Couto Pereira - Curitiba - PR",""
"72","8","15/06/2016 - 19:30","Ponte Preta - SP","3 x 2","Atlético - PR","Moisés Lucarelli - Campinas - SP",""
"73","8","15/06/2016 - 21:00","Botafogo - RJ","3 x 1","América - MG","Raulino de Oliveira - Volta Redonda - RJ",""
"74","8","15/06/2016 - 21:00","Santos - SP","2 x 0","Sport - PE","Vila Belmiro - Santos - SP",""
"75","8","15/06/2016 - 21:00","Santa Cruz - PE","1 x 0","Figueirense - SC","Arruda - Recife - PE",""
"76","8","15/06/2016 - 19:30","São Paulo - SP","2 x 0","Vitória - BA","Morumbi - Sao Paulo - SP",""
"77","8","15/06/2016 - 21:45","Cruzeiro - MG","0 x 1","Flamengo - RJ","Mineirão - Belo Horizonte - MG",""
"78","8","16/06/2016 - 19:30","Internacional - RS","2 x 0","Atlético - MG","Beira Rio - Porto Alegre - RS",""
"79","8","16/06/2016 - 20:00","Fluminense - RJ","1 x 0","Corinthians - SP","Mané Garrincha - Brasilia - DF",""
"80","8","15/06/2016 - 19:30","Chapecoense - SC","3 x 3","Grêmio - RS","Arena Condá - Chapeco - SC",""
"81","9","18/06/2016 - 18:00","Atlético - PR","1 x 0","Santos - SP","Arena da Baixada - Curitiba - PR",""
"82","9","18/06/2016 - 16:00","Palmeiras - SP","3 x 1","Santa Cruz - PE","Allianz Parque - Sao Paulo - SP",""
"83","9","18/06/2016 - 21:00","América - MG","2 x 1","Coritiba - PR","Independência - Belo Horizonte - MG",""
"84","9","19/06/2016 - 16:00","Corinthians - SP","3 x 1","Botafogo - RJ","Arena Corinthians - Sao Paulo - SP",""
