"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FD","FF","FS","G","PE","RB","A","SG","DD","GS","I","FT","CV","GC","PP","DP"
"771","Romário Correia de Souza","Romário","https://s.glbimg.com/es/sde/f/2016/04/19/d00d6026d2117a965f8cba4d7a298bfa_FORMATO.png",79954,7,"AME","ata","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"772","Hueglo Neris dos Santos","Neris","https://s.glbimg.com/es/sde/f/2016/05/01/f9b2365ceb3a8b49fa3e7474bce9bc75_FORMATO.png",83786,7,"STC","zag","Provável",3.2,4.24,0.69,1.6,5,1,5,NA,NA,6,NA,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"773","Derivaldo Bezerra Cavalcante","Dedé","https://s.glbimg.com/es/sde/f/2016/05/01/87064726c04d87d41bc9c4cb05a913b3_FORMATO.png",80171,7,"STC","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"774","Maikel Daniel Costa ","Daniel Costa","https://s.glbimg.com/es/sde/f/2016/05/01/2852685afd52f5ee15e93523ef2b5a6f_FORMATO.png",79077,7,"STC","mei","Nulo",1.1,2.62,-0.38,1.1,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"775","Bruno Antonio dos Santos","Bruno Santos","https://s.glbimg.com/es/sde/f/2016/04/29/c90440a9112852ec2d98e4d2186485d3_FORMATO.png",89977,7,"FIG","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"776","Alisson Machado dos Santos","Alisson","https://s.glbimg.com/es/sde/f/2016/04/29/62a319099b372f78878a9b8a178058c5_FORMATO.png",84266,7,"FIG","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"777","Marcos Roberto da Silva Barbosa","Marquinhos","https://s.glbimg.com/es/sde/f/2016/04/29/b0d8a0ac72e4282897d8e69e4c670c2b_FORMATO.png",38515,7,"FIG","zag","Nulo",2.2,5.04,0.2,2.93,3,1,2,NA,NA,1,NA,7,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"778","Jadson Alves dos Santos","Jadson","https://s.glbimg.com/es/sde/f/2016/04/26/cf623dc4bea35280a581ad5c0125ba83_FORMATO.png",80129,7,"ATL","mei","Nulo",0,2.94,0,0,1,NA,2,NA,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"779","Marcelo da Conceição Benevenuto Malaquias","Marcelo",NA,95638,7,"BOT","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"780","Marcos Junio Lima dos Santos","Marcos Junior","https://s.glbimg.com/es/sde/f/2016/04/29/05a4d91c1c469c1d8f7bc682c5eb8e11_FORMATO.png",80188,7,"FLU","ata","Provável",10.6,8.15,2.32,2.23,6,1,1,1,2,6,1,7,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
