"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FD","FF","FS","G","I","PE","RB","A","GC","SG","FT","DD","GS","CV","PP","DP"
"46","Jean Raphael Vanderlei Moreira","Jean","https://s.glbimg.com/es/sde/f/2016/05/01/35cbb038a295b3d40644676a8319a4fe_FORMATO.png",62047,10,"PAL","mei","Nulo",2.9,11.12,-1.25,4.47,10,1,13,3,5,4,2,NA,23,18,1,NA,NA,NA,NA,NA,NA,NA,NA
"47","Walter Henrique da Silva","Walter","https://s.glbimg.com/es/sde/f/2016/04/26/a7c5e9f33d2d3830a07c35ba1ce1b902_FORMATO.png",62128,10,"ATL","ata","Provável",-2.3,7.17,-0.52,0.74,10,2,22,7,5,7,1,6,34,3,1,NA,NA,1,NA,NA,NA,NA,NA
"48","Tiago Luis Martins","Tiago Luis","https://s.glbimg.com/es/sde/f/2016/05/09/877fdf56fcc529a0a7169198f7640b51_FORMATO.png",62119,10,"AME","ata","Nulo",0,2.31,0,-0.47,7,2,13,1,5,4,NA,1,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Vanderlei Farias da Silva","Vanderlei","https://s.glbimg.com/es/sde/f/2016/05/01/82e0b04b2f7623a1d61ffaff2e36a59c_FORMATO.png",62121,10,"SAN","gol","Provável",8.2,12.91,0.52,4.41,10,NA,NA,NA,NA,6,NA,NA,3,NA,NA,NA,3,NA,15,9,NA,NA,NA
"50","Wellington Aparecido Martins","Wellington","https://s.glbimg.com/es/sde/f/2016/05/01/a116ae1e36ff02160719ea8f1160f811_FORMATO.png",62129,10,"SAO","mei","Contundido",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","Marcos Rogério Ricci Lopes","Pará","https://s.glbimg.com/es/sde/f/2016/04/20/5d1ebbea8911da836ce3d8d5750ed585_FORMATO.png",62086,10,"FLA","lat","Nulo",0,4.53,0,6,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
"52","Marcelo de Oliveira Santos","Marcelo Oliveira","https://s.glbimg.com/es/sde/f/2016/05/25/3b56f79da2fe44217ad5c0725b96944b_FORMATO.jpeg",62136,10,"ATL","tec","Provável",2.18,11.72,-1.11,3.35,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Nirley da Silva Fonseca","Nirley","https://s.glbimg.com/es/sde/f/2016/04/29/1aa0b74d53267e417eace37b1fdc4cee_FORMATO.png",62971,10,"FIG","zag","Contundido",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","Paulo Henrique Chagas de Lima","Ganso","https://s.glbimg.com/es/sde/f/2016/05/01/09e893a83d0e8dc68f184b293ac1ff81_FORMATO.png",62977,10,"SAO","mei","Provável",-0.3,13.2,-1.55,4.82,6,1,9,2,4,13,1,NA,25,8,2,NA,NA,NA,NA,NA,NA,NA,NA
"55","Werley Ananias da Silva","Werley","https://s.glbimg.com/es/sde/f/2016/06/18/055999c839c184e82c88ca94dce24836_FORMATO.png",62974,10,"FIG","zag","Nulo",0,3.08,0,-0.2,1,NA,NA,NA,NA,2,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56","José Gildeixon Clemente Paiva","Gil","https://s.glbimg.com/es/sde/f/2016/04/27/c0e93b46cd3e426664fd5c4b5a121142_FORMATO.png",63014,10,"CHA","mei","Contundido",0,6.81,0,2.85,4,1,6,NA,3,6,NA,NA,19,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57","Marcos Luis Rocha Aquino","Marcos Rocha","https://s.glbimg.com/es/sde/f/2016/04/26/7cdfd61784080c7797bf6ba0df8f234b_FORMATO.png",63013,10,"ATL","lat","Provável",8.8,18.08,-1.48,4.7,8,2,12,NA,2,16,NA,2,44,22,3,NA,1,NA,NA,NA,1,NA,NA
"58","Willian Roberto Farias","Willian Farias","https://s.glbimg.com/es/sde/f/2016/05/01/fe8756f5b1dadb24e5633729b39e9486_FORMATO.png",63058,10,"VIT","mei","Provável",-1.6,5.31,-0.79,2.33,7,3,11,1,NA,9,NA,NA,22,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Victor Ramos Ferreira","Victor Ramos","https://s.glbimg.com/es/sde/f/2016/05/01/06d629db34ca0a40668781f14aa5528e_FORMATO.jpeg",63000,10,"VIT","zag","Suspenso",-11.2,6.4,-2.39,2.62,10,3,19,2,2,7,1,NA,26,18,1,1,1,NA,NA,NA,NA,NA,NA
"60","Rodolfo Alves de Melo","Rodolfo","https://s.glbimg.com/es/sde/f/2015/10/23/97e9ee07d167a8cad6424c7010f01e76_FORMATO.png",63082,10,"ATL","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","Paulo Marcos de Jesus Ribeiro","Paulão","https://s.glbimg.com/es/sde/f/2016/04/30/f19726285035dfcb3d3052e030335ebd_FORMATO.png",63172,10,"INT","zag","Contundido",0,7.55,0,2.75,8,4,6,1,NA,7,NA,NA,22,8,NA,NA,5,NA,NA,NA,NA,1,NA
"62","William Matheus da Silva","William Matheus","https://s.glbimg.com/es/sde/f/2016/05/30/c305f57716ad3736b7ff1a84ee695ab2_FORMATO.png",62130,10,"FLU","lat","Nulo",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
