"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","CA","FC","FS","PE","RB","SG","FF","DD","GS","FD","G","A","FT","I","PP","CV","GC","DP"
"161","Denis Cesar de Matos","Denis","https://s.glbimg.com/es/sde/f/2016/05/01/9e4d589b32947151072c21d1d5b71747_FORMATO.png",51175,11,"SAO","gol","Provável",-3.3,7.62,-1.52,4.48,10,NA,NA,NA,4,NA,4,NA,16,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Igor Brondani da Luz","Igor ","https://s.glbimg.com/es/sde/f/2016/04/27/9b0dc72678ed3d2a6171a25e0c4728dd_FORMATO.png",87201,11,"CHA","zag","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","Francisco Ítalo Mascena Borges","Ítalo Borges","https://s.glbimg.com/es/sde/f/2016/05/01/8f6a85035f55a16f5af640a40b458af9_FORMATO.png",93733,11,"STC","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Matías Pisano","Pisano","https://s.glbimg.com/es/sde/f/2016/04/29/8007720f25e14fc4faca58ccdf8a89fa_FORMATO.png",93567,11,"CRU","mei","Nulo",0,2.27,0,0.23,3,NA,4,2,9,2,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA
"165","Gervasio Daniel Núñez","Gervasio Núñez","https://s.glbimg.com/es/sde/f/2016/05/20/f3f94ef0c4f0873bd1f6a82953360998_FORMATO.png",93697,11,"BOT","mei","Nulo",-1.5,2.88,-0.8,1.11,7,1,6,8,13,2,NA,4,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA
"166","Eduardo Augusto Baptista Miguel","Eduardo Baptista","https://s.glbimg.com/es/sde/f/2014/03/28/f0f2085b39b5c3d7a804aa369a856fa2_FORMATO.jpeg",87211,11,"PON","tec","Provável",1.97,8.89,0.28,2.28,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Marlon Rodrigues Freitas","Marlon Freitas","https://s.glbimg.com/es/sde/f/2016/04/29/cfce25280f9e71de54a5d5d03d8db439_FORMATO.png",93790,11,"FLU","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Daniel Sampaio Simões","Danielzinho","https://s.glbimg.com/es/sde/f/2016/04/29/8b1e3dc9185048c52bee9ac7faa1d27f_FORMATO.png",93791,11,"FLU","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","Reinaldo Lenis Montes","Lenis","https://s.glbimg.com/es/sde/f/2016/05/01/9159bcd85db743f56cfb40ade72eba88_FORMATO.png",93746,11,"SPO","ata","Nulo",0,5.62,0,0.43,9,NA,4,4,4,2,NA,1,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA
"170","Márcio Almeida de Oliveira","Marcinho","https://s.glbimg.com/es/sde/f/2016/05/20/f750960ead90efa047c243b4b6b090cc_FORMATO.png",93797,11,"BOT","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Lucas Rios Marques","Lucas","https://s.glbimg.com/es/sde/f/2016/05/11/c42be00e62cf171cd7509aeab8ba6d9b_FORMATO.png",50362,11,"CRU","lat","Nulo",0,0.78,0,-1.27,6,1,17,6,19,5,1,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA
"172","Matheus Fernandes de Brito Cabral","Matheus Cabral","https://s.glbimg.com/es/sde/f/2016/04/27/ba9ba2b24a93b55ce1dcd5fe204c4b60_FORMATO.png",93795,11,"BOT","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Rafael Augusto Leite Fachin","Rafael Fachin","https://s.glbimg.com/es/sde/f/2016/05/09/6a8b5fddd514fa4dbc67fcd2c301f4d3_FORMATO.jpeg",93846,11,"COR","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Maicon da Silva Moreira","Maicon","https://s.glbimg.com/es/sde/f/2016/05/01/73eb2f3c2116883ae2fab5c16f675916_FORMATO.png",93804,11,"SPO","lat","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Roger Duarte de Oliveira","Roger","https://s.glbimg.com/es/sde/f/2016/05/09/fa348aaee3689338060f59ba8b89de3f_FORMATO.png",93883,11,"AME","zag","Nulo",0,1.2,0,0.8,2,1,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Cleiton Schwengber","Cleiton","https://s.glbimg.com/es/sde/f/2016/05/09/5478d297b25b3631c3664a8e03e2cd38_FORMATO.png",93882,11,"ATL","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Maktom Chaidey Da Costa","Maktom","https://s.glbimg.com/es/sde/f/2016/05/09/de77428ca6af20063a4ea49e1cd1ec14_FORMATO.png",93885,11,"AME","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
