"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","A","CA","FC","FF","FS","I","PE","RB","FD","FT","G","DD","GS","SG","CV","GC","PP","DP"
"597","Iago Ângelo Dias","Iago","https://s.glbimg.com/es/sde/f/2016/07/08/2e85b7ebd77a08a7b2652294f4b38b7c_FORMATO.png",88417,14,"COR","ata","Contundido",0,2,0,0.83,3,NA,NA,1,1,3,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"598","Luiz Carlos Oliveira Bitencourt","Luiz Carlos ","https://s.glbimg.com/es/sde/f/2016/05/01/094cd9a92291d9b827dcfe88c0efccb6_FORMATO.png",88430,14,"SPO","gol","Contundido",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599","Judivan Flor da Silva","Judivan ","https://s.glbimg.com/es/sde/f/2016/04/29/84cf16c68adf0de130d3dd9fc83f017e_FORMATO.png",89190,14,"CRU","ata","Contundido",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"600","João Pedro dos Santos","João Pedro ","https://s.glbimg.com/es/sde/f/2016/05/01/c96d48d7d4b10e94a0eb9aebcd00a649_FORMATO.png",89273,14,"PAL","lat","Nulo",0,3.93,0,3.8,1,NA,NA,6,NA,2,NA,3,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"601","Hugo Ragelli Oliveira Andrade","Hugo Ragelli","https://s.glbimg.com/es/sde/f/2014/10/14/b4ccb45b85f5ad13cada4d8f29cfabec_FORMATO.jpeg",89444,14,"CRU","ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"602","Iago Justen Maidana Martins","Iago Maidana","https://s.glbimg.com/es/sde/f/2016/05/01/b7a6ac34682337402608ab557eddce32_FORMATO.jpeg",89226,14,"SAO","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"603","Gerson Santos da Silva","Gerson","https://s.glbimg.com/es/sde/f/2016/04/29/088b79b7619def72d9874f35da2ca1da_FORMATO.png",89256,14,"FLU","mei","Nulo",0,10.52,0,2.05,2,NA,NA,2,NA,4,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"604","Ânderson Balbino Assis","Balbino","https://s.glbimg.com/es/sde/f/2016/04/30/aa305ef16d18275ce438c74c73d54e15_FORMATO.png",89227,14,"GRE","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"605","Willian de Asevedo Furtado","William","https://s.glbimg.com/es/sde/f/2016/04/30/75e4a80e8152cf2e721dea24b7b7b180_FORMATO.png",89275,14,"INT","lat","Provável",1.2,14.17,-0.57,4.62,14,3,2,28,4,16,2,62,28,4,NA,NA,NA,NA,5,NA,NA,NA,NA
"606","Daniel Miller Tenenbaum","Daniel","https://s.glbimg.com/es/sde/f/2016/04/20/6b655cea1f7829b459eff3efa45034cf_FORMATO.png",89258,14,"FLA","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"607","Dioclécio Horácio da Silva","Horácio","https://s.glbimg.com/es/sde/f/2016/07/12/a9421376264c02f66cfdfc8726e25b23_FORMATO.png",89466,14,"SPO","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"608","Guilherme Gianotti Morassi","Guilherme Morassi","https://s.glbimg.com/es/sde/f/2016/07/06/2b8ab58b9967522c8b927c30e53414e6_FORMATO.png",94013,14,"FIG","lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"609","Saulo Ferreira Silva Nascimento","Saulo","https://s.glbimg.com/es/sde/f/2016/05/20/7a75a68437642ef0fde4ef9bc5a2f571_FORMATO.png",89492,14,"BOT","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"610","Andrei Alba","Andrei","https://s.glbimg.com/es/sde/f/2016/04/27/2596d4746edbed226b3597a2391f7c23_FORMATO.png",94004,14,"CHA","mei","Nulo",0,2.07,0,-0.9,1,NA,NA,1,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"611","Matheus de Sales Cabral","Matheus Sales","https://s.glbimg.com/es/sde/f/2016/05/01/472f14cf9165dd0469cf6e9346dd669f_FORMATO.png",89285,14,"PAL","mei","Nulo",0.6,4.18,0.12,0.83,9,NA,2,17,5,11,NA,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"612","Felipe dos Reis Pereira Vizeu do Carmo","Felipe Vizeu","https://s.glbimg.com/es/sde/f/2016/04/20/f969d90dae6aa636d5e07326a7cb3c9c_FORMATO.png",94138,14,"FLA","ata","Nulo",18,9.02,3.12,4.55,9,NA,NA,11,5,11,2,11,4,3,NA,4,NA,NA,NA,NA,NA,NA,NA
"613","Lucas Ribamar Lopes dos Santos Bibiano","Ribamar","https://s.glbimg.com/es/sde/f/2016/05/20/c2b2ff7808695647ee0d6a0124a9df42_FORMATO.png",94068,14,"BOT","ata","Nulo",0,6.28,0,1.22,12,NA,1,12,4,14,10,12,5,5,NA,1,NA,NA,NA,NA,NA,NA,NA
"614","Diego Gomes dos Santos","Diego Gomes","https://s.glbimg.com/es/sde/f/2016/05/01/f392eee84b1739e345e9b45a514b398e_FORMATO.jpeg",94045,14,"SAN","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"615","John Victor Maciel Furtado","John Victor","https://s.glbimg.com/es/sde/f/2016/05/01/c1b4a2668433c14055e715bd223d2ced_FORMATO.png",94044,14,"SAN","gol","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616","Lucas Ferreira Amaral","Lucas Ferreira","https://s.glbimg.com/es/sde/f/2016/05/01/a38c7b2a46cf04e24085ad1f45ce78bc_FORMATO.png",94147,14,"SPO","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"617","Wanderson de Jesus Martins","Caju","https://s.glbimg.com/es/sde/f/2016/05/01/54af0c3c3d1522543c64c18ca5a50a22_FORMATO.png",89342,14,"SAN","lat","Nulo",0,5.19,0,7.7,2,NA,NA,1,NA,NA,NA,3,4,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"618","Gustavo Henrique Ferrareis","Gustavo Ferrareis","https://s.glbimg.com/es/sde/f/2016/05/30/581e9d6f1052ed1c3bc00c0fb1bab53a_FORMATO.png",89815,14,"INT","mei","Provável",-3.1,2.18,-0.82,0.59,12,1,2,20,5,10,2,19,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","Williams da Luz","Williams","https://s.glbimg.com/es/sde/f/2016/01/14/e7f0433ec3cfaf99844f48f07a15e886_FORMATO.jpeg",89640,14,"STC","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620","Maycon de Andrade Barberan","Maycon","https://s.glbimg.com/es/sde/f/2016/07/14/4a1f731527e5990caa3c06300b4ee44b_FORMATO.png",94154,14,"PON","mei","Nulo",0,3.71,0,0.7,2,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"621","Danny Bittencourt Morais","Danny Morais","https://s.glbimg.com/es/sde/f/2016/05/01/d58fc02548731386b20009a3a1d294ef_FORMATO.png",42247,14,"STC","zag","Provável",3.4,1.54,0.64,0.37,14,NA,1,13,1,5,2,29,6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA
"622","Luiz Miller dos Santos Silva","Luiz Miller","https://s.glbimg.com/es/sde/f/2016/05/01/07a0c81156c35ffc3aa26adc06a9a5e2_FORMATO.png",94143,14,"STC","gol","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623","Marcelo Grohe","Marcelo Grohe","https://s.glbimg.com/es/sde/f/2016/04/30/24c6dcd5d18502d7d51725cc7c39f9d2_FORMATO.png",37770,14,"GRE","gol","Provável",-1.5,10.92,-0.81,3.45,11,NA,2,NA,NA,2,NA,7,NA,NA,NA,NA,11,10,6,NA,NA,NA,NA
"624","Marcos Venâncio de Albuquerque","Ceará","https://s.glbimg.com/es/sde/f/2016/07/07/95225c9c5fb74d165133768a0c788621_FORMATO.png",37790,14,"COR","lat","Provável",6.8,6.65,0.44,2.97,3,NA,NA,NA,NA,4,NA,5,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"625","Leonan José Valandro Gomes","Leonan","https://s.glbimg.com/es/sde/f/2016/05/13/7f3dfc1be15fa33f2fe0215c195e6d80_FORMATO.png",89693,14,"ATL","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"626","Jonathan Calleri","Calleri","https://s.glbimg.com/es/sde/f/2016/05/04/765865175e180ab807fb3efa2cc5f005_FORMATO.png",89840,14,"SAO","ata","Nulo",0,16.66,0,2.64,5,NA,3,12,3,7,2,7,1,2,NA,3,NA,NA,NA,1,NA,NA,NA
"627","Nickson Gabriel Reis Silva","Nickson","https://s.glbimg.com/es/sde/f/2016/05/01/5dcd9e4c4a3b82146f0ae4159ac3f73c_FORMATO.png",89676,14,"VIT","ata","Provável",2.4,2.77,-1.01,6.5,2,NA,1,4,NA,3,NA,1,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"628","Edimo Ferreira Campos","Edinho","https://s.glbimg.com/es/sde/f/2016/07/07/b6a64e9dceecd9ffec83258abb8067f4_FORMATO.png",37792,14,"COR","mei","Dúvida",0,3.15,0,1.66,8,1,3,20,5,9,NA,17,12,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629","Wildson Silva de Melo","Índio",NA,95180,14,"SPO","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"630","Guilherme Augusto Vieira dos Santos","Guilherme","https://s.glbimg.com/es/sde/f/2016/06/28/7bfdbbebd2d56007229af4020f050265_FORMATO.jpeg",94207,14,"GRE","ata","Nulo",0,1.57,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"631","Thiago Maia Alencar","Thiago Maia","https://s.glbimg.com/es/sde/f/2016/05/01/1b2976ce2cacc26f8141ace470b05928_FORMATO.png",89637,14,"SAN","mei","Provável",-1.6,4.31,-0.27,1.33,14,1,1,21,3,13,3,61,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"632","Leonardo Campos Duarte da Silva","Léo Duarte","https://s.glbimg.com/es/sde/f/2016/04/20/077473a4e168ab2b7fa9048b8d76a73a_FORMATO.png",94214,14,"FLA","zag","Nulo",0,8,0,2.28,7,NA,2,4,NA,4,1,8,7,1,NA,NA,NA,NA,2,NA,NA,NA,NA
"633","Guilherme Natan de Lima","Lima","https://s.glbimg.com/es/sde/f/2016/04/27/059a0e58f2adc09337048722ca4f5ae4_FORMATO.png",94288,14,"CHA","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"634","Rafael Augusto Sobis do Nascimento","Rafael Sobis","https://s.glbimg.com/es/sde/f/2016/07/06/9f448978203e98dc8d4f57f547ed8a44_FORMATO.png",37798,14,"CRU","ata","Provável",4.3,13.13,-0.87,4.3,1,NA,NA,NA,1,NA,1,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"635","Marcelo Boeck","Marcelo Boeck","https://s.glbimg.com/es/sde/f/2016/04/27/b9625b133d8e576300589a4318722188_FORMATO.png",37788,14,"CHA","gol","Provável",7.7,2.72,1.93,0.23,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,7,NA,NA,NA,NA,NA
"636","Pedro Henrique Perotti","Perotti","https://s.glbimg.com/es/sde/f/2016/04/27/bdfa01266c1db8f51c4a40573c5ea27a_FORMATO.png",94286,14,"CHA","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"637","Maicosuel Reginaldo de Matos","Maicosuel","https://s.glbimg.com/es/sde/f/2016/07/07/59e04fe0887237e428903b15b4519ccd_FORMATO.png",37851,14,"ATL","mei","Provável",0.9,6.76,-1.24,0.9,1,NA,NA,2,NA,1,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"638","Thallyson Gabriel Lobo Seabra","Thallyson",NA,94144,14,"SPO","ata","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639","Edimar Ribeiro da Costa Júnior","Juninho","https://s.glbimg.com/es/sde/f/2016/05/01/3702c1c16aa8563dfc0d7e4f3399cadd_FORMATO.png",94445,14,"SPO","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"640","Cristian Martins Cabral","Cristian","https://s.glbimg.com/es/sde/f/2016/05/01/faa6415e93854cb938cf48c3b0cdef46_FORMATO.png",37837,14,"PON","mei","Nulo",0,4.05,0,0.34,9,NA,2,8,2,8,NA,13,3,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"641","Lourency do Nascimento Rodrigues","Lourency","https://s.glbimg.com/es/sde/f/2016/04/27/3a84257ee84604c2cff291c1b066a26b_FORMATO.png",94249,14,"CHA","ata","Nulo",0,1.07,0,0.07,3,NA,NA,3,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"642","Danilo Leandro Dias","Danilo Dias",NA,37894,14,"AME","ata","Provável",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"643","Elano Blumer","Elano","https://s.glbimg.com/es/sde/f/2016/05/01/c5eac32204a0124e851be34b9419f9db_FORMATO.png",37917,14,"SAN","mei","Nulo",0,6.46,0,-0.4,2,NA,NA,3,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644","Iago Sampaio Silva","Iago","https://s.glbimg.com/es/sde/f/2016/04/27/150290301c0430d874cbf7cea57b3cf8_FORMATO.jpeg",94228,14,"GRE","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645","Cleber Santana Loureiro","Cleber Santana","https://s.glbimg.com/es/sde/f/2016/04/27/c3966e4c695292b7e3a189109ef1b5a2_FORMATO.png",38032,14,"CHA","mei","Provável",2.1,4.39,-0.33,1.38,13,1,4,20,4,16,NA,37,16,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"646","Wendel Geraldo Maurício e Silva","Wendel","https://s.glbimg.com/es/sde/f/2016/07/13/418cbe11ebed1298c1077cb200a3f624_FORMATO.png",38021,14,"PON","mei","Provável",0,6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647","Humberlito Borges Teixeira","Borges","https://s.glbimg.com/es/sde/f/2016/05/03/436a2c59283ae195563be05647dbf600_FORMATO.jpeg",37941,14,"AME","ata","Nulo",3.7,4.38,0.79,1.45,10,NA,1,4,7,7,2,11,2,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"648","Yan Petter Pereira da Silva","Yan Petter","https://s.glbimg.com/es/sde/f/2016/04/30/714802b0dc9274bf50f058fe93821074_FORMATO.png",94722,14,"INT","mei","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"649","Maximiliano Brian Rolón","Maxi Rolón","https://s.glbimg.com/es/sde/f/2016/06/28/b62f57345c57b6539e94e642b8ccf827_FORMATO.jpeg",94649,14,"SAN","ata","Nulo",0,1.76,0,-0.05,2,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"650","Edcarlos Conceição Santos","Edcarlos","https://s.glbimg.com/es/sde/f/2016/05/09/547d01877f79db5b42a3cb3f5e8b7cbe_FORMATO.png",38061,14,"ATL","zag","Nulo",0,9.61,0,3.5,4,NA,1,5,1,5,NA,11,8,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"651","Pedro Guilherme Abreu dos Santos","Pedro","https://s.glbimg.com/es/sde/f/2016/02/15/9014d90f048acbd879798bc652108dd4_FORMATO.jpeg",94583,14,"FLU","ata","Nulo",0,1.05,0,1.2,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652","Raphael Cavalcante Veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2016/07/08/c899d456ca3d2445e9270a005cb3cf6e_FORMATO.png",94509,14,"COR","mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653","José Vinícius do Santos Silva","Vinícius Bala",NA,95181,14,"SPO","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"654","Leonardo Peixoto Principe","Léo Principe","https://s.glbimg.com/es/sde/f/2016/06/28/49dde3fde0a0256f05f9d0bd52eb976c_FORMATO.jpeg",94765,14,"COR","lat","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"655","Danilo Gabriel de Andrade","Danilo","https://s.glbimg.com/es/sde/f/2016/04/28/1dc0f8069c06483703657ee804569648_FORMATO.png",38067,14,"COR","mei","Dúvida",2.1,7.13,-0.3,0.73,3,NA,NA,3,NA,3,NA,5,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"656","Diego Alfredo Lugano Moreno","Lugano","https://s.glbimg.com/es/sde/f/2016/05/01/08944541062646b222c15154448a4d88_FORMATO.png",38062,14,"SAO","zag","Nulo",0,11.34,0,3.02,9,NA,3,9,2,3,3,22,7,NA,NA,2,NA,NA,4,1,NA,NA,NA
"657","Frederico Chaves Guedes","Fred","https://s.glbimg.com/es/sde/f/2016/06/17/9b0b5790f058efc782c5b548946075bf_FORMATO.png",38162,14,"ATL","ata","Provável",0,18.89,0,4.44,13,2,2,28,12,30,7,36,5,5,NA,6,NA,NA,NA,1,NA,NA,NA
"658","Jefferson de Oliveira Galvão","Jefferson","https://s.glbimg.com/es/sde/f/2016/05/20/27326ea71a4a3d4cde252b5498024a60_FORMATO.png",38109,14,"BOT","gol","Contundido",0,18,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"659","João Victor da Vitória Fernandes","Capixaba","https://s.glbimg.com/es/sde/f/2016/07/07/6d9964a0f815acd56932767b61858c13_FORMATO.png",94894,14,"ATL","ata","Nulo",0,0.77,0,-1.05,2,NA,1,2,NA,4,NA,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"660","Deyvison Rogério da Silva","Bobô","https://s.glbimg.com/es/sde/f/2016/04/30/cc19b73e952917608905af7757b1b398_FORMATO.png",38139,14,"GRE","ata","Nulo",8,5.33,1.55,1.8,9,1,1,5,4,2,2,5,2,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"661","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2016/05/01/1c67e891759a1d905e98b60faab6c0d8_FORMATO.png",37718,14,"PAL","mei","Nulo",-1.4,6.05,-1.95,-1.4,1,NA,1,2,NA,1,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"662","Matheus Sousa de Jesus","Matheus Jesus","https://s.glbimg.com/es/sde/f/2016/05/01/861e63537ee390314861e3d9e8f3e2f6_FORMATO.png",95335,14,"PON","mei","Provável",0,3.34,0,1.24,11,NA,3,17,1,11,NA,21,16,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"663","Fernando Buttenbender Prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2016/05/01/493488441bb751ad5dbdb042a318599f_FORMATO.png",38140,14,"PAL","gol","Provável",-2,13.47,-1.64,2.83,14,NA,1,NA,NA,2,NA,15,NA,NA,NA,NA,16,14,5,NA,NA,NA,NA
"664","Edinaldo Batista Libânio","Grafite","https://s.glbimg.com/es/sde/f/2016/05/01/47f9e9299b1a4fe137e0e39a1f1d5997_FORMATO.png",38230,14,"STC","ata","Provável",0,21.44,0,4.88,12,1,2,38,8,23,13,19,1,6,NA,8,NA,NA,NA,NA,NA,NA,NA
"665","Maicon Thiago Pereira de Souza","Maicon","https://s.glbimg.com/es/sde/f/2016/04/30/27dcb564ab7d595bb92c4d5fe4904a62_FORMATO.png",38196,14,"GRE","mei","Provável",0,7.98,0,2.11,8,1,3,10,NA,13,NA,37,15,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"666","Victor Luiz Prestes Filho","Vitinho","https://s.glbimg.com/es/sde/f/2016/07/13/fec7b396e3ea32757d4728bef42864b5_FORMATO.png",95260,14,"CRU","lat","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"667","Robson de Souza","Robinho","https://s.glbimg.com/es/sde/f/2016/04/26/8e31e8c5b840d14429d5ca4ea7e92d4a_FORMATO.png",38246,14,"ATL","ata","Provável",-3,19.15,-0.99,3.64,10,2,2,15,1,12,8,31,5,4,NA,4,NA,NA,NA,NA,NA,NA,NA
"668","Wellington Pereira do Nascimento","Wellington Paulista","https://s.glbimg.com/es/sde/f/2016/05/01/08df4542784046e1a9a8c28f2c4d7979_FORMATO.png",38279,14,"PON","ata","Nulo",-0.3,4.97,-0.29,0.4,11,NA,3,14,7,10,3,18,2,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"669","Allan Vieira Reis","Allan ","https://s.glbimg.com/es/sde/f/2016/05/01/dfc551b1b4c6fb512cde5bc9b3c1e0b3_FORMATO.png",86779,14,"STC","lat","Contundido",0,2.65,0,0.8,4,NA,NA,7,2,1,NA,18,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"670","Severino dos Ramos Durval da Silva","Durval","https://s.glbimg.com/es/sde/f/2016/05/01/ca4c8f110ce5a6969a820fa3ff17eb5f_FORMATO.png",38100,14,"SPO","zag","Suspenso",-1.7,6.22,-0.41,0.74,14,NA,3,17,NA,6,1,53,16,1,NA,NA,NA,NA,2,NA,NA,NA,NA
"671","Gustavo Marcelo Cardoso Soares","Índio","https://s.glbimg.com/es/sde/f/2016/05/09/2d3e08a6de57469515879fd2d364fa37_FORMATO.jpeg",95315,14,"COR","ata","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"672","Alex Raphael Meschini","Alex","https://s.glbimg.com/es/sde/f/2016/04/30/d4e8412bf508df299340807940cfcb38_FORMATO.png",38219,14,"INT","mei","Nulo",0,4.1,0,1.22,10,2,2,9,6,8,1,15,5,4,NA,NA,NA,NA,NA,1,NA,NA,NA
"673","Roger Rodrigues da Silva","Roger","https://s.glbimg.com/es/sde/f/2016/07/08/38e8f580ae4e3bf9d8a96fb05a05cf25_FORMATO.png",38287,14,"PON","ata","Nulo",5.5,5.81,0.89,1.82,9,2,1,6,6,5,6,13,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA
"674","José Welison da Silva","José Welison","https://s.glbimg.com/es/sde/f/2016/05/01/dbe064845aafa85bf15a1ca5262c97b9_FORMATO.png",86859,14,"VIT","mei","Nulo",0,0.96,0,-0.22,4,NA,1,2,2,4,NA,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"675","Luís Vinícius da Silva Matos","Vinicius","https://s.glbimg.com/es/sde/f/2016/05/01/ab01678926fd95682bf892aaa54316e9_FORMATO.png",86861,14,"VIT","zag","Contundido",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"676","Raniel Santana de Vasconcelos","Raniel","https://s.glbimg.com/es/sde/f/2016/06/18/20af893931cbb5cdd670f007ace7065d_FORMATO.png",86797,14,"CRU","mei","Nulo",0,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"677","Thiago Heleno Henrique Ferreira","Thiago Heleno","https://s.glbimg.com/es/sde/f/2016/05/03/46f4db4d7b5db064ec7c2460f02a5b99_FORMATO.png",38394,14,"ATL","zag","Provável",0,8.2,0,2.99,12,NA,1,8,4,7,NA,32,6,2,NA,1,NA,NA,5,NA,NA,NA,NA
"678","Emerson Raymundo Santos","Emerson Santos","https://s.glbimg.com/es/sde/f/2016/05/20/7743ec4420461e770a65425100024972_FORMATO.png",86972,14,"BOT","zag","Provável",6,5.92,-0.09,3.57,7,NA,NA,3,4,5,NA,14,12,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
"679","Fábio Santos Romeu","Fábio Santos","https://s.glbimg.com/es/sde/f/2016/07/07/4a75d0c2bc8cc75be5d9e1085a0d5f95_FORMATO.png",38229,14,"ATL","lat","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680","Fernando Leal Fonseca","Fernando Leal","https://s.glbimg.com/es/sde/f/2016/05/09/b4d5d9d8070f8826d346104d0f83e14a_FORMATO.png",38350,14,"AME","gol","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681","Rafael da Silva Francisco","Rafinha","https://s.glbimg.com/es/sde/f/2016/07/13/b976295943670eb1a5e506d9381bc658_FORMATO.png",38421,14,"CRU","mei","Nulo",0,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"682","Márcio Rodrigues Araújo","Márcio Araújo","https://s.glbimg.com/es/sde/f/2016/04/20/a9fe945df23da97fd8ba3c0574058bbf_FORMATO.png",38311,14,"FLA","mei","Provável",5.9,10.3,0.76,3.59,13,NA,1,15,1,17,NA,28,32,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"683","Rodrigo Vasconcelos Oliveira","Rodrigo","https://s.glbimg.com/es/sde/f/2016/05/01/0f8beb8328a953a76f62128657f0c463_FORMATO.png",86935,14,"PAL","mei","Nulo",0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
