"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","A","CA","FC","FF","FS","I","PE","RB","FD","FT","G","DD","GS","SG","CV","GC","PP","DP"
"430","Werley Ananias da Silva","Werley","https://s.glbimg.com/es/sde/f/2016/07/12/8636cc2b90cc91e5c3adcb37365fbe7e_FORMATO.png",62974,14,"FIG","zag","Provável",5.1,3.78,1.17,1.27,3,NA,1,NA,NA,3,NA,6,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Paulo Henrique Chagas de Lima","Ganso","https://s.glbimg.com/es/sde/f/2016/05/01/09e893a83d0e8dc68f184b293ac1ff81_FORMATO.png",62977,14,"SAO","mei","Contundido",0,12.9,0,4.26,7,2,2,9,4,14,NA,26,9,3,NA,1,NA,NA,NA,NA,NA,NA,NA
"432","Victor Ramos Ferreira","Victor Ramos","https://s.glbimg.com/es/sde/f/2016/07/12/1b4b7007c63127dcc555c3aefa334731_FORMATO.png",63000,14,"VIT","zag","Provável",5.7,9.1,0.85,3.1,13,1,4,25,3,9,NA,31,25,4,NA,1,NA,NA,2,NA,1,NA,NA
"433","Matheus dos Santos Batista","Batista","https://s.glbimg.com/es/sde/f/2016/04/30/89e0d630df160e2b31dc716d1ffa3c2d_FORMATO.png",92504,14,"GRE","ata","Nulo",0,1.02,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Lucas Lovat","Lucas Lovat","https://s.glbimg.com/es/sde/f/2015/10/28/e97fac1629b8f139237262738c2e9dcd_FORMATO.jpeg",92501,14,"GRE","lat","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Oswaldo José Henríquez Bocanegra","Oswaldo Henríquez","https://s.glbimg.com/es/sde/f/2016/05/01/49c33afe8104b8c052fd2c593fca02e5_FORMATO.png",81241,14,"SPO","zag","Contundido",0,5.58,0,0.57,3,NA,NA,8,NA,2,NA,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","Marcos Luis Rocha Aquino","Marcos Rocha","https://s.glbimg.com/es/sde/f/2016/04/26/7cdfd61784080c7797bf6ba0df8f234b_FORMATO.png",63013,14,"ATL","lat","Contundido",3.6,17.88,0,5.45,11,3,3,15,3,22,2,55,34,NA,NA,NA,NA,NA,2,1,NA,NA,NA
"437","Eriks de Souza Santos Pereira","Eriks","https://s.glbimg.com/es/sde/f/2015/05/29/5e6791e87bdd3d77ac02e6c9a2114272_FORMATO.jpeg",91946,14,"INT","zag","Nulo",0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Leandro Alves de Carvalho","Leandrinho","https://s.glbimg.com/es/sde/f/2016/05/20/5f4b91fa5fbbd56dc1f2fe3f094cbb22_FORMATO.png",89885,14,"BOT","mei","Contundido",1.2,3.5,-0.93,2.41,9,NA,2,13,6,17,1,34,13,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"439","Gabriel Pereira da Silva","Gabriel","https://s.glbimg.com/es/sde/f/2016/05/01/0af286aa902954239098c9fb8e79b885_FORMATO.png",91950,14,"VIT","mei","Nulo",0,3.03,0,3.1,1,NA,NA,1,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
