"","atletas.nome","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","FS","PE","DD","GS","SG","FC","FD","FF","FT","G","I","CA","RB","A","CV","GC","PP","DP"
"37","Cícero Santos","Cícero","https://s.glbimg.com/es/sde/f/2016/04/29/e356e8f08f83d738804569dcdf24662b_FORMATO.png",37688,4,266,"mei","Provável",2.9,8.59,0.14,1.53,4,10,19,NA,NA,NA,9,1,4,NA,NA,2,NA,5,NA,NA,NA,NA,NA
"38","Lucas Pierre Santos Oliveira","Pierre","https://s.glbimg.com/es/sde/f/2016/04/29/ec27531ace1e093fa1db50938eb9132b_FORMATO.png",38440,4,266,"mei","Contundido",6,9.9,0.81,4.1,3,3,5,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA
"39","Lauro Júnior Batista da Cruz","Lauro","https://s.glbimg.com/es/sde/f/2016/05/09/249e731821db5544fc0c4fb41a95db56_FORMATO.jpeg",37659,4,282,"gol","Nulo",0,4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Alecsandro Barbosa Felisbino","Alecsandro","https://s.glbimg.com/es/sde/f/2016/05/30/1c83a2b2521974f5bd8599c7f316093a_FORMATO.png",37673,4,275,"ata","Provável",-0.5,8.04,-1.58,1.85,4,2,6,NA,NA,NA,7,3,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"41","Henrique Pacheco de Lima","Henrique","https://s.glbimg.com/es/sde/f/2016/04/29/3ee91a269e77c0defb08f1fee38c0aff_FORMATO.png",37694,4,283,"mei","Provável",7.9,8.76,1.82,3.77,4,9,13,NA,NA,NA,3,1,NA,NA,NA,NA,1,10,NA,NA,NA,NA,NA
"42","Leonardo da Silva Moura","Léo Moura","https://s.glbimg.com/es/sde/f/2016/05/01/25183d41515e2ce759f2ba9f81973c85_FORMATO.jpeg",37701,4,344,"lat","Provável",4.1,7.83,0.3,3.9,3,1,5,NA,NA,NA,3,1,NA,NA,NA,NA,1,6,1,NA,NA,NA,NA
"43","Juan Maldonado Jaimez Júnior","Juan","https://s.glbimg.com/es/sde/f/2016/04/28/73fd5c42810ee2f6303956f06682f35e_FORMATO.png",37705,4,294,"mei","Provável",4.7,15.34,-0.69,7.6,2,7,9,NA,NA,NA,2,1,2,NA,NA,1,NA,5,1,NA,NA,NA,NA
"44","Carlos Andrade Souza","Carlinhos","https://s.glbimg.com/es/sde/f/2016/05/01/d446f5335ee4582353eb54aec7443ad2_FORMATO.png",38451,4,276,"lat","Contundido",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Marcos Arouca da Silva","Arouca","https://s.glbimg.com/es/sde/f/2016/05/01/1c67e891759a1d905e98b60faab6c0d8_FORMATO.png",37718,4,275,"mei","Nulo",0,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Luis Ricardo Silva Umbelino","Luis Ricardo","https://s.glbimg.com/es/sde/f/2016/05/20/f1f631c4c995df1548717967d445801f_FORMATO.png",55348,4,263,"lat","Provável",4.4,7.44,0.54,3.3,4,1,13,NA,NA,NA,1,2,NA,1,NA,NA,1,8,NA,NA,NA,NA,NA
"47","Marcos Roberto da Silva Barbosa","Marquinhos","https://s.glbimg.com/es/sde/f/2016/04/29/b0d8a0ac72e4282897d8e69e4c670c2b_FORMATO.png",38515,4,316,"zag","Dúvida",0,5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
