,atletas.pontos_num,atletas.preco_num,atletas.status_id,atletas.rodada_id,atletas.entrou_em_campo,atletas.variacao_num,atletas.jogos_num,atletas.clube_id,atletas.atleta_id,atletas.apelido_abreviado,atletas.slug,atletas.nome,atletas.clube.id.full.name,atletas.posicao_id,atletas.apelido,atletas.media_num,atletas.foto,atletas.minimo_para_valorizar,A,CA,DS,FC,FD,FF,FS,FT,G,I,CV,PS,DE,GS,SG,PP,PC,DP,V,GC
62,11.3,9.85,7,24,True,1.65,7,275,70592,F. Anderson,felipe-anderson,Felipe Anderson Pereira Gomes,Palmeiras,4,Felipe Anderson,4.79,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,,,,16.0,5.0,1.0,2.0,4.0,1.0,1.0,,,,,,,,,,,
63,1.7,4.14,7,24,True,-0.44,18,1371,70666,Marllon,marllon,Marllon Gonçalves Jerônimo Borges,Cuiabá,3,Marllon,2.76,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,,,2.0,21.0,12.0,2.0,4.0,7.0,1.0,1.0,,,1.0,,,2.0,,1.0,,,
64,1.2,10.75,7,24,True,-0.77,6,285,70788,E. Valencia,enner-valencia,Enner Remberto Valencia Lastra,Internacional,5,Enner Valencia,2.97,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,,,,4.0,4.0,3.0,4.0,9.0,1.0,,1.0,,,,,,,,,,
65,0.0,3.33,5,24,False,0.0,15,266,70916,D. Barbosa,diogo-barbosa,Diogo Barbosa Mendanha,Fluminense,2,Diogo Barbosa,2.15,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,,,5.0,12.0,11.0,,1.0,11.0,,,,,,,,4.0,,,,,
66,0.5,5.51,7,24,True,-0.17,19,285,70944,B. Henrique,bruno-henrique,Bruno Henrique Corsini,Internacional,4,Bruno Henrique,3.12,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,,1.0,3.0,22.0,34.0,6.0,10.0,14.0,1.0,2.0,1.0,,,,,,,,,,
67,0.0,7.55,7,24,False,0.0,14,286,70958,J. Carlos,jean-carlos,Jean Carlos Vicente,Juventude,4,Jean Carlos,3.83,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,,1.0,2.0,6.0,10.0,4.0,9.0,5.0,,4.0,1.0,,,,,,,,,,
68,3.4,5.97,7,24,True,0.27,10,267,70984,Payet,payet,Florent Dimitri Payet,Vasco,4,Payet,2.98,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,,2.0,,9.0,7.0,1.0,2.0,11.0,1.0,,2.0,,,,,,,,,,
69,0.0,4.73,6,24,False,0.0,9,373,71038,P. Henrique,pedro-henrique,Pedro Henrique Pereira da Silva,Atlético-GO,3,Pedro Henrique,3.02,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,,,3.0,11.0,8.0,2.0,,4.0,,,,,,,,3.0,,,,,
70,1.2,4.01,7,24,True,-0.03,21,267,71227,Maicon,maicon,Maicon Pereira Roque,Vasco,3,Maicon,2.36,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,,,3.0,14.0,9.0,1.0,1.0,7.0,,1.0,1.0,,,,,5.0,,,,,
71,0.5,4.57,7,24,True,0.02,16,276,71536,L. Gustavo,luiz-gustavo,Luiz Gustavo Dias,São Paulo,4,Luiz Gustavo,2.53,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,,,3.0,22.0,21.0,7.0,7.0,13.0,1.0,,,,,,,,,,,,
72,8.0,10.79,7,24,True,0.8,23,275,71631,Weverton,weverton,Weverton Pereira da Silva,Palmeiras,1,Weverton,5.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,,1.0,1.0,1.0,,,,4.0,,,,,,75.0,17.0,10.0,,,,,
73,0.0,6.03,6,24,False,0.0,9,287,71680,R. Cáceres,raul-caceres,Raúl Alejandro Cáceres Bogado,Vitória,2,Raúl Cáceres,3.48,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,,1.0,,14.0,8.0,,,4.0,,,1.0,,,,,2.0,,,,,
74,0.0,8.0,7,24,False,0.0,14,275,71684,G. Gómez,gustavo-gomez,Gustavo Raúl Gómez Portillo,Palmeiras,3,Gustavo Gómez,3.67,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,,2.0,6.0,13.0,28.0,1.0,7.0,10.0,,1.0,6.0,,,,,5.0,,1.0,,,1.0
75,7.9,6.32,7,24,True,0.67,12,265,71701,S. Arias,santiago-arias,Santiago Arias Naranjo,Bahia,2,Santiago Arias,3.45,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,,,2.0,10.0,14.0,2.0,2.0,14.0,,,3.0,,,,,5.0,,,,,
76,0.0,5.14,6,24,False,0.0,5,266,71898,G. Pires,gabriel-pires,Gabriel Appelt Pires,Fluminense,4,Gabriel Pires,3.48,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,,,1.0,13.0,8.0,1.0,2.0,5.0,,,1.0,,,,,,,,,,
77,3.0,8.12,7,24,True,-0.08,12,282,72294,Everson,everson,Everson Felipe Marques Pires,Atlético-MG,1,Everson,2.7,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,,,3.0,,,,,3.0,,,,,,27.0,13.0,4.0,,,,,
78,0.0,5.0,6,24,False,0.0,0,266,72372,F. Alves,felipe-alves,Felipe Alves Raymundo,Fluminense,1,Felipe Alves,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,,,,,,,,,,,,,,,,,,,,,
79,1.7,6.65,7,24,True,0.03,7,282,72460,Bernard,bernard,Bernard Anício Caldeira Duarte,Atlético-MG,4,Bernard,1.01,https://s.sde.globo.com/media/person_role/2024/07/08/photo_220x220_hLeY8f6.png,,,,6.0,12.0,,2.0,4.0,,,1.0,,,,,,,,,,
80,0.0,4.5,6,24,False,0.0,1,373,72497,G. Campanharo,gustavo-campanharo,Gustavo Campanharo,Atlético-GO,4,Gustavo Campanharo,0.0,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,,,,,,,,,,,,,,,,,,,,,
81,0.0,4.91,7,24,False,0.0,18,373,72532,Maguinho,maguinho,Magno José da Silva,Atlético-GO,2,Maguinho,2.44,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,,1.0,2.0,20.0,20.0,2.0,6.0,10.0,,,1.0,1.0,1.0,,,3.0,,2.0,,,
82,0.0,4.75,6,24,False,0.0,10,264,72583,P. Henrique,pedro-henrique,Pedro Henrique Konzen Medina da Silva,Corinthians,5,Pedro Henrique,2.66,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,,1.0,1.0,4.0,6.0,2.0,7.0,8.0,,1.0,4.0,,,,,,,,,,
