,atletas.clube.id.full.name,atletas.nome,atletas.pontos_num,atletas.apelido_abreviado,atletas.status_id,atletas.minimo_para_valorizar,atletas.media_num,atletas.clube_id,atletas.atleta_id,atletas.posicao_id,atletas.entrou_em_campo,atletas.foto,atletas.rodada_id,atletas.jogos_num,atletas.preco_num,atletas.apelido,atletas.slug,atletas.variacao_num,DS,FC,FF,FS,SG,FT,G,I,A,CA,FD,DE,CV,GS,PP,PS,PC,V,DP,GC
46,Vitória,Muriel Gustavo Becker,0.0,Muriel,6,,0.0,287,69041,1,False,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,5,0,4.0,Muriel,muriel,0.0,,,,,,,,,,,,,,,,,,,,
47,Bahia,Danilo Fernandes Batista,0.0,D. Fernandes,6,,0.0,265,69051,1,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,5,0,4.0,Danilo Fernandes,danilo-fernandes,0.0,,,,,,,,,,,,,,,,,,,,
48,São Paulo,James David Rodríguez Rubio,0.0,J. Rodríguez,6,,-0.05,276,69063,4,False,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,5,2,4.84,James Rodríguez,james-rodriguez,0.0,,,,,,,,1.0,,,,,,,,,,,,
49,Atlético-MG,Eduardo Jesús Vargas Rojas,15.9,Vargas,6,,6.42,282,69102,5,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,5,5,7.63,Vargas,vargas,2.04,2.0,1.0,3.0,3.0,,,3.0,1.0,,,1.0,,,,,1.0,,,,
50,Athlético-PR,Pablo Felipe Teixeira,3.8,Pablo,7,,4.08,293,69138,5,True,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,5,4,7.7,Pablo,pablo,0.08,2.0,3.0,2.0,2.0,,1.0,1.0,,,,1.0,,,,,,,,,
51,Botafogo,Pablo Nascimento Castro,0.0,Pablo,6,,0.0,263,69165,3,False,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,5,1,3.22,Pablo,pablo,0.0,,,,,,,,,,,,,,,,,,,,
52,Internacional,Charles Mariano Aránguiz Sandoval,0.0,Aránguiz,5,,0.0,285,69325,4,False,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,5,0,7.0,Aránguiz,aranguiz,0.0,,,,,,,,,,,,,,,,,,,,
53,Vasco,Gary Alexis Medel Soto,0.0,Medel,6,,-0.3,267,69355,3,False,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_6uzylAN.png,5,2,3.96,Medel,medel,0.0,,2.0,,,,,,,,,,,,,,,,,,
54,Grêmio,João Pedro Geraldino dos Santos Galvão,0.0,J. Galvão,7,,1.2,284,69686,5,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,5,4,3.56,João Pedro Galvão,joao-pedro-galvao,0.0,2.0,6.0,1.0,4.0,,,,,,1.0,2.0,,,,,,,,,
55,Athlético-PR,Maycon Vinícius Ferreira da Cruz,6.4,Nikão,6,,8.5,293,69705,4,True,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,5,2,10.65,Nikão,nikao,1.99,3.0,1.0,3.0,2.0,,,1.0,1.0,,,2.0,,,,,,,,,
