,atletas.posicao_id,atletas.slug,atletas.atleta_id,atletas.preco_num,atletas.foto,atletas.minimo_para_valorizar,atletas.clube.id.full.name,atletas.media_num,atletas.entrou_em_campo,atletas.apelido_abreviado,atletas.status_id,atletas.pontos_num,atletas.nome,atletas.variacao_num,atletas.rodada_id,atletas.jogos_num,atletas.apelido,atletas.clube_id,A,DS,FC,FD,FS,FT,V,CA,CV,FF,G,I,SG,DE,GS,PP,PS,PC,GC,DP
40,5,dudu,68920,6.52,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,,Palmeiras,1.48,True,Dudu,6,-0.3,Eduardo Pereira Rodrigues,-1.3,17,5,Dudu,275,,2.0,2.0,3.0,4.0,,,,,,,,,,,,,,,
41,1,rafael,68928,7.73,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,,São Paulo,3.44,True,Rafael,7,9.0,Rafael Pires Monteiro,1.23,17,9,Rafael,276,,,,,,,,1.0,,,,,4.0,20.0,8.0,,,,,
42,1,rafael-cabral,68940,5.21,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,,Grêmio,0.75,False,R. Cabral,6,0.0,Rafael Cabral Barbosa,0.0,17,4,Rafael Cabral,284,,,,,,,,,,,,,,11.0,8.0,,,,,
43,5,marinho,68952,4.89,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,,Fortaleza,2.4,True,Marinho,6,4.4,Mário Sérgio Santos Costa,0.45,17,8,Marinho,356,,5.0,9.0,3.0,13.0,,,1.0,,9.0,,4.0,,,,,,,,
44,4,marquinhos-gabriel,68954,3.09,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,,Criciúma,0.98,False,M. Gabriel,6,0.0,Marcos Gabriel do Nascimento,0.0,17,11,Marquinhos Gabriel,288,,4.0,5.0,3.0,7.0,,,2.0,,3.0,,,,,,,,,,
45,4,lucas-sasha,68991,4.85,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,,Fortaleza,2.68,True,L. Sasha,6,0.9,Lucas Pacheco Affini,-0.04,17,11,Lucas Sasha,356,,26.0,19.0,1.0,6.0,,,1.0,,1.0,,,,,,,,,,
46,1,santos,69012,8.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,,Fortaleza,0.0,False,Santos,6,0.0,Aderbar Melo dos Santos Neto,0.0,17,0,Santos,356,,,,,,,,,,,,,,,,,,,,
47,3,manoel,69014,2.96,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,,Fluminense,0.25,False,Manoel,6,0.0,Manoel Messias Silva Carvalho,0.0,17,6,Manoel,266,,2.0,7.0,1.0,2.0,,,1.0,,,,,,,,,,,,
48,1,muriel,69041,3.54,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,,Vitória,-1.0,False,Muriel,6,0.0,Muriel Gustavo Becker,0.0,17,0,Muriel,287,,,,,,,,1.0,,,,,,,,,,,,
49,1,danilo-fernandes,69051,3.54,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,,Bahia,-1.0,False,D. Fernandes,6,0.0,Danilo Fernandes Batista,0.0,17,0,Danilo Fernandes,265,,,,,,,,1.0,,,,,,,,,,,,
