,atletas.posicao_id,atletas.status_id,atletas.nome,atletas.foto,atletas.media_num,atletas.entrou_em_campo,atletas.jogos_num,atletas.slug,atletas.pontos_num,atletas.apelido,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.atleta_id,atletas.apelido_abreviado,atletas.clube.id.full.name,atletas.rodada_id,atletas.preco_num,atletas.clube_id,CA,DE,DP,GS,PC,SG,DS,FC,FD,FF,FS,FT,G,I,A,CV,PP,PS,GC,V
68,3,5,Pedro Henrique Pereira da Silva,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,2.8,False,6,pedro-henrique,0.0,Pedro Henrique,,0.0,71038,P. Henrique,Atlético-GO,13,4.4,373,2.0,,,,,2.0,7.0,6.0,1.0,,2.0,,,,,,,,,
69,3,7,Maicon Pereira Roque,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,2.27,True,12,maicon,1.1,Maicon,,-0.21,71227,Maicon,Vasco,13,4.01,267,2.0,,,,,1.0,11.0,6.0,1.0,1.0,6.0,,1.0,1.0,,,,,,
70,4,7,Luiz Gustavo Dias,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,2.46,True,7,luiz-gustavo,2.1,Luiz Gustavo,,-0.7,71536,L. Gustavo,São Paulo,13,4.89,276,2.0,,,,,,9.0,9.0,4.0,6.0,3.0,,,,,,,,,
71,1,7,Weverton Pereira da Silva,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,5.5,True,13,weverton,9.0,Weverton,,1.31,71631,Weverton,Palmeiras,13,11.76,275,1.0,41.0,,9.0,,7.0,,,,,1.0,,,,1.0,,,,,
72,2,6,Raúl Alejandro Cáceres Bogado,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,3.85,True,4,raul-caceres,2.4,Raúl Cáceres,,-0.28,71680,R. Cáceres,Vitória,13,5.6,287,,,,,,1.0,5.0,2.0,,,,,,,1.0,,,,,
73,3,6,Gustavo Raúl Gómez Portillo,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,5.02,False,6,gustavo-gomez,0.0,Gustavo Gómez,,0.0,71684,G. Gómez,Palmeiras,13,10.8,275,3.0,,,,1.0,3.0,6.0,11.0,1.0,4.0,2.0,,1.0,2.0,1.0,,,,1.0,
74,2,6,Santiago Arias Naranjo,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,3.32,False,6,santiago-arias,0.0,Santiago Arias,,0.0,71701,S. Arias,Bahia,13,5.58,265,1.0,,,,,2.0,5.0,6.0,,1.0,12.0,,,1.0,,,,,,
75,4,7,Gabriel Appelt Pires,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,3.93,True,4,gabriel-pires,3.8,Gabriel Pires,,-0.01,71898,G. Pires,Fluminense,13,5.62,266,1.0,,,,,,12.0,7.0,1.0,1.0,5.0,,,1.0,,,,,,
76,1,6,Everson Felipe Marques Pires,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,2.27,False,9,everson,0.0,Everson,,0.0,72294,Everson,Atlético-MG,13,8.14,282,3.0,17.0,,10.0,,3.0,,,,,3.0,,,,,,,,,
77,1,6,Felipe Alves Raymundo,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,0.0,False,0,felipe-alves,0.0,Felipe Alves,,0.0,72372,F. Alves,Fluminense,13,5.0,266,,,,,,,,,,,,,,,,,,,,
