,atletas.minimo_para_valorizar,atletas.posicao_id,atletas.clube_id,atletas.slug,atletas.apelido,atletas.atleta_id,atletas.pontos_num,atletas.variacao_num,atletas.rodada_id,atletas.media_num,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.jogos_num,atletas.entrou_em_campo,atletas.foto,atletas.status_id,atletas.nome,atletas.preco_num,DS,FC,FD,FF,FS,G,I,CA,FT,A,SG,PP,CV,PC,PS,GC,V,DE,GS,DP
47,,4,263,allan,Allan,69140,0.0,0.0,37,1.79,Botafogo,Allan,10,False,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,6,Allan Marques Loureiro,5.06,12.0,10.0,,,7.0,,,2.0,,1.0,,,,,,,,,,
48,,3,263,pablo,Pablo,69165,0.0,0.0,37,0.0,Botafogo,Pablo,1,False,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,6,Pablo Nascimento Castro,3.22,,,,,,,,,,,,,,,,,,,,
49,,4,293,nikao,Nikão,69705,3.6,-0.1,37,5.69,Athlético-PR,Nikão,23,True,https://s.sde.globo.com/media/person_role/2024/06/07/photo_FORMATO.png,7,Maycon Vinícius Ferreira da Cruz,9.22,22.0,10.0,10.0,20.0,37.0,6.0,2.0,,1.0,2.0,,,,,,,,,,
50,,4,276,lucas-moura,Lucas Moura,70164,2.3,-0.4,37,7.08,São Paulo,L. Moura,28,True,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,7,Lucas Rodrigues Moura da Silva,13.49,39.0,27.0,10.0,12.0,64.0,10.0,,4.0,,6.0,,,,,,,,,,
51,,2,263,rafael,Rafael,70171,0.0,0.0,37,0.0,Botafogo,Rafael,0,False,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,6,Rafael Pereira da Silva,3.0,,,,,,,,,,,,,,,,,,,,
52,,2,284,fabio,Fábio,70172,0.0,0.0,37,2.79,Grêmio,Fábio,12,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,6,Fábio Pereira da Silva,5.0,7.0,5.0,,2.0,14.0,,,1.0,1.0,,4.0,,1.0,1.0,,,,,,
53,,1,288,gustavo,Gustavo,70216,0.0,-0.49,37,3.33,Criciúma,Gustavo,29,True,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,7,Luiz Gustavo de Almeida Pinto,5.39,,1.0,1.0,,2.0,,,2.0,,,5.0,,1.0,,,,,103.0,42.0,2.0
54,,3,287,bruno-uvini,Bruno Uvini,70221,0.0,0.0,37,0.48,Vitória,B. Uvini,6,False,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,7,Bruno Uvini Bortolança,2.22,2.0,2.0,,2.0,1.0,,,1.0,,,,,,,,,,,,
55,,5,284,diego-costa,Diego Costa,70316,0.0,0.0,37,1.95,Grêmio,D. Costa,9,False,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,6,Diego da Silva Costa,4.86,4.0,7.0,3.0,,9.0,1.0,2.0,3.0,,1.0,,,1.0,,,,,,,
56,,1,284,marchesin,Marchesín,70332,2.0,0.16,37,4.19,Grêmio,Marchesín,24,True,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,6,Agustín Federico Marchesín,6.46,1.0,,,,7.0,,,4.0,,,7.0,,,,,,,76.0,25.0,2.0
