,atletas.jogos_num,atletas.atleta_id,atletas.minimo_para_valorizar,atletas.clube.id.full.name,atletas.foto,atletas.posicao_id,atletas.variacao_num,atletas.entrou_em_campo,atletas.nome,atletas.rodada_id,atletas.status_id,atletas.preco_num,atletas.pontos_num,atletas.clube_id,atletas.apelido,atletas.apelido_abreviado,atletas.media_num,atletas.slug,CA,DS,FC,FS,FD,FF,SG,G,I,A,CV,FT,V,PS,DE,GS,PC,PP,DP,GC
58,25,70449,,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,1,0.35,True,Gabriel Vasconcelos Ferreira,33,7,3.87,1.0,286,Gabriel,Gabriel,2.31,gabriel,4.0,,1.0,4.0,,,4.0,,,,1.0,,,,82.0,38.0,1.0,,,
59,15,70592,,Palmeiras,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,4,0.0,False,Felipe Anderson Pereira Gomes,33,7,9.09,0.0,275,Felipe Anderson,F. Anderson,5.2,felipe-anderson,,32.0,9.0,8.0,3.0,7.0,,2.0,1.0,2.0,,1.0,,,,,,,,
60,25,70666,,Cuiabá,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,3,0.8,True,Marllon Gonçalves Jerônimo Borges,33,7,5.34,9.7,1371,Marllon,Marllon,3.03,marllon,3.0,26.0,18.0,9.0,3.0,6.0,6.0,1.0,,,,1.0,,1.0,,,2.0,,,
61,14,70788,,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,5,0.0,False,Enner Remberto Valencia Lastra,33,6,8.1,0.0,285,Enner Valencia,E. Valencia,1.48,enner-valencia,1.0,4.0,6.0,12.0,5.0,5.0,,,3.0,,,1.0,,,,,,,,
62,18,70916,,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,2,0.0,False,Diogo Barbosa Mendanha,33,6,3.99,0.0,266,Diogo Barbosa,D. Barbosa,2.41,diogo-barbosa,6.0,16.0,13.0,15.0,,2.0,5.0,,,,,,,,,,,,,
63,27,70944,,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,4,0.0,False,Bruno Henrique Corsini,33,6,5.82,0.0,285,Bruno Henrique,B. Henrique,2.78,bruno-henrique,3.0,33.0,43.0,17.0,8.0,12.0,,2.0,1.0,1.0,,1.0,,,,,,,,
64,17,70958,,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,4,0.0,False,Jean Carlos Vicente,33,6,7.31,0.0,286,Jean Carlos,J. Carlos,3.25,jean-carlos,3.0,7.0,13.0,6.0,5.0,10.0,,4.0,1.0,1.0,,,,,,,,,,
65,17,70984,,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,4,0.0,False,Florent Dimitri Payet,33,7,6.11,0.0,267,Payet,Payet,3.87,payet,1.0,10.0,8.0,18.0,2.0,5.0,,3.0,2.0,3.0,,1.0,,,,,,,,
66,9,71038,,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,3,0.0,False,Pedro Henrique Pereira da Silva,33,6,4.73,0.0,373,Pedro Henrique,P. Henrique,3.02,pedro-henrique,3.0,11.0,8.0,4.0,2.0,,3.0,,,,,,,,,,,,,
67,29,71227,,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,3,0.03,True,Maicon Pereira Roque,33,6,4.14,1.2,267,Maicon,Maicon,2.55,maicon,5.0,32.0,12.0,7.0,1.0,2.0,6.0,1.0,1.0,,,,,,,,,,,
68,24,71536,,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,4,-1.64,True,Luiz Gustavo Dias,33,2,4.9,1.7,276,Luiz Gustavo,L. Gustavo,2.95,luiz-gustavo,3.0,34.0,31.0,23.0,10.0,10.0,,1.0,,,,1.0,,,,,,,,
69,31,71631,,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,1,0.0,False,Weverton Pereira da Silva,33,7,9.69,0.0,275,Weverton,Weverton,5.06,weverton,2.0,1.0,,8.0,,,14.0,,,1.0,,,,,104.0,25.0,,,,
70,18,71680,,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,2,-0.9,True,Raúl Alejandro Cáceres Bogado,33,7,5.36,0.6,287,Raúl Cáceres,R. Cáceres,3.57,raul-caceres,2.0,28.0,19.0,4.0,,2.0,5.0,,3.0,2.0,,,,,,,,,,
71,22,71684,,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,3,0.0,False,Gustavo Raúl Gómez Portillo,33,2,8.44,0.0,275,Gustavo Gómez,G. Gómez,4.1,gustavo-gomez,7.0,25.0,36.0,18.0,1.0,12.0,9.0,1.0,7.0,2.0,,,,,,,1.0,,,1.0
72,20,71701,,Bahia,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,2,0.0,True,Santiago Arias Naranjo,33,2,6.14,3.1,265,Santiago Arias,S. Arias,3.99,santiago-arias,2.0,30.0,22.0,20.0,2.0,6.0,7.0,,4.0,1.0,1.0,,,,,,1.0,,,
73,5,71898,,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,4,0.0,False,Gabriel Appelt Pires,33,6,5.14,0.0,266,Gabriel Pires,G. Pires,3.48,gabriel-pires,1.0,13.0,8.0,5.0,1.0,2.0,,,1.0,,,,,,,,,,,
74,19,72294,,Atlético-MG,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,1,0.0,False,Everson Felipe Marques Pires,33,7,6.94,0.0,282,Everson,Everson,1.93,everson,5.0,,1.0,4.0,,,5.0,,,,1.0,,,,44.0,26.0,,,,
