,atletas.slug,atletas.nome,atletas.pontos_num,atletas.variacao_num,atletas.minimo_para_valorizar,atletas.apelido,atletas.entrou_em_campo,atletas.media_num,atletas.preco_num,atletas.atleta_id,atletas.posicao_id,atletas.clube.id.full.name,atletas.jogos_num,atletas.status_id,atletas.foto,atletas.rodada_id,atletas.clube_id,atletas.apelido_abreviado,V,CA,DE,FS,GS,SG,A,DS,FC,FD,FF,G,I,CV,FT,PC,PS,PP,DP,GC
170,pedro-henrique,Pedro Henrique Ribeiro Gonçalves,1.4,-0.01,,Pedro Henrique,True,2.58,5.22,87225,3,Bragantino,15,6,https://s.sde.globo.com/media/person_role/2024/04/24/photo_FORMATO_oxcf1Uy.png,27,280,P. Henrique,,3.0,,9.0,,2.0,,20.0,13.0,1.0,,1.0,1.0,,,2.0,,,,
171,guilherme-arana,Guilherme Antonio Arana Lopes,0.0,0.0,,Guilherme Arana,False,5.51,11.12,87228,2,Atlético-MG,13,7,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_7gOybCT.png,27,282,G. Arana,,4.0,,10.0,,4.0,1.0,22.0,11.0,7.0,8.0,1.0,2.0,,,,,,,
172,carlos-de-pena,Carlos María de Pena Bonino,2.4,0.22,,Carlos de Pena,True,1.19,2.74,87242,4,Bahia,22,6,https://s.sde.globo.com/media/person_role/2024/04/13/photo_FORMATO_X3cGPAX.png,27,265,C. Pena,,4.0,,7.0,,,3.0,7.0,7.0,2.0,4.0,,,,,,,,,
173,soteldo,Yeferson Julio Soteldo Martínez,3.0,-0.17,,Soteldo,True,4.62,8.98,87258,5,Grêmio,14,7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_tv5qGBE.png,27,284,Soteldo,,1.0,,24.0,,,2.0,8.0,2.0,4.0,4.0,3.0,3.0,,1.0,,,,,
174,kannemann,Walter Kannemann,3.0,-0.37,,Kannemann,True,2.18,3.79,87342,3,Grêmio,11,7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_f52uCmN.png,27,284,Kannemann,,6.0,,7.0,,2.0,2.0,11.0,18.0,1.0,2.0,,,1.0,,1.0,,,,
175,allano,Allano Brendon de Souza Lima,5.6,0.66,,Allano,True,2.28,3.84,87391,5,Criciúma,16,7,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_4fbfMIP.png,27,288,Allano,,3.0,,29.0,,,1.0,16.0,26.0,6.0,6.0,,3.0,2.0,1.0,,,,,
176,thaciano,Thaciano Mickael da Silva,1.0,-0.94,,Thaciano,True,4.04,6.29,87470,4,Bahia,24,7,https://s.sde.globo.com/media/person_role/2024/02/15/photo_FORMATO_wgwd4Ze.png,27,265,Thaciano,,4.0,,11.0,,,2.0,15.0,14.0,6.0,19.0,6.0,19.0,,1.0,,,,,
177,mateus-pasinato,Mateus Pasinato,0.0,0.0,,Mateus Pasinato,False,-1.0,2.59,87603,1,Cuiabá,0,6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_5YNRqaD.png,27,1371,M. Pasinato,,1.0,,,,,,,,,,,,,,,,,,
178,galdames,Pablo Ignacio Galdames Millán,0.0,0.0,,Galdames,False,2.19,4.82,87660,4,Vasco,11,6,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8l71w1x.png,27,267,Galdames,,3.0,,9.0,,,1.0,17.0,25.0,2.0,3.0,,1.0,,,,,,,
179,yago-felipe,Yago Felipe da Costa Rocha,0.0,0.0,,Yago Felipe,False,-0.42,1.62,87747,4,Bahia,5,6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_wf2lvdn.png,27,265,Y. Felipe,,2.0,,,,,,,3.0,,1.0,,,,,,,,,
180,philipe-sampaio,Philipe Sampaio Azevedo,0.0,0.0,,Philipe Sampaio,False,0.7,3.84,87808,3,Atlético-GO,1,7,https://s.sde.globo.com/media/person_role/2024/09/03/photo_FORMATO_cDMOhy5.png,27,373,P. Sampaio,,,,2.0,,,,,1.0,,,,,,,,,,,
181,mauricio-lemos,Paolo Mauricio Lemos Merladett,0.0,0.0,,Mauricio Lemos,False,2.65,9.41,87853,3,Atlético-MG,6,6,https://s.sde.globo.com/media/person_role/2023/03/01/photo_FORMATO_oIj0aUq.png,27,282,M. Lemos,,3.0,,1.0,,3.0,,4.0,10.0,,2.0,,,,,,,,,
182,arrascaeta,Giorgian Daniel de Arrascaeta Benedetti,0.0,0.0,,Arrascaeta,False,7.68,14.22,87863,4,Flamengo,11,7,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_ehYT9k1.png,27,262,Arrascaeta,,1.0,,18.0,,,5.0,10.0,10.0,4.0,6.0,4.0,1.0,,,,1.0,,,
183,gustavo-scarpa,Gustavo Henrique Furtado Scarpa,1.2,-0.19,,Gustavo Scarpa,True,5.92,10.62,87999,4,Atlético-MG,23,7,https://s.sde.globo.com/media/person_role/2024/03/06/photo_FORMATO_UXqyPlk.png,27,282,G. Scarpa,,3.0,,27.0,,,5.0,24.0,9.0,16.0,22.0,4.0,4.0,,2.0,,,,,
184,alan-empereur,Alan Pereira Empereur,4.7,0.59,,Alan Empereur,True,2.21,3.63,88033,3,Cuiabá,19,7,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_yJZY7yN.png,27,1371,A. Empereur,,5.0,,9.0,,4.0,1.0,13.0,9.0,1.0,4.0,,,,,,,,,
185,ivan,Ivan Quaresma da Silva,0.0,0.0,,Ivan,False,0.0,3.0,88136,1,Internacional,0,5,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_TR1I7LU.png,27,285,Ivan,,,,,,,,,,,,,,,,,,,,
186,junior-alonso,Júnior Osmar Ignacio Alonso Mujica,6.8,0.85,,Junior Alonso,True,4.55,8.05,88312,3,Atlético-MG,7,7,https://s.sde.globo.com/media/person_role/2022/07/15/18f148a4c0e6304c4e127291f1935424_FORMATO.png,27,282,J. Alonso,,2.0,,,,3.0,,10.0,12.0,,3.0,1.0,,,,,,,,
187,angel-romero,Ángel Rodrigo Romero Villamayor,22.2,3.12,,Ángel Romero,True,4.29,8.78,88323,5,Corinthians,19,7,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_1ruJswV.png,27,264,Ã. Romero,,5.0,,32.0,,,,14.0,11.0,7.0,15.0,5.0,4.0,,,,1.0,1.0,,
188,ayrton-lucas,Ayrton Lucas Dantas de Medeiros,2.1,0.21,,Ayrton Lucas,True,3.99,7.13,88393,2,Flamengo,22,6,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_vtzXktM.png,27,262,A. Lucas,,3.0,,26.0,,4.0,2.0,22.0,13.0,4.0,9.0,1.0,,,2.0,1.0,,,,
189,walace,Walace Souza Silva,0.0,0.0,,Walace,False,1.05,4.65,88479,4,Cruzeiro,6,6,https://s.sde.globo.com/media/person_role/2024/07/02/photo_FORMATO_WwpovZU.png,27,283,Walace,,1.0,,4.0,,,,4.0,5.0,1.0,1.0,,,,,,,,,
190,hector-hernandez,Héctor José Hernández Marrero,0.0,-0.76,,Héctor Hernández,True,0.6,3.66,89048,5,Corinthians,3,6,https://s.sde.globo.com/media/person_role/2024/08/27/photo_FORMATO_48j6Cfi.png,27,264,H. Hernández,,,,1.0,,,,,1.0,,2.0,,,,,,,,,
191,barreto,Gustavo Bonatto Barreto,1.7,0.08,,Barreto,True,3.32,4.86,89224,4,Criciúma,18,7,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ppF3oM9.png,27,288,Barreto,,3.0,,18.0,,,1.0,29.0,33.0,3.0,3.0,2.0,1.0,,1.0,1.0,,,,
192,gerson,Gerson Santos da Silva,0.0,0.0,,Gerson,False,4.3,7.44,89256,4,Flamengo,25,7,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_mBAg0JY.png,27,262,Gerson,,1.0,,46.0,,,5.0,28.0,25.0,9.0,10.0,2.0,2.0,,,,,,,
193,joao-pedro,João Pedro Maturano dos Santos,6.7,0.72,,João Pedro,True,3.56,6.02,89273,2,Grêmio,20,7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_yq877xk.png,27,284,J. Pedro,,2.0,,8.0,,5.0,2.0,18.0,5.0,3.0,8.0,,,,2.0,2.0,,,,
194,william,Willian de Asevedo Furtado,7.9,-0.05,,William,True,8.28,12.23,89275,2,Cruzeiro,23,7,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_Wno5RKV.png,27,283,William,,6.0,,13.0,,10.0,3.0,62.0,29.0,7.0,14.0,5.0,,,,,,,,
195,braithwaite,Martin Christensen Braithwaite,9.4,0.19,,Braithwaite,True,9.5,14.31,89368,5,Grêmio,5,7,https://s.sde.globo.com/media/person_role/2024/07/31/photo_FORMATO_bydXPc3.png,27,284,Braithwaite,,,,4.0,,,1.0,1.0,6.0,2.0,5.0,4.0,3.0,,2.0,,,,,1.0
196,erick,Erick Samuel Correa Farias,0.0,0.0,,Erick,False,3.25,4.62,89467,5,Juventude,22,7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_GS948NH.png,27,286,Erick,,1.0,,7.0,,,1.0,22.0,9.0,10.0,6.0,3.0,4.0,,,,,,,
197,igor-rabello,Igor Rabello da Costa,0.0,0.0,,Igor Rabello,False,1.92,4.69,89493,3,Atlético-MG,10,6,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_JxE36o1.png,27,282,I. Rabello,,2.0,,2.0,,3.0,,8.0,8.0,1.0,1.0,,,1.0,,1.0,,,,
198,thiago-maia,Thiago Maia Alencar,13.0,1.22,,Thiago Maia,True,3.26,6.22,89637,4,Internacional,16,7,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_CBUMmTU.png,27,285,T. Maia,,1.0,,6.0,,,2.0,25.0,14.0,2.0,5.0,1.0,1.0,,,,,,,
199,calleri,Jonathan Calleri,-1.1,-0.32,,Calleri,True,3.9,8.82,89840,5,São Paulo,22,7,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_hF89kWc.png,27,276,Calleri,,5.0,,39.0,,,2.0,7.0,29.0,8.0,10.0,5.0,20.0,,2.0,,,,,
200,cristaldo,Franco Cristaldo,10.4,0.2,,Cristaldo,True,4.95,9.74,89846,4,Grêmio,22,7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4i2PnOy.png,27,284,Cristaldo,,1.0,,28.0,,,2.0,20.0,6.0,9.0,11.0,5.0,2.0,,1.0,,1.0,,,
201,dodi,Douglas Moreira Fagundes,4.8,0.13,,Dodi,True,1.98,3.7,89883,4,Grêmio,21,7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_SoQQafa.png,27,284,Dodi,,4.0,,24.0,,,,29.0,20.0,2.0,3.0,,,,,,,,,
202,bruno-pacheco,Bruno de Jesus Pacheco,0.0,0.0,,Bruno Pacheco,False,4.03,7.78,90061,2,Fortaleza,16,5,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_xopRGnx.png,27,356,B. Pacheco,,2.0,,13.0,,5.0,,22.0,10.0,1.0,3.0,1.0,,,,,,,,
203,bruno-henrique,Bruno Henrique Pinto,0.0,0.0,,Bruno Henrique,False,5.18,8.71,90285,5,Flamengo,18,7,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_JiNgXjg.png,27,262,B. Henrique,,4.0,,38.0,,,,22.0,29.0,8.0,8.0,5.0,3.0,,1.0,,2.0,,,
204,pedro-rocha,Pedro Rocha Neves,0.0,0.0,,Pedro Rocha,False,2.32,4.68,90302,5,Criciúma,4,6,https://s.sde.globo.com/media/person_role/2024/08/15/photo_FORMATO_iS6kjIf.png,27,288,P. Rocha,,,,2.0,,,1.0,3.0,1.0,,,,,,,,,,,
205,lincoln,Lincoln Henrique Oliveira dos Santos,0.5,-0.13,,Lincoln,True,3.69,5.73,90303,4,Bragantino,16,6,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3jS17Nq.png,27,280,Lincoln,,3.0,,24.0,,,1.0,13.0,9.0,2.0,7.0,3.0,,,,,,,,
206,david,David Correa da Fonseca,6.3,0.73,,David,True,4.03,7.87,90309,5,Vasco,22,7,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_4eK3iOa.png,27,267,David,,5.0,,23.0,,,3.0,24.0,23.0,3.0,17.0,4.0,9.0,1.0,,,,,,
207,rezende,Júlio César de Rezende Miranda,4.1,0.58,,Rezende,True,1.39,3.7,90449,4,Bahia,17,6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0kSZPcN.png,27,265,Rezende,,3.0,,13.0,,,,16.0,12.0,,2.0,,,,1.0,,,,,
208,diego-goncalves,Diego Gonçalves,0.0,0.0,,Diego Gonçalves,False,1.25,3.52,90540,5,Juventude,4,5,https://s.sde.globo.com/media/person_role/2024/07/13/photo_220x220_schK1aa.png,27,286,D. Gonçalves,,,,2.0,,,,3.0,1.0,,1.0,,1.0,,,,,,,
209,caique,Caique de Jesus Gonçalves,0.0,0.0,,Caíque,False,2.84,4.32,90588,4,Juventude,16,5,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RJHB8O8.png,27,286,Caíque,,5.0,,26.0,,,,35.0,17.0,,2.0,,,,,1.0,,,,
210,mateus-claus,Mateus Eduardo Claus,0.0,0.0,,Mateus Claus,False,3.62,4.74,90590,1,Juventude,4,6,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_ahQNt5A.png,27,286,M. Claus,,3.0,22.0,1.0,5.0,,,,,,,,,,,,,,,
211,lucas-mineiro,Lucas da Silva Izidoro,1.9,-0.14,,Lucas Mineiro,True,1.56,2.8,90634,4,Cuiabá,19,7,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_xH8ilrc.png,27,1371,L. Mineiro,,4.0,,16.0,,,,29.0,41.0,,4.0,,1.0,,,,,,,
212,matheuzinho,Matheus Martins Fogaça de Paulo,7.1,-0.82,,Matheuzinho,True,5.95,9.04,90703,4,Vitória,23,7,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_oRcCuAx.png,27,287,Matheuzinho,,5.0,,53.0,,,4.0,31.0,17.0,13.0,16.0,4.0,2.0,,1.0,,,,,
213,luiz-fernando,Luiz Fernando Moraes dos Santos,-1.1,-0.4,,Luiz Fernando,True,4.66,7.45,90715,5,Atlético-GO,23,7,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_TFNlZWH.png,27,373,L. Fernando,,5.0,,40.0,1.0,,,21.0,23.0,9.0,21.0,6.0,8.0,,,,,,,
214,fabricio-bruno,Fabrício Bruno Soares de Faria,0.0,0.0,,Fabrício Bruno,False,2.19,4.46,90768,3,Flamengo,21,7,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_lglDAms.png,27,262,F. Bruno,,3.0,,9.0,,3.0,,15.0,5.0,2.0,3.0,1.0,,,,,,,,
215,carlos-eduardo,Carlos Eduardo Ferreira de Souza,3.4,-0.34,,Carlos Eduardo,True,3.21,4.66,90917,5,Vitória,7,7,https://s.sde.globo.com/media/person_role/2024/07/23/photo_220x220.png,27,287,C. Eduardo,,1.0,,7.0,,,,10.0,4.0,3.0,6.0,,2.0,,,,1.0,,,
216,ze-marcos,José Marcos Alves Luis,-1.1,-0.27,,Zé Marcos,True,1.7,2.53,90943,3,Juventude,14,7,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_s0j6JVw.png,27,286,Z. Marcos,,5.0,,16.0,,2.0,,11.0,10.0,1.0,3.0,,,1.0,,,,,,
217,cardona,Tomás Cardona,3.3,0.26,,Cardona,True,3.09,5.12,90947,3,Fortaleza,13,6,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YucaBOt.png,27,356,Cardona,,3.0,,4.0,,6.0,,13.0,20.0,,2.0,,1.0,,,,,,,
218,ronaldo,Ronaldo de Oliveira Strada,0.0,0.0,,Ronaldo,False,2.49,3.64,91101,1,Atlético-GO,20,7,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_AaiyHtB.png,27,373,Ronaldo,,2.0,64.0,3.0,32.0,2.0,1.0,,2.0,,,,,1.0,,,,,1.0,
219,everaldo,Everaldo Silva do Nascimento,1.7,-0.31,,Everaldo,True,2.1,4.11,91151,5,Vitória,7,6,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_ZpwUiXj.png,27,287,Everaldo,,2.0,,9.0,,,,5.0,6.0,,,1.0,,,,,,,,
220,pk,Ítaro Patric Cardoso Calmon,0.0,0.0,,PK,False,2.68,4.6,91190,2,Vitória,10,5,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lh9cyLQ.png,27,287,PK,,,,3.0,,2.0,1.0,10.0,7.0,1.0,3.0,,2.0,1.0,,,,,,
221,erick-pulgar,Erick Antonio Pulgar Farfán,0.0,0.0,,Erick Pulgar,False,2.05,3.99,91473,4,Flamengo,14,7,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_JP7R0QW.png,27,262,E. Pulgar,,4.0,,8.0,,,,24.0,21.0,2.0,1.0,,,,1.0,,,,,
222,rodrigo-sam,Rodrigo Eduardo da Silva,0.0,0.0,,Rodrigo Sam,False,3.17,3.95,91509,3,Juventude,11,6,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_CwBUWEK.png,27,286,R. Sam,,4.0,,8.0,,3.0,,15.0,13.0,,1.0,1.0,,1.0,,,,,,
223,arboleda,Robert Abel Arboleda Escobar,0.0,0.0,,Arboleda,False,4.11,7.48,91573,3,São Paulo,22,7,https://s.sde.globo.com/media/person_role/2024/05/07/photo_FORMATO_4juynn8.png,27,276,Arboleda,,2.0,,9.0,,8.0,,30.0,13.0,2.0,3.0,1.0,1.0,,1.0,,,,,
224,rony,Ronielson da Silva Barbosa,0.8,-0.27,,Rony,True,3.43,6.35,91607,5,Palmeiras,26,2,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_j8iPskd.png,27,275,Rony,,4.0,,26.0,,,1.0,15.0,20.0,17.0,15.0,4.0,13.0,,,,,,,
225,dudu-vieira,Carlos Eduardo de Souza Vieira,0.0,0.0,,Dudu Vieira,False,2.1,3.55,91627,4,Juventude,2,6,https://s.sde.globo.com/media/person_role/2024/08/26/photo_FORMATO_FoNW8Tt.png,27,286,D. Vieira,,,,,,,,3.0,2.0,1.0,,,,,,,,,,
226,adryelson,Adryelson Shawann Lima Silva,5.0,1.01,,Adryelson,True,5.0,8.01,91664,3,Botafogo,1,6,https://s.sde.globo.com/media/person_role/2024/09/02/photo_220x220_8Mss0wu.png,27,263,Adryelson,,,,,,1.0,,,,,,,,,,,,,,
227,marlon,Marlon Rodrigues Xavier,6.2,0.65,,Marlon,True,3.48,8.36,91706,2,Cruzeiro,18,7,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_6dy9M0T.png,27,283,Marlon,,1.0,,10.0,,7.0,,28.0,22.0,1.0,2.0,,,2.0,,,,,,
228,david-duarte,David de Duarte Macedo,0.0,0.0,,David Duarte,False,8.5,6.84,91772,3,Bahia,1,6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_laPiI8c.png,27,265,D. Duarte,,,,1.0,,,,,,,,1.0,,,,,,,,
229,ze-ivaldo,José Ivaldo Almeida Silva,0.0,0.0,,Zé Ivaldo,False,3.77,5.53,91866,3,Cruzeiro,20,7,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_XkfvN4h.png,27,283,Z. Ivaldo,,7.0,,16.0,,8.0,,18.0,21.0,9.0,12.0,,2.0,,,1.0,,,,
230,pavon,Cristian David Pavón,0.0,0.0,,Pavón,False,3.25,7.11,91908,5,Grêmio,14,6,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_cVczRJH.png,27,284,Pavón,,3.0,,6.0,,,2.0,10.0,8.0,9.0,9.0,1.0,1.0,,,,,,,
231,ramon-diaz,Ramón Ángel Díaz,10.82,0.99,,Ramón Díaz,True,5.22,8.94,92075,6,Corinthians,15,7,https://s.sde.globo.com/media/person_role/2023/07/15/photo_FORMATO.png,27,264,R. Díaz,5.0,,,,,,,,,,,,,,,,,,,
232,lyanco,Lyanco Evangelista Silveira Neves Vojnovic,3.4,-0.26,,Lyanco,True,3.13,6.53,92087,3,Atlético-MG,6,6,https://s.sde.globo.com/media/person_role/2024/07/05/photo_FORMATO_3LfkT8x.png,27,282,Lyanco,,2.0,,1.0,,2.0,,12.0,9.0,,2.0,,,1.0,,,,,,
233,andre-luis,Andre Luis da Costa Alfredo,0.0,0.0,,André Luís,False,0.69,2.19,92146,5,Cuiabá,14,6,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Y6GBzlR.png,27,1371,A. Luís,,2.0,,12.0,,,,4.0,7.0,2.0,1.0,,2.0,,,,,,,
234,alario,Lucas Nicolás Alario,0.0,0.0,,Alario,False,0.27,2.76,92149,5,Internacional,11,6,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_5Z61ABy.png,27,285,Alario,,4.0,,4.0,,,,1.0,13.0,2.0,9.0,,9.0,,,1.0,,,,
235,jair-ventura,Jair Ventura,1.79,-0.6,,Jair Ventura,True,3.79,5.32,92180,6,Juventude,18,7,https://s.sde.globo.com/media/person_role/2018/09/06/d1103130500ec84fd8e37f1a20c60e1a_FORMATO.png,27,286,J. Ventura,5.0,,,,,,,,,,,,,,,,,,,
236,caique,Caíque Luiz Santos da Purificação,0.0,0.0,,Caíque,False,1.0,3.46,92207,1,Grêmio,3,6,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_R17UU3T.png,27,284,Caíque,,1.0,9.0,,5.0,,,,,,,,,,,,,,,
237,rodrigo-ely,Rodrigo Ely,0.0,0.0,,Rodrigo Ely,False,3.93,5.7,92237,3,Grêmio,15,6,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_RubzI83.png,27,284,R. Ely,,4.0,,8.0,,5.0,,13.0,10.0,5.0,7.0,1.0,1.0,,1.0,1.0,,,,
238,andre-ramalho,André Ramalho Silva,0.0,0.0,,André Ramalho,False,2.36,5.54,92440,3,Corinthians,9,7,https://s.sde.globo.com/media/person_role/2024/07/16/photo_FORMATO_XTr7yqw.png,27,264,A. Ramalho,,3.0,,3.0,,2.0,,12.0,9.0,1.0,1.0,,,,,1.0,,,,
239,raul,Raul Lô Gonçalves,0.2,-0.44,,Raul,True,2.7,2.79,92496,4,Bragantino,18,7,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_kP2nvPk.png,27,280,Raul,,1.0,,10.0,,,1.0,28.0,18.0,2.0,5.0,1.0,,,,,,,,1.0
240,renato-kayzer,Renato Kayzer de Souza,8.5,0.69,,Renato Kayzer,True,3.55,6.41,92696,5,Fortaleza,22,7,https://s.sde.globo.com/media/person_role/2024/04/15/photo_FORMATO.png,27,356,R. Kayzer,,2.0,,22.0,,,1.0,12.0,26.0,7.0,12.0,5.0,7.0,1.0,1.0,,,,,
241,deyverson,Deyverson Brum Silva Acosta,13.2,2.16,,Deyverson,True,2.97,7.64,92708,5,Atlético-MG,9,6,https://s.sde.globo.com/media/person_role/2024/08/07/photo_FORMATO_UNGMfhs.png,27,282,Deyverson,,2.0,,11.0,,,1.0,1.0,8.0,4.0,3.0,2.0,8.0,,,,1.0,1.0,,
242,bruno-rodrigues,Bruno Rafael Rodrigues do Nascimento,0.0,0.0,,Bruno Rodrigues,False,0.0,5.0,92811,5,Palmeiras,0,5,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_lto9czN.png,27,275,B. Rodrigues,,,,,,,,,,,,,,,,,,,,
243,borre,Rafael Santos Borré Maury,5.9,-1.25,,Borré,True,6.79,11.48,92854,5,Internacional,12,7,https://s.sde.globo.com/media/person_role/2024/03/20/photo_FORMATO_kHlqucZ.png,27,285,Borré,,3.0,,10.0,,,1.0,16.0,20.0,10.0,14.0,5.0,8.0,,1.0,,,1.0,,
244,ronaldo,Ronaldo da Silva Souza,1.6,-1.03,,Ronaldo,True,7.8,7.9,92981,4,Juventude,2,7,https://s.sde.globo.com/media/person_role/2024/08/27/photo_220x220_RwR6CNh.png,27,286,Ronaldo,,,,1.0,,,,6.0,3.0,,1.0,1.0,,,,,,,,
245,mateus-vital,Mateus da Silva Vital Assumpção,1.0,-0.02,,Mateus Vital,True,1.69,3.68,93108,4,Cruzeiro,11,6,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_lwMqy9Y.png,27,283,M. Vital,,,,8.0,,,,1.0,1.0,2.0,4.0,1.0,,,,,,,,
246,wanderson,Wanderson Maciel Sousa Campos,1.1,-0.18,,Wanderson,True,1.87,4.78,93478,5,Internacional,14,6,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_ntpiKUS.png,27,285,Wanderson,,2.0,,10.0,,,,9.0,12.0,4.0,4.0,1.0,2.0,,,,,,,
247,bruno-tubarao,Bruno Nunes de Barros,2.3,-0.16,,Bruno Tubarão,True,1.47,3.29,93637,2,Atlético-GO,12,7,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_3mh3bUg.png,27,373,B. Tubarão,,2.0,,6.0,,,,12.0,9.0,2.0,3.0,,,,,,,,,
248,gabriel-inocencio,Gabriel de Souza Inocêncio,1.7,-0.22,,Gabriel Inocêncio,True,3.47,4.65,93702,2,Juventude,13,6,https://s.sde.globo.com/media/person_role/2024/04/10/photo_FORMATO_P3G6ct6.png,27,286,G. Inocêncio,,2.0,,15.0,,4.0,,19.0,19.0,1.0,3.0,,2.0,,,1.0,,,,
249,paulo-henrique,Paulo Henrique de Oliveira Alves,0.9,-0.49,,Paulo Henrique,True,4.44,5.93,93716,2,Vasco,25,7,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_9IoUUlz.png,27,267,P. Henrique,,4.0,,18.0,,6.0,,57.0,35.0,3.0,8.0,1.0,,,,,,,,
250,marlon-freitas,Marlon Rodrigues Freitas,0.0,0.0,,Marlon Freitas,False,2.23,3.86,93790,4,Botafogo,23,7,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_IWdTjkg.png,27,263,M. Freitas,,6.0,,5.0,,,4.0,24.0,18.0,3.0,6.0,,,,1.0,,,,,
251,keiller,Keiller da Silva Nunes,0.0,0.0,,Keiller,False,0.0,4.0,93834,1,Vasco,0,6,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_8APU3lV.png,27,267,Keiller,,,,,,,,,,,,,,,,,,,,
252,cleiton,Cleiton Schwengber,8.0,0.98,,Cleiton,True,3.71,6.99,93882,1,Bragantino,18,7,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_Ri9cYDm.png,27,280,Cleiton,,1.0,62.0,4.0,22.0,3.0,,,1.0,,,,,1.0,,,,,2.0,
253,matheusinho,Matheus Leonardo Sales Cardoso,1.5,-0.88,,Matheusinho,True,4.61,6.2,93886,4,Criciúma,17,7,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_PCw311H.png,27,288,Matheusinho,,2.0,,16.0,,,2.0,15.0,11.0,4.0,10.0,4.0,2.0,,1.0,,,,,
254,breno-lopes,Breno Henrique Vasconcelos Lopes,0.0,0.0,,Breno Lopes,False,5.1,7.64,93988,5,Fortaleza,21,7,https://s.sde.globo.com/media/person_role/2024/08/14/photo_FORMATO_4oznMOQ.png,27,356,B. Lopes,,5.0,,46.0,,,3.0,12.0,12.0,11.0,17.0,4.0,6.0,,1.0,,2.0,,,
