,atletas.apelido_abreviado,atletas.pontos_num,atletas.clube_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.status_id,atletas.jogos_num,atletas.preco_num,atletas.media_num,atletas.foto,atletas.entrou_em_campo,atletas.atleta_id,atletas.clube.id.full.name,A,CA,DS,FC,FD,FF,FS,G,SG,CV,I,PS,V,FT,DE,GS,PC,PP,GC,DP
56,Gustavo,2.0,288,22,Luiz Gustavo de Almeida Pinto,gustavo,Gustavo,1,,0.08,7,15,5.65,3.34,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,True,70216,Criciúma,,2.0,,1.0,,,1.0,,2.0,1.0,,,,,51.0,20.0,,,,2.0
57,B. Uvini,0.0,287,22,Bruno Uvini Bortolança,bruno-uvini,Bruno Uvini,3,,0.0,6,6,2.22,0.48,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,False,70221,Vitória,,1.0,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,
58,D. Costa,0.0,284,22,Diego da Silva Costa,diego-costa,Diego Costa,5,,0.0,6,2,6.25,1.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,False,70316,Grêmio,,,2.0,,1.0,,3.0,,,1.0,1.0,,,,,,,,,
59,Marchesín,0.0,284,22,Agustín Federico Marchesín,marchesin,Marchesín,1,,0.0,7,13,6.53,3.75,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,False,70332,Grêmio,,1.0,1.0,,,,1.0,,5.0,,,,,,35.0,12.0,,,,
60,E. Sasha,-1.3,280,22,Eduardo Colcenti Antunes,eduardo-sasha,Eduardo Sasha,5,,-0.61,3,11,7.72,4.1,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,True,70360,Bragantino,3.0,3.0,5.0,9.0,8.0,4.0,8.0,2.0,,1.0,,,,,,,,,,
61,Gabriel,0.0,286,22,Gabriel Vasconcelos Ferreira,gabriel,Gabriel,1,,0.0,7,16,4.08,2.99,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,False,70449,Juventude,,3.0,,1.0,,,2.0,,4.0,1.0,,,,,55.0,22.0,,,,
62,F. Anderson,0.0,275,22,Felipe Anderson Pereira Gomes,felipe-anderson,Felipe Anderson,4,,0.0,6,5,9.22,4.1,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,False,70592,Palmeiras,,,12.0,4.0,1.0,2.0,3.0,,,,,,,1.0,,,,,,
63,Marllon,4.1,1371,22,Marllon Gonçalves Jerônimo Borges,marllon,Marllon,3,,0.26,7,16,4.38,2.67,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,True,70666,Cuiabá,,2.0,19.0,11.0,2.0,3.0,7.0,1.0,2.0,,,,,,,,1.0,,,
64,E. Valencia,2.1,285,22,Enner Remberto Valencia Lastra,enner-valencia,Enner Valencia,5,,-1.66,7,4,12.6,3.32,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,True,70788,Internacional,,,2.0,2.0,2.0,4.0,6.0,,,,1.0,,,1.0,,,,,,
65,D. Barbosa,0.4,266,22,Diogo Barbosa Mendanha,diogo-barbosa,Diogo Barbosa,2,,-0.76,7,15,3.33,2.15,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,True,70916,Fluminense,,5.0,12.0,11.0,,1.0,11.0,,4.0,,,,,,,,,,,
