,atletas.apelido_abreviado,atletas.pontos_num,atletas.clube_id,atletas.rodada_id,atletas.nome,atletas.slug,atletas.apelido,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.status_id,atletas.jogos_num,atletas.preco_num,atletas.media_num,atletas.foto,atletas.entrou_em_campo,atletas.atleta_id,atletas.clube.id.full.name,A,CA,DS,FC,FD,FF,FS,G,SG,CV,I,PS,V,FT,DE,GS,PC,PP,GC,DP
248,Matheusinho,0.0,288,22,Matheus Leonardo Sales Cardoso,matheusinho,Matheusinho,4,,0.0,6,12,7.22,5.17,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_PCw311H.png,False,93886,Criciúma,1.0,2.0,15.0,9.0,1.0,6.0,12.0,4.0,,,2.0,,,,,,,,,
249,B. Lopes,0.5,356,22,Breno Henrique Vasconcelos Lopes,breno-lopes,Breno Lopes,5,,-1.47,6,17,7.7,5.48,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_XhXbbVU.png,True,93988,Fortaleza,3.0,4.0,10.0,10.0,10.0,15.0,41.0,3.0,,,5.0,2.0,,1.0,,,,,,
250,John,1.0,263,22,John Victor Maciel Furtado,john,John,1,,-0.15,7,19,6.51,3.7,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_5TQNQjS.png,True,94044,Botafogo,,2.0,,1.0,,,3.0,,7.0,,,,,,55.0,19.0,,,,
251,M. Fernandes,0.0,280,22,Matheus Fernandes Siqueira,matheus-fernandes,Matheus Fernandes,4,,0.0,6,6,8.68,6.52,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_sgQrNPa.png,False,94067,Bragantino,1.0,,17.0,6.0,2.0,2.0,7.0,1.0,,,,,,,,,,,,
252,F. Vizeu,0.0,288,22,Felipe dos Reis Pereira Vizeu do Carmo,felipe-vizeu,Felipe Vizeu,5,,0.0,5,4,2.89,0.65,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_CKkxA4v.png,False,94138,Criciúma,,,,1.0,1.0,1.0,2.0,,,,1.0,,,,,,,,,
253,Maycon,0.0,264,22,Maycon de Andrade Barberan,maycon,Maycon,4,,0.0,5,2,4.65,0.2,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_fb3TwT8.png,False,94154,Corinthians,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,
254,R. Veiga,0.5,275,22,Raphael Cavalcante Veiga,raphael-veiga,Raphael Veiga,4,,-0.5,7,19,10.55,4.5,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_XOXiO3C.png,True,94509,Palmeiras,3.0,3.0,11.0,11.0,15.0,28.0,29.0,2.0,,1.0,3.0,,,,,,,1.0,,
255,Pedro,5.7,262,22,Pedro Guilherme Abreu dos Santos,pedro,Pedro,5,,-0.83,7,20,13.52,7.84,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_xrhSS2w.png,True,94583,Flamengo,5.0,3.0,15.0,13.0,15.0,10.0,24.0,10.0,,,3.0,1.0,,2.0,,,,1.0,,
256,J. Méndez,0.0,276,22,Jhegson Sebastián Méndez Carabalí,jhegson-mendez,Jhegson Méndez,4,,0.0,6,0,4.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/13/photo_220x220_PUzvx3f.png,False,94786,São Paulo,,,,,,,,,,,,,,,,,,,,
257,Battaglia,0.5,282,22,Rodrigo Andrés Battaglia,battaglia,Battaglia,4,,-0.36,6,16,2.38,1.13,https://s.sde.globo.com/media/person_role/2023/04/13/photo_FORMATO_XVs5pqz.png,True,94845,Atlético-MG,,3.0,17.0,20.0,3.0,2.0,9.0,,,2.0,,,,1.0,,,,,,
258,L. Fernandes,3.7,1371,22,Lucas Fernandes da Silva,lucas-fernandes,Lucas Fernandes,4,,0.31,6,9,3.9,1.24,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Bzva6ru.png,True,94931,Cuiabá,,1.0,4.0,3.0,3.0,2.0,6.0,,,,,,,,,,,,,
259,J. Capixaba,0.0,280,22,Luis Antônio da Rocha Júnior,juninho-capixaba,Juninho Capixaba,2,,0.0,5,14,10.84,5.18,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_U4Lwrth.png,False,94968,Bragantino,,3.0,41.0,18.0,2.0,3.0,24.0,,3.0,,1.0,,,,,,,,,
260,G. Taliari,1.0,286,22,Gabriel Pereira Taliari,gabriel-taliari,Gabriel Taliari,5,,0.04,6,12,3.55,2.4,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_vGTDrZr.png,True,95131,Juventude,2.0,,3.0,7.0,2.0,1.0,17.0,,,,3.0,,,2.0,,,,,,
261,Gregore,1.8,263,22,Gregore de Magalhães da Silva,gregore,Gregore,4,,0.07,7,19,3.83,1.97,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_OoYMXid.png,True,95464,Botafogo,1.0,4.0,37.0,53.0,2.0,2.0,6.0,,,,,1.0,,,,,,,,
262,I. Vinícius,0.0,276,22,Igor Vinícius de Souza,igor-vinicius,Igor Vinícius,2,,0.0,7,18,5.71,4.07,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_DKQOGT2.png,False,95466,São Paulo,2.0,3.0,28.0,13.0,1.0,1.0,27.0,,5.0,1.0,1.0,,,1.0,,,1.0,,1.0,
263,Raniele,2.4,264,22,Raniele Almeida Melo,raniele,Raniele,4,,-0.17,7,20,6.62,3.82,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_wftQgQv.png,True,95556,Corinthians,,6.0,51.0,22.0,7.0,6.0,23.0,,,,1.0,,,1.0,,,,,,
264,L. Kal,0.0,373,22,Lucas Kal Schenfeld Progioli,lucas-kal,Lucas Kal,4,,0.0,6,16,3.24,1.66,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_Ho8rTXl.png,False,95662,Atlético-GO,1.0,1.0,16.0,11.0,2.0,3.0,4.0,,,,,,,,,,,,,
265,Trauco,-0.4,288,22,Miguel Ángel Trauco Saavedra,trauco,Trauco,2,,-0.48,7,14,3.57,1.7,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_38OPKZz.png,True,95738,Criciúma,,2.0,10.0,6.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
266,T. Figueiredo,0.0,288,22,Tobias Pereira Figueiredo,tobias-figueiredo,Tobias Figueiredo,3,,0.0,6,8,1.55,0.27,https://s.sde.globo.com/media/person_role/2024/03/07/photo_FORMATO_GTVYOSI.png,False,95878,Criciúma,,2.0,1.0,6.0,1.0,2.0,4.0,,,,,,,,,,,,,
267,Machado,0.9,287,22,Luiz Filipe da Rosa Machado - Felipe,machado,Machado,4,,-0.42,7,9,2.17,0.72,https://s.sde.globo.com/media/person_role/2024/07/26/photo_FORMATO_qeBibe4.png,True,96089,Vitória,,2.0,6.0,9.0,1.0,1.0,4.0,,,,,,,,,,,,,
268,Lima,1.3,266,22,Vinicius Moreira de Lima,lima,Lima,4,,-0.24,7,12,7.18,3.17,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_Lwuhu7n.png,True,96340,Fluminense,,2.0,10.0,10.0,1.0,6.0,24.0,2.0,,1.0,,,,,,,,,,
269,Charles,0.0,264,22,Charles Rigon Mattos,charles,Charles,4,,0.0,7,2,5.22,2.1,https://s.sde.globo.com/media/person_role/2024/07/25/photo_FORMATO.png,False,96342,Corinthians,,,2.0,2.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,
270,M. Pereira,3.4,283,22,Matheus Fellipe Costa Pereira,matheus-pereira,Matheus Pereira,4,,-0.31,7,19,9.9,6.38,https://s.sde.globo.com/media/person_role/2024/03/02/photo_FORMATO_tZZNLQo.png,True,96610,Cruzeiro,4.0,5.0,9.0,20.0,11.0,18.0,57.0,5.0,,,6.0,,,2.0,,,,,,
271,Allan,1.2,262,22,Allan Rodrigues de Souza,allan,Allan,4,,-0.23,7,16,4.06,1.87,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_j7yMylW.png,True,96652,Flamengo,,3.0,25.0,19.0,2.0,2.0,11.0,,,,,,,,,,1.0,,,
272,G. Milito,4.95,282,22,Gabriel Alejandro Milito,gabriel-milito,Gabriel Milito,6,,0.04,7,20,8.66,4.86,https://s.sde.globo.com/media/person_role/2024/03/24/photo_FORMATO.png,True,96673,Atlético-MG,,,,,,,,,,,,,7.0,,,,,,,
273,Saravia,9.5,282,22,Renzo Saravia,saravia,Saravia,2,,1.3,7,16,7.84,4.08,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_HmHq0Tu.png,True,96725,Atlético-MG,,2.0,33.0,30.0,1.0,2.0,20.0,,5.0,,1.0,,,,,,1.0,,,
274,Camutanga,0.0,287,22,Cleidson Andrade da Souza Silva,camutanga,Camutanga,3,,0.0,5,4,2.34,0.63,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_dArb0z1.png,False,96793,Vitória,,1.0,3.0,3.0,1.0,2.0,2.0,,,1.0,,,,,,,,,,
275,Carlinhos,0.0,262,22,Carlos Moisés de Lima,carlinhos,Carlinhos,5,,0.0,6,9,3.22,2.24,https://s.sde.globo.com/media/person_role/2024/05/13/photo_FORMATO_3NTjVXj.png,False,96831,Flamengo,,,1.0,5.0,2.0,3.0,,2.0,,,3.0,,,,,,,,,
276,A. Gomes,3.3,283,22,Arthur Gomes Lourenço,arthur-gomes,Arthur Gomes,5,,0.06,6,17,5.59,3.15,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_0C3TGei.png,True,96966,Cruzeiro,1.0,1.0,13.0,19.0,9.0,6.0,12.0,2.0,,,11.0,,,1.0,,,,,,
277,Y. González,0.0,373,22,Jony Alexander González Copete,yony-gonzalez,Yony González,5,,0.0,6,9,2.83,1.15,https://s.sde.globo.com/media/person_role/2024/03/12/photo_FORMATO_1seH9AO.png,False,97080,Atlético-GO,,,3.0,6.0,2.0,2.0,9.0,,,,,,,,,,,,,
278,Dudu,0.0,356,22,Luís Eduardo Marques dos Santos,dudu,Dudu,2,,0.0,6,2,3.33,0.25,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_VyiA44m.png,False,97133,Fortaleza,,,,,,,1.0,,,,,,,,,,,,,
279,Villasanti,2.4,284,22,Mathías Adalberto Villasanti Rolón,villasanti,Villasanti,4,,-0.29,7,12,8.88,4.76,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_hHpUtkJ.png,True,97145,Grêmio,1.0,2.0,36.0,19.0,1.0,1.0,13.0,1.0,,,,,,,,,,,,
280,Janderson,0.0,373,22,Janderson Santos de Souza,janderson,Janderson,5,,0.0,6,5,3.58,2.0,https://s.sde.globo.com/media/person_role/2024/07/16/photo_FORMATO_QgbA4mS.png,False,97245,Atlético-GO,,2.0,7.0,9.0,2.0,3.0,9.0,,,1.0,,,,,,,,,,
281,R. Ceni,8.25,265,22,Rogério Mücke Ceni,rogerio-ceni,Rogério Ceni,6,,0.66,7,20,9.63,4.87,https://s.sde.globo.com/media/person_role/2022/03/01/e6fac1f227854170a80b2cf3234bfa1d_FORMATO.png,True,97341,Bahia,,,,,,,,,,,,,9.0,,,,,,,
282,Romércio,0.0,286,22,Romércio Pereira da Conceição,romercio,Romércio,3,,0.0,6,0,3.0,0.0,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_2Luig7d.png,False,97443,Juventude,,,,,,,,,,,,,,,,,,,,
283,Marçal,7.9,263,22,Fernando Marçal de Oliveira,marcal,Marçal,2,,1.21,3,9,6.89,4.51,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_nKRokLk.png,True,97468,Botafogo,,3.0,14.0,8.0,1.0,,10.0,1.0,3.0,,,,,,,,,,,
284,Shaylon,1.2,373,22,Shaylon Kallyson Cardozo - Cardoso,shaylon,Shaylon,4,,-0.09,7,20,4.64,2.44,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_6COfCnm.png,True,97520,Atlético-GO,1.0,2.0,12.0,10.0,6.0,13.0,3.0,2.0,,,,,,1.0,,,,1.0,,
285,W. Lepo,4.1,287,22,William Bernardo Willemen - Willeam Lepu,willean-lepo,Willean Lepo,2,,-0.37,2,17,5.35,3.69,https://s.sde.globo.com/media/person_role/2024/06/26/photo_FORMATO.png,True,97522,Vitória,,2.0,39.0,14.0,3.0,2.0,14.0,,2.0,,2.0,,,,,,,,,
286,F. Torres,0.0,264,22,Félix Eduardo Torres Caicedo,felix-torres,Félix Torres,3,,0.0,7,14,6.45,2.87,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_ZA5gyHo.png,False,97642,Corinthians,,2.0,18.0,18.0,1.0,1.0,2.0,,4.0,,1.0,,,1.0,,,,,,
287,Murilo,-2.7,275,22,Murilo Cerqueira Paim,murilo,Murilo,3,,-0.81,3,15,8.61,3.04,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_YJUCJBH.png,True,97653,Palmeiras,,3.0,12.0,19.0,1.0,6.0,4.0,,7.0,1.0,1.0,,,,,,,,,
288,Erick,0.0,276,22,Erick de Arruda Serafim,erick,Erick,5,,-0.16,6,10,3.53,0.79,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_l7c3hxY.png,True,97810,São Paulo,1.0,1.0,2.0,3.0,,,5.0,,,,,,,,,,,,,
289,L. Ortiz,0.0,262,22,Leonardo Rech Ortiz,leo-ortiz,Léo Ortiz,3,,-0.95,6,13,7.17,3.31,https://s.sde.globo.com/media/person_role/2024/05/13/photo_FORMATO_Nw5qKTd.png,True,97867,Flamengo,1.0,2.0,18.0,7.0,1.0,3.0,4.0,,3.0,,,,,,,,,,,
290,Iago,5.0,265,22,Iago Amaral Borduchi,iago,Iago,2,,0.07,6,5,5.61,2.74,https://s.sde.globo.com/media/person_role/2024/07/01/photo_220x220_XqRTvwK.png,True,97868,Bahia,,,4.0,2.0,1.0,1.0,5.0,,1.0,,,,,,,,,,,
291,Vitão,0.0,285,22,Vitor Eduardo da Silva Matos,vitao,Vitão,3,,0.0,7,11,4.73,2.67,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_cgStWK5.png,False,97900,Internacional,,3.0,7.0,11.0,2.0,3.0,5.0,,4.0,,,,,,,,,,,
292,L. Oyama,0.0,286,22,Luís Felipe Oyama,luis-oyama,Luís Oyama,4,,0.0,6,8,4.79,2.44,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_b9ZdFP4.png,False,97908,Juventude,,,6.0,4.0,2.0,2.0,3.0,1.0,,,,,,,,,,,,
293,Erick,0.0,293,22,Erick Luis Conrado de Carvalho,erick,Erick,4,,-0.23,2,19,7.1,4.3,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_PzrcPox.png,True,98022,Athlético-PR,1.0,1.0,39.0,23.0,5.0,11.0,18.0,1.0,,,1.0,,,2.0,,,,,,
294,P. Raul,0.8,264,22,Pedro Raul Garay da Silva,pedro-raul,Pedro Raul,5,,-0.64,6,14,2.69,1.18,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_btuS15d.png,True,98225,Corinthians,,2.0,9.0,9.0,4.0,3.0,7.0,,,,2.0,,,,,,,,,
295,Bastos,0.0,263,22,Bartolomeu Jacinto Quissanga,bastos,Bastos,3,,0.0,7,20,5.3,3.85,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_sq29S9f.png,False,98280,Botafogo,,3.0,17.0,20.0,,7.0,4.0,3.0,7.0,,1.0,,,,,,1.0,,,
296,Kanu,5.9,265,22,Victor Hugo Soares dos Santos,kanu,Kanu,3,,0.74,6,15,3.67,1.7,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_OKP0vwQ.png,True,98484,Bahia,,7.0,8.0,19.0,1.0,,15.0,,4.0,,,,,,,,,,,
297,J. Lucas,2.7,265,22,Jean Lucas de Souza Oliveira,jean-lucas,Jean Lucas,4,,-0.28,7,19,7.46,4.98,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_Lb03bwo.png,True,98517,Bahia,4.0,3.0,22.0,22.0,8.0,21.0,31.0,2.0,,,1.0,,,,,,,,,
298,Kuscevic,6.1,356,22,Benjamín Kuščević Jaramillo,kuscevic,Kuscevic,3,,0.63,7,8,5.88,3.77,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_XpAwacz.png,True,98619,Fortaleza,,,8.0,5.0,,1.0,3.0,1.0,3.0,1.0,2.0,,,,,,,,,
299,Savarino,7.4,263,22,Jefferson David Savarino Quintero,savarino,Savarino,5,,0.7,7,14,7.57,3.96,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_KxKxL8O.png,True,98672,Botafogo,2.0,2.0,1.0,6.0,10.0,3.0,4.0,4.0,,,2.0,,,,,,,,,
300,Cuello,1.2,293,22,Tomás Esteban Cuello,cuello,Cuello,5,,0.01,7,15,5.71,3.74,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_JnDE8PH.png,True,98909,Athlético-PR,2.0,2.0,12.0,11.0,8.0,10.0,12.0,1.0,,,5.0,,,2.0,,,,,,
301,Viña,-0.1,262,22,Matías Nicolás Viña Susperreguy,vina,Viña,2,,-0.42,5,9,4.63,1.39,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_Y6GueeQ.png,True,98974,Flamengo,,1.0,5.0,4.0,1.0,2.0,2.0,,1.0,,,,,,,,,,,
302,Rogel,2.3,285,22,Agustín Maximiliano Rogel Paita,rogel,Rogel,3,,0.43,6,1,4.43,2.3,https://s.sde.globo.com/media/person_role/2024/08/07/photo_220x220_iceK1km.png,True,98975,Internacional,,,2.0,2.0,,,1.0,,,,,,,,,,,,,
303,Vegetti,8.3,267,22,Pablo Vegetti,vegetti,Vegetti,5,,0.38,7,20,12.49,6.3,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_fK3iFMZ.png,True,99198,Vasco,1.0,4.0,9.0,24.0,16.0,30.0,48.0,7.0,,,16.0,2.0,,2.0,,,,2.0,,
304,P. Rodríguez,0.0,267,22,José Luis Rodríguez Bebanz,puma-rodriguez,Puma Rodríguez,2,,0.0,6,9,4.51,2.43,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_WaoVDSt.png,False,99213,Vasco,,,9.0,2.0,,2.0,,,2.0,,,,,,,,,,,
305,D. Cruz,4.2,262,22,Diego Nicolás de la Cruz Arcosa,de-la-cruz,De la Cruz,4,,-0.31,7,10,12.84,7.74,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_c5iH0Ku.png,True,99228,Flamengo,2.0,1.0,22.0,13.0,5.0,8.0,29.0,2.0,,,,,,1.0,,,,,,
306,G. Freitas,0.0,373,22,Gonzalo Gastón Freitas Silva,gonzalo-freitas,Gonzalo Freitas,4,,0.0,5,3,6.31,5.67,https://s.sde.globo.com/media/person_role/2024/07/29/photo_FORMATO_uebM1kx.png,False,99234,Atlético-GO,,1.0,10.0,4.0,4.0,3.0,2.0,,,,,,,,,,1.0,,,
307,Pochettino,0.0,356,22,Tomás Pochettino,pochettino,Pochettino,4,,-1.6,7,16,7.95,5.55,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_up62cTi.png,True,99267,Fortaleza,6.0,4.0,23.0,13.0,3.0,7.0,12.0,3.0,,,2.0,,,,,,,,,
308,A. Barboza,-0.4,263,22,Alexander Nahuel Barboza Ullúa,alexander-barboza,Alexander Barboza,3,,-0.11,7,13,4.1,3.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_9Ge6HYf.png,True,99274,Botafogo,,5.0,11.0,17.0,3.0,6.0,1.0,,6.0,1.0,1.0,,,,,,,,,
309,Dinenno,-0.4,283,22,Juan Ignacio Dinenno de Cara,dinenno,Dinenno,5,,-0.88,6,4,6.59,1.98,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_2S2h9nH.png,True,99316,Cruzeiro,,1.0,,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,,
310,L. Zubeldía,8.02,276,22,Luis Francisco Zubeldía,luis-zubeldia,Luis Zubeldía,6,,0.11,7,19,10.16,5.31,https://s.sde.globo.com/media/person_role/2024/08/09/photo_FORMATO_FZ4aNBC.png,True,99366,São Paulo,,,,,,,,,,,,,10.0,,,,,,,
311,R. Rojas,0.0,267,22,Robert Samuel Rojas Chávez,robert-rojas,Robert Rojas,3,,0.0,6,5,3.21,1.84,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_oeaxG9n.png,False,99387,Vasco,,,4.0,2.0,,,,,1.0,,,,,,,,,,,
312,Baralhas,5.1,373,22,Gabriel Baralhas dos Santos,baralhas,Baralhas,4,,0.4,7,19,5.97,3.9,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_5FJVKbT.png,True,99440,Atlético-GO,1.0,5.0,36.0,13.0,8.0,11.0,17.0,1.0,,,1.0,,,,,,,,,
313,Rossi,5.0,262,22,Agustín Daniel Rossi,rossi,Rossi,1,,0.5,7,20,5.8,2.42,https://s.sde.globo.com/media/person_role/2024/02/26/photo_FORMATO_sM4o3AF.png,True,99552,Flamengo,,,,,,,4.0,,3.0,,,,,,52.0,21.0,,,,
314,G. Romão,3.2,373,22,Guilherme Kennedy Romão,guilherme-romao,Guilherme Romão,2,,0.27,3,19,4.8,3.47,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_uJhNaxu.png,True,99623,Atlético-GO,3.0,5.0,11.0,14.0,7.0,13.0,27.0,1.0,2.0,1.0,4.0,,,,,,,,,
315,Arias,3.5,266,22,Jhon Adolfo Arias Andrade,arias,Arias,4,,-0.42,3,11,12.7,6.02,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_RYUmTsY.png,True,99815,Fluminense,1.0,3.0,23.0,11.0,7.0,12.0,28.0,1.0,,,1.0,,,,,,,,,
316,Paulinho,4.4,282,22,Paulo Henrique Sampaio Filho,paulinho,Paulinho,5,,0.07,7,19,11.33,5.09,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_XppRgGL.png,True,99818,Atlético-MG,1.0,2.0,20.0,8.0,11.0,8.0,14.0,6.0,,1.0,8.0,1.0,,,,,,,,
317,A. Franco,0.0,276,22,Alan Javier Franco,alan-franco,Alan Franco,3,,0.0,7,16,6.95,3.19,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_Oa1eUuU.png,False,99889,São Paulo,1.0,5.0,18.0,13.0,,3.0,4.0,,7.0,1.0,1.0,,,,,,,,1.0,
318,Carrillo,12.1,286,22,Ronie Edmundo Carrillo Morales,carrillo,Carrillo,5,,2.52,6,3,6.08,4.5,https://s.sde.globo.com/media/person_role/2024/07/12/photo_220x220_lgqGgyh.png,True,100076,Juventude,,,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,
319,Zaracho,0.0,282,22,Federico Matías Javier Zaracho,zaracho,Zaracho,4,,-0.32,6,13,7.04,3.23,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_wjGLEpf.png,True,100079,Atlético-MG,,1.0,15.0,10.0,2.0,4.0,13.0,2.0,,,1.0,,,,,,,,,
320,I. Gomes,0.0,282,22,Igor Silveira Gomes,igor-gomes,Igor Gomes,4,,0.0,6,11,5.22,2.75,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_UzfIqe6.png,False,100084,Atlético-MG,2.0,3.0,10.0,12.0,3.0,3.0,12.0,,,,,,,1.0,,,,,,
321,P. Augusto,0.2,356,22,Pedro Augusto Borges da Costa,pedro-augusto,Pedro Augusto,4,,-0.09,6,18,3.28,1.98,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_omYwNQA.png,True,100085,Fortaleza,1.0,6.0,28.0,27.0,2.0,1.0,18.0,,,,,,,,,,1.0,,,
322,Segovia,0.0,263,22,Luis Geovanny Segovia Vega,segovia,Segovia,3,,0.0,6,0,3.0,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_TZ7Qc4F.png,False,100453,Botafogo,,,,,,,,,,,,,,,,,,,,
323,Y. Alberto,0.0,264,22,Yuri Alberto Monteiro da Silva,yuri-alberto,Yuri Alberto,5,,0.0,5,17,8.84,5.04,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_wt9arbZ.png,False,100652,Corinthians,2.0,4.0,13.0,21.0,10.0,14.0,26.0,4.0,,,8.0,,,1.0,,,,,,
324,M. Henrique,2.5,283,22,Matheus Henrique de Souza,matheus-henrique,Matheus Henrique,4,,-1.35,7,5,6.78,4.1,https://s.sde.globo.com/media/person_role/2024/06/25/photo_220x220_gfmexdE.png,True,100742,Cruzeiro,,2.0,7.0,6.0,1.0,4.0,7.0,1.0,,,,,,,,,,,,
325,Liziero,0.5,276,22,Igor Matheus Liziero Pereira,liziero,Liziero,4,,-0.55,6,3,3.9,1.6,https://s.sde.globo.com/media/person_role/2024/07/15/photo_220x220_823HKPQ.png,True,100761,São Paulo,,1.0,5.0,5.0,,1.0,1.0,,,,,,,,,,,,,
326,Brenno,0.0,284,22,Brenno Oliveira Fraga Costa,brenno,Brenno,1,,0.0,6,0,4.0,0.0,https://s.sde.globo.com/media/person_role/2023/03/08/photo_FORMATO_hWYsgxj.png,False,100830,Grêmio,,,,,,,,,,,,,,,,,,,,
327,L. Esteves,0.1,287,22,Lucas Esteves de Souza,lucas-esteves,Lucas Esteves,2,,-0.85,7,18,3.32,2.46,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_Oqbbci1.png,True,100846,Vitória,1.0,7.0,18.0,21.0,3.0,9.0,16.0,1.0,1.0,,7.0,,,,,,,,,
328,L. Cândido,2.6,280,22,Luan Cândido de Almeida,luan-candido,Luan Cândido,3,,-0.17,7,17,5.39,3.29,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_DTpZOty.png,True,100848,Bragantino,,4.0,25.0,29.0,4.0,10.0,6.0,1.0,3.0,,2.0,,,,,,,,,
329,R. Lopes,0.0,288,22,Ronald dos Santos Lopes,ronald-lopes,Ronald Lopes,4,,0.0,6,13,3.88,2.22,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_Nhk7IV4.png,False,100969,Criciúma,2.0,3.0,16.0,19.0,,3.0,12.0,,,,,,,,,,,,,
330,Derek,0.8,373,22,Derek Freitas Ribeiro,derek,Derek,5,,-0.05,6,12,3.17,1.52,https://s.sde.globo.com/media/person_role/2023/07/21/photo_220x220_Rr5xK7r.png,True,100976,Atlético-GO,,1.0,8.0,8.0,1.0,3.0,7.0,1.0,,1.0,1.0,,,,,,,,,
331,Nonato,0.0,266,22,Gustavo Nonato Santana,nonato,Nonato,4,,0.0,6,3,3.72,0.3,https://s.sde.globo.com/media/person_role/2024/07/18/photo_FORMATO.png,False,100987,Fluminense,,1.0,1.0,1.0,,,2.0,,,,,,,,,,,,,
332,J. Santos,0.0,263,22,José Antonio dos Santos Júnior,junior-santos,Júnior Santos,5,,0.0,5,17,7.59,4.27,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_GZeQZHl.png,False,101002,Botafogo,2.0,2.0,8.0,16.0,13.0,14.0,15.0,3.0,,,16.0,,,1.0,,,,,,
333,U. Louzer,2.98,373,22,Umberto Lourenço Louzer Filho,umberto-louzer,Umberto Louzer,6,,0.45,7,1,6.67,2.98,https://s.sde.globo.com/media/person_role/2021/04/15/6b25bcef84ca2ca67c4b19b4e5356ca3_FORMATO.png,True,101077,Atlético-GO,,,,,,,,,,,,,,,,,,,,
