,atletas.atleta_id,atletas.rodada_id,atletas.media_num,atletas.entrou_em_campo,atletas.preco_num,atletas.apelido_abreviado,atletas.variacao_num,atletas.foto,atletas.pontos_num,atletas.slug,atletas.jogos_num,atletas.minimo_para_valorizar,atletas.status_id,atletas.posicao_id,atletas.clube_id,atletas.nome,atletas.apelido,atletas.clube.id.full.name,CA,DS,FC,FD,FF,FS,SG,A,CV,FT,G,I,DE,GS,V,PC,PP,DP,PS,GC
34,68708,25,3.2,False,6.26,Eduardo,0.0,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_oIeJUEt.png,0.0,eduardo,10,,5,4,263,Carlos Eduardo de Oliveira Alves,Eduardo,Botafogo,1.0,6.0,8.0,3.0,4.0,9.0,,1.0,,,2.0,1.0,,,,,1.0,,,
35,68872,25,-1.0,False,4.99,M. Lomba,0.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_LNVcRjF.png,0.0,marcelo-lomba,1,,6,1,275,Marcelo Lomba do Nascimento,Marcelo Lomba,Palmeiras,,,,,,,,,,,,,1.0,2.0,,,,,,
36,68899,25,1.73,False,6.82,P. Coutinho,0.0,https://s.sde.globo.com/media/person_role/2024/07/10/photo_220x220.png,0.0,philippe-coutinho,3,,6,4,267,Philippe Coutinho Correia,Philippe Coutinho,Vasco,,3.0,2.0,1.0,,2.0,,,,,,,,,,,,,,
37,68920,25,1.29,False,5.77,Dudu,0.0,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_3AXKZtG.png,0.0,dudu,9,,6,5,275,Eduardo Pereira Rodrigues,Dudu,Palmeiras,,3.0,3.0,3.0,1.0,9.0,,,,,,,,,,,,,,
38,68928,25,3.19,True,6.41,Rafael,-0.45,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_qnQnVV9.png,1.0,rafael,15,,7,1,276,Rafael Pires Monteiro,Rafael,São Paulo,1.0,,,,,,6.0,,,,,,34.0,15.0,,,,,,
39,68940,25,2.5,False,6.8,R. Cabral,0.0,https://s.sde.globo.com/media/person_role/2024/04/19/photo_FORMATO_arB5aKK.png,0.0,rafael-cabral,5,,6,1,284,Rafael Cabral Barbosa,Rafael Cabral,Grêmio,,,,,,1.0,1.0,,,,,,15.0,8.0,,,,,,
40,68952,25,3.1,False,4.91,Marinho,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Hxz3oU8.png,0.0,marinho,11,,6,5,356,Mário Sérgio Santos Costa,Marinho,Fortaleza,2.0,10.0,18.0,4.0,11.0,23.0,,1.0,,,,6.0,,,,,,,,
41,68954,25,0.94,True,2.8,M. Gabriel,-0.49,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_cYCP9RY.png,0.0,marquinhos-gabriel,17,,6,4,288,Marcos Gabriel do Nascimento,Marquinhos Gabriel,Criciúma,3.0,6.0,7.0,4.0,6.0,9.0,,,,,,2.0,,,,,,,,
42,68991,25,3.57,True,6.5,L. Sasha,0.54,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_YNCB9SE.png,10.6,lucas-sasha,18,,7,4,356,Lucas Pacheco Affini,Lucas Sasha,Fortaleza,2.0,53.0,33.0,2.0,1.0,19.0,,,,,,,,,,,,,,
43,69012,25,0.0,False,8.0,Santos,0.0,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_ERbHgr1.png,0.0,santos,0,,6,1,356,Aderbar Melo dos Santos Neto,Santos,Fortaleza,,,,,,,,,,,,,,,,,,,,
44,69014,25,0.25,False,2.96,Manoel,0.0,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_pkJzHQB.png,0.0,manoel,6,,6,3,266,Manoel Messias Silva Carvalho,Manoel,Fluminense,1.0,2.0,7.0,1.0,,2.0,,,,,,,,,,,,,,
45,69041,25,-1.0,False,3.52,Muriel,0.0,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_94pa3TB.png,0.0,muriel,0,,6,1,287,Muriel Gustavo Becker,Muriel,Vitória,2.0,,,,,,,,,,,,,,,,,,,
