,atletas.variacao_num,atletas.jogos_num,atletas.status_id,atletas.nome,atletas.apelido,atletas.rodada_id,atletas.foto,atletas.preco_num,atletas.clube_id,atletas.clube.id.full.name,atletas.apelido_abreviado,atletas.pontos_num,atletas.media_num,atletas.entrou_em_campo,atletas.posicao_id,atletas.minimo_para_valorizar,atletas.slug,atletas.atleta_id,CA,DS,FC,FF,FS,G,I,SG,A,CV,FD,DE,GS,FT,DP,PC,PP,PS,V,GC
50,0.0,1,6,Pablo Nascimento Castro,Pablo,9,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,3.22,263,Botafogo,Pablo,0.0,0.0,False,3,,pablo,69165,,,,,,,,,,,,,,,,,,,,
51,-0.34,3,7,Charles Mariano Aránguiz Sandoval,Aránguiz,9,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_NLgDxgG.png,5.58,285,Internacional,Aránguiz,1.5,0.87,True,4,,aranguiz,69325,1.0,2.0,9.0,,3.0,,,,,,2.0,,,,,,,,,
52,0.09,7,7,João Pedro Geraldino dos Santos Galvão,João Pedro Galvão,9,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_Trda9pv.png,3.58,284,Grêmio,J. Galvão,2.0,1.34,True,5,,joao-pedro-galvao,69686,1.0,2.0,9.0,2.0,11.0,,,,,,3.0,,,,,,,,,
53,-0.36,6,7,Maycon Vinícius Ferreira da Cruz,Nikão,9,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,9.42,293,Athlético-PR,Nikão,4.4,5.97,True,4,,nikao,69705,,11.0,1.0,6.0,6.0,1.0,1.0,,,,6.0,,,,,,,,,
54,0.38,3,7,Lucas Rodrigues Moura da Silva,Lucas Moura,9,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,18.7,276,São Paulo,L. Moura,9.8,9.2,True,4,,lucas-moura,70164,1.0,6.0,5.0,1.0,5.0,2.0,,,,,3.0,,,,,,,,,
55,0.0,0,5,Rafael Pereira da Silva,Rafael,9,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,3.0,263,Botafogo,Rafael,0.0,0.0,False,2,,rafael,70171,,,,,,,,,,,,,,,,,,,,
56,0.01,6,6,Fábio Pereira da Silva,Fábio,9,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,6.1,284,Grêmio,Fábio,2.0,3.7,True,2,,fabio,70172,1.0,5.0,3.0,2.0,9.0,,,2.0,,,,,,1.0,,1.0,,,,
57,-0.83,4,3,Luiz Gustavo de Almeida Pinto,Gustavo,9,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,5.64,288,Criciúma,Gustavo,-1.3,3.42,True,1,,gustavo,70216,1.0,,1.0,,,,,1.0,,1.0,,12.0,6.0,,1.0,,,,,
58,0.0,4,6,Bruno Uvini Bortolança,Bruno Uvini,9,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,2.87,287,Vitória,B. Uvini,0.0,0.67,False,3,,bruno-uvini,70221,1.0,2.0,1.0,2.0,,,,,,,,,,,,,,,,
59,0.0,2,5,Diego da Silva Costa,Diego Costa,9,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,6.25,284,Grêmio,D. Costa,0.0,1.0,False,5,,diego-costa,70316,,2.0,,,3.0,,1.0,,,1.0,1.0,,,,,,,,,
