,atletas.foto,atletas.jogos_num,atletas.posicao_id,atletas.nome,atletas.pontos_num,atletas.slug,atletas.variacao_num,atletas.apelido_abreviado,atletas.apelido,atletas.minimo_para_valorizar,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.status_id,atletas.atleta_id,atletas.media_num,atletas.rodada_id,atletas.preco_num,atletas.clube_id,A,CA,DS,FC,FD,FF,FS,G,I,SG,DE,GS,FT,CV,PS,PC,PP,DP,V,GC
46,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_0p7AXmw.png,0,1,Danilo Fernandes Batista,0.0,danilo-fernandes,0.0,D. Fernandes,Danilo Fernandes,,False,Bahia,6,69051,-1.0,23,3.54,265,,1.0,,,,,,,,,,,,,,,,,,
47,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_o41O8I9.png,2,4,James David Rodríguez Rubio,0.0,james-rodriguez,0.0,J. Rodríguez,James Rodríguez,,False,São Paulo,6,69063,-0.05,23,4.84,276,,,,,,,,,1.0,,,,,,,,,,,
48,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xGXNnsz.png,13,5,Eduardo Jesús Vargas Rojas,0.0,vargas,0.0,Vargas,Vargas,,False,Atlético-MG,6,69102,4.01,23,5.79,282,,,4.0,3.0,4.0,6.0,10.0,4.0,4.0,,,,,,2.0,,,,,
49,https://s.sde.globo.com/media/person_role/2024/03/05/photo_FORMATO_9SQlsjr.png,17,5,Pablo Felipe Teixeira,0.0,pablo,0.0,Pablo,Pablo,,False,Athlético-PR,6,69138,2.0,23,5.47,293,1.0,5.0,6.0,18.0,3.0,8.0,6.0,2.0,,,,,1.0,,,,,,,
50,https://s.sde.globo.com/media/person_role/2024/07/01/photo_FORMATO_Of1BDT1.png,5,4,Allan Marques Loureiro,6.4,allan,0.38,Allan,Allan,,True,Botafogo,6,69140,2.56,23,6.58,263,1.0,2.0,7.0,7.0,,,7.0,,,,,,,,,,,,,
51,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_Kt0FXbU.png,1,3,Pablo Nascimento Castro,0.0,pablo,0.0,Pablo,Pablo,,False,Botafogo,6,69165,0.0,23,3.22,263,,,,,,,,,,,,,,,,,,,,
52,https://s.sde.globo.com/media/person_role/2024/04/22/photo_FORMATO_k9LXARi.png,13,4,Maycon Vinícius Ferreira da Cruz,11.3,nikao,1.38,Nikão,Nikão,,True,Athlético-PR,6,69705,4.85,23,9.51,293,,,13.0,5.0,9.0,11.0,21.0,2.0,2.0,,,,1.0,,,,,,,
53,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_3fFiGsF.png,15,4,Lucas Rodrigues Moura da Silva,0.5,lucas-moura,-1.28,L. Moura,Lucas Moura,,True,São Paulo,7,70164,6.72,23,13.38,276,2.0,3.0,25.0,15.0,7.0,6.0,30.0,5.0,,,,,,,,,,,,
54,https://s.sde.globo.com/media/person_role/2024/04/20/photo_FORMATO_RP1Zc2Q.png,0,2,Rafael Pereira da Silva,0.0,rafael,0.0,Rafael,Rafael,,False,Botafogo,5,70171,0.0,23,3.0,263,,,,,,,,,,,,,,,,,,,,
55,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_EtPTWj8.png,12,2,Fábio Pereira da Silva,0.5,fabio,-0.4,Fábio,Fábio,,True,Grêmio,7,70172,3.04,23,5.38,284,,1.0,7.0,5.0,,2.0,14.0,,,4.0,,,1.0,,,1.0,,,,
56,https://s.sde.globo.com/media/person_role/2024/01/16/photo_FORMATO_QDwF1Lw.png,16,1,Luiz Gustavo de Almeida Pinto,1.0,gustavo,-0.25,Gustavo,Gustavo,,True,Criciúma,7,70216,3.19,23,5.4,288,,2.0,,1.0,,,1.0,,,2.0,54.0,22.0,,1.0,,,,2.0,,
57,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_KZhA86o.png,6,3,Bruno Uvini Bortolança,0.0,bruno-uvini,0.0,B. Uvini,Bruno Uvini,,False,Vitória,6,70221,0.48,23,2.22,287,,1.0,2.0,2.0,,2.0,1.0,,,,,,,,,,,,,
58,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,3,5,Diego da Silva Costa,0.1,diego-costa,-0.63,D. Costa,Diego Costa,,True,Grêmio,7,70316,0.7,23,5.62,284,,1.0,3.0,2.0,1.0,,4.0,,1.0,,,,,1.0,,,,,,
59,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,13,1,Agustín Federico Marchesín,0.0,marchesin,0.0,Marchesín,Marchesín,,False,Grêmio,6,70332,3.75,23,6.53,284,,1.0,1.0,,,,1.0,,,5.0,35.0,12.0,,,,,,,,
60,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,11,5,Eduardo Colcenti Antunes,0.0,eduardo-sasha,0.0,E. Sasha,Eduardo Sasha,,False,Bragantino,7,70360,4.1,23,7.72,280,3.0,3.0,5.0,9.0,8.0,4.0,8.0,2.0,,,,,,1.0,,,,,,
61,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,17,1,Gabriel Vasconcelos Ferreira,5.5,gabriel,0.75,Gabriel,Gabriel,,True,Juventude,6,70449,3.14,23,4.83,286,,3.0,,1.0,,,3.0,,,4.0,61.0,23.0,,1.0,,,,,,
62,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,6,4,Felipe Anderson Pereira Gomes,1.7,felipe-anderson,-1.02,F. Anderson,Felipe Anderson,,True,Palmeiras,6,70592,3.7,23,8.2,275,,,13.0,4.0,1.0,2.0,4.0,,,,,,1.0,,,,,,,
63,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,17,3,Marllon Gonçalves Jerônimo Borges,5.2,marllon,0.2,Marllon,Marllon,,True,Cuiabá,7,70666,2.82,23,4.58,1371,,2.0,20.0,11.0,2.0,3.0,7.0,1.0,,2.0,,,1.0,,1.0,1.0,,,,
64,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,5,5,Enner Remberto Valencia Lastra,3.3,enner-valencia,-1.08,E. Valencia,Enner Valencia,,True,Internacional,7,70788,3.32,23,11.52,285,,,4.0,4.0,2.0,4.0,9.0,,1.0,,,,1.0,,,,,,,
65,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,15,2,Diogo Barbosa Mendanha,0.0,diogo-barbosa,0.0,D. Barbosa,Diogo Barbosa,,False,Fluminense,5,70916,2.15,23,3.33,266,,5.0,12.0,11.0,,1.0,11.0,,,4.0,,,,,,,,,,
66,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,18,4,Bruno Henrique Corsini,1.2,bruno-henrique,-0.23,B. Henrique,Bruno Henrique,,True,Internacional,6,70944,3.27,23,5.68,285,1.0,3.0,22.0,34.0,6.0,10.0,13.0,2.0,1.0,,,,1.0,,,,,,,
67,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,14,4,Jean Carlos Vicente,0.0,jean-carlos,0.0,J. Carlos,Jean Carlos,,False,Juventude,6,70958,3.83,23,7.55,286,1.0,2.0,6.0,10.0,4.0,9.0,5.0,4.0,1.0,,,,,,,,,,,
68,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,9,4,Florent Dimitri Payet,1.2,payet,-0.13,Payet,Payet,,True,Vasco,7,70984,2.93,23,5.7,267,2.0,,6.0,5.0,1.0,2.0,10.0,,1.0,,,,1.0,,,,,,,
69,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,9,3,Pedro Henrique Pereira da Silva,7.6,pedro-henrique,0.88,P. Henrique,Pedro Henrique,,True,Atlético-GO,6,71038,3.02,23,4.73,373,,3.0,11.0,8.0,2.0,,4.0,,,3.0,,,,,,,,,,
70,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,20,3,Maicon Pereira Roque,1.2,maicon,-0.53,Maicon,Maicon,,True,Vasco,2,71227,2.42,23,4.04,267,,3.0,13.0,9.0,1.0,1.0,7.0,1.0,1.0,5.0,,,,,,,,,,
71,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,15,4,Luiz Gustavo Dias,-0.3,luiz-gustavo,-0.22,L. Gustavo,Luiz Gustavo,,True,São Paulo,7,71536,2.67,23,4.55,276,,3.0,22.0,21.0,7.0,7.0,12.0,,,,,,1.0,,,,,,,
72,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,22,1,Weverton Pereira da Silva,2.0,weverton,-0.54,Weverton,Weverton,,True,Palmeiras,7,71631,4.86,23,9.99,275,1.0,1.0,1.0,,,,4.0,,,9.0,72.0,17.0,,,,,,,,
73,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,9,2,Raúl Alejandro Cáceres Bogado,0.0,raul-caceres,0.0,R. Cáceres,Raúl Cáceres,,False,Vitória,6,71680,3.48,23,6.03,287,1.0,,14.0,8.0,,,4.0,,1.0,2.0,,,,,,,,,,
74,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,14,3,Gustavo Raúl Gómez Portillo,-0.8,gustavo-gomez,-0.41,G. Gómez,Gustavo Gómez,,True,Palmeiras,3,71684,3.67,23,8.0,275,2.0,6.0,13.0,28.0,1.0,7.0,10.0,1.0,6.0,5.0,,,,,,1.0,,,,1.0
75,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,11,2,Santiago Arias Naranjo,4.3,santiago-arias,-0.31,S. Arias,Santiago Arias,,True,Bahia,7,71701,3.05,23,5.65,265,,1.0,9.0,13.0,1.0,1.0,12.0,,3.0,4.0,,,,,,,,,,
76,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_084ZZNa.png,5,4,Gabriel Appelt Pires,0.0,gabriel-pires,0.0,G. Pires,Gabriel Pires,,False,Fluminense,6,71898,3.48,23,5.14,266,,1.0,13.0,8.0,1.0,2.0,5.0,,1.0,,,,,,,,,,,
77,https://s.sde.globo.com/media/person_role/2023/03/31/photo_FORMATO_r7CD0SX.png,11,1,Everson Felipe Marques Pires,3.0,everson,-0.52,Everson,Everson,,True,Atlético-MG,7,72294,2.67,23,8.2,282,,3.0,,,,,3.0,,,4.0,22.0,11.0,,,,,,,,
78,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_e9UBywD.png,0,1,Felipe Alves Raymundo,0.0,felipe-alves,0.0,F. Alves,Felipe Alves,,False,Fluminense,6,72372,0.0,23,5.0,266,,,,,,,,,,,,,,,,,,,,
79,https://s.sde.globo.com/media/person_role/2024/07/08/photo_220x220_hLeY8f6.png,6,4,Bernard Anício Caldeira Duarte,-0.3,bernard,-0.56,Bernard,Bernard,,True,Atlético-MG,7,72460,0.9,23,6.62,282,,,4.0,7.0,,1.0,4.0,,1.0,,,,,,,,,,,
80,https://s.sde.globo.com/media/person_role/2024/04/11/photo_FORMATO_XGJ1uLI.png,1,4,Gustavo Campanharo,0.0,gustavo-campanharo,0.0,G. Campanharo,Gustavo Campanharo,,False,Atlético-GO,6,72497,0.0,23,4.5,373,,,,,,,,,,,,,,,,,,,,
81,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_204au3d.png,18,2,Magno José da Silva,5.5,maguinho,0.29,Maguinho,Maguinho,,True,Atlético-GO,3,72532,2.44,23,4.91,373,1.0,2.0,20.0,20.0,2.0,6.0,10.0,,1.0,3.0,,,,1.0,1.0,2.0,,,,
82,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_sB7v4Fv.png,10,5,Pedro Henrique Konzen Medina da Silva,0.7,pedro-henrique,-0.4,P. Henrique,Pedro Henrique,,True,Corinthians,6,72583,2.66,23,4.75,264,1.0,1.0,4.0,6.0,2.0,7.0,8.0,1.0,4.0,,,,,,,,,,,
