,atletas.jogos_num,atletas.nome,atletas.apelido,atletas.foto,atletas.status_id,atletas.pontos_num,atletas.atleta_id,atletas.rodada_id,atletas.apelido_abreviado,atletas.clube_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.variacao_num,atletas.preco_num,atletas.entrou_em_campo,atletas.clube.id.full.name,atletas.posicao_id,atletas.slug,A,CA,CV,DS,FC,FD,FF,FS,FT,G,I,PP,PS,DE,GS,SG,V,PC,DP,GC
56,6,Diego da Silva Costa,Diego Costa,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_xSA7MYn.png,3,-0.3,70316,29,D. Costa,284,1.63,,-1.19,4.79,True,Grêmio,5,diego-costa,,1.0,1.0,3.0,3.0,1.0,,4.0,,1.0,1.0,,,,,,,,,
57,18,Agustín Federico Marchesín,Marchesín,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_PpXRpkU.png,7,0.0,70332,29,Marchesín,284,4.26,,0.0,6.99,False,Grêmio,1,marchesin,,3.0,,1.0,,,,3.0,,,,,,61.0,19.0,7.0,,,,
58,17,Eduardo Colcenti Antunes,Eduardo Sasha,https://s.sde.globo.com/media/person_role/2024/01/03/photo_FORMATO_vmWK3aR.png,3,0.2,70360,29,E. Sasha,280,4.08,,-0.49,7.73,True,Bragantino,5,eduardo-sasha,3.0,6.0,1.0,6.0,15.0,14.0,12.0,21.0,,3.0,3.0,,,,,,,,,
59,22,Gabriel Vasconcelos Ferreira,Gabriel,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_8qXDLkA.png,7,1.0,70449,29,Gabriel,286,2.58,,-0.41,4.04,True,Juventude,1,gabriel,,4.0,1.0,,1.0,,,4.0,,,,,,73.0,30.0,4.0,,1.0,,
60,12,Felipe Anderson Pereira Gomes,Felipe Anderson,https://s.sde.globo.com/media/person_role/2024/07/08/photo_FORMATO_pq8QjaQ.png,7,5.0,70592,29,F. Anderson,275,5.21,,0.37,9.34,True,Palmeiras,4,felipe-anderson,1.0,,,26.0,7.0,2.0,5.0,6.0,1.0,2.0,1.0,,,,,,,,,
61,21,Marllon Gonçalves Jerônimo Borges,Marllon,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_r4ei6c2.png,2,7.4,70666,29,Marllon,1371,2.78,,1.05,4.9,True,Cuiabá,3,marllon,,2.0,,23.0,13.0,2.0,6.0,7.0,1.0,1.0,,,1.0,,,3.0,,1.0,,
62,11,Enner Remberto Valencia Lastra,Enner Valencia,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,7,0.7,70788,29,E. Valencia,285,1.71,,-0.04,8.77,True,Internacional,5,enner-valencia,,1.0,,4.0,6.0,4.0,4.0,12.0,1.0,,2.0,,,,,,,,,
63,16,Diogo Barbosa Mendanha,Diogo Barbosa,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,7,0.0,70916,29,D. Barbosa,266,2.12,,0.0,3.47,False,Fluminense,2,diogo-barbosa,,6.0,,14.0,12.0,,1.0,12.0,,,,,,,,4.0,,,,
64,24,Bruno Henrique Corsini,Bruno Henrique,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,7,2.0,70944,29,B. Henrique,285,2.64,,0.1,5.39,True,Internacional,4,bruno-henrique,1.0,3.0,,25.0,39.0,6.0,12.0,15.0,1.0,2.0,1.0,,,,,,,,,
65,15,Jean Carlos Vicente,Jean Carlos,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,5,0.0,70958,29,J. Carlos,286,3.63,,0.0,7.44,False,Juventude,4,jean-carlos,1.0,2.0,,7.0,11.0,4.0,9.0,5.0,,4.0,1.0,,,,,,,,,
