,atletas.apelido,atletas.clube.id.full.name,atletas.foto,atletas.slug,atletas.jogos_num,atletas.apelido_abreviado,atletas.rodada_id,atletas.clube_id,atletas.pontos_num,atletas.status_id,atletas.media_num,atletas.minimo_para_valorizar,atletas.preco_num,atletas.variacao_num,atletas.posicao_id,atletas.atleta_id,atletas.entrou_em_campo,atletas.nome,DE,GS,CA,FS,SG,G,DS,FC,FF,V,I,FD,PC,PS,A,CV,FT,PP,PI
66,Enner Valencia,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_KAqNvH7.png,enner-valencia,0,E. Valencia,1,285,0.0,5,0.0,,17.0,0.0,5,70788,False,Enner Remberto Valencia Lastra,,,,,,,,,,,,,,,,,,,
67,Diogo Barbosa,Fluminense,https://s.sde.globo.com/media/person_role/2024/04/09/photo_FORMATO_u4ftkcX.png,diogo-barbosa,0,D. Barbosa,1,266,0.0,6,0.0,,5.0,0.0,2,70916,False,Diogo Barbosa Mendanha,,,,,,,,,,,,,,,,,,,
68,Bruno Henrique,Internacional,https://s.sde.globo.com/media/person_role/2024/02/29/photo_FORMATO_CD57Ckc.png,bruno-henrique,1,B. Henrique,1,285,6.2,2,6.2,,7.12,1.12,4,70944,True,Bruno Henrique Corsini,,,,,,,1.0,,,,,,,,1.0,,,,
69,Jean Carlos,Juventude,https://s.sde.globo.com/media/person_role/2024/03/11/photo_FORMATO_4HRxczb.png,jean-carlos,1,J. Carlos,1,286,9.3,7,9.3,,7.39,2.39,4,70958,True,Jean Carlos Vicente,,,1.0,1.0,,1.0,2.0,2.0,,,,,,,,,,,
70,Payet,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_n3NiO5h.png,payet,0,Payet,1,267,0.0,5,0.0,,5.0,0.0,4,70984,False,Florent Dimitri Payet,,,,,,,,,,,,,,,,,,,
71,Pedro Henrique,Atlético-GO,https://s.sde.globo.com/media/person_role/2024/02/28/photo_FORMATO_Es6RFmf.png,pedro-henrique,1,P. Henrique,1,373,1.2,7,1.2,,2.89,-0.11,3,71038,True,Pedro Henrique Pereira da Silva,,,,,,,1.0,,,,,,,,,,,,
72,Maicon,Vasco,https://s.sde.globo.com/media/person_role/2024/03/04/photo_FORMATO_zkGlvKC.png,maicon,0,Maicon,1,267,0.0,6,0.0,,5.0,0.0,3,71227,False,Maicon Pereira Roque,,,,,,,,,,,,,,,,,,,
73,Luiz Gustavo,São Paulo,https://s.sde.globo.com/media/person_role/2024/03/01/photo_FORMATO_nt2TzmF.png,luiz-gustavo,0,L. Gustavo,1,276,0.0,6,0.0,,6.0,0.0,4,71536,False,Luiz Gustavo Dias,,,,,,,,,,,,,,,,,,,
74,Weverton,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_pwFJ9Uo.png,weverton,1,Weverton,1,275,10.0,7,10.0,,14.21,1.21,1,71631,True,Weverton Pereira da Silva,5.0,,,,1.0,,,,,,,,,,,,,,
75,Raúl Cáceres,Vitória,https://s.sde.globo.com/media/person_role/2024/04/12/photo_FORMATO_lPclyZL.png,raul-caceres,0,R. Cáceres,1,287,0.0,6,0.0,,3.0,0.0,2,71680,False,Raúl Alejandro Cáceres Bogado,,,,,,,,,,,,,,,,,,,
76,Gustavo Gómez,Palmeiras,https://s.sde.globo.com/media/person_role/2024/02/27/photo_FORMATO_A7Qv7sM.png,gustavo-gomez,0,G. Gómez,1,275,0.0,7,0.0,,13.0,0.0,3,71684,False,Gustavo Raúl Gómez Portillo,,,,,,,,,,,,,,,,,,,
77,Santiago Arias,Bahia,https://s.sde.globo.com/media/person_role/2024/02/14/photo_FORMATO_GVs7NkK.png,santiago-arias,1,S. Arias,1,265,2.8,6,2.8,,5.92,-0.08,2,71701,True,Santiago Arias Naranjo,,,,2.0,,,2.0,2.0,,,,,,,,,,,
